decision_id,from_node,to_node
d013311,c40,c376
d013312,c22,c878
d013313,c23,c879
d013314,c24,c880
d013315,c26,c881
d013316,c27,c882
d013317,c30,c883
d013318,c31,c884
d013319,c32,c885
d013320,c33,c887
d013321,c34,c888
d013322,c35,c889
d013323,c36,c890
d013325,c38,c892
d013326,c39,c893
d013327,c40,c894
d013328,c22,c1396
d013329,c23,c1397
d013330,c24,c1398
d013331,c26,c1399
d013332,c27,c1400
d013333,c30,c1401
d013334,c31,c1402
d013335,c32,c1403
d013336,c33,c1405
d013337,c34,c1406
d013338,c35,c1407
d013339,c36,c1408
d013341,c38,c1410
d013342,c39,c1411
d013343,c40,c1412
d013344,c22,c1914
d013345,c23,c1915
d013346,c24,c1916
d013347,c26,c1917
d013348,c27,c1918
d013349,c30,c1919
d013350,c31,c1920
d013351,c32,c1921
d013352,c33,c1923
d013353,c34,c1924
d013354,c35,c1925
d013355,c36,c1926
d013357,c38,c1928
d013358,c39,c1929
d013359,c40,c1930
d013360,c22,c378
d013361,c23,c379
d013362,c24,c380
d013363,c26,c381
d013364,c27,c382
d013365,c30,c383
d013366,c31,c384
d013367,c32,c385
d013368,c33,c387
d013369,c34,c388
d013370,c35,c389
d013371,c36,c390
d013373,c38,c392
d013374,c39,c393
d013375,c40,c394
d013376,c22,c896
d013377,c23,c897
d013378,c24,c898
d013379,c26,c899
d013380,c27,c900
d013381,c30,c901
d013382,c31,c902
d013383,c32,c903
d013384,c33,c905
d013385,c34,c906
d013386,c35,c907
d013387,c36,c908
d013389,c38,c910
d013390,c39,c911
d013391,c40,c912
d013392,c22,c1414
d013393,c23,c1415
d013394,c24,c1416
d013395,c26,c1417
d013396,c27,c1418
d013397,c30,c1419
d013398,c31,c1420
d013399,c32,c1421
d013400,c33,c1423
d013401,c34,c1424
d013402,c35,c1425
d013403,c36,c1426
d013405,c38,c1428
d013406,c39,c1429
d013407,c40,c1430
d013408,c22,c1932
d013409,c23,c1933
d013410,c24,c1934
d013411,c26,c1935
d013412,c27,c1936
d013413,c30,c1937
d013414,c31,c1938
d013415,c32,c1939
d013416,c33,c1941
d013417,c34,c1942
d013418,c35,c1943
d013419,c36,c1944
d013421,c38,c1946
d013422,c39,c1947
d013423,c40,c1948
d013424,c22,c396
d013425,c23,c397
d013426,c24,c398
d013427,c26,c399
d013428,c27,c400
d013429,c30,c401
d013430,c31,c402
d013431,c32,c403
d013432,c33,c405
d013433,c34,c406
d013434,c35,c407
d013435,c36,c408
d013437,c38,c410
d013438,c39,c411
d013439,c40,c412
d013440,c22,c914
d013441,c23,c915
d013442,c24,c916
d013443,c26,c917
d013444,c27,c918
d013445,c30,c919
d013446,c31,c920
d013447,c32,c921
d013448,c33,c923
d013449,c34,c924
d013450,c35,c925
d013451,c36,c926
d013453,c38,c928
d013454,c39,c929
d013455,c40,c930
d013456,c22,c1432
d013457,c23,c1433
d013458,c24,c1434
d013459,c26,c1435
d013460,c27,c1436
d013461,c30,c1437
d013462,c31,c1438
d013463,c32,c1439
d013464,c33,c1441
d013465,c34,c1442
d013466,c35,c1443
d013467,c36,c1444
d013469,c38,c1446
d013470,c39,c1447
d013471,c40,c1448
d013472,c22,c1950
d013473,c23,c1951
d013474,c24,c1952
d013475,c26,c1953
d013476,c27,c1954
d013477,c30,c1955
d013478,c31,c1956
d013479,c32,c1957
d013480,c33,c1959
d013481,c34,c1960
d013482,c35,c1961
d013483,c36,c1962
d013485,c38,c1964
d013486,c39,c1965
d013487,c40,c1966
d013488,c22,c414
d013489,c23,c415
d013490,c24,c416
d013491,c25,c417
d013492,c26,c418
d013493,c27,c419
d013494,c31,c420
d013495,c32,c421
d013496,c33,c423
d013497,c34,c424
d013498,c35,c425
d013499,c36,c426
d013501,c38,c428
d013502,c39,c429
d013503,c40,c430
d013504,c22,c932
d013505,c23,c933
d013506,c24,c934
d013507,c25,c935
d013508,c26,c936
d013509,c27,c937
d013510,c31,c938
d013511,c32,c939
d013512,c33,c941
d013513,c34,c942
d013514,c35,c943
d013515,c36,c944
d013517,c38,c946
d013518,c39,c947
d013519,c40,c948
d013520,c22,c1450
d013521,c23,c1451
d013522,c24,c1452
d013523,c25,c1453
d013524,c26,c1454
d013525,c27,c1455
d013526,c31,c1456
d013527,c32,c1457
d013528,c33,c1459
d013529,c34,c1460
d013530,c35,c1461
d013531,c36,c1462
d013533,c38,c1464
d013534,c39,c1465
d013535,c40,c1466
d013536,c22,c1968
d013537,c23,c1969
d013538,c24,c1970
d013539,c25,c1971
d013540,c26,c1972
d013541,c27,c1973
d013542,c31,c1974
d013543,c32,c1975
d013544,c33,c1977
d013545,c34,c1978
d013546,c35,c1979
d013547,c36,c1980
d013549,c38,c1982
d013550,c39,c1983
d013551,c40,c1984
d013552,c22,c432
d013553,c23,c433
d013554,c24,c434
d013555,c25,c435
d013556,c26,c436
d013557,c27,c437
d013558,c31,c438
d013559,c32,c439
d013560,c33,c441
d013561,c34,c442
d013562,c35,c443
d013563,c36,c444
d013565,c38,c446
d013566,c39,c447
d013567,c40,c448
d013568,c22,c950
d013569,c23,c951
d013570,c24,c952
d013571,c25,c953
d013572,c26,c954
d013573,c27,c955
d013574,c31,c956
d013575,c32,c957
d013576,c33,c959
d013577,c34,c960
d013578,c35,c961
d013579,c36,c962
d013581,c38,c964
d013582,c39,c965
d013583,c40,c966
d013584,c22,c1468
d013585,c23,c1469
d013586,c24,c1470
d013587,c25,c1471
d013588,c26,c1472
d013589,c27,c1473
d013590,c31,c1474
d013591,c32,c1475
d013592,c33,c1477
d013593,c34,c1478
d013594,c35,c1479
d013595,c36,c1480
d013597,c38,c1482
d013598,c39,c1483
d013599,c40,c1484
d013600,c22,c1986
d013601,c23,c1987
d013602,c24,c1988
d013603,c25,c1989
d013604,c26,c1990
d013605,c27,c1991
d013606,c31,c1992
d013607,c32,c1993
d013608,c33,c1995
d013609,c34,c1996
d013610,c35,c1997
d013611,c36,c1998
d013613,c38,c2000
d013614,c39,c2001
d013615,c40,c2002
d013616,c22,c450
d013617,c23,c451
d013618,c24,c452
d013619,c25,c453
d013620,c26,c454
d013621,c27,c455
d013622,c31,c456
d013623,c32,c457
d013624,c33,c459
d013625,c34,c460
d013626,c35,c461
d013627,c36,c462
d013629,c38,c464
d013630,c39,c465
d013631,c40,c466
d013632,c22,c968
d013633,c23,c969
d013634,c24,c970
d013635,c25,c971
d013636,c26,c972
d013637,c27,c973
d013638,c31,c974
d013639,c32,c975
d013640,c33,c977
d013641,c34,c978
d013642,c35,c979
d013643,c36,c980
d013645,c38,c982
d013646,c39,c983
d013647,c40,c984
d013648,c22,c1486
d013649,c23,c1487
d013650,c24,c1488
d013651,c25,c1489
d013652,c26,c1490
d013653,c27,c1491
d013654,c31,c1492
d013655,c32,c1493
d013656,c33,c1495
d013657,c34,c1496
d013658,c35,c1497
d013659,c36,c1498
d013661,c38,c1500
d013662,c39,c1501
d013663,c40,c1502
d013664,c22,c2004
d013665,c23,c2005
d013666,c24,c2006
d013667,c25,c2007
d013668,c26,c2008
d013669,c27,c2009
d013670,c31,c2010
d013671,c32,c2011
d013672,c33,c2013
d013673,c34,c2014
d013674,c35,c2015
d013675,c36,c2016
d013677,c38,c2018
d013678,c39,c2019
d013679,c40,c2020
d013680,c22,c468
d013681,c23,c469
d013682,c24,c470
d013683,c25,c471
d013684,c26,c472
d013685,c27,c473
d013686,c28,c474
d013687,c32,c475
d013688,c33,c477
d013689,c34,c478
d013690,c35,c479
d013691,c36,c480
d013693,c38,c482
d013694,c39,c483
d013695,c40,c484
d013696,c22,c986
d013697,c23,c987
d013698,c24,c988
d013699,c25,c989
d013700,c26,c990
d013701,c27,c991
d013702,c28,c992
d013703,c32,c993
d013704,c33,c995
d013705,c34,c996
d013706,c35,c997
d013707,c36,c998
d013709,c38,c1000
d013710,c39,c1001
d013711,c40,c1002
d013712,c22,c1504
d013713,c23,c1505
d013714,c24,c1506
d013715,c25,c1507
d013716,c26,c1508
d013717,c27,c1509
d013718,c28,c1510
d013719,c32,c1511
d013720,c33,c1513
d013721,c34,c1514
d013722,c35,c1515
d013723,c36,c1516
d013725,c38,c1518
d013726,c39,c1519
d013727,c40,c1520
d013728,c22,c2022
d013729,c23,c2023
d013730,c24,c2024
d013731,c25,c2025
d013732,c26,c2026
d013733,c27,c2027
d013734,c28,c2028
d013735,c32,c2029
d013736,c33,c2031
d013737,c34,c2032
d013738,c35,c2033
d013739,c36,c2034
d013741,c38,c2036
d013742,c39,c2037
d013743,c40,c2038
d013744,c22,c486
d013745,c23,c487
d013746,c24,c488
d013747,c25,c489
d013748,c26,c490
d013749,c27,c491
d013750,c28,c492
d013751,c32,c493
d013752,c33,c495
d013753,c34,c496
d013754,c35,c497
d013755,c36,c498
d013757,c38,c500
d013758,c39,c501
d013759,c40,c502
d013760,c22,c1004
d013761,c23,c1005
d013762,c24,c1006
d013763,c25,c1007
d013764,c26,c1008
d013765,c27,c1009
d013766,c28,c1010
d013767,c32,c1011
d013768,c33,c1013
d013769,c34,c1014
d013770,c35,c1015
d013771,c36,c1016
d013773,c38,c1018
d013774,c39,c1019
d013775,c40,c1020
d013776,c22,c1522
d013777,c23,c1523
d013778,c24,c1524
d013779,c25,c1525
d013780,c26,c1526
d013781,c27,c1527
d013782,c28,c1528
d013783,c32,c1529
d013784,c33,c1531
d013785,c34,c1532
d013786,c35,c1533
d013787,c36,c1534
d013789,c38,c1536
d013790,c39,c1537
d013791,c40,c1538
d013792,c22,c2040
d013793,c23,c2041
d013794,c24,c2042
d013795,c25,c2043
d013796,c26,c2044
d013797,c27,c2045
d013798,c28,c2046
d013799,c32,c2047
d013800,c33,c2049
d013801,c34,c2050
d013802,c35,c2051
d013803,c36,c2052
d013805,c38,c2054
d013806,c39,c2055
d013807,c40,c2056
d013808,c22,c504
d013809,c23,c505
d013810,c24,c506
d013811,c25,c507
d013812,c26,c508
d013813,c27,c509
d013814,c28,c510
d013815,c32,c511
d013816,c33,c513
d013817,c34,c514
d013818,c35,c515
d013819,c36,c516
d013821,c38,c518
d013822,c39,c519
d013823,c40,c520
d013824,c22,c1022
d013825,c23,c1023
d013826,c24,c1024
d013827,c25,c1025
d013828,c26,c1026
d013829,c27,c1027
d013830,c28,c1028
d013831,c32,c1029
d013832,c33,c1031
d013833,c34,c1032
d013834,c35,c1033
d013835,c36,c1034
d013837,c38,c1036
d013838,c39,c1037
d013839,c40,c1038
d013840,c22,c1540
d013841,c23,c1541
d013842,c24,c1542
d013843,c25,c1543
d013844,c26,c1544
d013845,c27,c1545
d013846,c28,c1546
d013847,c32,c1547
d013848,c33,c1549
d013849,c34,c1550
d013850,c35,c1551
d013851,c36,c1552
d013853,c38,c1554
d013854,c39,c1555
d013855,c40,c1556
d013856,c22,c2058
d013857,c23,c2059
d013858,c24,c2060
d013859,c25,c2061
d013860,c26,c2062
d013861,c27,c2063
d013862,c28,c2064
d013863,c32,c2065
d013864,c33,c2067
d013865,c34,c2068
d013866,c35,c2069
d013867,c36,c2070
d013869,c38,c2072
d013870,c39,c2073
d013871,c40,c2074
d013872,c22,c522
d013873,c23,c523
d013874,c24,c524
d013875,c25,c525
d013876,c26,c526
d013877,c27,c527
d013878,c28,c528
d013879,c32,c529
d013880,c33,c531
d013881,c34,c532
d013882,c35,c533
d013883,c36,c534
d013885,c38,c536
d013886,c39,c537
d013887,c40,c538
d013888,c22,c1040
d013889,c23,c1041
d013890,c24,c1042
d013891,c25,c1043
d013892,c26,c1044
d013893,c27,c1045
d013894,c28,c1046
d013895,c32,c1047
d013896,c33,c1049
d013897,c34,c1050
d013898,c35,c1051
d013899,c36,c1052
d013901,c38,c1054
d013902,c39,c1055
d013903,c40,c1056
d013904,c22,c1558
d013905,c23,c1559
d013906,c24,c1560
d013907,c25,c1561
d013908,c26,c1562
d013909,c27,c1563
d013910,c28,c1564
d013911,c32,c1565
d013912,c33,c1567
d013913,c34,c1568
d013914,c35,c1569
d013915,c36,c1570
d013917,c38,c1572
d013918,c39,c1573
d013919,c40,c1574
d013920,c22,c2076
d013921,c23,c2077
d013922,c24,c2078
d013923,c25,c2079
d013924,c26,c2080
d013925,c27,c2081
d013926,c28,c2082
d013927,c32,c2083
d013928,c33,c2085
d013929,c34,c2086
d013930,c35,c2087
d013931,c36,c2088
d013933,c38,c2090
d013934,c39,c2091
d013935,c40,c2092
d013952,c37,c3214
d013957,c23,c79
d013958,c24,c80
d013959,c25,c81
d013960,c26,c82
d013961,c27,c83
d013962,c28,c84
d013963,c29,c85
d013964,c30,c86
d013965,c31,c87
d013966,c32,c88
d013967,c33,c90
d013968,c34,c91
d013969,c35,c92
d013970,c36,c93
d013972,c38,c95
d013973,c39,c96
d013974,c40,c97
d013975,c23,c597
d013976,c24,c598
d013977,c25,c599
d013978,c26,c600
d013979,c27,c601
d013980,c28,c602
d013981,c29,c603
d013982,c30,c604
d013983,c31,c605
d013984,c32,c606
d013985,c33,c608
d013986,c34,c609
d013987,c35,c610
d013988,c36,c611
d013990,c38,c613
d013991,c39,c614
d013992,c40,c615
d013993,c23,c1115
d013994,c24,c1116
d013995,c25,c1117
d013996,c26,c1118
d013997,c27,c1119
d013998,c28,c1120
d013999,c29,c1121
d014000,c30,c1122
d014001,c31,c1123
d014002,c32,c1124
d014003,c33,c1126
d014004,c34,c1127
d014005,c35,c1128
d014006,c36,c1129
d014008,c38,c1131
d014009,c39,c1132
d014010,c40,c1133
d014011,c23,c1633
d014012,c24,c1634
d014013,c25,c1635
d014014,c26,c1636
d014015,c27,c1637
d014016,c28,c1638
d014017,c29,c1639
d014018,c30,c1640
d014019,c31,c1641
d014020,c32,c1642
d014021,c33,c1644
d014022,c34,c1645
d014023,c35,c1646
d014024,c36,c1647
d014026,c38,c1649
d014027,c39,c1650
d014028,c40,c1651
d014029,c23,c98
d014030,c24,c99
d014031,c25,c100
d014032,c26,c101
d014033,c27,c102
d014034,c28,c103
d014035,c29,c104
d014036,c30,c105
d014037,c31,c106
d014038,c32,c107
d014039,c33,c109
d014040,c34,c110
d014041,c35,c111
d014042,c36,c112
d014044,c38,c114
d014045,c39,c115
d014046,c40,c116
d014047,c23,c616
d014048,c24,c617
d014049,c25,c618
d014050,c26,c619
d014051,c27,c620
d014052,c28,c621
d014053,c29,c622
d014054,c30,c623
d014055,c31,c624
d014056,c32,c625
d014057,c33,c627
d014058,c34,c628
d014059,c35,c629
d014060,c36,c630
d014062,c38,c632
d014063,c39,c633
d014064,c40,c634
d014065,c23,c1134
d014066,c24,c1135
d014067,c25,c1136
d014068,c26,c1137
d014069,c27,c1138
d014070,c28,c1139
d014071,c29,c1140
d014072,c30,c1141
d014073,c31,c1142
d014074,c32,c1143
d014075,c33,c1145
d014076,c34,c1146
d014077,c35,c1147
d014078,c36,c1148
d014080,c38,c1150
d014081,c39,c1151
d014082,c40,c1152
d014083,c23,c1652
d014084,c24,c1653
d014085,c25,c1654
d014086,c26,c1655
d014087,c27,c1656
d014088,c28,c1657
d014089,c29,c1658
d014090,c30,c1659
d014091,c31,c1660
d014092,c32,c1661
d014093,c33,c1663
d014094,c34,c1664
d014095,c35,c1665
d014096,c36,c1666
d014098,c38,c1668
d014099,c39,c1669
d014100,c40,c1670
d014101,c23,c117
d014102,c24,c118
d014103,c25,c119
d014104,c26,c120
d014105,c27,c121
d014106,c28,c122
d014107,c29,c123
d014108,c30,c124
d014109,c31,c125
d014110,c32,c126
d014111,c33,c128
d014112,c34,c129
d014113,c35,c130
d014114,c36,c131
d014116,c38,c133
d014117,c39,c134
d014118,c23,c635
d014119,c24,c636
d014120,c25,c637
d014121,c26,c638
d014122,c27,c639
d014123,c28,c640
d014124,c29,c641
d014125,c30,c642
d014126,c31,c643
d014127,c32,c644
d014128,c33,c646
d014129,c34,c647
d014130,c35,c648
d014131,c36,c649
d014133,c38,c651
d014134,c39,c652
d014135,c23,c1153
d014136,c24,c1154
d014137,c25,c1155
d014138,c26,c1156
d014139,c27,c1157
d014140,c28,c1158
d014141,c29,c1159
d014142,c30,c1160
d014143,c31,c1161
d014144,c32,c1162
d014145,c33,c1164
d014146,c34,c1165
d014147,c35,c1166
d014148,c36,c1167
d014150,c38,c1169
d014151,c39,c1170
d014152,c23,c1671
d014153,c24,c1672
d014154,c25,c1673
d014155,c26,c1674
d014156,c27,c1675
d014157,c28,c1676
d014158,c29,c1677
d014159,c30,c1678
d014160,c31,c1679
d014161,c32,c1680
d014162,c33,c1682
d014163,c34,c1683
d014164,c35,c1684
d014165,c36,c1685
d014167,c38,c1687
d014168,c39,c1688
d014169,c23,c136
d014170,c24,c137
d014171,c25,c138
d014172,c26,c139
d014173,c27,c140
