Input_Variable_ID,Output_Variable_ID,Yield_Ratio
C0010,C0137,0.8
C0027,C0131,0.8
C0027,C0134,0.8
C0027,C0137,0.8
C0044,C0131,0.8
C0044,C0134,0.8
C0044,C0137,0.8
C0061,C0131,0.8
C0061,C0134,0.8
C0061,C0137,0.8
C0078,C0131,0.8
C0078,C0134,0.8
C0078,C0137,0.8
C0095,C0131,0.8
C0095,C0134,0.8
C0095,C0137,0.8
C0011,C0132,0.2
C0011,C0135,0.2
C0011,C0138,0.2
C0028,C0132,0.2
C0028,C0135,0.2
C0028,C0138,0.2
C0045,C0132,0.2
C0045,C0135,0.2
C0045,C0138,0.2
C0062,C0132,0.2
C0062,C0135,0.2
C0062,C0138,0.2
C0079,C0132,0.2
C0079,C0135,0.2
C0079,C0138,0.2
C0096,C0132,0.2
C0096,C0135,0.2
C0096,C0138,0.2
C0012,C0139,1.0
C0012,C0142,1.0
C0012,C0145,1.0
C0029,C0139,1.0
C0029,C0142,1.0
C0029,C0145,1.0
C0046,C0139,1.0
C0046,C0142,1.0
C0046,C0145,1.0
C0063,C0139,1.0
C0063,C0142,1.0
C0063,C0145,1.0
C0080,C0139,1.0
C0080,C0142,1.0
C0080,C0145,1.0
C0097,C0139,1.0
C0097,C0142,1.0
C0097,C0145,1.0
C0013,C0140,0.8
C0013,C0143,0.8
C0013,C0146,0.8
C0030,C0140,0.8
C0030,C0143,0.8
C0030,C0146,0.8
C0047,C0140,0.8
C0047,C0143,0.8
C0047,C0146,0.8
C0064,C0140,0.8
C0064,C0143,0.8
C0064,C0146,0.8
C0081,C0140,0.8
C0081,C0143,0.8
C0081,C0146,0.8
C0098,C0140,0.8
C0098,C0143,0.8
C0098,C0146,0.8
C0014,C0141,0.2
C0014,C0144,0.2
C0014,C0147,0.2
C0031,C0141,0.2
C0031,C0144,0.2
C0031,C0147,0.2
C0048,C0141,0.2
C0048,C0144,0.2
C0048,C0147,0.2
C0065,C0141,0.2
C0065,C0144,0.2
C0065,C0147,0.2
C0082,C0141,0.2
C0082,C0144,0.2
C0082,C0147,0.2
C0099,C0141,0.2
C0099,C0144,0.2
C0099,C0147,0.2
C0015,C0148,1.0
C0015,C0151,1.0
C0015,C0154,1.0
C0032,C0148,1.0
C0032,C0151,1.0
C0032,C0154,1.0
C0049,C0148,1.0
C0049,C0151,1.0
C0049,C0154,1.0
C0066,C0148,1.0
C0066,C0151,1.0
C0066,C0154,1.0
C0083,C0148,1.0
C0083,C0151,1.0
C0083,C0154,1.0
C0100,C0148,1.0
C0100,C0151,1.0
C0100,C0154,1.0
C0016,C0149,0.8
C0016,C0152,0.8
C0016,C0155,0.8
C0033,C0149,0.8
C0033,C0152,0.8
C0033,C0155,0.8
C0050,C0149,0.8
C0050,C0152,0.8
C0050,C0155,0.8
C0067,C0149,0.8
C0067,C0152,0.8
C0067,C0155,0.8
C0084,C0149,0.8
C0084,C0152,0.8
C0084,C0155,0.8
C0101,C0149,0.8
C0101,C0152,0.8
C0101,C0155,0.8
C0017,C0150,0.2
C0017,C0153,0.2
C0017,C0156,0.2
C0034,C0150,0.2
C0034,C0153,0.2
C0034,C0156,0.2
C0051,C0150,0.2
C0051,C0153,0.2
C0051,C0156,0.2
C0068,C0150,0.2
C0068,C0153,0.2
C0068,C0156,0.2
C0085,C0150,0.2
C0085,C0153,0.2
C0085,C0156,0.2
C0102,C0150,0.2
C0102,C0153,0.2
C0102,C0156,0.2
