product_id,period,production_cost,setup_cost,holding_cost,backlog_cost
2,47,5.0,5000.0,5.0,6.0
2,48,3.0,2000.0,4.0,1.0
2,49,4.0,2500.0,5.0,1.0
2,50,8.0,2500.0,0.0,0.0
3,1,4.0,1000.0,2.0,1.0
3,2,8.0,4000.0,1.0,6.0
3,3,6.0,2500.0,1.0,1.0
3,4,2.0,4000.0,1.0,1.0
3,5,7.0,1500.0,1.0,6.0
3,6,5.0,500.0,2.0,1.0
3,7,9.0,500.0,4.0,1.0
3,8,4.0,3000.0,2.0,1.0
3,9,9.0,3500.0,1.0,1.0
3,10,2.0,2000.0,3.0,1.0
3,11,4.0,4500.0,5.0,1.0
3,12,6.0,5000.0,3.0,6.0
3,13,7.0,2500.0,5.0,6.0
3,14,1.0,1000.0,3.0,6.0
3,15,5.0,500.0,1.0,6.0
3,16,3.0,4000.0,4.0,6.0
3,17,2.0,5000.0,5.0,1.0
3,18,6.0,4500.0,3.0,1.0
3,19,6.0,3500.0,3.0,1.0
3,20,8.0,2000.0,5.0,6.0
3,21,1.0,1500.0,3.0,6.0
3,22,4.0,4500.0,5.0,6.0
3,23,3.0,5000.0,5.0,1.0
3,24,4.0,1500.0,5.0,6.0
3,25,6.0,4000.0,2.0,6.0
3,26,8.0,500.0,1.0,1.0
3,27,6.0,1500.0,1.0,6.0
3,28,10.0,2500.0,4.0,1.0
3,29,9.0,1500.0,2.0,1.0
3,30,6.0,1500.0,2.0,6.0
3,31,5.0,4000.0,5.0,6.0
3,32,3.0,4000.0,1.0,6.0
3,33,9.0,5000.0,3.0,1.0
3,34,6.0,2000.0,2.0,1.0
3,35,8.0,2000.0,2.0,6.0
3,36,8.0,4000.0,1.0,6.0
3,37,8.0,1500.0,3.0,6.0
3,38,7.0,1000.0,1.0,6.0
3,39,2.0,1000.0,4.0,1.0
3,40,7.0,5000.0,1.0,6.0
3,41,9.0,3000.0,5.0,1.0
3,42,10.0,3500.0,5.0,1.0
3,43,1.0,1000.0,2.0,6.0
3,44,1.0,4500.0,1.0,6.0
3,45,4.0,3000.0,3.0,6.0
3,46,4.0,4000.0,2.0,6.0
3,47,4.0,3000.0,3.0,1.0
3,48,5.0,2000.0,4.0,1.0
3,49,7.0,1000.0,3.0,6.0
3,50,8.0,2000.0,0.0,0.0
4,1,9.0,4500.0,2.0,1.0
4,2,9.0,2500.0,2.0,1.0
4,3,4.0,500.0,4.0,1.0
4,4,2.0,2000.0,5.0,1.0
4,5,4.0,3500.0,4.0,6.0
4,6,1.0,2500.0,4.0,6.0
4,7,8.0,5000.0,5.0,6.0
4,8,3.0,2000.0,1.0,6.0
4,9,5.0,2000.0,5.0,6.0
4,10,4.0,3500.0,3.0,6.0
4,11,3.0,500.0,1.0,6.0
4,12,1.0,3000.0,3.0,1.0
4,13,10.0,1500.0,1.0,1.0
4,14,4.0,5000.0,3.0,6.0
4,15,5.0,3000.0,2.0,6.0
4,16,3.0,2000.0,4.0,6.0
4,17,6.0,500.0,5.0,6.0
4,18,10.0,4500.0,3.0,1.0
4,19,1.0,1500.0,3.0,1.0
4,20,5.0,3500.0,4.0,1.0
4,21,9.0,2500.0,2.0,1.0
4,22,3.0,4000.0,3.0,6.0
4,23,4.0,2500.0,5.0,1.0
4,24,4.0,5000.0,1.0,6.0
4,25,10.0,3500.0,4.0,1.0
4,26,9.0,1000.0,3.0,1.0
4,27,9.0,4500.0,4.0,1.0
4,28,8.0,500.0,5.0,6.0
4,29,1.0,1500.0,2.0,1.0
4,30,2.0,3000.0,2.0,1.0
4,31,9.0,2500.0,2.0,6.0
4,32,1.0,3000.0,2.0,1.0
4,33,5.0,5000.0,4.0,6.0
4,34,7.0,4000.0,5.0,6.0
4,35,2.0,500.0,5.0,1.0
4,36,4.0,1000.0,4.0,1.0
4,37,5.0,4000.0,3.0,6.0
4,38,9.0,5000.0,5.0,6.0
4,39,2.0,1000.0,3.0,6.0
4,40,2.0,500.0,3.0,6.0
4,41,10.0,5000.0,2.0,6.0
4,42,4.0,500.0,2.0,6.0
4,43,8.0,500.0,1.0,6.0
4,44,1.0,5000.0,3.0,6.0
4,45,4.0,1000.0,4.0,1.0
4,46,5.0,2000.0,1.0,1.0
4,47,8.0,3500.0,3.0,1.0
4,48,1.0,1500.0,2.0,1.0
4,49,8.0,3500.0,3.0,1.0
4,50,2.0,4500.0,0.0,0.0
5,1,9.0,1000.0,5.0,6.0
5,2,5.0,4500.0,1.0,1.0
5,3,5.0,4500.0,4.0,6.0
5,4,6.0,3000.0,3.0,1.0
5,5,1.0,5000.0,2.0,6.0
5,6,8.0,5000.0,3.0,1.0
5,7,8.0,2000.0,3.0,6.0
5,8,1.0,500.0,3.0,1.0
5,9,5.0,500.0,4.0,1.0
5,10,7.0,5000.0,4.0,1.0
5,11,4.0,1000.0,3.0,6.0
5,12,10.0,4500.0,4.0,6.0
5,13,7.0,2000.0,4.0,1.0
5,14,8.0,2500.0,4.0,6.0
5,15,7.0,5000.0,3.0,1.0
5,16,6.0,2500.0,3.0,1.0
5,17,3.0,1000.0,4.0,1.0
5,18,3.0,4500.0,4.0,1.0
5,19,1.0,5000.0,3.0,6.0
5,20,5.0,1500.0,3.0,6.0
5,21,10.0,1000.0,1.0,1.0
5,22,2.0,4500.0,2.0,6.0
5,23,7.0,2000.0,3.0,1.0
5,24,9.0,1500.0,4.0,6.0
5,25,5.0,3500.0,4.0,6.0
5,26,2.0,5000.0,5.0,1.0
5,27,1.0,2000.0,5.0,6.0
5,28,9.0,4500.0,4.0,1.0
5,29,9.0,4000.0,3.0,6.0
5,30,3.0,2500.0,3.0,1.0
5,31,9.0,5000.0,5.0,6.0
5,32,9.0,500.0,5.0,1.0
5,33,2.0,1500.0,1.0,6.0
5,34,2.0,2000.0,4.0,1.0
5,35,3.0,4000.0,1.0,1.0
5,36,6.0,2000.0,1.0,6.0
5,37,1.0,4500.0,3.0,1.0
5,38,4.0,3500.0,4.0,1.0
5,39,2.0,2000.0,4.0,1.0
5,40,1.0,4000.0,3.0,6.0
5,41,1.0,2500.0,3.0,6.0
5,42,8.0,1500.0,4.0,1.0
5,43,8.0,4000.0,4.0,1.0
5,44,1.0,4000.0,4.0,6.0
5,45,5.0,1500.0,5.0,1.0
5,46,3.0,1500.0,4.0,1.0
5,47,5.0,500.0,5.0,6.0
5,48,5.0,3000.0,3.0,6.0
5,49,6.0,4000.0,3.0,1.0
5,50,9.0,4000.0,0.0,0.0
