Task_ID,1,2,3,4,5,6,7,8,9,10
24,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
25,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
26,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
27,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
28,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
29,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
30,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
31,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
32,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
33,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
34,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
35,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
36,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
37,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
38,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
39,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
40,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
41,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
42,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
43,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
44,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
45,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
46,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
47,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
48,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
49,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
50,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
51,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
52,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
53,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
54,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
55,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
56,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
57,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
58,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
59,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
60,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
61,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
62,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
63,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
64,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
65,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
66,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
67,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
68,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
69,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
70,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
71,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
72,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
73,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
74,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
75,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
76,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
77,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
78,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
79,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
80,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
81,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
82,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
83,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
84,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
85,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
86,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
87,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
88,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
89,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
90,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
91,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
92,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
93,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
94,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
95,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
96,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
97,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
98,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
99,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
100,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
101,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
102,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
103,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
104,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
105,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
106,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
107,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
108,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
109,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
110,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
111,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
112,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
113,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
