code_type,code,location_id,wave_id
HUB,H8112538,176,
HUB,H3299803,177,
HUB,H7812754,178,
HUB,H7462287,179,
HUB,H5939590,180,
HUB,H0498462,181,
HUB,H7867297,182,
HUB,H5489303,183,
HUB,H6105270,184,
HUB,H7051804,185,
HUB,H3638702,186,
HUB,H4142838,187,
HUB,H3223520,188,
HUB,H2890984,189,
HUB,H5719547,190,
HUB,H3035187,191,
HUB,H9791519,192,
HUB,H4820220,193,
HUB,H7685466,194,
HUB,H3192281,195,
HUB,H1359797,196,
HUB,H3865638,197,
HUB,H6240202,198,
HUB,H9460882,199,
HUB,H6511464,200,
HUB,H3639120,201,
HUB,H9730171,202,
HUB,H4931571,203,
HUB,H5518686,204,
HUB,H4623052,205,
HUB,H8712634,206,
HUB,H0829073,207,
HUB,H6299223,208,
HUB,H1181656,209,
HUB,H6301721,210,
HUB,H7022520,211,
HUB,H7473134,212,
HUB,H8177698,213,
HUB,H3871661,214,
HUB,H5784744,215,
HUB,H6736238,216,
HUB,H2842584,217,
HUB,H0044187,218,
HUB,H0981114,219,
HUB,H4299978,220,
HUB,H2108240,221,
HUB,H8108734,222,
HUB,H9094289,223,
HUB,H7470068,224,
HUB,H3167625,225,
HUB,H0636912,226,
HUB,H3310243,227,
HUB,H9079940,228,
HUB,H8937969,229,
HUB,H4482614,230,
HUB,H9956961,231,
HUB,H5211687,232,
HUB,H5981170,233,
HUB,H8315787,234,
HUB,H7002950,235,
HUB,H3116908,236,
HUB,H7997078,237,
HUB,H2445826,238,
HUB,H7576030,239,
HUB,H0045042,240,
HUB,H1638471,241,
HUB,H9233483,242,
HUB,H6919287,243,
HUB,H5931477,244,
HUB,H5354029,245,
HUB,H3194282,246,
HUB,H9168337,247,
HUB,H2727684,248,
HUB,H8588819,249,
HUB,H5483658,250,
HUB,H8313677,251,
HUB,H8925420,252,
HUB,H5415364,253,
HUB,H9369009,254,
HUB,H0799684,255,
HUB,H9880159,256,
HUB,H4501807,257,
HUB,H6050291,258,
HUB,H5643507,259,
HUB,H8624449,260,
HUB,H5048211,261,
HUB,H9250360,262,
HUB,H0453540,263,
HUB,H6663011,264,
HUB,H0417320,265,
HUB,H8580754,266,
HUB,H5227056,267,
HUB,H2120808,268,
HUB,H8997082,269,
HUB,H2032905,270,
HUB,H7250271,271,
HUB,H2838788,272,
HUB,H1139875,273,
HUB,H9505436,274,
HUB,H0798430,275,
HUB,H8324963,276,
HUB,H6454617,277,
HUB,H7568048,278,
HUB,H8270482,279,
HUB,H7580887,280,
HUB,H3253012,281,
HUB,H8607476,282,
HUB,H8701987,283,
HUB,H0796059,284,
HUB,H3865237,285,
HUB,H7243082,286,
HUB,H9278343,287,
HUB,H3419290,288,
HUB,H4488024,289,
HUB,H2385652,290,
HUB,H7405925,291,
HUB,H3241509,292,
HUB,H4661483,293,
HUB,H2370202,294,
HUB,H0495109,295,
WAVE,W0,,0
WAVE,W1,,1
WAVE,W2,,2
WAVE,W3,,3
WAVE,W4,,4
WAVE,W5,,5
WAVE,W6,,6
