option_id,unit_id,dest_location_id,wave_id
opt_00234,205,21,5
opt_00235,151,175,3
opt_00236,170,172,1
opt_00237,125,144,3
opt_00238,91,111,3
opt_00239,88,94,2
opt_00240,201,0,1
opt_00241,10,39,6
opt_00242,49,75,6
opt_00243,173,176,2
opt_00244,170,165,1
opt_00245,156,183,5
opt_00246,122,142,3
opt_00247,128,122,0
opt_00248,191,222,5
opt_00249,33,53,2
opt_00250,189,200,1
opt_00251,116,126,2
opt_00252,119,145,5
opt_00253,142,156,0
opt_00254,236,234,3
opt_00255,55,70,2
opt_00256,157,184,5
opt_00257,175,197,5
opt_00258,133,155,5
opt_00259,218,9,3
opt_00260,99,115,0
opt_00261,264,258,2
opt_00262,17,7,1
opt_00263,234,237,2
opt_00264,123,138,4
opt_00265,82,80,0
opt_00266,78,110,5
opt_00267,136,152,3
opt_00268,172,191,3
opt_00269,205,21,5
opt_00270,126,125,1
opt_00271,179,199,5
opt_00272,58,67,5
opt_00273,117,123,1
opt_00274,204,216,3
opt_00275,144,163,1
opt_00276,48,70,2
opt_00277,275,287,3
opt_00278,82,80,0
opt_00279,132,135,2
opt_00280,105,143,5
opt_00281,266,265,6
opt_00282,38,45,3
opt_00283,126,128,1
opt_00284,258,262,2
opt_00285,14,20,2
opt_00286,218,14,3
opt_00287,165,179,3
opt_00288,78,110,5
opt_00289,153,161,0
opt_00290,131,132,2
opt_00291,57,69,3
opt_00292,138,159,5
opt_00293,220,4,0
opt_00294,145,170,0
opt_00295,143,137,2
opt_00296,136,154,3
opt_00297,84,87,1
opt_00298,259,259,3
opt_00299,86,114,5
opt_00300,66,83,5
opt_00301,89,100,3
opt_00302,160,166,1
opt_00303,140,159,5
opt_00304,57,54,3
opt_00305,156,184,5
opt_00306,84,87,1
opt_00307,240,241,2
opt_00308,30,42,1
opt_00309,228,244,5
opt_00310,19,22,2
opt_00311,158,187,5
opt_00312,284,293,6
opt_00313,100,114,5
opt_00314,97,88,1
opt_00315,223,4,0
opt_00316,41,57,2
opt_00317,102,104,2
opt_00318,107,150,6
opt_00319,165,180,3
opt_00320,111,124,1
opt_00321,228,245,5
opt_00322,252,256,2
opt_00323,124,127,2
opt_00324,11,5,1
opt_00325,90,111,3
opt_00326,20,16,1
opt_00327,27,50,2
opt_00328,164,176,2
opt_00329,4,5,1
opt_00330,130,153,6
opt_00331,23,32,0
opt_00332,145,170,0
opt_00333,101,101,2
opt_00334,175,199,5
opt_00335,55,65,2
opt_00336,30,43,1
opt_00337,272,284,3
opt_00338,106,126,2
opt_00339,184,208,2
opt_00340,10,17,6
opt_00341,39,40,0
opt_00342,83,118,6
opt_00343,277,272,2
opt_00344,16,33,5
opt_00345,158,187,5
opt_00346,66,103,5
opt_00347,165,180,3
opt_00348,13,39,6
opt_00349,134,152,3
opt_00350,177,177,2
opt_00351,68,98,3
opt_00352,281,290,3
opt_00353,45,47,3
opt_00354,61,68,5
opt_00355,109,139,5
opt_00356,48,62,2
opt_00357,258,256,2
opt_00358,170,165,1
opt_00359,86,110,5
opt_00360,32,53,2
opt_00361,42,75,6
opt_00362,26,55,5
opt_00363,117,125,1
opt_00364,158,188,5
opt_00365,36,67,5
opt_00366,194,219,5
opt_00367,62,73,3
opt_00368,31,44,1
opt_00369,240,238,2
opt_00370,215,24,4
opt_00371,171,166,1
opt_00372,7,36,3
opt_00373,236,234,3
opt_00374,162,193,6
opt_00375,200,207,1
opt_00376,180,162,4
opt_00377,179,197,5
opt_00378,163,194,0
opt_00379,116,127,2
opt_00380,209,21,5
opt_00381,275,288,3
opt_00382,72,98,3
opt_00383,80,93,2
opt_00384,57,69,3
opt_00385,245,230,1
opt_00386,129,131,2
opt_00387,163,170,0
opt_00388,27,48,2
opt_00389,289,283,1
opt_00390,264,262,2
opt_00391,197,214,2
opt_00392,147,171,2
opt_00393,124,127,2
opt_00394,64,85,1
opt_00395,156,184,5
opt_00396,30,43,1
opt_00397,67,113,4
opt_00398,76,105,5
opt_00399,109,143,5
opt_00400,93,112,4
opt_00401,133,149,5
opt_00402,281,288,3
opt_00403,200,203,1
opt_00404,1,28,3
opt_00405,248,248,0
opt_00406,12,20,2
opt_00407,112,156,0
opt_00408,219,2,0
opt_00409,20,16,1
opt_00410,4,5,1
opt_00411,81,102,3
opt_00412,159,176,2
opt_00413,45,52,3
opt_00414,85,81,0
opt_00415,70,91,2
opt_00416,79,92,2
opt_00417,161,187,5
opt_00418,156,184,5
opt_00419,154,179,3
opt_00420,35,57,2
opt_00421,162,192,6
opt_00422,3,28,3
opt_00423,98,99,2
opt_00424,191,217,5
opt_00425,266,264,6
opt_00426,160,166,1
opt_00427,180,182,4
opt_00428,115,142,3
opt_00429,33,50,2
opt_00430,25,55,5
opt_00431,167,180,3
opt_00432,170,166,1
opt_00433,174,197,5
opt_00434,13,39,6
opt_00435,169,193,6
opt_00436,21,32,0
opt_00437,140,158,5
opt_00438,284,291,6
opt_00439,60,73,3
opt_00440,20,8,1
opt_00441,245,230,1
opt_00442,47,67,5
opt_00443,0,14,3
opt_00444,41,58,2
opt_00445,282,278,1
opt_00446,243,240,4
opt_00447,80,92,2
opt_00448,157,184,5
opt_00449,32,50,2
opt_00450,111,123,1
opt_00451,24,40,0
opt_00452,177,185,2
opt_00453,18,23,2
opt_00454,169,198,6
opt_00455,128,122,0
opt_00456,77,108,5
opt_00457,258,256,2
opt_00458,91,111,3
opt_00459,179,199,5
opt_00460,163,194,0
opt_00461,11,5,1
opt_00462,220,4,0
opt_00463,16,38,5
opt_00464,58,77,5
opt_00465,152,162,4
opt_00466,149,165,1
opt_00467,40,49,4
opt_00468,111,123,1
opt_00469,220,2,0
opt_00470,207,218,2
opt_00471,109,145,5
opt_00472,126,129,1
opt_00473,221,15,2
opt_00474,103,101,2
opt_00475,135,136,2
opt_00476,183,185,2
opt_00477,205,3,5
opt_00478,135,136,2
opt_00479,60,69,3
opt_00480,158,184,5
opt_00481,35,57,2
opt_00482,253,254,2
opt_00483,46,44,1
opt_00484,197,218,2
opt_00485,89,102,3
opt_00486,33,50,2
opt_00487,177,177,2
opt_00488,174,189,5
opt_00489,34,60,5
opt_00490,148,171,2
opt_00491,34,61,5
opt_00492,235,243,6
opt_00493,49,71,6
opt_00494,40,49,4
opt_00495,78,108,5
opt_00496,196,3,5
opt_00497,20,16,1
opt_00498,115,144,3
opt_00499,286,278,1
opt_00500,201,1,1
opt_00501,51,44,1
opt_00502,207,218,2
opt_00503,47,68,5
opt_00504,153,194,0
opt_00505,92,118,6
opt_00506,41,62,2
opt_00507,143,137,2
opt_00508,226,225,0
opt_00509,69,91,2
opt_00510,141,136,2
opt_00511,158,187,5
opt_00512,145,161,0
opt_00513,17,16,1
opt_00514,54,63,0
opt_00515,3,28,3
opt_00516,220,215,0
opt_00517,59,75,6
opt_00518,229,226,3
opt_00519,223,32,0
opt_00520,71,82,1
opt_00521,187,217,5
opt_00522,291,285,4
opt_00523,269,263,2
opt_00524,50,51,0
opt_00525,183,190,2
opt_00526,206,25,5
opt_00527,46,46,1
opt_00528,85,81,0
opt_00529,295,294,5
opt_00530,62,69,3
opt_00531,221,12,2
opt_00532,39,40,0
opt_00533,108,121,0
opt_00534,247,245,5
opt_00535,103,101,2
opt_00536,166,186,3
opt_00537,125,152,3
opt_00538,148,169,2
opt_00539,4,7,1
opt_00540,172,191,3
opt_00541,201,0,1
opt_00542,91,111,3
opt_00543,102,104,2
opt_00544,133,155,5
opt_00545,283,277,2
opt_00546,176,172,1
opt_00547,107,151,6
opt_00548,220,2,0
opt_00549,88,96,2
opt_00550,47,67,5
opt_00551,13,37,6
opt_00552,115,144,3
opt_00553,239,234,3
opt_00554,132,134,2
opt_00555,259,251,3
opt_00556,103,101,2
opt_00557,141,135,2
opt_00558,249,254,2
opt_00559,125,152,3
opt_00560,166,180,3
opt_00561,221,12,2
opt_00562,118,143,5
opt_00563,110,141,3
opt_00564,141,135,2
opt_00565,59,75,6
opt_00566,15,38,5
opt_00567,100,114,5
opt_00568,119,149,5
opt_00569,261,266,4
opt_00570,4,1,1
opt_00571,65,90,3
opt_00572,214,30,5
opt_00573,125,144,3
opt_00574,250,251,3
opt_00575,226,224,0
opt_00576,108,122,0
opt_00577,96,87,1
opt_00578,20,8,1
opt_00579,250,251,3
opt_00580,21,34,0
opt_00581,91,106,3
opt_00582,279,273,0
opt_00583,7,36,3
opt_00584,207,218,2
opt_00585,164,177,2
opt_00586,211,223,2
opt_00587,134,154,3
opt_00588,7,36,3
opt_00589,278,287,3
opt_00590,114,141,3
opt_00591,87,86,1
opt_00592,75,103,5
opt_00593,58,67,5
opt_00594,294,292,5
opt_00595,278,287,3
opt_00596,32,53,2
opt_00597,86,110,5
opt_00598,161,189,5
opt_00599,213,6,3
opt_00600,63,72,1
opt_00601,43,47,3
opt_00602,149,164,1
opt_00603,138,158,5
opt_00604,55,65,2
opt_00605,294,294,5
opt_00606,86,108,5
opt_00607,104,120,2
opt_00608,242,231,1
opt_00609,216,37,6
opt_00610,154,179,3
opt_00611,122,144,3
opt_00612,148,171,2
opt_00613,113,150,6
opt_00614,100,117,5
opt_00615,147,171,2
opt_00616,95,114,5
opt_00617,165,180,3
opt_00618,75,103,5
opt_00619,155,171,2
opt_00620,14,20,2
opt_00621,103,101,2
opt_00622,58,77,5
opt_00623,67,112,4
opt_00624,274,287,3
opt_00625,47,68,5
opt_00626,184,208,2
opt_00627,150,160,5
opt_00628,182,196,3
opt_00629,177,178,2
opt_00630,177,177,2
opt_00631,70,91,2
opt_00632,193,213,2
opt_00633,21,4,0
opt_00634,218,14,3
opt_00635,216,37,6
opt_00636,217,10,2
opt_00637,94,97,2
opt_00638,171,181,1
opt_00639,25,59,5
opt_00640,258,262,2
opt_00641,118,145,5
opt_00642,85,81,0
opt_00643,146,167,2
opt_00644,181,190,2
opt_00645,55,79,2
opt_00646,190,205,3
opt_00647,105,143,5
opt_00648,49,75,6
opt_00649,270,260,3
opt_00650,75,105,5
opt_00651,293,289,4
opt_00652,215,204,4
opt_00653,73,80,0
opt_00654,5,18,2
opt_00655,175,199,5
opt_00656,125,152,3
opt_00657,256,249,1
opt_00658,71,86,1
opt_00659,185,200,1
opt_00660,38,41,3
opt_00661,135,135,2
opt_00662,55,70,2
opt_00663,159,173,2
opt_00664,133,149,5
opt_00665,225,228,3
opt_00666,153,161,0
opt_00667,43,45,3
opt_00668,136,152,3
opt_00669,9,24,4
opt_00670,225,228,3
opt_00671,55,65,2
opt_00672,161,189,5
opt_00673,256,252,1
opt_00674,41,57,2
opt_00675,70,92,2
opt_00676,89,102,3
opt_00677,94,94,2
opt_00678,2,30,5
opt_00679,286,279,1
opt_00680,3,28,3
opt_00681,137,129,1
opt_00682,265,252,1
opt_00683,166,179,3
opt_00684,202,0,1
opt_00685,145,170,0
opt_00686,168,193,6
opt_00687,101,101,2
opt_00688,149,165,1
opt_00689,275,288,3
opt_00690,85,115,0
opt_00691,179,197,5
opt_00692,219,215,0
opt_00693,171,181,1
opt_00694,48,70,2
opt_00695,19,22,2
opt_00696,98,96,2
opt_00697,50,78,0
opt_00698,93,113,4
opt_00699,53,52,3
opt_00700,267,260,3
opt_00701,80,94,2
opt_00702,220,4,0
opt_00703,111,123,1
opt_00704,238,229,3
opt_00705,139,148,4
opt_00706,205,21,5
opt_00707,87,86,1
opt_00708,118,145,5
opt_00709,25,59,5
opt_00710,285,274,0
opt_00711,143,137,2
opt_00712,52,72,1
opt_00713,216,37,6
opt_00714,20,16,1
opt_00715,174,188,5
opt_00716,232,237,2
opt_00717,241,227,1
opt_00718,154,175,3
opt_00719,57,54,3
opt_00720,240,241,2
opt_00721,96,95,1
opt_00722,265,255,1
opt_00723,18,23,2
opt_00724,8,36,3
opt_00725,9,27,4
opt_00726,164,176,2
opt_00727,164,177,2
opt_00728,184,210,2
opt_00729,192,208,2
opt_00730,25,55,5
opt_00731,236,229,3
opt_00732,36,67,5
opt_00733,24,40,0
opt_00734,83,116,6
opt_00735,76,105,5
opt_00736,155,173,2
opt_00737,42,71,6
opt_00738,126,129,1
opt_00739,154,179,3
opt_00740,61,77,5
opt_00741,76,105,5
opt_00742,27,48,2
opt_00743,191,219,5
opt_00744,186,206,3
opt_00745,2,30,5
opt_00746,173,177,2
opt_00747,52,74,1
opt_00748,46,43,1
opt_00749,139,148,4
opt_00750,180,162,4
opt_00751,205,21,5
opt_00752,274,284,3
opt_00753,241,230,1
opt_00754,57,52,3
opt_00755,215,24,4
opt_00756,124,132,2
opt_00757,76,103,5
opt_00758,223,4,0
opt_00759,63,74,1
opt_00760,238,234,3
opt_00761,163,170,0
opt_00762,206,11,5
opt_00763,276,276,1
opt_00764,290,293,6
opt_00765,244,241,2
opt_00766,134,146,3
opt_00767,280,292,5
opt_00768,120,147,5
opt_00769,104,120,2
opt_00770,293,285,4
opt_00771,80,92,2
opt_00772,195,203,1
opt_00773,192,213,2
opt_00774,142,157,0
opt_00775,87,87,1
opt_00776,163,170,0
opt_00777,79,91,2
opt_00778,110,140,3
opt_00779,86,110,5
opt_00780,70,92,2
opt_00781,208,218,2
opt_00782,256,249,1
opt_00783,176,181,1
opt_00784,275,287,3
opt_00785,132,135,2
opt_00786,44,58,2
opt_00787,45,45,3
opt_00788,83,109,6
opt_00789,242,227,1
opt_00790,202,1,1
opt_00791,202,5,1
opt_00792,38,45,3
opt_00793,77,107,5
opt_00794,234,237,2
opt_00795,245,233,1
opt_00796,160,166,1
opt_00797,225,226,3
opt_00798,200,0,1
opt_00799,168,193,6
opt_00800,209,21,5
opt_00801,134,152,3
opt_00802,128,156,0
opt_00803,102,99,2
opt_00804,166,179,3
opt_00805,82,81,0
opt_00806,15,30,5
opt_00807,206,25,5
opt_00808,172,186,3
opt_00809,149,163,1
opt_00810,53,52,3
opt_00811,114,142,3
opt_00812,232,237,2
opt_00813,217,12,2
opt_00814,192,208,2
opt_00815,217,13,2
opt_00816,76,107,5
opt_00817,91,106,3
opt_00818,44,62,2
opt_00819,222,15,2
opt_00820,68,84,3
opt_00821,39,63,0
opt_00822,221,13,2
opt_00823,0,9,3
opt_00824,278,288,3
opt_00825,182,196,3
opt_00826,152,182,4
opt_00827,5,19,2
opt_00828,32,53,2
opt_00829,92,116,6
opt_00830,138,155,5
opt_00831,81,100,3
opt_00832,147,167,2
opt_00833,17,7,1
opt_00834,222,18,2
opt_00835,138,159,5
opt_00836,283,277,2
opt_00837,73,80,0
opt_00838,25,55,5
opt_00839,0,14,3
opt_00840,270,260,3
opt_00841,54,78,0
opt_00842,143,136,2
opt_00843,196,11,5
opt_00844,219,2,0
opt_00845,72,100,3
opt_00846,10,37,6
opt_00847,208,223,2
opt_00848,254,267,5
opt_00849,36,66,5
opt_00850,208,10,2
opt_00851,211,10,2
opt_00852,149,165,1
opt_00853,182,191,3
opt_00854,99,115,0
opt_00855,167,186,3
opt_00856,55,70,2
opt_00857,29,49,4
opt_00858,134,146,3
opt_00859,292,281,2
opt_00860,187,219,5
opt_00861,55,79,2
opt_00862,168,198,6
opt_00863,84,85,1
opt_00864,26,60,5
opt_00865,284,291,6
opt_00866,133,155,5
opt_00867,218,9,3
opt_00868,193,210,2
opt_00869,102,104,2
opt_00870,128,156,0
opt_00871,90,111,3
opt_00872,236,234,3
opt_00873,190,206,3
opt_00874,257,249,1
opt_00875,192,208,2
opt_00876,177,178,2
opt_00877,102,104,2
opt_00878,125,146,3
opt_00879,154,168,3
opt_00880,235,243,6
opt_00881,217,12,2
opt_00882,4,1,1
opt_00883,102,99,2
opt_00884,112,121,0
opt_00885,85,115,0
opt_00886,116,126,2
opt_00887,107,150,6
opt_00888,250,257,3
opt_00889,197,218,2
opt_00890,129,131,2
opt_00891,54,78,0
opt_00892,269,262,2
opt_00893,194,3,5
opt_00894,288,282,2
opt_00895,35,56,2
opt_00896,170,166,1
opt_00897,186,206,3
opt_00898,120,155,5
opt_00899,16,33,5
opt_00900,210,221,3
opt_00901,5,18,2
opt_00902,159,176,2
opt_00903,156,160,5
opt_00904,62,69,3
opt_00905,87,87,1
opt_00906,4,7,1
opt_00907,81,102,3
opt_00908,118,143,5
opt_00909,28,59,5
opt_00910,109,145,5
opt_00911,204,209,3
opt_00912,70,91,2
opt_00913,58,77,5
opt_00914,253,258,2
opt_00915,17,7,1
opt_00916,76,107,5
opt_00917,59,76,6
opt_00918,93,113,4
opt_00919,294,292,5
opt_00920,257,252,1
opt_00921,170,172,1
opt_00922,173,176,2
opt_00923,222,15,2
opt_00924,258,258,2
opt_00925,280,294,5
opt_00926,253,258,2
opt_00927,84,85,1
opt_00928,53,54,3
opt_00929,268,265,6
opt_00930,150,183,5
opt_00931,77,107,5
opt_00932,10,37,6
opt_00933,85,119,0
opt_00934,87,87,1
opt_00935,86,114,5
opt_00936,92,118,6
opt_00937,171,172,1
opt_00938,11,8,1
opt_00939,193,214,2
opt_00940,95,117,5
opt_00941,185,200,1
opt_00942,88,93,2
opt_00943,114,141,3
opt_00944,73,80,0
opt_00945,133,149,5
opt_00946,152,162,4
opt_00947,75,83,5
opt_00948,196,222,5
opt_00949,283,280,2
opt_00950,69,89,2
opt_00951,84,87,1
opt_00952,58,68,5
opt_00953,196,222,5
opt_00954,8,35,3
opt_00955,238,234,3
opt_00956,150,183,5
opt_00957,173,176,2
opt_00958,101,99,2
opt_00959,107,150,6
opt_00960,150,183,5
opt_00961,28,61,5
opt_00962,61,77,5
opt_00963,233,240,4
opt_00964,30,43,1
opt_00965,135,135,2
opt_00966,77,107,5
opt_00967,143,136,2
opt_00968,197,213,2
opt_00969,246,231,1
opt_00970,138,158,5
opt_00971,73,81,0
opt_00972,100,117,5
opt_00973,293,285,4
opt_00974,210,221,3
opt_00975,27,50,2
opt_00976,78,110,5
opt_00977,164,177,2
opt_00978,196,3,5
opt_00979,114,141,3
opt_00980,161,188,5
opt_00981,71,82,1
opt_00982,15,30,5
opt_00983,114,142,3
opt_00984,290,293,6
opt_00985,19,22,2
opt_00986,268,265,6
opt_00987,155,173,2
opt_00988,131,134,2
opt_00989,240,237,2
opt_00990,15,30,5
opt_00991,183,190,2
opt_00992,120,147,5
opt_00993,191,222,5
opt_00994,33,56,2
opt_00995,135,136,2
opt_00996,34,66,5
opt_00997,89,100,3
opt_00998,148,173,2
opt_00999,160,165,1
opt_01000,16,38,5
opt_01001,213,221,3
opt_01002,262,259,3
opt_01003,116,131,2
opt_01004,21,32,0
opt_01005,115,142,3
opt_01006,29,49,4
opt_01007,138,155,5
opt_01008,195,203,1
opt_01009,269,263,2
opt_01010,23,34,0
opt_01011,93,112,4
opt_01012,281,288,3
opt_01013,59,75,6
opt_01014,130,153,6
opt_01015,24,51,0
opt_01016,66,83,5
opt_01017,223,32,0
opt_01018,119,145,5
opt_01019,160,165,1
opt_01020,284,293,6
opt_01021,127,129,1
opt_01022,222,13,2
opt_01023,263,271,5
opt_01024,234,238,2
opt_01025,114,142,3
opt_01026,45,45,3
opt_01027,25,59,5
opt_01028,167,191,3
opt_01029,185,200,1
opt_01030,65,84,3
opt_01031,167,191,3
opt_01032,94,97,2
opt_01033,171,166,1
opt_01034,9,27,4
opt_01035,0,26,3
opt_01036,215,204,4
opt_01037,119,149,5
opt_01038,232,236,2
opt_01039,272,286,3
opt_01040,253,256,2
opt_01041,213,9,3
opt_01042,221,15,2
opt_01043,211,223,2
opt_01044,56,79,2
opt_01045,32,48,2
opt_01046,44,58,2
opt_01047,25,55,5
opt_01048,201,207,1
opt_01049,122,146,3
opt_01050,209,29,5
opt_01051,218,9,3
opt_01052,82,80,0
opt_01053,82,80,0
opt_01054,31,42,1
opt_01055,70,89,2
opt_01056,158,188,5
opt_01057,60,73,3
opt_01058,132,134,2
opt_01059,89,106,3
opt_01060,159,176,2
opt_01061,78,108,5
opt_01062,173,177,2
opt_01063,65,84,3
opt_01064,15,33,5
opt_01065,221,13,2
opt_01066,99,119,0
opt_01067,24,40,0
opt_01068,50,63,0
opt_01069,42,75,6
opt_01070,62,73,3
opt_01071,132,133,2
opt_01072,102,99,2
opt_01073,220,2,0
opt_01074,157,187,5
opt_01075,44,62,2
opt_01076,227,236,2
opt_01077,258,258,2
opt_01078,208,218,2
opt_01079,257,253,1
opt_01080,194,3,5
opt_01081,166,180,3
opt_01082,251,269,0
opt_01083,157,184,5
opt_01084,127,128,1
opt_01085,278,287,3
opt_01086,70,91,2
opt_01087,183,190,2
opt_01088,245,231,1
opt_01089,246,231,1
opt_01090,206,25,5
opt_01091,65,84,3
opt_01092,222,18,2
opt_01093,79,91,2
opt_01094,148,173,2
opt_01095,114,141,3
opt_01096,136,154,3
opt_01097,275,286,3
opt_01098,122,146,3
opt_01099,120,147,5
opt_01100,292,281,2
opt_01101,126,125,1
opt_01102,34,66,5
opt_01103,2,33,5
opt_01104,163,195,0
opt_01105,108,121,0
opt_01106,188,220,6
opt_01107,183,190,2
opt_01108,35,53,2
opt_01109,254,270,5
opt_01110,207,223,2
opt_01111,290,293,6
opt_01112,101,97,2
opt_01113,52,72,1
opt_01114,218,14,3
opt_01115,235,247,6
opt_01116,106,127,2
opt_01117,121,124,1
opt_01118,22,23,2
opt_01119,282,278,1
opt_01120,46,44,1
opt_01121,13,39,6
opt_01122,168,198,6
opt_01123,127,129,1
opt_01124,48,62,2
opt_01125,241,230,1
opt_01126,173,178,2
opt_01127,133,155,5
opt_01128,99,115,0
opt_01129,33,50,2
opt_01130,282,276,1
opt_01131,243,242,4
opt_01132,40,64,4
opt_01133,79,92,2
opt_01134,93,112,4
opt_01135,129,133,2
opt_01136,78,107,5
opt_01137,32,50,2
opt_01138,261,266,4
opt_01139,195,202,1
opt_01140,10,37,6
opt_01141,190,205,3
opt_01142,51,46,1
opt_01143,120,155,5
opt_01144,60,54,3
opt_01145,164,174,2
opt_01146,259,259,3
opt_01147,222,18,2
opt_01148,181,185,2
opt_01149,70,89,2
opt_01150,36,61,5
opt_01151,120,147,5
opt_01152,207,214,2
opt_01153,160,164,1
opt_01154,115,141,3
opt_01155,59,75,6
opt_01156,72,100,3
opt_01157,217,10,2
opt_01158,107,151,6
opt_01159,217,13,2
opt_01160,264,262,2
opt_01161,169,198,6
opt_01162,177,185,2
