option_id,reported_cost,travel_minutes,carbon_kg,sla_risk_band
opt_00467,475.34,87,2.49,MED
opt_00468,233.45,36,19.07,HIGH
opt_00469,92.7,101,1.7,LOW
opt_00470,346.65,88,5.84,LOW
opt_00471,298.93,81,28.13,HIGH
opt_00472,265.92,148,36.0,HIGH
opt_00473,389.72,137,8.63,HIGH
opt_00474,45.41,52,29.58,LOW
opt_00475,112.74,109,36.29,HIGH
opt_00476,65.34,116,21.76,LOW
opt_00477,95.89,96,17.98,MED
opt_00478,116.15,136,15.49,LOW
opt_00479,452.84,23,15.67,LOW
opt_00480,468.07,88,28.14,MED
opt_00481,442.33,171,27.41,MED
opt_00482,96.43,160,0.45,LOW
opt_00483,279.6,167,38.23,LOW
opt_00484,476.85,42,4.3,LOW
opt_00485,133.93,152,4.53,HIGH
opt_00486,291.52,137,3.88,LOW
opt_00487,55.76,87,22.59,HIGH
opt_00488,13.72,122,18.3,HIGH
opt_00489,12.35,147,15.48,HIGH
opt_00490,144.36,160,19.16,LOW
opt_00491,204.75,6,4.51,HIGH
opt_00492,395.97,16,2.92,MED
opt_00493,11.76,75,5.49,HIGH
opt_00494,258.37,78,10.83,MED
opt_00495,332.41,89,13.31,MED
opt_00496,491.03,89,37.36,MED
opt_00497,172.93,149,15.76,HIGH
opt_00498,438.47,20,19.04,MED
opt_00499,39.87,94,35.34,MED
opt_00500,430.41,142,30.96,MED
opt_00501,287.39,114,23.63,MED
opt_00502,127.66,111,4.54,MED
opt_00503,315.81,29,32.05,MED
opt_00504,80.02,149,6.59,HIGH
opt_00505,335.93,158,35.6,MED
opt_00506,29.62,112,19.8,LOW
opt_00507,70.17,109,21.33,LOW
opt_00508,288.26,23,39.66,LOW
opt_00509,11.15,157,25.11,MED
opt_00510,311.45,120,16.57,HIGH
opt_00511,94.85,178,7.98,MED
opt_00512,322.69,53,9.42,LOW
opt_00513,77.9,87,33.57,LOW
opt_00514,478.42,41,28.13,MED
opt_00515,271.03,34,33.59,LOW
opt_00516,160.67,118,17.84,HIGH
opt_00517,203.22,159,20.8,LOW
opt_00518,307.61,88,26.49,LOW
opt_00519,411.39,136,7.07,HIGH
opt_00520,42.68,162,38.76,MED
opt_00521,419.78,97,7.75,LOW
opt_00522,423.81,106,7.61,LOW
opt_00523,418.38,110,15.55,MED
opt_00524,307.81,172,7.46,HIGH
opt_00525,279.44,70,22.82,MED
opt_00526,450.72,6,9.03,MED
opt_00527,231.66,43,13.3,HIGH
opt_00528,373.57,144,12.09,LOW
opt_00529,261.66,141,12.69,HIGH
opt_00530,174.85,22,17.81,MED
opt_00531,87.81,1,16.01,MED
opt_00532,168.3,30,33.7,LOW
opt_00533,17.33,153,25.74,MED
opt_00534,248.47,92,26.61,MED
opt_00535,254.13,88,30.73,LOW
opt_00536,291.68,21,2.57,MED
opt_00537,216.1,102,24.28,LOW
opt_00538,491.19,27,15.13,MED
opt_00539,54.4,168,25.08,MED
opt_00540,107.6,134,4.02,LOW
opt_00541,355.84,57,19.66,LOW
opt_00542,19.09,63,7.72,LOW
opt_00543,146.68,70,4.05,MED
opt_00544,193.6,151,0.99,MED
opt_00545,403.72,29,9.72,HIGH
opt_00546,305.6,23,15.49,MED
opt_00547,87.84,145,23.77,MED
opt_00548,118.26,64,17.35,MED
opt_00549,261.27,117,12.13,MED
opt_00550,293.05,24,1.6,HIGH
opt_00551,432.04,177,30.94,HIGH
opt_00552,464.68,93,19.99,HIGH
opt_00553,432.08,120,22.59,MED
opt_00554,447.99,153,33.47,LOW
opt_00555,204.43,82,14.26,MED
opt_00556,372.12,164,39.6,LOW
opt_00557,186.75,177,11.05,HIGH
opt_00558,448.23,111,20.91,LOW
opt_00559,50.89,109,22.84,MED
opt_00560,323.24,118,20.64,LOW
opt_00561,402.02,28,15.39,MED
opt_00562,286.54,104,24.74,LOW
opt_00563,404.55,147,6.55,HIGH
opt_00564,254.79,7,0.6,HIGH
opt_00565,361.72,33,31.9,LOW
opt_00566,75.87,162,36.99,MED
opt_00567,91.84,24,25.87,MED
opt_00568,336.98,70,8.27,LOW
opt_00569,109.95,36,1.02,HIGH
opt_00570,489.35,136,34.17,MED
opt_00571,65.9,4,27.92,HIGH
opt_00572,63.0,115,8.39,LOW
opt_00573,125.18,133,35.47,MED
opt_00574,299.06,54,23.12,MED
opt_00575,173.44,63,21.14,MED
opt_00576,63.03,16,24.65,HIGH
opt_00577,460.15,74,18.01,LOW
opt_00578,322.62,73,35.56,HIGH
opt_00579,74.43,166,28.47,MED
opt_00580,283.27,15,34.01,LOW
opt_00581,166.09,72,9.18,HIGH
opt_00582,372.43,1,8.23,MED
opt_00583,293.35,68,11.59,MED
opt_00584,431.47,81,35.74,LOW
opt_00585,222.4,83,27.71,HIGH
opt_00586,482.81,10,0.8,HIGH
opt_00587,343.1,137,19.4,HIGH
opt_00588,392.78,51,35.15,MED
opt_00589,499.92,135,32.07,LOW
opt_00590,207.63,7,7.31,MED
opt_00591,51.64,122,21.09,MED
opt_00592,213.08,32,25.05,MED
opt_00593,481.65,142,27.01,MED
opt_00594,121.16,107,29.5,LOW
opt_00595,217.33,157,6.5,HIGH
opt_00596,246.42,165,31.72,MED
opt_00597,496.7,51,15.64,MED
opt_00598,183.2,134,22.57,MED
opt_00599,96.77,168,6.58,HIGH
opt_00600,245.09,69,21.74,HIGH
opt_00601,145.68,18,4.15,MED
opt_00602,147.0,138,21.61,LOW
opt_00603,429.63,61,28.28,LOW
opt_00604,123.98,164,28.61,LOW
opt_00605,199.45,63,35.9,LOW
opt_00606,335.19,102,22.55,HIGH
opt_00607,2.06,104,7.46,LOW
opt_00608,383.08,113,3.52,HIGH
opt_00609,369.31,53,7.07,LOW
opt_00610,71.77,104,27.27,MED
opt_00611,390.55,116,39.5,MED
opt_00612,87.45,178,10.87,LOW
opt_00613,71.62,82,14.26,HIGH
opt_00614,392.55,174,35.84,HIGH
opt_00615,137.29,153,11.16,HIGH
opt_00616,390.32,8,24.94,LOW
opt_00617,429.95,3,17.7,MED
opt_00618,224.79,124,5.13,MED
opt_00619,481.62,56,22.85,LOW
opt_00620,201.85,68,12.62,LOW
opt_00621,157.17,130,7.69,MED
opt_00622,317.58,179,25.6,LOW
opt_00623,149.92,112,29.88,MED
opt_00624,57.72,160,19.73,HIGH
opt_00625,268.02,84,24.84,HIGH
opt_00626,86.9,89,31.34,MED
opt_00627,139.97,165,31.18,LOW
opt_00628,298.28,23,10.11,HIGH
opt_00629,289.86,61,24.41,LOW
opt_00630,458.82,54,28.06,HIGH
opt_00631,197.7,169,39.4,LOW
opt_00632,143.46,82,1.09,LOW
opt_00633,371.81,167,6.33,MED
opt_00634,141.63,159,5.85,LOW
opt_00635,289.77,176,8.77,HIGH
opt_00636,92.34,67,15.47,HIGH
opt_00637,19.6,7,10.0,MED
opt_00638,353.56,146,25.01,HIGH
opt_00639,490.49,53,35.98,LOW
opt_00640,197.77,177,23.26,HIGH
opt_00641,311.63,123,38.21,LOW
opt_00642,452.07,160,36.92,LOW
opt_00643,462.26,144,35.08,HIGH
opt_00644,367.13,166,33.94,HIGH
opt_00645,315.11,110,39.21,MED
opt_00646,465.98,23,11.4,LOW
opt_00647,180.51,5,15.81,LOW
opt_00648,54.33,12,5.78,HIGH
opt_00649,18.32,91,0.13,HIGH
opt_00650,245.12,1,20.65,LOW
opt_00651,293.58,10,25.86,HIGH
opt_00652,343.13,44,9.21,HIGH
opt_00653,309.16,55,37.34,MED
opt_00654,497.99,6,8.19,LOW
opt_00655,375.76,3,11.84,HIGH
opt_00656,255.06,17,10.08,LOW
opt_00657,393.99,90,32.77,LOW
opt_00658,414.75,156,10.38,LOW
opt_00659,36.69,7,31.92,MED
opt_00660,357.39,115,29.35,LOW
opt_00661,185.06,162,37.26,HIGH
opt_00662,290.04,58,8.97,MED
opt_00663,182.22,71,33.07,MED
opt_00664,354.29,86,14.36,HIGH
opt_00665,353.72,4,35.69,MED
opt_00666,311.77,176,24.01,MED
opt_00667,129.49,95,21.42,LOW
opt_00668,78.94,70,29.11,LOW
opt_00669,427.01,141,33.22,HIGH
opt_00670,293.5,2,15.36,MED
opt_00671,385.47,65,38.5,LOW
opt_00672,416.95,179,28.33,LOW
opt_00673,43.53,36,16.35,MED
opt_00674,498.42,38,22.32,HIGH
opt_00675,268.89,96,20.22,LOW
opt_00676,476.37,41,33.6,HIGH
opt_00677,66.84,33,35.95,HIGH
opt_00678,281.89,57,17.84,MED
opt_00679,276.6,25,36.44,HIGH
opt_00680,135.09,2,6.69,LOW
opt_00681,155.76,134,22.72,HIGH
opt_00682,412.25,98,38.67,HIGH
opt_00683,33.88,134,5.35,MED
opt_00684,322.29,76,38.25,HIGH
opt_00685,21.06,44,3.1,HIGH
opt_00686,379.71,166,20.08,HIGH
opt_00687,137.76,13,19.25,MED
opt_00688,191.0,162,19.03,LOW
opt_00689,435.57,160,4.77,HIGH
opt_00690,474.54,100,34.59,HIGH
opt_00691,279.85,122,6.1,LOW
opt_00692,288.32,48,23.29,HIGH
opt_00693,479.56,154,38.37,HIGH
opt_00694,188.15,48,39.07,LOW
opt_00695,432.9,96,25.06,HIGH
opt_00696,487.15,90,36.42,MED
