balance_group_id,decision_id,side
B002,d00144,pos
B002,d00158,pos
B002,d00172,pos
B002,d00186,pos
B002,d00200,pos
B002,d00214,pos
B002,d00228,pos
B002,d00242,pos
B002,d00256,pos
B002,d00270,pos
B002,d00284,pos
B002,d00298,pos
B002,d00312,pos
B002,d00326,pos
B002,d00340,pos
B002,d00354,pos
B002,d00368,pos
B002,d00382,pos
B002,d00396,pos
B002,d00410,pos
B002,d00424,pos
B002,d00438,pos
B002,d00452,pos
B002,d00466,pos
B002,d00480,pos
B002,d00494,pos
B002,d00508,pos
B002,d00522,pos
B002,d00536,pos
B002,d00550,pos
B002,d00564,pos
B002,d00578,pos
B002,d00592,pos
B002,d00606,pos
B002,d00620,pos
B002,d00634,pos
B002,d00648,pos
B002,d00662,pos
B002,d00676,pos
B002,d00690,pos
B002,d00704,pos
B002,d00718,pos
B002,d00005,neg
B002,d00019,neg
B002,d00033,neg
B002,d00047,neg
B002,d00061,neg
B002,d00075,neg
B002,d00089,neg
B002,d00103,neg
B002,d00117,neg
B002,d00131,neg
B002,d00145,neg
B002,d00159,neg
B002,d00173,neg
B002,d00187,neg
B002,d00201,neg
B002,d00215,neg
B002,d00229,neg
B002,d00243,neg
B002,d00257,neg
B002,d00271,neg
B002,d00285,neg
B002,d00299,neg
B002,d00313,neg
B002,d00327,neg
B002,d00341,neg
B002,d00355,neg
B002,d00369,neg
B002,d00383,neg
B002,d00397,neg
B002,d00411,neg
B002,d00425,neg
B002,d00439,neg
B002,d00453,neg
B002,d00467,neg
B002,d00481,neg
B002,d00495,neg
B002,d00509,neg
B002,d00523,neg
B002,d00537,neg
B002,d00551,neg
B002,d00565,neg
B002,d00579,neg
B002,d00593,neg
B002,d00607,neg
B002,d00621,neg
B002,d00635,neg
B002,d00649,neg
B002,d00663,neg
B002,d00677,neg
B002,d00691,neg
B002,d00705,neg
B002,d00719,neg
B003,d00006,pos
B003,d00020,pos
B003,d00034,pos
B003,d00048,pos
B003,d00062,pos
B003,d00076,pos
B003,d00090,pos
B003,d00104,pos
B003,d00118,pos
B003,d00132,pos
B003,d00146,pos
B003,d00160,pos
B003,d00174,pos
B003,d00188,pos
B003,d00202,pos
B003,d00216,pos
B003,d00230,pos
B003,d00244,pos
B003,d00258,pos
B003,d00272,pos
B003,d00286,pos
B003,d00300,pos
B003,d00314,pos
B003,d00328,pos
B003,d00342,pos
B003,d00356,pos
B003,d00370,pos
B003,d00384,pos
B003,d00398,pos
B003,d00412,pos
B003,d00426,pos
B003,d00440,pos
B003,d00454,pos
B003,d00468,pos
B003,d00482,pos
B003,d00496,pos
B003,d00510,pos
B003,d00524,pos
B003,d00538,pos
B003,d00552,pos
B003,d00566,pos
B003,d00580,pos
B003,d00594,pos
B003,d00608,pos
B003,d00622,pos
B003,d00636,pos
B003,d00650,pos
B003,d00664,pos
B003,d00678,pos
B003,d00692,pos
B003,d00706,pos
B003,d00720,pos
B003,d00007,neg
B003,d00021,neg
B003,d00035,neg
B003,d00049,neg
B003,d00063,neg
B003,d00077,neg
B003,d00091,neg
B003,d00105,neg
B003,d00119,neg
B003,d00133,neg
B003,d00147,neg
B003,d00161,neg
B003,d00175,neg
B003,d00189,neg
B003,d00203,neg
B003,d00217,neg
B003,d00231,neg
B003,d00245,neg
B003,d00259,neg
B003,d00273,neg
B003,d00287,neg
B003,d00301,neg
B003,d00315,neg
B003,d00329,neg
B003,d00343,neg
B003,d00357,neg
B003,d00371,neg
B003,d00385,neg
B003,d00399,neg
B003,d00413,neg
B003,d00427,neg
B003,d00441,neg
B003,d00455,neg
B003,d00469,neg
B003,d00483,neg
B003,d00497,neg
B003,d00511,neg
B003,d00525,neg
B003,d00539,neg
B003,d00553,neg
B003,d00567,neg
B003,d00581,neg
B003,d00595,neg
B003,d00609,neg
B003,d00623,neg
B003,d00637,neg
B003,d00651,neg
B003,d00665,neg
B003,d00679,neg
B003,d00693,neg
B003,d00707,neg
B003,d00721,neg
B004,d00008,pos
B004,d00022,pos
B004,d00036,pos
B004,d00050,pos
B004,d00064,pos
B004,d00078,pos
B004,d00092,pos
B004,d00106,pos
B004,d00120,pos
B004,d00134,pos
B004,d00148,pos
B004,d00162,pos
B004,d00176,pos
B004,d00190,pos
B004,d00204,pos
B004,d00218,pos
B004,d00232,pos
B004,d00246,pos
B004,d00260,pos
B004,d00274,pos
B004,d00288,pos
B004,d00302,pos
B004,d00316,pos
B004,d00330,pos
B004,d00344,pos
B004,d00358,pos
B004,d00372,pos
B004,d00386,pos
B004,d00400,pos
B004,d00414,pos
B004,d00428,pos
B004,d00442,pos
B004,d00456,pos
B004,d00470,pos
B004,d00484,pos
B004,d00498,pos
B004,d00512,pos
B004,d00526,pos
B004,d00540,pos
B004,d00554,pos
B004,d00568,pos
B004,d00582,pos
B004,d00596,pos
B004,d00610,pos
B004,d00624,pos
B004,d00638,pos
B004,d00652,pos
B004,d00666,pos
B004,d00680,pos
B004,d00694,pos
B004,d00708,pos
B004,d00722,pos
B004,d00009,neg
B004,d00023,neg
B004,d00037,neg
B004,d00051,neg
B004,d00065,neg
B004,d00079,neg
B004,d00093,neg
B004,d00107,neg
B004,d00121,neg
B004,d00135,neg
B004,d00149,neg
B004,d00163,neg
B004,d00177,neg
B004,d00191,neg
B004,d00205,neg
B004,d00219,neg
B004,d00233,neg
B004,d00247,neg
B004,d00261,neg
B004,d00275,neg
B004,d00289,neg
B004,d00303,neg
B004,d00317,neg
B004,d00331,neg
B004,d00345,neg
B004,d00359,neg
B004,d00373,neg
B004,d00387,neg
B004,d00401,neg
B004,d00415,neg
B004,d00429,neg
B004,d00443,neg
B004,d00457,neg
B004,d00471,neg
B004,d00485,neg
B004,d00499,neg
B004,d00513,neg
B004,d00527,neg
B004,d00541,neg
B004,d00555,neg
B004,d00569,neg
B004,d00583,neg
B004,d00597,neg
B004,d00611,neg
B004,d00625,neg
B004,d00639,neg
B004,d00653,neg
B004,d00667,neg
B004,d00681,neg
B004,d00695,neg
B004,d00709,neg
B004,d00723,neg
B005,d00010,pos
B005,d00024,pos
B005,d00038,pos
B005,d00052,pos
B005,d00066,pos
B005,d00080,pos
B005,d00094,pos
B005,d00108,pos
B005,d00122,pos
B005,d00136,pos
B005,d00150,pos
B005,d00164,pos
B005,d00178,pos
B005,d00192,pos
B005,d00206,pos
B005,d00220,pos
B005,d00234,pos
B005,d00248,pos
B005,d00262,pos
B005,d00276,pos
B005,d00290,pos
B005,d00304,pos
B005,d00318,pos
B005,d00332,pos
B005,d00346,pos
B005,d00360,pos
B005,d00374,pos
B005,d00388,pos
B005,d00402,pos
B005,d00416,pos
B005,d00430,pos
B005,d00444,pos
B005,d00458,pos
B005,d00472,pos
B005,d00486,pos
B005,d00500,pos
B005,d00514,pos
B005,d00528,pos
B005,d00542,pos
B005,d00556,pos
B005,d00570,pos
B005,d00584,pos
B005,d00598,pos
B005,d00612,pos
B005,d00626,pos
B005,d00640,pos
B005,d00654,pos
B005,d00668,pos
B005,d00682,pos
B005,d00696,pos
B005,d00710,pos
B005,d00724,pos
B005,d00011,neg
B005,d00025,neg
B005,d00039,neg
B005,d00053,neg
B005,d00067,neg
B005,d00081,neg
B005,d00095,neg
B005,d00109,neg
B005,d00123,neg
B005,d00137,neg
B005,d00151,neg
B005,d00165,neg
B005,d00179,neg
B005,d00193,neg
B005,d00207,neg
B005,d00221,neg
B005,d00235,neg
B005,d00249,neg
B005,d00263,neg
B005,d00277,neg
B005,d00291,neg
B005,d00305,neg
B005,d00319,neg
B005,d00333,neg
B005,d00347,neg
B005,d00361,neg
B005,d00375,neg
B005,d00389,neg
B005,d00403,neg
B005,d00417,neg
B005,d00431,neg
B005,d00445,neg
B005,d00459,neg
B005,d00473,neg
B005,d00487,neg
B005,d00501,neg
B005,d00515,neg
B005,d00529,neg
B005,d00543,neg
B005,d00557,neg
B005,d00571,neg
B005,d00585,neg
B005,d00599,neg
B005,d00613,neg
B005,d00627,neg
B005,d00641,neg
B005,d00655,neg
B005,d00669,neg
B005,d00683,neg
B005,d00697,neg
B005,d00711,neg
B005,d00725,neg
B006,d00012,pos
B006,d00026,pos
B006,d00040,pos
B006,d00054,pos
B006,d00068,pos
B006,d00082,pos
B006,d00096,pos
B006,d00110,pos
B006,d00124,pos
B006,d00138,pos
B006,d00152,pos
B006,d00166,pos
B006,d00180,pos
B006,d00194,pos
B006,d00208,pos
B006,d00222,pos
B006,d00236,pos
B006,d00250,pos
B006,d00264,pos
B006,d00278,pos
B006,d00292,pos
B006,d00306,pos
B006,d00320,pos
B006,d00334,pos
B006,d00348,pos
B006,d00362,pos
B006,d00376,pos
B006,d00390,pos
B006,d00404,pos
B006,d00418,pos
B006,d00432,pos
B006,d00446,pos
B006,d00460,pos
B006,d00474,pos
B006,d00488,pos
B006,d00502,pos
B006,d00516,pos
B006,d00530,pos
B006,d00544,pos
B006,d00558,pos
B006,d00572,pos
B006,d00586,pos
B006,d00600,pos
B006,d00614,pos
B006,d00628,pos
B006,d00642,pos
B006,d00656,pos
B006,d00670,pos
B006,d00684,pos
B006,d00698,pos
B006,d00712,pos
B006,d00726,pos
B006,d00013,neg
B006,d00027,neg
B006,d00041,neg
B006,d00055,neg
B006,d00069,neg
B006,d00083,neg
B006,d00097,neg
B006,d00111,neg
B006,d00125,neg
B006,d00139,neg
B006,d00153,neg
B006,d00167,neg
B006,d00181,neg
B006,d00195,neg
B006,d00209,neg
B006,d00223,neg
B006,d00237,neg
B006,d00251,neg
B006,d00265,neg
B006,d00279,neg
B006,d00293,neg
B006,d00307,neg
B006,d00321,neg
B006,d00335,neg
B006,d00349,neg
B006,d00363,neg
B006,d00377,neg
B006,d00391,neg
B006,d00405,neg
B006,d00419,neg
B006,d00433,neg
B006,d00447,neg
B006,d00461,neg
B006,d00475,neg
B006,d00489,neg
B006,d00503,neg
B006,d00517,neg
B006,d00531,neg
B006,d00545,neg
B006,d00559,neg
B006,d00573,neg
B006,d00587,neg
B006,d00601,neg
B006,d00615,neg
B006,d00629,neg
B006,d00643,neg
B006,d00657,neg
B006,d00671,neg
B006,d00685,neg
B006,d00699,neg
B006,d00713,neg
B006,d00727,neg
B007,d00728,pos
B007,d00742,pos
B007,d00756,pos
B007,d00770,pos
B007,d00784,pos
B007,d00798,pos
B007,d00812,pos
B007,d00826,pos
B007,d00840,pos
B007,d00854,pos
B007,d00868,pos
B007,d00882,pos
B007,d00896,pos
B007,d00910,pos
B007,d00924,pos
B007,d00938,pos
B007,d00952,pos
B007,d00966,pos
B007,d00980,pos
B007,d00994,pos
B007,d01008,pos
B007,d01022,pos
B007,d01036,pos
B007,d01050,pos
B007,d01064,pos
B007,d01078,pos
B007,d01092,pos
B007,d01106,pos
B007,d01120,pos
B007,d01134,pos
B007,d01148,pos
B007,d01162,pos
B007,d01176,pos
B007,d01190,pos
B007,d01204,pos
B007,d01218,pos
B007,d01232,pos
B007,d01246,pos
B007,d01260,pos
B007,d01274,pos
B007,d01288,pos
B007,d01302,pos
B007,d01316,pos
B007,d01330,pos
B007,d01344,pos
B007,d01358,pos
B007,d01372,pos
B007,d01386,pos
B007,d01400,pos
B007,d01414,pos
B007,d01428,pos
B007,d01442,pos
B007,d00729,neg
B007,d00743,neg
B007,d00757,neg
B007,d00771,neg
B007,d00785,neg
B007,d00799,neg
B007,d00813,neg
B007,d00827,neg
B007,d00841,neg
B007,d00855,neg
B007,d00869,neg
B007,d00883,neg
B007,d00897,neg
B007,d00911,neg
B007,d00925,neg
B007,d00939,neg
B007,d00953,neg
B007,d00967,neg
B007,d00981,neg
B007,d00995,neg
B007,d01009,neg
B007,d01023,neg
B007,d01037,neg
B007,d01051,neg
B007,d01065,neg
B007,d01079,neg
B007,d01093,neg
B007,d01107,neg
B007,d01121,neg
B007,d01135,neg
B007,d01149,neg
B007,d01163,neg
B007,d01177,neg
B007,d01191,neg
B007,d01205,neg
B007,d01219,neg
B007,d01233,neg
B007,d01247,neg
B007,d01261,neg
B007,d01275,neg
B007,d01289,neg
B007,d01303,neg
B007,d01317,neg
B007,d01331,neg
B007,d01345,neg
B007,d01359,neg
B007,d01373,neg
B007,d01387,neg
B007,d01401,neg
B007,d01415,neg
B007,d01429,neg
B007,d01443,neg
B008,d00730,pos
B008,d00744,pos
B008,d00758,pos
B008,d00772,pos
B008,d00786,pos
B008,d00800,pos
B008,d00814,pos
B008,d00828,pos
B008,d00842,pos
B008,d00856,pos
B008,d00870,pos
B008,d00884,pos
B008,d00898,pos
B008,d00912,pos
B008,d00926,pos
B008,d00940,pos
B008,d00954,pos
B008,d00968,pos
B008,d00982,pos
B008,d00996,pos
B008,d01010,pos
B008,d01024,pos
B008,d01038,pos
B008,d01052,pos
B008,d01066,pos
B008,d01080,pos
B008,d01094,pos
B008,d01108,pos
B008,d01122,pos
B008,d01136,pos
B008,d01150,pos
B008,d01164,pos
B008,d01178,pos
B008,d01192,pos
B008,d01206,pos
B008,d01220,pos
B008,d01234,pos
B008,d01248,pos
B008,d01262,pos
B008,d01276,pos
B008,d01290,pos
B008,d01304,pos
B008,d01318,pos
B008,d01332,pos
B008,d01346,pos
B008,d01360,pos
B008,d01374,pos
B008,d01388,pos
B008,d01402,pos
B008,d01416,pos
B008,d01430,pos
B008,d01444,pos
B008,d00731,neg
B008,d00745,neg
B008,d00759,neg
B008,d00773,neg
B008,d00787,neg
B008,d00801,neg
B008,d00815,neg
B008,d00829,neg
B008,d00843,neg
B008,d00857,neg
B008,d00871,neg
B008,d00885,neg
B008,d00899,neg
B008,d00913,neg
B008,d00927,neg
B008,d00941,neg
B008,d00955,neg
B008,d00969,neg
B008,d00983,neg
B008,d00997,neg
B008,d01011,neg
B008,d01025,neg
B008,d01039,neg
B008,d01053,neg
B008,d01067,neg
B008,d01081,neg
B008,d01095,neg
B008,d01109,neg
B008,d01123,neg
B008,d01137,neg
B008,d01151,neg
B008,d01165,neg
B008,d01179,neg
B008,d01193,neg
B008,d01207,neg
B008,d01221,neg
B008,d01235,neg
B008,d01249,neg
B008,d01263,neg
B008,d01277,neg
B008,d01291,neg
B008,d01305,neg
B008,d01319,neg
B008,d01333,neg
B008,d01347,neg
B008,d01361,neg
B008,d01375,neg
B008,d01389,neg
B008,d01403,neg
B008,d01417,neg
B008,d01431,neg
B008,d01445,neg
B009,d00732,pos
B009,d00746,pos
B009,d00760,pos
B009,d00774,pos
B009,d00788,pos
B009,d00802,pos
B009,d00816,pos
B009,d00830,pos
B009,d00844,pos
B009,d00858,pos
B009,d00872,pos
B009,d00886,pos
B009,d00900,pos
B009,d00914,pos
B009,d00928,pos
B009,d00942,pos
B009,d00956,pos
B009,d00970,pos
B009,d00984,pos
B009,d00998,pos
B009,d01012,pos
B009,d01026,pos
B009,d01040,pos
B009,d01054,pos
B009,d01068,pos
B009,d01082,pos
B009,d01096,pos
B009,d01110,pos
B009,d01124,pos
B009,d01138,pos
B009,d01152,pos
B009,d01166,pos
B009,d01180,pos
B009,d01194,pos
B009,d01208,pos
B009,d01222,pos
B009,d01236,pos
B009,d01250,pos
B009,d01264,pos
B009,d01278,pos
B009,d01292,pos
B009,d01306,pos
B009,d01320,pos
B009,d01334,pos
B009,d01348,pos
B009,d01362,pos
B009,d01376,pos
B009,d01390,pos
B009,d01404,pos
B009,d01418,pos
B009,d01432,pos
B009,d01446,pos
B009,d00733,neg
B009,d00747,neg
B009,d00761,neg
B009,d00775,neg
B009,d00789,neg
B009,d00803,neg
B009,d00817,neg
B009,d00831,neg
B009,d00845,neg
B009,d00859,neg
B009,d00873,neg
B009,d00887,neg
B009,d00901,neg
B009,d00915,neg
B009,d00929,neg
B009,d00943,neg
B009,d00957,neg
B009,d00971,neg
B009,d00985,neg
B009,d00999,neg
B009,d01013,neg
B009,d01027,neg
B009,d01041,neg
B009,d01055,neg
B009,d01069,neg
B009,d01083,neg
B009,d01097,neg
B009,d01111,neg
B009,d01125,neg
B009,d01139,neg
B009,d01153,neg
B009,d01167,neg
B009,d01181,neg
B009,d01195,neg
B009,d01209,neg
B009,d01223,neg
B009,d01237,neg
B009,d01251,neg
B009,d01265,neg
B009,d01279,neg
B009,d01293,neg
B009,d01307,neg
B009,d01321,neg
B009,d01335,neg
B009,d01349,neg
B009,d01363,neg
B009,d01377,neg
B009,d01391,neg
B009,d01405,neg
B009,d01419,neg
B009,d01433,neg
B009,d01447,neg
B010,d00734,pos
B010,d00748,pos
B010,d00762,pos
B010,d00776,pos
B010,d00790,pos
B010,d00804,pos
B010,d00818,pos
B010,d00832,pos
B010,d00846,pos
B010,d00860,pos
B010,d00874,pos
B010,d00888,pos
B010,d00902,pos
B010,d00916,pos
B010,d00930,pos
B010,d00944,pos
B010,d00958,pos
B010,d00972,pos
B010,d00986,pos
B010,d01000,pos
B010,d01014,pos
B010,d01028,pos
B010,d01042,pos
B010,d01056,pos
B010,d01070,pos
B010,d01084,pos
B010,d01098,pos
B010,d01112,pos
B010,d01126,pos
B010,d01140,pos
B010,d01154,pos
B010,d01168,pos
B010,d01182,pos
B010,d01196,pos
B010,d01210,pos
B010,d01224,pos
B010,d01238,pos
B010,d01252,pos
B010,d01266,pos
B010,d01280,pos
B010,d01294,pos
B010,d01308,pos
B010,d01322,pos
B010,d01336,pos
B010,d01350,pos
B010,d01364,pos
B010,d01378,pos
B010,d01392,pos
B010,d01406,pos
B010,d01420,pos
B010,d01434,pos
B010,d01448,pos
B010,d00735,neg
B010,d00749,neg
B010,d00763,neg
B010,d00777,neg
B010,d00791,neg
B010,d00805,neg
B010,d00819,neg
B010,d00833,neg
B010,d00847,neg
B010,d00861,neg
B010,d00875,neg
B010,d00889,neg
B010,d00903,neg
B010,d00917,neg
B010,d00931,neg
B010,d00945,neg
B010,d00959,neg
B010,d00973,neg
B010,d00987,neg
B010,d01001,neg
B010,d01015,neg
B010,d01029,neg
B010,d01043,neg
B010,d01057,neg
B010,d01071,neg
B010,d01085,neg
B010,d01099,neg
B010,d01113,neg
B010,d01127,neg
B010,d01141,neg
B010,d01155,neg
B010,d01169,neg
B010,d01183,neg
B010,d01197,neg
B010,d01211,neg
B010,d01225,neg
B010,d01239,neg
B010,d01253,neg
B010,d01267,neg
B010,d01281,neg
B010,d01295,neg
B010,d01309,neg
B010,d01323,neg
B010,d01337,neg
B010,d01351,neg
B010,d01365,neg
B010,d01379,neg
B010,d01393,neg
B010,d01407,neg
B010,d01421,neg
B010,d01435,neg
B010,d01449,neg
B011,d00736,pos
B011,d00750,pos
B011,d00764,pos
B011,d00778,pos
B011,d00792,pos
B011,d00806,pos
B011,d00820,pos
B011,d00834,pos
B011,d00848,pos
B011,d00862,pos
B011,d00876,pos
B011,d00890,pos
B011,d00904,pos
B011,d00918,pos
B011,d00932,pos
B011,d00946,pos
B011,d00960,pos
B011,d00974,pos
B011,d00988,pos
B011,d01002,pos
B011,d01016,pos
B011,d01030,pos
B011,d01044,pos
B011,d01058,pos
B011,d01072,pos
B011,d01086,pos
B011,d01100,pos
B011,d01114,pos
B011,d01128,pos
B011,d01142,pos
B011,d01156,pos
B011,d01170,pos
B011,d01184,pos
B011,d01198,pos
B011,d01212,pos
B011,d01226,pos
B011,d01240,pos
B011,d01254,pos
B011,d01268,pos
B011,d01282,pos
B011,d01296,pos
B011,d01310,pos
B011,d01324,pos
B011,d01338,pos
B011,d01352,pos
B011,d01366,pos
B011,d01380,pos
B011,d01394,pos
B011,d01408,pos
B011,d01422,pos
B011,d01436,pos
B011,d01450,pos
B011,d00737,neg
B011,d00751,neg
B011,d00765,neg
B011,d00779,neg
B011,d00793,neg
B011,d00807,neg
B011,d00821,neg
B011,d00835,neg
B011,d00849,neg
B011,d00863,neg
B011,d00877,neg
B011,d00891,neg
B011,d00905,neg
B011,d00919,neg
B011,d00933,neg
B011,d00947,neg
B011,d00961,neg
B011,d00975,neg
B011,d00989,neg
B011,d01003,neg
B011,d01017,neg
B011,d01031,neg
B011,d01045,neg
B011,d01059,neg
B011,d01073,neg
B011,d01087,neg
B011,d01101,neg
B011,d01115,neg
B011,d01129,neg
B011,d01143,neg
B011,d01157,neg
B011,d01171,neg
B011,d01185,neg
B011,d01199,neg
B011,d01213,neg
B011,d01227,neg
B011,d01241,neg
B011,d01255,neg
B011,d01269,neg
B011,d01283,neg
B011,d01297,neg
B011,d01311,neg
B011,d01325,neg
B011,d01339,neg
B011,d01353,neg
B011,d01367,neg
B011,d01381,neg
B011,d01395,neg
B011,d01409,neg
B011,d01423,neg
B011,d01437,neg
B011,d01451,neg
B012,d00738,pos
B012,d00752,pos
B012,d00766,pos
B012,d00780,pos
B012,d00794,pos
B012,d00808,pos
B012,d00822,pos
B012,d00836,pos
B012,d00850,pos
B012,d00864,pos
B012,d00878,pos
B012,d00892,pos
B012,d00906,pos
B012,d00920,pos
B012,d00934,pos
B012,d00948,pos
B012,d00962,pos
B012,d00976,pos
B012,d00990,pos
B012,d01004,pos
B012,d01018,pos
B012,d01032,pos
B012,d01046,pos
B012,d01060,pos
B012,d01074,pos
B012,d01088,pos
B012,d01102,pos
B012,d01116,pos
B012,d01130,pos
B012,d01144,pos
B012,d01158,pos
B012,d01172,pos
B012,d01186,pos
B012,d01200,pos
B012,d01214,pos
B012,d01228,pos
B012,d01242,pos
B012,d01256,pos
B012,d01270,pos
B012,d01284,pos
B012,d01298,pos
B012,d01312,pos
B012,d01326,pos
B012,d01340,pos
B012,d01354,pos
B012,d01368,pos
B012,d01382,pos
B012,d01396,pos
B012,d01410,pos
B012,d01424,pos
B012,d01438,pos
B012,d01452,pos
B012,d00739,neg
B012,d00753,neg
B012,d00767,neg
B012,d00781,neg
B012,d00795,neg
B012,d00809,neg
B012,d00823,neg
B012,d00837,neg
B012,d00851,neg
B012,d00865,neg
B012,d00879,neg
B012,d00893,neg
B012,d00907,neg
B012,d00921,neg
B012,d00935,neg
B012,d00949,neg
B012,d00963,neg
B012,d00977,neg
B012,d00991,neg
B012,d01005,neg
B012,d01019,neg
B012,d01033,neg
B012,d01047,neg
B012,d01061,neg
B012,d01075,neg
B012,d01089,neg
B012,d01103,neg
B012,d01117,neg
B012,d01131,neg
B012,d01145,neg
B012,d01159,neg
B012,d01173,neg
B012,d01187,neg
B012,d01201,neg
B012,d01215,neg
B012,d01229,neg
B012,d01243,neg
B012,d01257,neg
B012,d01271,neg
B012,d01285,neg
B012,d01299,neg
B012,d01313,neg
B012,d01327,neg
B012,d01341,neg
B012,d01355,neg
B012,d01369,neg
B012,d01383,neg
B012,d01397,neg
B012,d01411,neg
B012,d01425,neg
B012,d01439,neg
B012,d01453,neg
B013,d00740,pos
B013,d00754,pos
B013,d00768,pos
B013,d00782,pos
B013,d00796,pos
B013,d00810,pos
B013,d00824,pos
B013,d00838,pos
B013,d00852,pos
B013,d00866,pos
B013,d00880,pos
B013,d00894,pos
B013,d00908,pos
B013,d00922,pos
B013,d00936,pos
B013,d00950,pos
B013,d00964,pos
B013,d00978,pos
B013,d00992,pos
B013,d01006,pos
B013,d01020,pos
B013,d01034,pos
B013,d01048,pos
B013,d01062,pos
B013,d01076,pos
B013,d01090,pos
B013,d01104,pos
B013,d01118,pos
B013,d01132,pos
B013,d01146,pos
B013,d01160,pos
B013,d01174,pos
B013,d01188,pos
B013,d01202,pos
B013,d01216,pos
B013,d01230,pos
B013,d01244,pos
B013,d01258,pos
B013,d01272,pos
B013,d01286,pos
B013,d01300,pos
B013,d01314,pos
B013,d01328,pos
B013,d01342,pos
B013,d01356,pos
