case_id,requirement_id,coverage_value
C001,R000764,3
C001,R000765,8
C001,R000767,3
C001,R000768,5
C001,R000769,6
C001,R000770,10
C001,R000773,2
C001,R000775,5
C001,R000776,14
C001,R000777,7
C001,R000778,13
C001,R000779,9
C001,R000781,3
C001,R000782,7
C001,R000785,10
C001,R000786,3
C001,R000787,3
C001,R000789,5
C001,R000790,5
C001,R000792,3
C001,R000793,2
C001,R000796,5
C001,R000797,3
C001,R000800,4
C001,R000803,3
C001,R000805,3
C001,R000810,2
C001,R000811,1
C001,R000812,6
C001,R000813,5
C001,R000814,6
C001,R000819,15
C001,R000820,5
C001,R000823,3
C001,R000825,13
C001,R000828,4
C001,R000829,1
C001,R000830,1
C001,R000833,3
C001,R000836,4
C001,R000837,15
C001,R000838,11
C001,R000841,9
C001,R000845,3
C001,R000848,6
C001,R000853,1
C001,R000856,3
C001,R000858,3
C001,R000859,4
C001,R000860,7
C001,R000861,7
C001,R000863,2
C001,R000866,5
C001,R000869,4
C001,R000871,6
C001,R000874,7
C001,R000877,5
C001,R000879,2
C001,R000880,5
C001,R000886,3
C001,R000890,1
C001,R000891,11
C001,R000894,6
C001,R000895,6
C001,R000896,4
C001,R000898,1
C001,R000903,6
C001,R000906,8
C001,R000907,2
C001,R000909,1
C001,R000912,2
C001,R000913,2
C001,R000914,2
C001,R000919,2
C001,R000922,5
C001,R000923,3
C001,R000925,4
C001,R000926,9
C001,R000928,6
C001,R000929,1
C001,R000931,3
C001,R000933,6
C001,R000935,3
C001,R000936,14
C001,R000939,12
C001,R000941,4
C001,R000949,9
C001,R000950,2
C001,R000954,3
C001,R000955,3
C001,R000958,1
C001,R000959,2
C001,R000960,1
C001,R000962,5
C001,R000963,7
C001,R000967,15
C001,R000977,2
C001,R000978,7
C001,R000980,4
C001,R000981,1
C001,R000983,6
C001,R000985,3
C001,R000986,3
C001,R000987,3
C001,R000988,1
C001,R000989,1
C001,R000996,7
C001,R000999,7
C001,R001000,1
C001,R001002,3
C001,R001004,11
C001,R001005,3
C001,R001006,3
C001,R001010,7
C001,R001012,3
C001,R001013,1
C001,R001015,9
C001,R001016,1
C001,R001020,15
C001,R001022,5
C001,R001023,4
C001,R001026,12
C001,R001027,5
C001,R001034,6
C001,R001035,2
C001,R001036,11
C001,R001037,7
C001,R001038,6
C001,R001039,4
C001,R001041,5
C001,R001042,9
C001,R001045,15
C001,R001046,1
C001,R001049,10
C001,R001051,1
C001,R001054,14
C001,R001056,4
C001,R001057,13
C001,R001058,5
C001,R001059,2
C001,R001061,1
C001,R001062,7
C001,R001063,4
C001,R001065,2
C001,R001066,1
C001,R001072,1
C001,R001073,4
C001,R001074,4
C001,R001076,2
C001,R001079,4
C001,R001080,3
C001,R001083,6
C001,R001084,7
C001,R001085,4
C001,R001088,1
C001,R001089,7
C001,R001092,11
C001,R001095,3
C001,R001098,8
C001,R001100,4
C001,R001102,4
C001,R001103,2
C001,R001104,3
C001,R001105,4
C001,R001108,10
C001,R001109,7
C001,R001110,4
C001,R001111,10
C001,R001112,3
C001,R001113,7
C001,R001115,13
C001,R001119,4
C001,R001127,12
C001,R001129,6
C001,R001132,1
C001,R001133,1
C001,R001136,7
C001,R001137,1
C001,R001141,2
C001,R001142,6
C001,R001145,2
C001,R001152,6
C001,R001153,2
C001,R001154,3
C001,R001161,8
C001,R001163,12
C001,R001164,2
C001,R001168,1
C001,R001173,6
C001,R001174,1
C001,R001175,1
C001,R001176,3
C001,R001179,12
C001,R001181,4
C001,R001182,3
C001,R001184,3
C001,R001186,13
C001,R001189,7
C001,R001190,1
C001,R001192,3
C001,R001193,12
C001,R001194,12
C001,R001195,9
C001,R001196,5
C001,R001197,3
C001,R001198,1
C001,R001202,5
C001,R001203,3
C001,R001204,2
C001,R001205,1
C001,R001206,7
C001,R001209,1
C001,R001210,2
C001,R001211,5
C001,R001212,15
C001,R001213,15
C001,R001216,2
C001,R001217,3
C001,R001218,5
C001,R001221,4
C001,R001223,4
C001,R001230,3
C001,R001231,5
C001,R001232,6
C001,R001233,5
C001,R001234,4
C001,R001235,6
C001,R001237,3
C001,R001239,6
C001,R001240,2
C001,R001242,8
C001,R001244,2
C001,R001246,11
C001,R001248,4
C001,R001252,5
C001,R001256,1
C001,R001257,5
C001,R001261,7
C001,R001264,6
C001,R001268,4
C001,R001269,1
C001,R001270,4
C001,R001271,2
C001,R001282,3
C001,R001284,1
C001,R001287,4
C001,R001291,3
C001,R001292,4
C001,R001294,3
C001,R001298,2
C001,R001301,2
C001,R001303,7
C001,R001306,3
C001,R001308,7
C001,R001310,3
C001,R001312,6
C001,R001316,4
C001,R001318,8
C001,R001321,3
C001,R001323,6
C001,R001327,1
C001,R001328,7
C001,R001329,4
C001,R001330,5
C001,R001333,2
C001,R001337,11
C001,R001338,4
C001,R001339,5
C001,R001341,11
C001,R001342,13
C001,R001343,4
C001,R001344,2
C001,R001345,2
C001,R001346,3
C001,R001348,10
C001,R001349,3
C001,R001351,11
C001,R001354,1
C001,R001356,4
C001,R001357,4
C001,R001358,7
C001,R001360,3
C001,R001361,4
C001,R001363,5
C001,R001368,4
C001,R001369,1
C001,R001379,2
C001,R001380,6
C001,R001381,3
C001,R001383,2
C001,R001384,2
C001,R001385,11
C001,R001388,5
C001,R001389,3
C001,R001392,5
C001,R001393,13
C001,R001395,3
C001,R001397,2
C001,R001400,11
C001,R001402,9
C001,R001403,11
C001,R001404,1
C001,R001405,1
C001,R001407,5
C001,R001408,4
C001,R001410,12
C001,R001414,1
C001,R001416,2
C001,R001417,2
C001,R001418,5
C001,R001419,1
C001,R001420,13
C001,R001423,3
C001,R001425,1
C001,R001427,5
C001,R001430,11
C001,R001432,1
C001,R001435,6
C001,R001437,7
C001,R001438,5
C001,R001439,8
C001,R001440,10
C001,R001441,4
C001,R001442,3
C001,R001444,5
C001,R001445,5
C001,R001446,4
C001,R001447,7
C001,R001448,3
C001,R001449,11
C001,R001451,8
C001,R001455,7
C001,R001459,1
C001,R001460,1
C001,R001462,8
C001,R001464,1
C001,R001467,3
C001,R001468,3
C001,R001470,7
C001,R001471,6
C001,R001475,4
C001,R001477,5
C001,R001482,2
C001,R001485,2
C001,R001486,3
C001,R001487,10
C001,R001490,1
C001,R001491,4
C001,R001494,6
C001,R001495,3
C001,R001497,6
C001,R001498,5
C001,R001499,3
C001,R001501,7
C001,R001502,1
C001,R001505,1
C001,R001507,3
C001,R001510,5
C001,R001511,4
C001,R001513,7
C001,R001514,2
C001,R001516,9
C001,R001520,1
C001,R001521,4
C001,R001523,3
C001,R001526,2
C001,R001527,1
C001,R001528,1
C001,R001529,4
C001,R001531,12
C001,R001534,2
C001,R001535,1
C001,R001536,2
C001,R001537,6
C001,R001542,4
C001,R001544,3
C001,R001549,2
C001,R001551,3
C001,R001553,10
C001,R001554,4
C001,R001555,1
C001,R001559,2
C001,R001560,5
C001,R001563,14
C001,R001564,6
C001,R001567,1
C001,R001569,4
C001,R001570,5
C001,R001571,10
C001,R001572,3
C001,R001573,9
C001,R001574,5
C001,R001575,3
C001,R001577,2
C001,R001578,12
C001,R001579,5
C001,R001582,3
C001,R001583,3
C001,R001584,12
C001,R001588,1
C001,R001589,3
C001,R001590,3
C001,R001591,2
C001,R001594,6
C001,R001595,10
C001,R001596,1
C001,R001597,5
C001,R001599,6
C001,R001600,5
C001,R001602,1
C001,R001603,8
C001,R001604,3
C001,R001606,15
C001,R001609,3
C001,R001610,15
C001,R001613,7
C001,R001614,2
C001,R001615,4
C001,R001616,3
C001,R001617,4
C001,R001618,2
C001,R001619,2
C001,R001620,5
C001,R001621,2
C001,R001622,3
C001,R001624,2
C001,R001625,6
C001,R001626,4
C001,R001627,11
C001,R001628,2
C001,R001630,10
C001,R001635,4
C001,R001637,7
C001,R001642,1
C001,R001644,3
C001,R001648,8
C001,R001651,5
C001,R001653,9
C001,R001654,6
C001,R001657,1
C001,R001658,2
C001,R001659,2
C001,R001660,8
C001,R001661,1
C001,R001662,5
C001,R001668,3
C001,R001671,2
C001,R001675,2
C001,R001677,11
C001,R001678,7
C001,R001680,6
C001,R001687,7
C001,R001690,1
C001,R001691,3
C001,R001693,1
C001,R001695,1
C001,R001696,8
C001,R001697,4
C001,R001698,3
C001,R001700,5
C001,R001702,2
C001,R001705,13
C001,R001706,8
C001,R001710,9
C001,R001712,2
C001,R001716,5
C001,R001718,4
C001,R001721,2
C001,R001728,1
C001,R001729,1
C001,R001732,9
C001,R001733,1
C001,R001740,2
C001,R001741,3
C001,R001742,9
C001,R001743,3
C001,R001744,1
C001,R001745,3
C001,R001746,5
C001,R001747,6
C001,R001750,2
C001,R001751,1
C001,R001753,13
C001,R001755,1
C001,R001757,6
C001,R001758,5
C001,R001761,1
C001,R001763,7
C001,R001765,1
C001,R001766,3
C001,R001767,2
C001,R001768,5
C001,R001769,4
C001,R001774,10
C001,R001776,12
C001,R001778,9
C001,R001779,3
C001,R001780,1
C001,R001781,1
C001,R001783,11
C001,R001784,2
C001,R001787,1
C001,R001789,10
C001,R001790,4
C001,R001792,1
C001,R001797,8
C001,R001798,7
C001,R001799,4
C001,R001803,2
C001,R001804,2
C001,R001807,4
C001,R001809,1
C001,R001810,7
C001,R001814,10
C001,R001815,3
C001,R001817,4
C001,R001818,3
C001,R001820,8
C001,R001822,2
C001,R001826,2
C001,R001828,3
C001,R001830,6
C001,R001832,8
C001,R001833,3
C001,R001835,4
C001,R001839,2
C001,R001841,3
C001,R001848,1
C001,R001852,4
C001,R001855,2
C001,R001856,2
C001,R001857,1
C001,R001860,1
C001,R001861,3
C001,R001867,2
C001,R001868,2
C001,R001872,1
C001,R001873,1
C001,R001876,5
C001,R001877,6
C001,R001878,11
C001,R001879,1
C001,R001880,1
C001,R001882,2
C001,R001885,1
C001,R001887,2
C001,R001889,1
C001,R001890,3
C001,R001891,9
C001,R001892,3
C001,R001900,6
C001,R001905,1
C001,R001908,3
C001,R001910,1
C001,R001911,5
C001,R001913,5
C001,R001914,13
C001,R001916,2
C001,R001918,2
C001,R001919,1
C001,R001921,7
C001,R001924,3
C001,R001925,2
C001,R001926,4
C001,R001928,2
C001,R001929,11
C001,R001930,1
C001,R001931,2
C001,R001934,1
C001,R001935,7
C001,R001936,2
C001,R001939,3
C001,R001940,1
C001,R001941,8
C001,R001942,1
C001,R001944,1
C001,R001945,1
C001,R001946,1
C001,R001953,3
C001,R001956,11
C001,R001957,2
C001,R001959,6
C001,R001960,3
C001,R001961,6
C001,R001962,1
C001,R001963,2
C001,R001964,5
C001,R001965,7
C001,R001966,2
C001,R001967,9
C001,R001970,7
C001,R001971,3
C001,R001972,12
C001,R001973,2
C001,R001975,5
C001,R001978,9
C001,R001980,1
C001,R001983,5
C001,R001985,8
C001,R001986,4
C001,R001988,1
C001,R001989,3
C001,R001991,1
C001,R001992,5
C001,R001996,5
C001,R001997,2
C001,R001998,7
C001,R002000,2
C001,R002001,2
C001,R002002,3
C001,R002003,4
C001,R002004,5
C001,R002005,5
C001,R002006,12
C001,R002008,3
C001,R002009,5
C001,R002010,10
C001,R002011,7
C001,R002012,1
C001,R002015,1
C001,R002018,1
C001,R002019,4
C001,R002024,1
C001,R002025,9
C001,R002029,1
C001,R002030,2
C001,R002031,5
C001,R002034,2
C001,R002036,3
C001,R002037,9
C001,R002038,9
C001,R002039,8
C001,R002043,6
C001,R002044,2
C001,R002048,3
C001,R002049,15
C001,R002050,1
C001,R002056,6
C001,R002057,7
C001,R002059,2
C001,R002061,15
C001,R002064,5
C001,R002067,2
C001,R002068,1
C001,R002069,8
C001,R002070,3
C001,R002073,4
C001,R002074,10
C001,R002078,2
C001,R002079,5
C001,R002080,4
C001,R002082,3
C001,R002087,1
C001,R002088,5
C001,R002089,2
C001,R002092,4
C001,R002093,15
C001,R002094,3
C001,R002095,2
C001,R002097,6
C001,R002098,1
C001,R002099,4
C001,R002100,4
C001,R002102,7
C001,R002104,2
C001,R002106,10
C001,R002108,1
C001,R002109,2
C001,R002110,4
C001,R002112,1
C001,R002113,2
C001,R002116,3
C001,R002120,3
C001,R002121,3
C001,R002122,4
C001,R002124,10
C001,R002125,1
C001,R002130,5
C001,R002132,15
C001,R002133,2
C001,R002135,13
C001,R002136,3
C001,R002137,3
C001,R002141,1
C001,R002142,2
C001,R002145,6
C001,R002146,2
C001,R002149,8
C001,R002150,6
C001,R002153,1
C001,R002154,3
C001,R002155,1
C001,R002156,4
C001,R002157,7
C001,R002159,1
C001,R002161,8
C001,R002166,5
C001,R002171,2
C001,R002175,1
C001,R002177,5
C001,R002178,5
C001,R002179,2
C001,R002182,3
C001,R002186,2
C001,R002188,3
C001,R002190,5
C001,R002191,1
C001,R002192,5
C001,R002195,6
C001,R002196,1
C001,R002197,1
C001,R002200,2
C001,R002201,10
C001,R002203,4
C001,R002204,3
C001,R002205,13
C001,R002206,3
C001,R002209,7
C001,R002213,3
C001,R002214,2
C001,R002215,3
C001,R002216,6
C001,R002217,2
C001,R002220,8
C001,R002224,5
C001,R002227,8
C001,R002228,15
C001,R002230,6
C001,R002233,3
C001,R002234,2
C001,R002237,7
C001,R002241,3
C001,R002242,2
C001,R002245,4
C001,R002247,2
C001,R002248,4
C001,R002249,5
C001,R002250,1
C001,R002251,2
C001,R002255,2
C001,R002257,1
C001,R002258,1
C001,R002262,3
C001,R002263,5
C001,R002264,4
C001,R002267,1
C001,R002270,1
C001,R002276,2
C001,R002277,1
C001,R002279,4
C001,R002280,14
C001,R002283,1
C001,R002285,1
C001,R002287,5
C001,R002289,7
C001,R002290,4
C001,R002291,2
C001,R002294,15
C001,R002295,3
C001,R002296,1
C001,R002297,3
C001,R002298,15
C001,R002299,7
C001,R002300,6
C001,R002301,6
C001,R002303,2
C001,R002304,5
C001,R002305,2
C001,R002306,7
C001,R002307,7
C001,R002309,1
C001,R002311,8
C001,R002312,11
C001,R002314,14
C001,R002318,3
C001,R002321,4
C001,R002327,8
C001,R002328,6
C001,R002330,8
C001,R002331,3
C001,R002340,2
C001,R002345,4
C001,R002347,1
C001,R002349,2
C001,R002350,2
C001,R002351,1
C001,R002352,2
C001,R002354,10
C001,R002359,11
C001,R002361,2
C001,R002362,11
C001,R002363,6
C001,R002364,3
C001,R002371,3
C001,R002372,2
C001,R002373,3
C001,R002374,8
C001,R002375,2
C001,R002378,1
C001,R002380,1
C001,R002381,6
C001,R002382,4
C001,R002383,5
C001,R002390,1
C001,R002394,4
C001,R002398,2
C001,R002402,5
C001,R002403,7
C001,R002404,13
C001,R002405,1
C001,R002406,7
C001,R002407,5
C001,R002408,1
C001,R002410,9
C001,R002412,4
C001,R002413,14
C001,R002414,3
C001,R002415,5
C001,R002418,4
C001,R002420,11
C001,R002423,7
C001,R002426,6
C001,R002434,4
C001,R002437,1
C001,R002438,13
C001,R002439,6
C001,R002441,5
C001,R002445,3
C001,R002447,4
C001,R002449,3
C001,R002450,5
C001,R002452,4
C001,R002453,3
C001,R002454,4
C001,R002456,2
C001,R002457,15
C001,R002458,10
C001,R002459,7
C001,R002460,3
C001,R002461,7
C001,R002463,9
C001,R002465,5
C001,R002467,2
C001,R002469,3
C001,R002470,15
C001,R002472,2
C001,R002474,1
C001,R002475,12
C001,R002480,5
C001,R002481,1
C001,R002484,4
C001,R002485,9
C001,R002486,6
C001,R002488,6
C001,R002489,8
C001,R002494,2
C001,R002495,8
C001,R002497,7
C001,R002498,15
C001,R002500,13
C001,R002502,5
C001,R002503,7
C001,R002506,3
C001,R002507,7
C001,R002508,12
C001,R002510,6
C001,R002514,2
C001,R002515,13
C001,R002517,1
C001,R002520,6
C001,R002523,4
C001,R002525,4
C001,R002530,1
C001,R002532,6
C001,R002537,1
C001,R002540,3
C001,R002541,5
C001,R002543,5
C001,R002544,1
C001,R002546,1
C001,R002547,7
C001,R002550,4
C001,R002553,8
C001,R002556,3
C001,R002557,5
C001,R002558,1
C001,R002559,7
C001,R002560,4
C001,R002561,2
C001,R002562,2
C001,R002565,4
C001,R002566,10
C001,R002567,1
C001,R002569,12
C001,R002570,1
C001,R002576,3
C001,R002577,11
C001,R002578,4
C001,R002579,3
C001,R002582,10
C001,R002583,2
C001,R002585,10
C001,R002588,2
C001,R002595,13
C001,R002597,3
C001,R002598,4
C001,R002600,11
C001,R002603,2
C001,R002605,3
C001,R002606,1
C001,R002607,1
C001,R002610,3
C001,R002611,12
C001,R002613,3
C001,R002614,8
C001,R002615,8
C001,R002619,3
C001,R002620,6
C001,R002623,4
C001,R002626,8
C001,R002627,1
C001,R002630,6
C001,R002632,7
C001,R002633,6
C001,R002636,13
C001,R002638,6
C001,R002640,4
C001,R002642,7
C001,R002643,4
C001,R002644,4
C001,R002645,5
C001,R002646,7
C001,R002647,7
C001,R002648,4
C001,R002649,3
C001,R002650,15
C001,R002653,2
C001,R002657,4
C001,R002660,6
C001,R002665,3
C001,R002668,1
C001,R002670,4
C001,R002671,9
C001,R002672,1
C001,R002678,6
C001,R002680,6
C001,R002681,2
C001,R002683,5
C001,R002685,11
C001,R002687,4
C001,R002689,2
C001,R002690,3
C001,R002692,5
C001,R002694,15
C001,R002695,7
C001,R002701,8
C001,R002702,1
C001,R002703,4
C001,R002704,6
C001,R002705,4
C001,R002708,10
C001,R002710,4
C001,R002712,5
C001,R002713,3
C001,R002716,5
C001,R002717,12
C001,R002722,5
C001,R002723,14
C001,R002724,3
C001,R002725,1
C001,R002727,3
C001,R002728,7
C001,R002730,3
C001,R002734,5
C001,R002738,2
C001,R002739,15
C001,R002740,9
C001,R002743,4
C001,R002745,2
C001,R002746,3
C001,R002750,2
C001,R002751,4
C001,R002752,3
C001,R002753,11
C001,R002755,3
C001,R002757,2
C001,R002759,7
C001,R002761,3
C001,R002764,1
C001,R002767,6
C001,R002769,2
C001,R002770,6
C001,R002775,7
C001,R002776,6
C001,R002778,3
C001,R002780,7
C001,R002783,9
C001,R002784,3
C001,R002785,4
C001,R002789,2
C001,R002792,5
C001,R002793,2
C001,R002794,2
C001,R002795,5
C001,R002799,6
C001,R002802,3
C001,R002803,13
C001,R002805,3
C001,R002809,11
C001,R002818,1
C001,R002819,5
C001,R002822,4
C001,R002828,2
C001,R002829,5
C001,R002832,6
C001,R002833,5
C001,R002834,10
C001,R002835,4
C001,R002837,1
C001,R002839,7
C001,R002841,10
C001,R002843,1
C001,R002844,3
C001,R002845,12
C001,R002846,6
C001,R002847,3
C001,R002848,7
C001,R002854,9
C001,R002855,2
C001,R002856,4
C001,R002857,2
C001,R002860,5
C001,R002861,5
C001,R002863,9
C001,R002864,1
C001,R002866,1
C001,R002867,3
C001,R002870,15
C001,R002873,7
C001,R002875,4
C001,R002876,4
C001,R002877,3
C001,R002880,2
C001,R002882,2
C001,R002886,1
C001,R002887,3
C001,R002888,1
C001,R002890,4
C001,R002891,12
C001,R002892,4
C001,R002894,1
C001,R002895,6
C001,R002897,3
C001,R002902,8
C001,R002903,3
C001,R002904,2
C001,R002910,2
C001,R002912,3
C001,R002914,1
C001,R002915,3
C001,R002917,4
C001,R002918,5
C001,R002922,1
C001,R002924,3
C001,R002925,2
C001,R002926,3
C001,R002927,2
C001,R002928,9
C001,R002929,8
C001,R002932,7
C001,R002933,4
C001,R002934,5
C001,R002936,15
C001,R002937,1
C001,R002941,5
C001,R002942,3
C001,R002943,3
C001,R002944,1
C001,R002946,5
C001,R002947,3
C001,R002948,7
C001,R002951,4
C001,R002952,10
C001,R002953,5
C001,R002954,2
C001,R002958,7
C001,R002959,4
C001,R002960,14
C001,R002963,1
C001,R002964,3
C001,R002967,3
C001,R002968,1
C001,R002969,1
C001,R002970,1
C001,R002972,5
C001,R002974,4
C001,R002977,1
C001,R002979,6
C001,R002980,2
C001,R002981,3
C001,R002983,3
C001,R002984,2
C001,R002985,2
C001,R002986,3
C001,R002987,2
C001,R002989,12
C001,R002990,7
C001,R002993,7
C001,R002996,1
C001,R002997,2
C001,R003000,9
C001,R003002,12
C001,R003003,3
C001,R003005,5
C001,R003008,1
C001,R003009,2
C001,R003015,3
C001,R003017,3
C001,R003019,9
C001,R003020,6
C001,R003021,3
C001,R003026,7
C001,R003027,1
C001,R003032,8
C001,R003033,2
C001,R003034,1
C001,R003035,7
C001,R003037,9
C001,R003039,5
C001,R003043,6
C001,R003046,3
C001,R003049,8
C001,R003050,7
C001,R003052,1
C001,R003060,6
C001,R003062,1
C001,R003064,4
C001,R003065,2
C001,R003066,7
C001,R003068,6
C001,R003069,11
C001,R003072,6
C001,R003073,1
C001,R003074,2
C001,R003075,3
C001,R003077,7
C001,R003084,2
C001,R003085,13
C001,R003087,5
C001,R003088,3
C001,R003089,4
C001,R003095,1
C001,R003096,8
C001,R003100,4
C001,R003101,6
C001,R003104,9
C001,R003105,2
C001,R003106,4
C001,R003109,3
C001,R003112,6
C001,R003113,2
C001,R003114,6
C001,R003116,13
