requirement_id,requirement_name,coverage_threshold,original_constr_name,description
R000233,Customer_Requirement_233,16,c233,Customer requirement 233
R000234,Customer_Requirement_234,2,c234,Customer requirement 234
R000235,Customer_Requirement_235,-2,c235,Customer requirement 235
R000236,Customer_Requirement_236,8,c236,Customer requirement 236
R000237,Customer_Requirement_237,11,c237,Customer requirement 237
R000238,Customer_Requirement_238,9,c238,Customer requirement 238
R000239,Customer_Requirement_239,9,c239,Customer requirement 239
R000240,Customer_Requirement_240,2,c240,Customer requirement 240
R000241,Customer_Requirement_241,8,c241,Customer requirement 241
R000242,Customer_Requirement_242,15,c242,Customer requirement 242
R000243,Customer_Requirement_243,11,c243,Customer requirement 243
R000244,Customer_Requirement_244,21,c244,Customer requirement 244
R000245,Customer_Requirement_245,9,c245,Customer requirement 245
R000246,Customer_Requirement_246,24,c246,Customer requirement 246
R000247,Customer_Requirement_247,4,c247,Customer requirement 247
R000248,Customer_Requirement_248,5,c248,Customer requirement 248
R000249,Customer_Requirement_249,17,c249,Customer requirement 249
R000250,Customer_Requirement_250,9,c250,Customer requirement 250
R000251,Customer_Requirement_251,13,c251,Customer requirement 251
R000252,Customer_Requirement_252,11,c252,Customer requirement 252
R000253,Customer_Requirement_253,5,c253,Customer requirement 253
R000254,Customer_Requirement_254,18,c254,Customer requirement 254
R000255,Customer_Requirement_255,-6,c255,Customer requirement 255
R000256,Customer_Requirement_256,15,c256,Customer requirement 256
R000257,Customer_Requirement_257,8,c257,Customer requirement 257
R000258,Customer_Requirement_258,8,c258,Customer requirement 258
R000259,Customer_Requirement_259,13,c259,Customer requirement 259
R000260,Customer_Requirement_260,19,c260,Customer requirement 260
R000261,Customer_Requirement_261,-7,c261,Customer requirement 261
R000262,Customer_Requirement_262,11,c262,Customer requirement 262
R000263,Customer_Requirement_263,2,c263,Customer requirement 263
R000264,Customer_Requirement_264,3,c264,Customer requirement 264
R000265,Customer_Requirement_265,16,c265,Customer requirement 265
R000266,Customer_Requirement_266,11,c266,Customer requirement 266
R000267,Customer_Requirement_267,4,c267,Customer requirement 267
R000268,Customer_Requirement_268,-8,c268,Customer requirement 268
R000269,Customer_Requirement_269,7,c269,Customer requirement 269
R000270,Customer_Requirement_270,4,c270,Customer requirement 270
R000271,Customer_Requirement_271,-3,c271,Customer requirement 271
R000272,Customer_Requirement_272,12,c272,Customer requirement 272
R000273,Customer_Requirement_273,20,c273,Customer requirement 273
R000274,Customer_Requirement_274,-6,c274,Customer requirement 274
R000275,Customer_Requirement_275,10,c275,Customer requirement 275
R000276,Customer_Requirement_276,6,c276,Customer requirement 276
R000277,Customer_Requirement_277,13,c277,Customer requirement 277
R000278,Customer_Requirement_278,6,c278,Customer requirement 278
R000279,Customer_Requirement_279,-10,c279,Customer requirement 279
R000280,Customer_Requirement_280,1,c280,Customer requirement 280
R000281,Customer_Requirement_281,14,c281,Customer requirement 281
R000282,Customer_Requirement_282,1,c282,Customer requirement 282
R000283,Customer_Requirement_283,13,c283,Customer requirement 283
R000284,Customer_Requirement_284,-2,c284,Customer requirement 284
R000285,Customer_Requirement_285,4,c285,Customer requirement 285
R000286,Customer_Requirement_286,10,c286,Customer requirement 286
R000287,Customer_Requirement_287,7,c287,Customer requirement 287
R000288,Customer_Requirement_288,-5,c288,Customer requirement 288
R000289,Customer_Requirement_289,23,c289,Customer requirement 289
R000290,Customer_Requirement_290,9,c290,Customer requirement 290
R000291,Customer_Requirement_291,14,c291,Customer requirement 291
R000292,Customer_Requirement_292,9,c292,Customer requirement 292
R000293,Customer_Requirement_293,14,c293,Customer requirement 293
R000294,Customer_Requirement_294,10,c294,Customer requirement 294
R000295,Customer_Requirement_295,14,c295,Customer requirement 295
R000296,Customer_Requirement_296,-6,c296,Customer requirement 296
R000297,Customer_Requirement_297,4,c297,Customer requirement 297
R000298,Customer_Requirement_298,23,c298,Customer requirement 298
R000299,Customer_Requirement_299,-2,c299,Customer requirement 299
R000300,Customer_Requirement_300,18,c300,Customer requirement 300
R000301,Customer_Requirement_301,-7,c301,Customer requirement 301
R000302,Customer_Requirement_302,22,c302,Customer requirement 302
R000303,Customer_Requirement_303,13,c303,Customer requirement 303
R000304,Customer_Requirement_304,13,c304,Customer requirement 304
R000305,Customer_Requirement_305,10,c305,Customer requirement 305
R000306,Customer_Requirement_306,22,c306,Customer requirement 306
R000307,Customer_Requirement_307,-4,c307,Customer requirement 307
R000308,Customer_Requirement_308,16,c308,Customer requirement 308
R000309,Customer_Requirement_309,18,c309,Customer requirement 309
R000310,Customer_Requirement_310,11,c310,Customer requirement 310
R000311,Customer_Requirement_311,22,c311,Customer requirement 311
R000312,Customer_Requirement_312,-9,c312,Customer requirement 312
R000313,Customer_Requirement_313,24,c313,Customer requirement 313
R000314,Customer_Requirement_314,11,c314,Customer requirement 314
R000315,Customer_Requirement_315,7,c315,Customer requirement 315
R000316,Customer_Requirement_316,10,c316,Customer requirement 316
R000317,Customer_Requirement_317,-9,c317,Customer requirement 317
R000318,Customer_Requirement_318,9,c318,Customer requirement 318
R000319,Customer_Requirement_319,7,c319,Customer requirement 319
R000320,Customer_Requirement_320,22,c320,Customer requirement 320
R000321,Customer_Requirement_321,11,c321,Customer requirement 321
R000322,Customer_Requirement_322,3,c322,Customer requirement 322
R000323,Customer_Requirement_323,8,c323,Customer requirement 323
R000324,Customer_Requirement_324,14,c324,Customer requirement 324
R000325,Customer_Requirement_325,24,c325,Customer requirement 325
R000326,Customer_Requirement_326,9,c326,Customer requirement 326
R000327,Customer_Requirement_327,10,c327,Customer requirement 327
R000328,Customer_Requirement_328,14,c328,Customer requirement 328
R000329,Customer_Requirement_329,5,c329,Customer requirement 329
R000330,Customer_Requirement_330,14,c330,Customer requirement 330
R000331,Customer_Requirement_331,14,c331,Customer requirement 331
R000332,Customer_Requirement_332,2,c332,Customer requirement 332
R000333,Customer_Requirement_333,5,c333,Customer requirement 333
R000334,Customer_Requirement_334,0,c334,Customer requirement 334
R000335,Customer_Requirement_335,-4,c335,Customer requirement 335
R000336,Customer_Requirement_336,10,c336,Customer requirement 336
R000337,Customer_Requirement_337,24,c337,Customer requirement 337
R000338,Customer_Requirement_338,-1,c338,Customer requirement 338
R000339,Customer_Requirement_339,22,c339,Customer requirement 339
R000340,Customer_Requirement_340,2,c340,Customer requirement 340
R000341,Customer_Requirement_341,4,c341,Customer requirement 341
R000342,Customer_Requirement_342,14,c342,Customer requirement 342
R000343,Customer_Requirement_343,3,c343,Customer requirement 343
R000344,Customer_Requirement_344,15,c344,Customer requirement 344
R000345,Customer_Requirement_345,6,c345,Customer requirement 345
R000346,Customer_Requirement_346,9,c346,Customer requirement 346
R000347,Customer_Requirement_347,8,c347,Customer requirement 347
R000348,Customer_Requirement_348,8,c348,Customer requirement 348
R000349,Customer_Requirement_349,8,c349,Customer requirement 349
R000350,Customer_Requirement_350,12,c350,Customer requirement 350
R000351,Customer_Requirement_351,0,c351,Customer requirement 351
R000352,Customer_Requirement_352,11,c352,Customer requirement 352
R000353,Customer_Requirement_353,-4,c353,Customer requirement 353
R000354,Customer_Requirement_354,8,c354,Customer requirement 354
R000355,Customer_Requirement_355,13,c355,Customer requirement 355
R000356,Customer_Requirement_356,23,c356,Customer requirement 356
R000357,Customer_Requirement_357,22,c357,Customer requirement 357
R000358,Customer_Requirement_358,3,c358,Customer requirement 358
R000359,Customer_Requirement_359,2,c359,Customer requirement 359
R000360,Customer_Requirement_360,14,c360,Customer requirement 360
R000361,Customer_Requirement_361,7,c361,Customer requirement 361
R000362,Customer_Requirement_362,14,c362,Customer requirement 362
R000363,Customer_Requirement_363,18,c363,Customer requirement 363
R000364,Customer_Requirement_364,21,c364,Customer requirement 364
R000365,Customer_Requirement_365,13,c365,Customer requirement 365
R000366,Customer_Requirement_366,11,c366,Customer requirement 366
R000367,Customer_Requirement_367,24,c367,Customer requirement 367
R000368,Customer_Requirement_368,10,c368,Customer requirement 368
R000369,Customer_Requirement_369,2,c369,Customer requirement 369
R000370,Customer_Requirement_370,13,c370,Customer requirement 370
R000371,Customer_Requirement_371,11,c371,Customer requirement 371
R000372,Customer_Requirement_372,9,c372,Customer requirement 372
R000373,Customer_Requirement_373,10,c373,Customer requirement 373
R000374,Customer_Requirement_374,9,c374,Customer requirement 374
R000375,Customer_Requirement_375,-3,c375,Customer requirement 375
R000376,Customer_Requirement_376,6,c376,Customer requirement 376
R000377,Customer_Requirement_377,11,c377,Customer requirement 377
R000378,Customer_Requirement_378,7,c378,Customer requirement 378
R000379,Customer_Requirement_379,20,c379,Customer requirement 379
R000380,Customer_Requirement_380,12,c380,Customer requirement 380
R000381,Customer_Requirement_381,6,c381,Customer requirement 381
R000382,Customer_Requirement_382,6,c382,Customer requirement 382
R000383,Customer_Requirement_383,10,c383,Customer requirement 383
R000384,Customer_Requirement_384,12,c384,Customer requirement 384
R000385,Customer_Requirement_385,4,c385,Customer requirement 385
R000386,Customer_Requirement_386,14,c386,Customer requirement 386
R000387,Customer_Requirement_387,4,c387,Customer requirement 387
R000388,Customer_Requirement_388,13,c388,Customer requirement 388
R000389,Customer_Requirement_389,7,c389,Customer requirement 389
R000390,Customer_Requirement_390,16,c390,Customer requirement 390
R000391,Customer_Requirement_391,19,c391,Customer requirement 391
R000392,Customer_Requirement_392,6,c392,Customer requirement 392
R000393,Customer_Requirement_393,0,c393,Customer requirement 393
R000394,Customer_Requirement_394,5,c394,Customer requirement 394
R000395,Customer_Requirement_395,5,c395,Customer requirement 395
R000396,Customer_Requirement_396,7,c396,Customer requirement 396
R000397,Customer_Requirement_397,15,c397,Customer requirement 397
R000398,Customer_Requirement_398,13,c398,Customer requirement 398
R000399,Customer_Requirement_399,12,c399,Customer requirement 399
R000400,Customer_Requirement_400,8,c400,Customer requirement 400
R000401,Customer_Requirement_401,7,c401,Customer requirement 401
R000402,Customer_Requirement_402,-8,c402,Customer requirement 402
R000403,Customer_Requirement_403,-4,c403,Customer requirement 403
R000404,Customer_Requirement_404,10,c404,Customer requirement 404
R000405,Customer_Requirement_405,14,c405,Customer requirement 405
R000406,Customer_Requirement_406,22,c406,Customer requirement 406
R000407,Customer_Requirement_407,14,c407,Customer requirement 407
R000408,Customer_Requirement_408,7,c408,Customer requirement 408
R000409,Customer_Requirement_409,10,c409,Customer requirement 409
R000410,Customer_Requirement_410,5,c410,Customer requirement 410
R000411,Customer_Requirement_411,-7,c411,Customer requirement 411
R000412,Customer_Requirement_412,4,c412,Customer requirement 412
R000413,Customer_Requirement_413,14,c413,Customer requirement 413
R000414,Customer_Requirement_414,14,c414,Customer requirement 414
R000415,Customer_Requirement_415,21,c415,Customer requirement 415
R000416,Customer_Requirement_416,10,c416,Customer requirement 416
R000417,Customer_Requirement_417,-10,c417,Customer requirement 417
R000418,Customer_Requirement_418,12,c418,Customer requirement 418
R000419,Customer_Requirement_419,16,c419,Customer requirement 419
R000420,Customer_Requirement_420,15,c420,Customer requirement 420
R000421,Customer_Requirement_421,22,c421,Customer requirement 421
R000422,Customer_Requirement_422,24,c422,Customer requirement 422
R000423,Customer_Requirement_423,4,c423,Customer requirement 423
R000424,Customer_Requirement_424,5,c424,Customer requirement 424
R000425,Customer_Requirement_425,-7,c425,Customer requirement 425
R000426,Customer_Requirement_426,-2,c426,Customer requirement 426
R000427,Customer_Requirement_427,8,c427,Customer requirement 427
R000428,Customer_Requirement_428,4,c428,Customer requirement 428
R000429,Customer_Requirement_429,13,c429,Customer requirement 429
R000430,Customer_Requirement_430,-8,c430,Customer requirement 430
R000431,Customer_Requirement_431,14,c431,Customer requirement 431
R000432,Customer_Requirement_432,12,c432,Customer requirement 432
R000433,Customer_Requirement_433,0,c433,Customer requirement 433
R000434,Customer_Requirement_434,9,c434,Customer requirement 434
R000435,Customer_Requirement_435,5,c435,Customer requirement 435
R000436,Customer_Requirement_436,-4,c436,Customer requirement 436
R000437,Customer_Requirement_437,19,c437,Customer requirement 437
R000438,Customer_Requirement_438,4,c438,Customer requirement 438
R000439,Customer_Requirement_439,14,c439,Customer requirement 439
R000440,Customer_Requirement_440,8,c440,Customer requirement 440
R000441,Customer_Requirement_441,-10,c441,Customer requirement 441
R000442,Customer_Requirement_442,-7,c442,Customer requirement 442
R000443,Customer_Requirement_443,16,c443,Customer requirement 443
R000444,Customer_Requirement_444,4,c444,Customer requirement 444
R000445,Customer_Requirement_445,-7,c445,Customer requirement 445
R000446,Customer_Requirement_446,11,c446,Customer requirement 446
R000447,Customer_Requirement_447,8,c447,Customer requirement 447
R000448,Customer_Requirement_448,5,c448,Customer requirement 448
R000449,Customer_Requirement_449,-3,c449,Customer requirement 449
R000450,Customer_Requirement_450,11,c450,Customer requirement 450
R000451,Customer_Requirement_451,7,c451,Customer requirement 451
R000452,Customer_Requirement_452,11,c452,Customer requirement 452
R000453,Customer_Requirement_453,8,c453,Customer requirement 453
R000454,Customer_Requirement_454,2,c454,Customer requirement 454
R000455,Customer_Requirement_455,20,c455,Customer requirement 455
R000456,Customer_Requirement_456,-5,c456,Customer requirement 456
R000457,Customer_Requirement_457,-1,c457,Customer requirement 457
R000458,Customer_Requirement_458,-5,c458,Customer requirement 458
R000459,Customer_Requirement_459,-9,c459,Customer requirement 459
R000460,Customer_Requirement_460,6,c460,Customer requirement 460
R000461,Customer_Requirement_461,21,c461,Customer requirement 461
R000462,Customer_Requirement_462,14,c462,Customer requirement 462
R000463,Customer_Requirement_463,9,c463,Customer requirement 463
R000464,Customer_Requirement_464,7,c464,Customer requirement 464
R000465,Customer_Requirement_465,22,c465,Customer requirement 465
R000466,Customer_Requirement_466,18,c466,Customer requirement 466
R000467,Customer_Requirement_467,15,c467,Customer requirement 467
R000468,Customer_Requirement_468,12,c468,Customer requirement 468
R000469,Customer_Requirement_469,9,c469,Customer requirement 469
R000470,Customer_Requirement_470,-7,c470,Customer requirement 470
R000471,Customer_Requirement_471,12,c471,Customer requirement 471
R000472,Customer_Requirement_472,-4,c472,Customer requirement 472
R000473,Customer_Requirement_473,-1,c473,Customer requirement 473
R000474,Customer_Requirement_474,10,c474,Customer requirement 474
R000475,Customer_Requirement_475,-6,c475,Customer requirement 475
R000476,Customer_Requirement_476,7,c476,Customer requirement 476
R000477,Customer_Requirement_477,-6,c477,Customer requirement 477
R000478,Customer_Requirement_478,4,c478,Customer requirement 478
