arc_id,x_var,y_var,fixed_cost
a0110,x...0110,y...0110,5.0
a0111,x...0111,y...0111,5.0
a0112,x...0112,y...0112,5.0
a0113,x...0113,y...0113,5.0
a0114,x...0114,y...0114,5.0
a0115,x...0115,y...0115,5.0
a0116,x...0116,y...0116,5.0
a0117,x...0117,y...0117,5.0
a0118,x...0118,y...0118,5.0
a0119,x...0119,y...0119,5.0
a0120,x...0120,y...0120,5.0
a0121,x...0121,y...0121,5.0
a0122,x...0122,y...0122,5.0
a0123,x...0123,y...0123,5.0
a0124,x...0124,y...0124,5.0
a0125,x...0125,y...0125,5.0
a0126,x...0126,y...0126,5.0
a0127,x...0127,y...0127,5.0
a0128,x...0128,y...0128,5.0
a0129,x...0129,y...0129,5.0
a0130,x...0130,y...0130,5.0
a0131,x...0131,y...0131,5.0
a0132,x...0132,y...0132,5.0
a0133,x...0133,y...0133,5.0
a0134,x...0134,y...0134,5.0
a0135,x...0135,y...0135,5.0
a0136,x...0136,y...0136,5.0
a0137,x...0137,y...0137,5.0
a0138,x...0138,y...0138,5.0
a0139,x...0139,y...0139,5.0
a0140,x...0140,y...0140,5.0
a0141,x...0141,y...0141,5.0
a0142,x...0142,y...0142,5.0
a0143,x...0143,y...0143,5.0
a0144,x...0144,y...0144,5.0
a0145,x...0145,y...0145,5.0
a0146,x...0146,y...0146,5.0
a0147,x...0147,y...0147,5.0
a0148,x...0148,y...0148,5.0
a0149,x...0149,y...0149,5.0
a0150,x...0150,y...0150,5.0
a0151,x...0151,y...0151,5.0
a0152,x...0152,y...0152,5.0
a0153,x...0153,y...0153,5.0
a0154,x...0154,y...0154,5.0
a0155,x...0155,y...0155,5.0
a0156,x...0156,y...0156,5.0
a0157,x...0157,y...0157,5.0
a0158,x...0158,y...0158,5.0
a0159,x...0159,y...0159,5.0
a0160,x...0160,y...0160,5.0
a0161,x...0161,y...0161,5.0
a0162,x...0162,y...0162,5.0
a0163,x...0163,y...0163,5.0
a0164,x...0164,y...0164,5.0
a0165,x...0165,y...0165,5.0
a0166,x...0166,y...0166,5.0
a0167,x...0167,y...0167,5.0
a0168,x...0168,y...0168,5.0
a0169,x...0169,y...0169,5.0
a0170,x...0170,y...0170,5.0
a0171,x...0171,y...0171,5.0
a0172,x...0172,y...0172,5.0
a0173,x...0173,y...0173,5.0
a0174,x...0174,y...0174,5.0
a0175,x...0175,y...0175,5.0
a0176,x...0176,y...0176,5.0
a0177,x...0177,y...0177,5.0
a0178,x...0178,y...0178,5.0
a0179,x...0179,y...0179,5.0
a0180,x...0180,y...0180,5.0
a0181,x...0181,y...0181,5.0
a0182,x...0182,y...0182,5.0
a0183,x...0183,y...0183,5.0
a0184,x...0184,y...0184,5.0
a0185,x...0185,y...0185,5.0
a0186,x...0186,y...0186,5.0
a0187,x...0187,y...0187,5.0
a0188,x...0188,y...0188,5.0
a0189,x...0189,y...0189,5.0
a0190,x...0190,y...0190,5.0
a0191,x...0191,y...0191,5.0
a0192,x...0192,y...0192,5.0
a0193,x...0193,y...0193,5.0
a0194,x...0194,y...0194,5.0
a0195,x...0195,y...0195,5.0
a0196,x...0196,y...0196,5.0
a0197,x...0197,y...0197,5.0
a0198,x...0198,y...0198,5.0
a0199,x...0199,y...0199,5.0
a0200,x...0200,y...0200,5.0
a0201,x...0201,y...0201,5.0
a0202,x...0202,y...0202,5.0
a0203,x...0203,y...0203,5.0
a0204,x...0204,y...0204,5.0
a0205,x...0205,y...0205,5.0
a0206,x...0206,y...0206,5.0
a0207,x...0207,y...0207,5.0
a0208,x...0208,y...0208,5.0
a0209,x...0209,y...0209,5.0
a0210,x...0210,y...0210,5.0
a0211,x...0211,y...0211,5.0
a0212,x...0212,y...0212,5.0
a0213,x...0213,y...0213,5.0
a0214,x...0214,y...0214,5.0
a0215,x...0215,y...0215,5.0
a0216,x...0216,y...0216,5.0
a0217,x...0217,y...0217,5.0
a0218,x...0218,y...0218,5.0
a0219,x...0219,y...0219,5.0
a0220,x...0220,y...0220,5.0
a0221,x...0221,y...0221,5.0
a0222,x...0222,y...0222,5.0
a0223,x...0223,y...0223,5.0
a0224,x...0224,y...0224,5.0
a0225,x...0225,y...0225,5.0
a0226,x...0226,y...0226,5.0
a0227,x...0227,y...0227,5.0
a0228,x...0228,y...0228,5.0
a0229,x...0229,y...0229,5.0
a0230,x...0230,y...0230,5.0
a0231,x...0231,y...0231,5.0
a0232,x...0232,y...0232,5.0
a0233,x...0233,y...0233,5.0
a0234,x...0234,y...0234,5.0
a0235,x...0235,y...0235,5.0
a0236,x...0236,y...0236,5.0
a0237,x...0237,y...0237,5.0
a0238,x...0238,y...0238,5.0
a0239,x...0239,y...0239,5.0
a0240,x...0240,y...0240,5.0
a0241,x...0241,y...0241,5.0
a0242,x...0242,y...0242,5.0
a0243,x...0243,y...0243,5.0
a0244,x...0244,y...0244,5.0
a0245,x...0245,y...0245,5.0
a0246,x...0246,y...0246,5.0
a0247,x...0247,y...0247,5.0
a0248,x...0248,y...0248,5.0
a0249,x...0249,y...0249,5.0
a0250,x...0250,y...0250,5.0
a0251,x...0251,y...0251,5.0
a0252,x...0252,y...0252,5.0
a0253,x...0253,y...0253,5.0
a0254,x...0254,y...0254,5.0
a0255,x...0255,y...0255,5.0
a0256,x...0256,y...0256,5.0
a0257,x...0257,y...0257,5.0
a0258,x...0258,y...0258,5.0
a0259,x...0259,y...0259,5.0
a0260,x...0260,y...0260,5.0
a0261,x...0261,y...0261,5.0
a0262,x...0262,y...0262,5.0
a0263,x...0263,y...0263,5.0
a0264,x...0264,y...0264,5.0
a0265,x...0265,y...0265,5.0
a0266,x...0266,y...0266,5.0
a0267,x...0267,y...0267,5.0
a0268,x...0268,y...0268,5.0
a0269,x...0269,y...0269,5.0
a0270,x...0270,y...0270,5.0
a0271,x...0271,y...0271,5.0
a0272,x...0272,y...0272,5.0
a0273,x...0273,y...0273,5.0
a0274,x...0274,y...0274,5.0
a0275,x...0275,y...0275,5.0
a0276,x...0276,y...0276,5.0
a0277,x...0277,y...0277,5.0
a0278,x...0278,y...0278,5.0
a0279,x...0279,y...0279,5.0
a0280,x...0280,y...0280,5.0
a0281,x...0281,y...0281,5.0
a0282,x...0282,y...0282,5.0
a0283,x...0283,y...0283,5.0
a0284,x...0284,y...0284,5.0
a0285,x...0285,y...0285,5.0
a0286,x...0286,y...0286,5.0
a0287,x...0287,y...0287,5.0
a0288,x...0288,y...0288,5.0
a0289,x...0289,y...0289,5.0
a0290,x...0290,y...0290,5.0
a0291,x...0291,y...0291,5.0
a0292,x...0292,y...0292,5.0
a0293,x...0293,y...0293,5.0
a0294,x...0294,y...0294,5.0
a0295,x...0295,y...0295,5.0
a0296,x...0296,y...0296,5.0
a0297,x...0297,y...0297,5.0
a0298,x...0298,y...0298,5.0
a0299,x...0299,y...0299,5.0
a0300,x...0300,y...0300,5.0
a0301,x...0301,y...0301,5.0
a0302,x...0302,y...0302,5.0
a0303,x...0303,y...0303,5.0
a0304,x...0304,y...0304,5.0
a0305,x...0305,y...0305,5.0
a0306,x...0306,y...0306,5.0
a0307,x...0307,y...0307,5.0
a0308,x...0308,y...0308,5.0
a0309,x...0309,y...0309,5.0
a0310,x...0310,y...0310,5.0
a0311,x...0311,y...0311,5.0
a0312,x...0312,y...0312,5.0
a0313,x...0313,y...0313,5.0
a0314,x...0314,y...0314,5.0
a0315,x...0315,y...0315,5.0
a0316,x...0316,y...0316,5.0
a0317,x...0317,y...0317,5.0
a0318,x...0318,y...0318,5.0
a0319,x...0319,y...0319,5.0
a0320,x...0320,y...0320,5.0
a0321,x...0321,y...0321,5.0
a0322,x...0322,y...0322,5.0
a0323,x...0323,y...0323,5.0
a0324,x...0324,y...0324,5.0
a0325,x...0325,y...0325,5.0
a0326,x...0326,y...0326,5.0
a0327,x...0327,y...0327,5.0
a0328,x...0328,y...0328,5.0
a0329,x...0329,y...0329,5.0
a0330,x...0330,y...0330,5.0
a0331,x...0331,y...0331,5.0
a0332,x...0332,y...0332,5.0
a0333,x...0333,y...0333,5.0
a0334,x...0334,y...0334,5.0
a0335,x...0335,y...0335,5.0
a0336,x...0336,y...0336,5.0
a0337,x...0337,y...0337,5.0
a0338,x...0338,y...0338,5.0
a0339,x...0339,y...0339,5.0
a0340,x...0340,y...0340,5.0
a0341,x...0341,y...0341,5.0
a0342,x...0342,y...0342,5.0
a0343,x...0343,y...0343,5.0
a0344,x...0344,y...0344,5.0
a0345,x...0345,y...0345,5.0
a0346,x...0346,y...0346,5.0
a0347,x...0347,y...0347,5.0
a0348,x...0348,y...0348,5.0
a0349,x...0349,y...0349,5.0
a0350,x...0350,y...0350,5.0
a0351,x...0351,y...0351,5.0
a0352,x...0352,y...0352,5.0
a0353,x...0353,y...0353,5.0
a0354,x...0354,y...0354,5.0
a0355,x...0355,y...0355,5.0
a0356,x...0356,y...0356,5.0
a0357,x...0357,y...0357,5.0
a0358,x...0358,y...0358,5.0
a0359,x...0359,y...0359,5.0
a0360,x...0360,y...0360,5.0
a0361,x...0361,y...0361,5.0
a0362,x...0362,y...0362,5.0
a0363,x...0363,y...0363,5.0
a0364,x...0364,y...0364,5.0
a0365,x...0365,y...0365,5.0
a0366,x...0366,y...0366,5.0
a0367,x...0367,y...0367,5.0
a0368,x...0368,y...0368,5.0
a0369,x...0369,y...0369,5.0
a0370,x...0370,y...0370,5.0
a0371,x...0371,y...0371,5.0
a0372,x...0372,y...0372,5.0
a0373,x...0373,y...0373,5.0
a0374,x...0374,y...0374,5.0
a0375,x...0375,y...0375,5.0
a0376,x...0376,y...0376,5.0
a0377,x...0377,y...0377,5.0
a0378,x...0378,y...0378,5.0
a0379,x...0379,y...0379,5.0
a0380,x...0380,y...0380,5.0
a0381,x...0381,y...0381,5.0
a0382,x...0382,y...0382,5.0
a0383,x...0383,y...0383,5.0
a0384,x...0384,y...0384,5.0
a0385,x...0385,y...0385,5.0
a0386,x...0386,y...0386,5.0
a0387,x...0387,y...0387,5.0
a0388,x...0388,y...0388,5.0
a0389,x...0389,y...0389,5.0
a0390,x...0390,y...0390,5.0
a0391,x...0391,y...0391,5.0
a0392,x...0392,y...0392,5.0
a0393,x...0393,y...0393,5.0
a0394,x...0394,y...0394,5.0
a0395,x...0395,y...0395,5.0
a0396,x...0396,y...0396,5.0
a0397,x...0397,y...0397,5.0
a0398,x...0398,y...0398,5.0
a0399,x...0399,y...0399,5.0
a0400,x...0400,y...0400,5.0
a0401,x...0401,y...0401,5.0
a0402,x...0402,y...0402,5.0
a0403,x...0403,y...0403,5.0
a0404,x...0404,y...0404,5.0
a0405,x...0405,y...0405,5.0
a0406,x...0406,y...0406,5.0
a0407,x...0407,y...0407,5.0
a0408,x...0408,y...0408,5.0
a0409,x...0409,y...0409,5.0
a0410,x...0410,y...0410,5.0
a0411,x...0411,y...0411,5.0
a0412,x...0412,y...0412,5.0
a0413,x...0413,y...0413,5.0
a0414,x...0414,y...0414,5.0
a0415,x...0415,y...0415,5.0
a0416,x...0416,y...0416,5.0
a0417,x...0417,y...0417,5.0
a0418,x...0418,y...0418,5.0
a0419,x...0419,y...0419,5.0
a0420,x...0420,y...0420,5.0
a0421,x...0421,y...0421,5.0
a0422,x...0422,y...0422,5.0
a0423,x...0423,y...0423,5.0
a0424,x...0424,y...0424,5.0
a0425,x...0425,y...0425,5.0
a0426,x...0426,y...0426,5.0
a0427,x...0427,y...0427,5.0
a0428,x...0428,y...0428,5.0
a0429,x...0429,y...0429,5.0
a0430,x...0430,y...0430,5.0
a0431,x...0431,y...0431,5.0
a0432,x...0432,y...0432,5.0
a0433,x...0433,y...0433,5.0
a0434,x...0434,y...0434,5.0
a0435,x...0435,y...0435,5.0
a0436,x...0436,y...0436,5.0
a0437,x...0437,y...0437,5.0
a0438,x...0438,y...0438,5.0
a0439,x...0439,y...0439,5.0
a0440,x...0440,y...0440,5.0
a0441,x...0441,y...0441,5.0
a0442,x...0442,y...0442,5.0
a0443,x...0443,y...0443,5.0
a0444,x...0444,y...0444,5.0
a0445,x...0445,y...0445,5.0
a0446,x...0446,y...0446,5.0
a0447,x...0447,y...0447,5.0
a0448,x...0448,y...0448,5.0
a0449,x...0449,y...0449,5.0
a0450,x...0450,y...0450,5.0
a0451,x...0451,y...0451,5.0
a0452,x...0452,y...0452,5.0
a0453,x...0453,y...0453,5.0
a0454,x...0454,y...0454,5.0
a0455,x...0455,y...0455,5.0
a0456,x...0456,y...0456,5.0
a0457,x...0457,y...0457,5.0
a0458,x...0458,y...0458,5.0
a0459,x...0459,y...0459,5.0
a0460,x...0460,y...0460,5.0
a0461,x...0461,y...0461,5.0
a0462,x...0462,y...0462,5.0
a0463,x...0463,y...0463,5.0
a0464,x...0464,y...0464,5.0
a0465,x...0465,y...0465,5.0
a0466,x...0466,y...0466,5.0
a0467,x...0467,y...0467,5.0
a0468,x...0468,y...0468,5.0
a0469,x...0469,y...0469,5.0
a0470,x...0470,y...0470,5.0
a0471,x...0471,y...0471,5.0
a0472,x...0472,y...0472,5.0
a0473,x...0473,y...0473,5.0
a0474,x...0474,y...0474,5.0
a0475,x...0475,y...0475,5.0
a0476,x...0476,y...0476,5.0
a0477,x...0477,y...0477,5.0
a0478,x...0478,y...0478,5.0
a0479,x...0479,y...0479,5.0
a0480,x...0480,y...0480,5.0
a0481,x...0481,y...0481,5.0
a0482,x...0482,y...0482,5.0
a0483,x...0483,y...0483,5.0
a0484,x...0484,y...0484,5.0
a0485,x...0485,y...0485,5.0
a0486,x...0486,y...0486,5.0
a0487,x...0487,y...0487,5.0
a0488,x...0488,y...0488,5.0
a0489,x...0489,y...0489,5.0
a0490,x...0490,y...0490,5.0
a0491,x...0491,y...0491,5.0
a0492,x...0492,y...0492,5.0
a0493,x...0493,y...0493,5.0
a0494,x...0494,y...0494,5.0
a0495,x...0495,y...0495,5.0
a0496,x...0496,y...0496,5.0
a0497,x...0497,y...0497,5.0
a0498,x...0498,y...0498,5.0
a0499,x...0499,y...0499,5.0
a0500,x...0500,y...0500,5.0
a0501,x...0501,y...0501,5.0
a0502,x...0502,y...0502,5.0
a0503,x...0503,y...0503,5.0
a0504,x...0504,y...0504,5.0
a0505,x...0505,y...0505,5.0
a0506,x...0506,y...0506,5.0
a0507,x...0507,y...0507,5.0
a0508,x...0508,y...0508,5.0
a0509,x...0509,y...0509,5.0
a0510,x...0510,y...0510,5.0
a0511,x...0511,y...0511,5.0
a0512,x...0512,y...0512,5.0
a0513,x...0513,y...0513,5.0
a0514,x...0514,y...0514,5.0
a0515,x...0515,y...0515,5.0
a0516,x...0516,y...0516,5.0
a0517,x...0517,y...0517,5.0
a0518,x...0518,y...0518,5.0
a0519,x...0519,y...0519,5.0
a0520,x...0520,y...0520,5.0
a0521,x...0521,y...0521,5.0
a0522,x...0522,y...0522,5.0
a0523,x...0523,y...0523,5.0
a0524,x...0524,y...0524,5.0
a0525,x...0525,y...0525,5.0
a0526,x...0526,y...0526,5.0
a0527,x...0527,y...0527,5.0
a0528,x...0528,y...0528,5.0
a0529,x...0529,y...0529,5.0
a0530,x...0530,y...0530,5.0
a0531,x...0531,y...0531,5.0
a0532,x...0532,y...0532,5.0
a0533,x...0533,y...0533,5.0
a0534,x...0534,y...0534,5.0
a0535,x...0535,y...0535,5.0
a0536,x...0536,y...0536,5.0
a0537,x...0537,y...0537,5.0
a0538,x...0538,y...0538,5.0
a0539,x...0539,y...0539,5.0
a0540,x...0540,y...0540,5.0
a0541,x...0541,y...0541,5.0
a0542,x...0542,y...0542,5.0
a0543,x...0543,y...0543,5.0
a0544,x...0544,y...0544,5.0
a0545,x...0545,y...0545,5.0
a0546,x...0546,y...0546,5.0
a0547,x...0547,y...0547,5.0
a0548,x...0548,y...0548,5.0
a0549,x...0549,y...0549,5.0
a0550,x...0550,y...0550,5.0
a0551,x...0551,y...0551,5.0
a0552,x...0552,y...0552,5.0
a0553,x...0553,y...0553,5.0
a0554,x...0554,y...0554,5.0
a0555,x...0555,y...0555,5.0
a0556,x...0556,y...0556,5.0
a0557,x...0557,y...0557,5.0
a0558,x...0558,y...0558,5.0
a0559,x...0559,y...0559,5.0
a0560,x...0560,y...0560,5.0
a0561,x...0561,y...0561,5.0
a0562,x...0562,y...0562,5.0
a0563,x...0563,y...0563,5.0
a0564,x...0564,y...0564,5.0
a0565,x...0565,y...0565,5.0
a0566,x...0566,y...0566,5.0
a0567,x...0567,y...0567,5.0
a0568,x...0568,y...0568,5.0
a0569,x...0569,y...0569,5.0
a0570,x...0570,y...0570,5.0
a0571,x...0571,y...0571,5.0
a0572,x...0572,y...0572,5.0
a0573,x...0573,y...0573,5.0
a0574,x...0574,y...0574,5.0
a0575,x...0575,y...0575,5.0
a0576,x...0576,y...0576,5.0
a0577,x...0577,y...0577,5.0
a0578,x...0578,y...0578,5.0
a0579,x...0579,y...0579,5.0
a0580,x...0580,y...0580,5.0
a0581,x...0581,y...0581,5.0
a0582,x...0582,y...0582,5.0
a0583,x...0583,y...0583,5.0
a0584,x...0584,y...0584,5.0
a0585,x...0585,y...0585,5.0
a0586,x...0586,y...0586,5.0
a0587,x...0587,y...0587,5.0
a0588,x...0588,y...0588,5.0
a0589,x...0589,y...0589,5.0
a0590,x...0590,y...0590,5.0
a0591,x...0591,y...0591,5.0
a0592,x...0592,y...0592,5.0
a0593,x...0593,y...0593,5.0
a0594,x...0594,y...0594,5.0
a0595,x...0595,y...0595,5.0
a0596,x...0596,y...0596,5.0
a0597,x...0597,y...0597,5.0
a0598,x...0598,y...0598,5.0
a0599,x...0599,y...0599,5.0
a0600,x...0600,y...0600,5.0
a0601,x...0601,y...0601,5.0
a0602,x...0602,y...0602,5.0
a0603,x...0603,y...0603,5.0
a0604,x...0604,y...0604,5.0
a0605,x...0605,y...0605,5.0
a0606,x...0606,y...0606,5.0
a0607,x...0607,y...0607,5.0
a0608,x...0608,y...0608,5.0
a0609,x...0609,y...0609,5.0
a0610,x...0610,y...0610,5.0
a0611,x...0611,y...0611,5.0
a0612,x...0612,y...0612,5.0
a0613,x...0613,y...0613,5.0
a0614,x...0614,y...0614,5.0
a0615,x...0615,y...0615,5.0
a0616,x...0616,y...0616,5.0
a0617,x...0617,y...0617,5.0
a0618,x...0618,y...0618,5.0
a0619,x...0619,y...0619,5.0
a0620,x...0620,y...0620,5.0
a0621,x...0621,y...0621,5.0
a0622,x...0622,y...0622,5.0
a0623,x...0623,y...0623,5.0
a0624,x...0624,y...0624,5.0
a0625,x...0625,y...0625,5.0
a0626,x...0626,y...0626,5.0
a0627,x...0627,y...0627,5.0
a0628,x...0628,y...0628,5.0
a0629,x...0629,y...0629,5.0
a0630,x...0630,y...0630,5.0
a0631,x...0631,y...0631,5.0
a0632,x...0632,y...0632,5.0
a0633,x...0633,y...0633,5.0
a0634,x...0634,y...0634,5.0
a0635,x...0635,y...0635,5.0
a0636,x...0636,y...0636,5.0
a0637,x...0637,y...0637,5.0
a0638,x...0638,y...0638,5.0
a0639,x...0639,y...0639,5.0
a0640,x...0640,y...0640,5.0
a0641,x...0641,y...0641,5.0
a0642,x...0642,y...0642,5.0
a0643,x...0643,y...0643,5.0
a0644,x...0644,y...0644,5.0
a0645,x...0645,y...0645,5.0
a0646,x...0646,y...0646,5.0
a0647,x...0647,y...0647,5.0
a0648,x...0648,y...0648,5.0
a0649,x...0649,y...0649,5.0
a0650,x...0650,y...0650,5.0
a0651,x...0651,y...0651,5.0
a0652,x...0652,y...0652,5.0
a0653,x...0653,y...0653,5.0
a0654,x...0654,y...0654,5.0
a0655,x...0655,y...0655,5.0
a0656,x...0656,y...0656,5.0
a0657,x...0657,y...0657,5.0
a0658,x...0658,y...0658,5.0
a0659,x...0659,y...0659,5.0
a0660,x...0660,y...0660,5.0
a0661,x...0661,y...0661,5.0
a0662,x...0662,y...0662,5.0
a0663,x...0663,y...0663,5.0
a0664,x...0664,y...0664,5.0
a0665,x...0665,y...0665,5.0
a0666,x...0666,y...0666,5.0
a0667,x...0667,y...0667,5.0
a0668,x...0668,y...0668,5.0
a0669,x...0669,y...0669,5.0
a0670,x...0670,y...0670,5.0
a0671,x...0671,y...0671,5.0
a0672,x...0672,y...0672,5.0
a0673,x...0673,y...0673,5.0
a0674,x...0674,y...0674,5.0
a0675,x...0675,y...0675,5.0
a0676,x...0676,y...0676,5.0
a0677,x...0677,y...0677,5.0
a0678,x...0678,y...0678,5.0
a0679,x...0679,y...0679,5.0
a0680,x...0680,y...0680,5.0
a0681,x...0681,y...0681,5.0
a0682,x...0682,y...0682,5.0
a0683,x...0683,y...0683,5.0
a0684,x...0684,y...0684,5.0
a0685,x...0685,y...0685,5.0
a0686,x...0686,y...0686,5.0
a0687,x...0687,y...0687,5.0
a0688,x...0688,y...0688,5.0
a0689,x...0689,y...0689,5.0
a0690,x...0690,y...0690,5.0
a0691,x...0691,y...0691,5.0
a0692,x...0692,y...0692,5.0
a0693,x...0693,y...0693,5.0
a0694,x...0694,y...0694,5.0
a0695,x...0695,y...0695,5.0
a0696,x...0696,y...0696,5.0
a0697,x...0697,y...0697,5.0
a0698,x...0698,y...0698,5.0
a0699,x...0699,y...0699,5.0
a0700,x...0700,y...0700,5.0
a0701,x...0701,y...0701,5.0
a0702,x...0702,y...0702,5.0
a0703,x...0703,y...0703,5.0
a0704,x...0704,y...0704,5.0
a0705,x...0705,y...0705,5.0
a0706,x...0706,y...0706,5.0
a0707,x...0707,y...0707,5.0
a0708,x...0708,y...0708,5.0
a0709,x...0709,y...0709,5.0
a0710,x...0710,y...0710,5.0
a0711,x...0711,y...0711,5.0
a0712,x...0712,y...0712,5.0
a0713,x...0713,y...0713,5.0
a0714,x...0714,y...0714,5.0
a0715,x...0715,y...0715,5.0
a0716,x...0716,y...0716,5.0
a0717,x...0717,y...0717,5.0
a0718,x...0718,y...0718,5.0
a0719,x...0719,y...0719,5.0
a0720,x...0720,y...0720,5.0
a0721,x...0721,y...0721,5.0
a0722,x...0722,y...0722,5.0
a0723,x...0723,y...0723,5.0
a0724,x...0724,y...0724,5.0
a0725,x...0725,y...0725,5.0
a0726,x...0726,y...0726,5.0
a0727,x...0727,y...0727,5.0
a0728,x...0728,y...0728,5.0
a0729,x...0729,y...0729,5.0
a0730,x...0730,y...0730,5.0
a0731,x...0731,y...0731,5.0
a0732,x...0732,y...0732,5.0
a0733,x...0733,y...0733,5.0
a0734,x...0734,y...0734,5.0
a0735,x...0735,y...0735,5.0
a0736,x...0736,y...0736,5.0
a0737,x...0737,y...0737,5.0
a0738,x...0738,y...0738,5.0
a0739,x...0739,y...0739,5.0
a0740,x...0740,y...0740,5.0
a0741,x...0741,y...0741,5.0
a0742,x...0742,y...0742,5.0
a0743,x...0743,y...0743,5.0
a0744,x...0744,y...0744,5.0
a0745,x...0745,y...0745,5.0
a0746,x...0746,y...0746,5.0
a0747,x...0747,y...0747,5.0
a0748,x...0748,y...0748,5.0
a0749,x...0749,y...0749,5.0
a0750,x...0750,y...0750,5.0
a0751,x...0751,y...0751,5.0
a0752,x...0752,y...0752,5.0
a0753,x...0753,y...0753,5.0
a0754,x...0754,y...0754,5.0
a0755,x...0755,y...0755,5.0
a0756,x...0756,y...0756,5.0
a0757,x...0757,y...0757,5.0
a0758,x...0758,y...0758,5.0
a0759,x...0759,y...0759,5.0
a0760,x...0760,y...0760,5.0
a0761,x...0761,y...0761,5.0
a0762,x...0762,y...0762,5.0
a0763,x...0763,y...0763,5.0
a0764,x...0764,y...0764,5.0
a0765,x...0765,y...0765,5.0
a0766,x...0766,y...0766,5.0
a0767,x...0767,y...0767,5.0
a0768,x...0768,y...0768,5.0
a0769,x...0769,y...0769,5.0
a0770,x...0770,y...0770,5.0
a0771,x...0771,y...0771,5.0
a0772,x...0772,y...0772,5.0
a0773,x...0773,y...0773,5.0
a0774,x...0774,y...0774,5.0
a0775,x...0775,y...0775,5.0
