arc_id,start_node,end_node
a0177,n048,n111
a0178,n111,n048
a0179,n373,n340
a0180,n340,n373
a0181,n320,n006
a0182,n006,n320
a0183,n331,n131
a0184,n131,n331
a0185,n495,n478
a0186,n478,n495
a0187,n172,n212
a0188,n212,n172
a0189,n064,n034
a0190,n034,n064
a0191,n475,n496
a0192,n496,n475
a0193,n425,n364
a0194,n364,n425
a0195,n234,n184
a0196,n184,n234
a0197,n039,n471
a0198,n471,n039
a0199,n390,n117
a0200,n117,n390
a0201,n388,n005
a0202,n005,n388
a0203,n043,n420
a0204,n420,n043
a0205,n163,n038
a0206,n038,n163
a0207,n181,n241
a0208,n241,n181
a0209,n399,n201
a0210,n201,n399
a0211,n222,n195
a0212,n195,n222
a0213,n192,n023
a0214,n023,n192
a0215,n242,n091
a0216,n091,n242
a0217,n447,n353
a0218,n353,n447
a0219,n021,n482
a0220,n482,n021
a0221,n167,n353
a0222,n353,n167
a0223,n012,n479
a0224,n479,n012
a0225,n472,n038
a0226,n038,n472
a0227,n005,n189
a0228,n189,n005
a0229,n313,n381
a0230,n381,n313
a0231,n133,n116
a0232,n116,n133
a0233,n086,n031
a0234,n031,n086
a0235,n497,n318
a0236,n318,n497
a0237,n308,n203
a0238,n203,n308
a0239,n116,n017
a0240,n017,n116
a0241,n331,n122
a0242,n122,n331
a0243,n163,n464
a0244,n464,n163
a0245,n335,n350
a0246,n350,n335
a0247,n082,n425
a0248,n425,n082
a0249,n366,n289
a0250,n289,n366
a0251,n369,n249
a0252,n249,n369
a0253,n175,n489
a0254,n489,n175
a0255,n134,n488
a0256,n488,n134
a0257,n277,n003
a0258,n003,n277
a0259,n251,n262
a0260,n262,n251
a0261,n366,n024
a0262,n024,n366
a0263,n129,n144
a0264,n144,n129
a0265,n489,n449
a0266,n449,n489
a0267,n474,n163
a0268,n163,n474
a0269,n473,n326
a0270,n326,n473
a0271,n338,n369
a0272,n369,n338
a0273,n477,n272
a0274,n272,n477
a0275,n132,n010
a0276,n010,n132
a0277,n379,n056
a0278,n056,n379
a0279,n481,n184
a0280,n184,n481
a0281,n439,n420
a0282,n420,n439
a0283,n010,n188
a0284,n188,n010
a0285,n195,n351
a0286,n351,n195
a0287,n175,n357
a0288,n357,n175
a0289,n339,n048
a0290,n048,n339
a0291,n078,n232
a0292,n232,n078
a0293,n270,n305
a0294,n305,n270
a0295,n251,n480
a0296,n480,n251
a0297,n195,n206
a0298,n206,n195
a0299,n438,n403
a0300,n403,n438
a0301,n024,n098
a0302,n098,n024
a0303,n243,n212
a0304,n212,n243
a0305,n090,n233
a0306,n233,n090
a0307,n383,n048
a0308,n048,n383
a0309,n434,n277
a0310,n277,n434
a0311,n216,n086
a0312,n086,n216
a0313,n167,n246
a0314,n246,n167
a0315,n098,n314
a0316,n314,n098
a0317,n425,n336
a0318,n336,n425
a0319,n278,n250
a0320,n250,n278
a0321,n348,n405
a0322,n405,n348
a0323,n191,n264
a0324,n264,n191
a0325,n226,n239
a0326,n239,n226
a0327,n016,n473
a0328,n473,n016
a0329,n420,n299
a0330,n299,n420
a0331,n462,n376
a0332,n376,n462
a0333,n336,n067
a0334,n067,n336
a0335,n364,n431
a0336,n431,n364
a0337,n069,n272
a0338,n272,n069
a0339,n154,n013
a0340,n013,n154
a0341,n039,n063
a0342,n063,n039
a0343,n339,n446
a0344,n446,n339
a0345,n271,n349
a0346,n349,n271
a0347,n142,n108
a0348,n108,n142
a0349,n083,n350
a0350,n350,n083
a0351,n320,n456
a0352,n456,n320
a0353,n333,n122
a0354,n122,n333
a0355,n207,n438
a0356,n438,n207
a0357,n158,n238
a0358,n238,n158
a0359,n090,n414
a0360,n414,n090
a0361,n272,n170
a0362,n170,n272
a0363,n314,n155
a0364,n155,n314
a0365,n437,n383
a0366,n383,n437
a0367,n478,n367
a0368,n367,n478
a0369,n272,n176
a0370,n176,n272
a0371,n088,n387
a0372,n387,n088
a0373,n479,n103
a0374,n103,n479
a0375,n122,n025
a0376,n025,n122
a0377,n169,n335
a0378,n335,n169
a0379,n425,n382
a0380,n382,n425
a0381,n260,n188
a0382,n188,n260
a0383,n163,n047
a0384,n047,n163
a0385,n158,n290
a0386,n290,n158
a0387,n414,n372
a0388,n372,n414
a0389,n018,n038
a0390,n038,n018
a0391,n486,n354
a0392,n354,n486
a0393,n363,n439
a0394,n439,n363
a0395,n023,n284
a0396,n284,n023
a0397,n092,n031
a0398,n031,n092
a0399,n116,n140
a0400,n140,n116
a0401,n478,n245
a0402,n245,n478
a0403,n479,n096
a0404,n096,n479
a0405,n290,n328
a0406,n328,n290
a0407,n388,n254
a0408,n254,n388
a0409,n301,n357
a0410,n357,n301
a0411,n047,n125
a0412,n125,n047
a0413,n121,n188
a0414,n188,n121
a0415,n471,n112
a0416,n112,n471
a0417,n458,n390
a0418,n390,n458
a0419,n141,n341
a0420,n341,n141
a0421,n016,n009
a0422,n009,n016
a0423,n377,n116
a0424,n116,n377
a0425,n140,n312
a0426,n312,n140
a0427,n237,n469
a0428,n469,n237
a0429,n228,n447
a0430,n447,n228
a0431,n465,n428
a0432,n428,n465
a0433,n292,n464
a0434,n464,n292
a0435,n171,n050
a0436,n050,n171
a0437,n081,n103
a0438,n103,n081
a0439,n061,n191
a0440,n191,n061
a0441,n303,n167
a0442,n167,n303
a0443,n367,n442
a0444,n442,n367
a0445,n416,n392
a0446,n392,n416
a0447,n255,n342
a0448,n342,n255
a0449,n226,n453
a0450,n453,n226
a0451,n036,n418
a0452,n418,n036
a0453,n348,n236
a0454,n236,n348
a0455,n074,n438
a0456,n438,n074
a0457,n443,n357
a0458,n357,n443
a0459,n199,n092
a0460,n092,n199
a0461,n200,n348
a0462,n348,n200
a0463,n073,n479
a0464,n479,n073
a0465,n019,n099
a0466,n099,n019
a0467,n455,n250
a0468,n250,n455
a0469,n315,n170
a0470,n170,n315
a0471,n161,n124
a0472,n124,n161
a0473,n415,n426
a0474,n426,n415
a0475,n311,n181
a0476,n181,n311
a0477,n118,n326
a0478,n326,n118
a0479,n058,n193
a0480,n193,n058
a0481,n338,n227
a0482,n227,n338
a0483,n085,n024
a0484,n024,n085
a0485,n026,n170
a0486,n170,n026
a0487,n431,n105
a0488,n105,n431
a0489,n151,n073
a0490,n073,n151
a0491,n479,n218
a0492,n218,n479
a0493,n346,n426
a0494,n426,n346
a0495,n223,n188
a0496,n188,n223
a0497,n215,n090
a0498,n090,n215
a0499,n499,n052
a0500,n052,n499
a0501,n234,n487
a0502,n487,n234
a0503,n494,n489
a0504,n489,n494
a0505,n098,n068
a0506,n068,n098
a0507,n138,n024
a0508,n024,n138
a0509,n374,n103
a0510,n103,n374
a0511,n200,n153
a0512,n153,n200
a0513,n392,n123
a0514,n123,n392
a0515,n061,n028
a0516,n028,n061
a0517,n098,n089
a0518,n089,n098
a0519,n179,n153
a0520,n153,n179
a0521,n342,n409
a0522,n409,n342
a0523,n269,n273
a0524,n273,n269
a0525,n239,n077
a0526,n077,n239
a0527,n284,n177
a0528,n177,n284
a0529,n330,n073
a0530,n073,n330
a0531,n016,n114
a0532,n114,n016
a0533,n482,n412
a0534,n412,n482
a0535,n293,n350
a0536,n350,n293
a0537,n185,n192
a0538,n192,n185
a0539,n494,n319
a0540,n319,n494
a0541,n499,n252
a0542,n252,n499
a0543,n443,n396
a0544,n396,n443
a0545,n303,n397
a0546,n397,n303
a0547,n339,n148
a0548,n148,n339
a0549,n277,n352
a0550,n352,n277
a0551,n106,n167
a0552,n167,n106
a0553,n247,n434
a0554,n434,n247
a0555,n422,n138
a0556,n138,n422
a0557,n154,n445
a0558,n445,n154
a0559,n206,n202
a0560,n202,n206
a0561,n408,n031
a0562,n031,n408
a0563,n355,n235
a0564,n235,n355
a0565,n197,n420
a0566,n420,n197
a0567,n010,n094
a0568,n094,n010
a0569,n417,n242
a0570,n242,n417
a0571,n083,n279
a0572,n279,n083
a0573,n144,n334
a0574,n334,n144
a0575,n337,n482
a0576,n482,n337
a0577,n102,n052
a0578,n052,n102
a0579,n448,n480
a0580,n480,n448
a0581,n327,n179
a0582,n179,n327
a0583,n042,n340
a0584,n340,n042
a0585,n328,n485
a0586,n485,n328
a0587,n148,n079
a0588,n079,n148
a0589,n240,n412
a0590,n412,n240
a0591,n430,n369
a0592,n369,n430
a0593,n217,n301
a0594,n301,n217
a0595,n272,n150
a0596,n150,n272
a0597,n406,n036
a0598,n036,n406
a0599,n027,n132
a0600,n132,n027
a0601,n439,n266
a0602,n266,n439
a0603,n239,n371
a0604,n371,n239
a0605,n423,n295
a0606,n295,n423
a0607,n238,n194
a0608,n194,n238
a0609,n216,n229
a0610,n229,n216
a0611,n074,n002
a0612,n002,n074
a0613,n116,n253
a0614,n253,n116
a0615,n319,n451
a0616,n451,n319
a0617,n037,n271
a0618,n271,n037
a0619,n389,n390
a0620,n390,n389
a0621,n051,n013
a0622,n013,n051
a0623,n177,n057
a0624,n057,n177
a0625,n436,n372
a0626,n372,n436
a0627,n344,n138
a0628,n138,n344
a0629,n327,n248
a0630,n248,n327
a0631,n009,n231
a0632,n231,n009
a0633,n220,n235
a0634,n235,n220
a0635,n032,n019
a0636,n019,n032
a0637,n252,n358
a0638,n358,n252
a0639,n398,n293
a0640,n293,n398
a0641,n063,n139
a0642,n139,n063
a0643,n480,n130
a0644,n130,n480
a0645,n343,n382
a0646,n382,n343
a0647,n186,n364
a0648,n364,n186
a0649,n087,n190
a0650,n190,n087
a0651,n084,n193
a0652,n193,n084
a0653,n144,n450
a0654,n450,n144
a0655,n059,n353
a0656,n353,n059
a0657,n184,n410
a0658,n410,n184
a0659,n113,n406
a0660,n406,n113
a0661,n166,n083
a0662,n083,n166
a0663,n014,n231
a0664,n231,n014
a0665,n296,n106
a0666,n106,n296
a0667,n020,n084
a0668,n084,n020
a0669,n240,n302
a0670,n302,n240
a0671,n430,n401
a0672,n401,n430
a0673,n188,n285
a0674,n285,n188
a0675,n437,n429
a0676,n429,n437
a0677,n068,n115
a0678,n115,n068
a0679,n038,n015
a0680,n015,n038
a0681,n281,n196
a0682,n196,n281
a0683,n295,n104
a0684,n104,n295
a0685,n329,n270
a0686,n270,n329
a0687,n368,n416
a0688,n416,n368
a0689,n143,n148
a0690,n148,n143
a0691,n347,n131
a0692,n131,n347
a0693,n042,n427
a0694,n427,n042
a0695,n472,n283
a0696,n283,n472
a0697,n288,n340
a0698,n340,n288
a0699,n477,n030
a0700,n030,n477
a0701,n132,n444
a0702,n444,n132
a0703,n301,n035
a0704,n035,n301
a0705,n142,n317
a0706,n317,n142
a0707,n356,n190
a0708,n190,n356
a0709,n294,n425
a0710,n425,n294
a0711,n308,n324
a0712,n324,n308
a0713,n103,n261
a0714,n261,n103
a0715,n219,n231
a0716,n231,n219
a0717,n174,n496
a0718,n496,n174
a0719,n458,n394
a0720,n394,n458
a0721,n309,n437
a0722,n437,n309
a0723,n100,n335
a0724,n335,n100
a0725,n213,n290
a0726,n290,n213
a0727,n494,n183
a0728,n183,n494
a0729,n297,n199
a0730,n199,n297
a0731,n327,n149
a0732,n149,n327
a0733,n070,n324
a0734,n324,n070
a0735,n121,n259
a0736,n259,n121
a0737,n244,n144
a0738,n144,n244
a0739,n263,n455
a0740,n455,n263
a0741,n124,n391
a0742,n391,n124
a0743,n434,n304
a0744,n304,n434
a0745,n244,n411
a0746,n411,n244
a0747,n123,n419
a0748,n419,n123
a0749,n217,n214
a0750,n214,n217
a0751,n323,n223
a0752,n223,n323
a0753,n033,n412
a0754,n412,n033
a0755,n413,n176
a0756,n176,n413
a0757,n459,n223
a0758,n223,n459
a0759,n388,n211
a0760,n211,n388
a0761,n498,n093
a0762,n093,n498
a0763,n184,n375
a0764,n375,n184
a0765,n121,n054
a0766,n054,n121
a0767,n310,n061
a0768,n061,n310
a0769,n187,n174
a0770,n174,n187
a0771,n295,n365
a0772,n365,n295
a0773,n361,n308
a0774,n308,n361
a0775,n178,n027
a0776,n027,n178
a0777,n089,n490
a0778,n490,n089
a0779,n468,n039
a0780,n039,n468
a0781,n487,n208
a0782,n208,n487
a0783,n384,n229
a0784,n229,n384
a0785,n080,n492
a0786,n492,n080
a0787,n058,n256
a0788,n256,n058
a0789,n180,n311
a0790,n311,n180
a0791,n367,n298
a0792,n298,n367
a0793,n084,n484
a0794,n484,n084
a0795,n286,n150
a0796,n150,n286
a0797,n493,n399
a0798,n399,n493
a0799,n195,n258
a0800,n258,n195
a0801,n326,n011
a0802,n011,n326
a0803,n006,n136
a0804,n136,n006
a0805,n257,n106
a0806,n106,n257
a0807,n044,n387
a0808,n387,n044
a0809,n500,n352
a0810,n352,n500
a0811,n113,n424
a0812,n424,n113
a0813,n433,n337
a0814,n337,n433
a0815,n026,n045
a0816,n045,n026
a0817,n255,n060
a0818,n060,n255
a0819,n380,n012
a0820,n012,n380
a0821,n111,n049
a0822,n049,n111
a0823,n465,n400
a0824,n400,n465
a0825,n405,n001
a0826,n001,n405
a0827,n276,n174
a0828,n174,n276
a0829,n123,n126
a0830,n126,n123
a0831,n009,n421
a0832,n421,n009
a0833,n163,n022
a0834,n022,n163
a0835,n495,n046
a0836,n046,n495
a0837,n066,n328
a0838,n328,n066
a0839,n429,n173
a0840,n173,n429
a0841,n470,n257
a0842,n257,n470
a0843,n097,n064
a0844,n064,n097
a0845,n192,n395
a0846,n395,n192
a0847,n388,n457
a0848,n457,n388
a0849,n071,n405
a0850,n405,n071
a0851,n074,n119
a0852,n119,n074
a0853,n454,n030
a0854,n030,n454
a0855,n118,n300
a0856,n300,n118
a0857,n320,n120
a0858,n120,n320
a0859,n435,n455
a0860,n455,n435
a0861,n421,n461
a0862,n461,n421
a0863,n267,n197
a0864,n197,n267
a0865,n091,n157
a0866,n157,n091
a0867,n209,n132
a0868,n132,n209
a0869,n072,n492
a0870,n492,n072
a0871,n440,n320
a0872,n320,n440
a0873,n402,n320
a0874,n320,n402
a0875,n360,n186
a0876,n186,n360
a0877,n369,n441
a0878,n441,n369
a0879,n198,n273
a0880,n273,n198
a0881,n336,n029
a0882,n029,n336
a0883,n321,n002
a0884,n002,n321
a0885,n143,n385
a0886,n385,n143
a0887,n279,n160
a0888,n160,n279
a0889,n063,n359
a0890,n359,n063
a0891,n080,n404
a0892,n404,n080
a0893,n318,n230
a0894,n230,n318
a0895,n291,n141
a0896,n141,n291
a0897,n282,n017
a0898,n017,n282
a0899,n080,n345
a0900,n345,n080
a0901,n452,n143
a0902,n143,n452
a0903,n277,n107
a0904,n107,n277
a0905,n147,n382
a0906,n382,n147
a0907,n305,n287
a0908,n287,n305
a0909,n282,n008
a0910,n008,n282
a0911,n316,n212
a0912,n212,n316
a0913,n160,n265
a0914,n265,n160
a0915,n210,n243
a0916,n243,n210
a0917,n425,n268
a0918,n268,n425
a0919,n332,n085
a0920,n085,n332
a0921,n135,n498
a0922,n498,n135
a0923,n015,n007
a0924,n007,n015
a0925,n225,n170
a0926,n170,n225
a0927,n467,n252
a0928,n252,n467
a0929,n232,n076
a0930,n076,n232
a0931,n101,n084
a0932,n084,n101
a0933,n069,n322
a0934,n322,n069
a0935,n055,n068
a0936,n068,n055
a0937,n460,n172
a0938,n172,n460
a0939,n221,n365
a0940,n365,n221
a0941,n447,n275
a0942,n275,n447
a0943,n352,n162
a0944,n162,n352
a0945,n123,n040
a0946,n040,n123
a0947,n438,n204
a0948,n204,n438
a0949,n075,n104
a0950,n104,n075
a0951,n062,n262
a0952,n262,n062
a0953,n155,n065
a0954,n065,n155
a0955,n432,n249
a0956,n249,n432
a0957,n146,n307
a0958,n307,n146
a0959,n378,n013
a0960,n013,n378
a0961,n159,n484
a0962,n484,n159
a0963,n108,n182
a0964,n182,n108
a0965,n196,n152
a0966,n152,n196
a0967,n165,n020
a0968,n020,n165
a0969,n410,n463
a0970,n463,n410
a0971,n168,n263
a0972,n263,n168
a0973,n278,n004
a0974,n004,n278
a0975,n274,n494
a0976,n494,n274
a0977,n095,n192
a0978,n192,n095
a0979,n483,n206
a0980,n206,n483
a0981,n414,n109
a0982,n109,n414
a0983,n175,n407
a0984,n407,n175
a0985,n020,n362
a0986,n362,n020
a0987,n205,n174
a0988,n174,n205
a0989,n054,n370
a0990,n370,n054
a0991,n128,n335
a0992,n335,n128
a0993,n386,n293
a0994,n293,n386
a0995,n127,n303
a0996,n303,n127
a0997,n293,n041
a0998,n041,n293
a0999,n385,n338
a1000,n338,n385
a1001,n138,n077
a1002,n077,n138
a1003,n427,n216
a1004,n216,n427
a1005,n203,n081
a1006,n081,n203
a1007,n488,n179
a1008,n179,n488
a1009,n400,n431
a1010,n431,n400
a1011,n121,n366
a1012,n366,n121
a1013,n219,n027
a1014,n027,n219
a1015,n188,n173
a1016,n173,n188
a1017,n098,n360
a1018,n360,n098
a1019,n401,n406
a1020,n406,n401
a1021,n177,n103
a1022,n103,n177
a1023,n102,n292
a1024,n292,n102
a1025,n144,n465
a1026,n465,n144
a1027,n321,n043
a1028,n043,n321
a1029,n205,n281
a1030,n281,n205
a1031,n198,n208
a1032,n208,n198
a1033,n241,n246
a1034,n246,n241
a1035,n098,n210
a1036,n210,n098
a1037,n470,n345
a1038,n345,n470
a1039,n353,n039
a1040,n039,n353
a1041,n256,n464
a1042,n464,n256
a1043,n361,n364
a1044,n364,n361
a1045,n390,n065
a1046,n065,n390
a1047,n126,n220
a1048,n220,n126
a1049,n088,n120
a1050,n120,n088
a1051,n146,n390
a1052,n390,n146
a1053,n056,n268
a1054,n268,n056
a1055,n069,n273
a1056,n273,n069
a1057,n071,n308
a1058,n308,n071
a1059,n231,n377
a1060,n377,n231
a1061,n204,n448
a1062,n448,n204
a1063,n484,n376
a1064,n376,n484
a1065,n478,n033
a1066,n033,n478
a1067,n013,n320
a1068,n320,n013
a1069,n005,n081
a1070,n081,n005
a1071,n176,n315
a1072,n315,n176
a1073,n005,n040
a1074,n040,n005
a1075,n127,n298
a1076,n298,n127
a1077,n396,n130
a1078,n130,n396
a1079,n373,n309
a1080,n309,n373
a1081,n116,n355
a1082,n355,n116
a1083,n455,n454
a1084,n454,n455
a1085,n296,n073
a1086,n073,n296
a1087,n284,n472
a1088,n472,n284
a1089,n491,n290
a1090,n290,n491
a1091,n215,n193
a1092,n193,n215
a1093,n271,n387
a1094,n387,n271
a1095,n080,n229
a1096,n229,n080
a1097,n371,n247
a1098,n247,n371
a1099,n086,n254
a1100,n254,n086
a1101,n154,n460
a1102,n460,n154
a1103,n354,n308
a1104,n308,n354
a1105,n166,n473
a1106,n473,n166
a1107,n084,n472
a1108,n472,n084
a1109,n363,n264
a1110,n264,n363
a1111,n117,n285
a1112,n285,n117
a1113,n053,n265
a1114,n265,n053
a1115,n210,n417
a1116,n417,n210
a1117,n235,n011
a1118,n011,n235
a1119,n136,n197
a1120,n197,n136
a1121,n007,n147
a1122,n147,n007
a1123,n256,n148
a1124,n148,n256
a1125,n438,n410
a1126,n410,n438
a1127,n342,n228
a1128,n228,n342
a1129,n417,n214
a1130,n214,n417
a1131,n033,n223
a1132,n223,n033
a1133,n345,n225
a1134,n225,n345
a1135,n091,n246
a1136,n246,n091
a1137,n474,n289
a1138,n289,n474
a1139,n354,n082
a1140,n082,n354
a1141,n224,n274
a1142,n274,n224
a1143,n316,n189
a1144,n189,n316
a1145,n341,n302
a1146,n302,n341
a1147,n348,n006
a1148,n006,n348
a1149,n003,n475
a1150,n475,n003
a1151,n066,n038
a1152,n038,n066
a1153,n384,n197
a1154,n197,n384
a1155,n300,n092
a1156,n092,n300
a1157,n072,n224
a1158,n224,n072
a1159,n196,n383
a1160,n383,n196
a1161,n246,n059
a1162,n059,n246
a1163,n362,n311
a1164,n311,n362
a1165,n142,n135
a1166,n135,n142
a1167,n164,n332
a1168,n332,n164
a1169,n201,n164
a1170,n164,n201
a1171,n265,n266
a1172,n266,n265
a1173,n369,n128
a1174,n128,n369
a1175,n117,n384
a1176,n384,n117
a1177,n169,n040
a1178,n040,n169
a1179,n464,n159
a1180,n159,n464
a1181,n002,n474
a1182,n474,n002
a1183,n434,n351
a1184,n351,n434
a1185,n258,n163
a1186,n163,n258
a1187,n012,n036
a1188,n036,n012
a1189,n454,n416
a1190,n416,n454
a1191,n271,n300
a1192,n300,n271
a1193,n135,n379
a1194,n379,n135
a1195,n406,n495
a1196,n495,n406
a1197,n366,n362
a1198,n362,n366
a1199,n283,n090
a1200,n090,n283
a1201,n474,n372
a1202,n372,n474
a1203,n214,n189
a1204,n189,n214
a1205,n030,n213
a1206,n213,n030
a1207,n150,n098
a1208,n098,n150
a1209,n452,n426
a1210,n426,n452
a1211,n146,n375
a1212,n375,n146
a1213,n483,n341
a1214,n341,n483
a1215,n164,n108
a1216,n108,n164
a1217,n488,n405
a1218,n405,n488
a1219,n009,n140
a1220,n140,n009
a1221,n045,n348
a1222,n348,n045
a1223,n373,n403
a1224,n403,n373
a1225,n254,n394
a1226,n394,n254
a1227,n106,n371
a1228,n371,n106
a1229,n330,n392
a1230,n392,n330
a1231,n047,n257
a1232,n257,n047
a1233,n233,n278
a1234,n278,n233
a1235,n292,n109
a1236,n109,n292
a1237,n171,n160
a1238,n160,n171
a1239,n150,n410
a1240,n410,n150
a1241,n132,n289
a1242,n289,n132
a1243,n485,n494
a1244,n494,n485
a1245,n106,n470
a1246,n470,n106
a1247,n447,n409
a1248,n409,n447
a1249,n356,n220
a1250,n220,n356
