pattern_id,item_0,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10
67,3291.0,3291.0,3291.0,3291.0,3291.0,3291.0,3291.0,3291.0,3291.0,3291.0,3291.0
68,7328.0,7328.0,7328.0,7328.0,0.0,0.0,7328.0,0.0,0.0,7328.0,7328.0
69,4506.0,4506.0,4506.0,4506.0,4506.0,4506.0,4506.0,4506.0,4506.0,4506.0,4506.0
70,4429.0,4429.0,4429.0,4429.0,4429.0,4429.0,4429.0,4429.0,4429.0,4429.0,4429.0
71,4593.0,4593.0,2038.6351681,4593.0,3783.7812896,2671.1703318,2068.3189585,4593.0,4593.0,4593.0,758.29711329
72,9138.0,0.0,6121.179313,8484.0,0.0,4071.8888806,8484.0,2896.1020089,9138.0,2081.7976241,2184.2401961
73,3731.7664319,6465.6610011,6197.801258,6175.543002,0.0,5999.3406637,4290.3138053,5877.0429661,3472.3031042,3545.8932953,4236.1090686
74,5124.2922535,5806.8664347,1698.801258,2921.3990893,654.39121533,3781.9888063,5470.8814755,984.49846346,630.30310424,5202.9097575,5406.1224129
75,4378.0,4378.0,2279.4274445,4378.0,4378.0,0.0,4378.0,4378.0,4378.0,4378.0,4378.0
76,3647.0,3647.0,3647.0,3647.0,3647.0,3647.0,3647.0,3647.0,3647.0,3647.0,3647.0
77,3795.0,1395.1358405,3795.0,3795.0,3795.0,3795.0,3795.0,3795.0,2912.0,3795.0,3795.0
78,2912.0,2912.0,2912.0,2912.0,2912.0,2912.0,2912.0,2912.0,2912.0,2912.0,2912.0
79,8830.0,0.0,8830.0,2505.1281467,8830.0,8830.0,8830.0,8830.0,0.0,0.0,40.55787037
80,5445.0,5445.0,5445.0,5445.0,5445.0,5445.0,5445.0,2395.8979911,5445.0,5445.0,5445.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,6112.0,6112.0,4478.7723368,6112.0,6112.0,6112.0,6112.0,6112.0,6112.0,6112.0,6112.0
83,8841.0,0.0,8841.0,8841.0,8841.0,0.0,0.0,0.0,8841.0,0.0,8841.0
84,1236.0,1236.0,1236.0,1236.0,1236.0,1236.0,1236.0,1236.0,1236.0,1236.0,1236.0
85,7010.0,7010.0,7010.0,7010.0,7010.0,0.0,0.0,7010.0,7010.0,0.0,0.0
86,2909.0,2909.0,2909.0,2909.0,2909.0,2909.0,2909.0,2909.0,2909.0,2909.0,2909.0
87,7622.0,7622.0,7622.0,0.0,0.0,7622.0,7622.0,7622.0,7622.0,0.0,7622.0
88,7393.0,6594.385439,1997.1997813,6110.5626987,5966.6503463,6281.3502229,7393.0,7393.0,7393.0,0.0,7393.0
89,8317.6971831,8830.0,0.0,0.0,4789.3781866,4764.2200099,3307.7596962,4019.8003073,3952.5472941,5757.7289904,8830.0
90,1950.0,1950.0,179.5,1950.0,1950.0,1950.0,1950.0,1950.0,1950.0,1950.0,1950.0
91,4654.0,4654.0,4654.0,4654.0,4654.0,4654.0,4654.0,2510.3471432,4654.0,4654.0,4654.0
92,2255.0,2255.0,2255.0,2255.0,2255.0,2255.0,2255.0,2255.0,2255.0,2255.0,2255.0
93,7104.0,7104.0,7104.0,7104.0,7104.0,0.0,0.0,0.0,7104.0,0.0,7104.0
94,7534.7887324,7744.0,7744.0,0.0,7744.0,0.0,0.0,4404.6020089,0.0,7744.0,5858.9893791
95,2054.0,2054.0,2054.0,2054.0,2054.0,2054.0,2054.0,2054.0,2054.0,2054.0,2054.0
96,6682.0,6682.0,6682.0,2501.4582009,3124.5817884,6682.0,6682.0,1366.8979911,6682.0,1810.9409546,6682.0
97,3234.0,3234.0,3234.0,3234.0,3234.0,3234.0,3234.0,3234.0,3234.0,3234.0,3234.0
98,2842.0,2842.0,2842.0,2842.0,654.39121533,2706.9888063,2842.0,2842.0,2842.0,1339.329068,2842.0
99,3974.0,3974.0,3974.0,3974.0,3974.0,3974.0,3974.0,3974.0,3974.0,3974.0,3974.0
100,3624.0,3624.0,3624.0,3624.0,3624.0,3624.0,3624.0,3624.0,3624.0,3624.0,3624.0
101,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0
102,2246.0,1997.6085385,2246.0,1582.0,2246.0,2246.0,2246.0,2246.0,2246.0,2246.0,2246.0
103,8590.0,8590.0,0.0,0.0,8590.0,0.0,8590.0,8590.0,8590.0,8590.0,8590.0
104,2633.0,2373.137781,2633.0,2633.0,2633.0,2633.0,2633.0,2633.0,2633.0,2633.0,2633.0
105,4655.0,4655.0,4655.0,4655.0,4655.0,4655.0,4655.0,4655.0,4655.0,4655.0,4655.0
106,2923.0,2923.0,2923.0,2923.0,2923.0,2923.0,2923.0,2923.0,2923.0,2923.0,2923.0
107,6318.0,6318.0,6318.0,6318.0,6318.0,6318.0,6318.0,6318.0,6318.0,0.0,6318.0
108,7440.0,7440.0,7440.0,0.0,7440.0,7440.0,0.0,7440.0,0.0,0.0,7440.0
109,4579.0,4579.0,4579.0,4579.0,4579.0,4579.0,4579.0,4579.0,4579.0,4579.0,4579.0
110,8342.0,8342.0,0.0,8342.0,0.0,5211.7323923,8342.0,8342.0,8342.0,0.0,0.0
111,3813.4002347,5050.0,5050.0,1365.1296074,3650.9002494,1367.1828628,2259.9591809,1582.0,4641.0618824,0.0,1839.3216231
112,6268.0,6268.0,5050.0,6268.0,6268.0,987.77768697,6268.0,6268.0,6268.0,3143.4143401,6268.0
113,8570.0,8570.0,0.0,0.0,8570.0,8570.0,8570.0,0.0,2672.8901642,8570.0,7847.8483115
114,9838.0,0.0,0.0,7799.0,7119.5646547,8392.0859336,9838.0,9838.0,9838.0,9838.0,9838.0
115,4876.0,4876.0,4876.0,4876.0,4876.0,4876.0,1677.8517765,4876.0,4876.0,4876.0,4876.0
116,418.3028169,6800.7326017,1444.7264377,4438.6399605,4376.4583031,5896.5208271,2400.0713317,4056.0,9861.0,4486.3993937,425.53118192
117,4922.0,4922.0,4922.0,4922.0,3590.0,4922.0,4922.0,3333.0,4922.0,4922.0,4922.0
118,3590.0,3590.0,3590.0,3590.0,3590.0,3590.0,3590.0,3590.0,3590.0,3590.0,3590.0
119,7152.0,7152.0,7152.0,7152.0,0.0,7152.0,7152.0,0.0,7152.0,0.0,0.0
120,7056.0,7056.0,805.0,7056.0,7056.0,7056.0,7056.0,6684.7360005,7056.0,7056.0,7056.0
121,9136.0,0.0,9136.0,0.0,9136.0,9136.0,0.0,9136.0,9136.0,9136.0,0.0
122,7850.0,7850.0,4655.0,4655.0,0.0,7850.0,0.0,7850.0,7850.0,0.0,7850.0
123,6863.0,6863.0,6863.0,6863.0,6863.0,6863.0,0.0,0.0,0.0,0.0,6863.0
124,9356.0,0.0,6006.1685651,9356.0,0.0,9356.0,0.0,7984.5952083,0.0,4448.0,7131.2908497
125,2933.0,2933.0,2933.0,2933.0,2933.0,2933.0,2933.0,2933.0,2933.0,2933.0,2933.0
126,2665.0,2665.0,2665.0,2665.0,2665.0,2665.0,2665.0,2665.0,2665.0,2665.0,2665.0
127,4063.0,4063.0,4063.0,4063.0,4063.0,4063.0,4063.0,4063.0,4063.0,4063.0,4063.0
128,7502.0,7194.4958512,7502.0,0.0,5805.6941235,7502.0,2838.1593436,2973.398674,7502.0,6324.7029047,6844.4421296
129,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0
130,4540.0,4540.0,4540.0,4540.0,4540.0,4540.0,4540.0,4540.0,4540.0,4540.0,4540.0
131,1370.0,1370.0,1370.0,1370.0,1370.0,1370.0,1370.0,1370.0,1370.0,1370.0,1370.0
132,9828.0,0.0,0.0,9828.0,9828.0,9828.0,0.0,9828.0,0.0,9828.0,9828.0
133,9376.0,0.0,9376.0,0.0,0.0,9376.0,9376.0,9376.0,9376.0,9376.0,9376.0
134,3856.6326291,699.33050054,6443.0,2459.7239454,6443.0,4204.3776127,6443.0,5442.4805372,4223.2163061,6443.0,4023.7207244
135,1996.0,1996.0,1996.0,1996.0,1996.0,1996.0,1996.0,1996.0,1996.0,1996.0,1996.0
136,5320.0,5320.0,5320.0,5320.0,2230.8578076,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0
137,3107.4788732,2686.2422377,190.29012568,0.0,35.415531264,3688.0699604,6754.0,0.0,3234.0,0.0,5299.145561
138,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0
139,2890.0046948,2194.0980996,1966.0,234.37039265,6184.8933866,433.0,8057.6528343,5264.9477578,7785.9167409,433.0,5743.9670479
140,4920.0,4920.0,4276.6272259,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0
141,8107.0,8107.0,0.0,8107.0,8107.0,0.0,8107.0,8107.0,0.0,8107.0,0.0
142,6103.0,6103.0,6103.0,2850.6425595,6103.0,6103.0,4014.9286683,6103.0,6103.0,6103.0,3705.0
143,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0
144,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0
145,6146.0,6007.6066649,6146.0,6146.0,1807.4118259,6146.0,6146.0,6146.0,4055.643386,6146.0,3889.5196078
146,6295.0,6295.0,6295.0,6295.0,6295.0,6295.0,6295.0,6295.0,6295.0,6295.0,0.0
147,8177.0,4739.5,8177.0,0.0,0.0,8177.0,8177.0,8177.0,8177.0,8177.0,8177.0
148,5339.0,3384.6358405,8742.0,3373.0,4547.1370064,8742.0,8742.0,8742.0,8742.0,8742.0,8742.0
149,9936.0,0.0,0.0,9936.0,9936.0,9936.0,9936.0,0.0,9936.0,0.0,0.0
