Constraint_Group_Type,Period_ID,Variable_Name,Coefficient
Resource,3,C0357,-1.387336
Resource,3,C0386,-1.00235026
Resource,3,C0413,-0.724198063
Resource,3,C0473,2.0402
Resource,4,C0006,0.219615
Resource,4,C0011,0.26573415
Resource,4,C0016,0.08
Resource,4,C0024,0.088
Resource,4,C0033,0.0968
Resource,4,C0043,0.10648
Resource,4,C0054,0.117128
Resource,4,C0066,0.1288408
Resource,4,C0079,0.14172488
Resource,4,C0095,-1.012373763
Resource,4,C0100,-0.731440043
Resource,4,C0107,-0.8242408
Resource,4,C0115,-0.70060468
Resource,4,C0124,-0.595513978
Resource,4,C0134,-0.506186881
Resource,4,C0145,-0.430258849
Resource,4,C0157,-0.365720022
Resource,4,C0170,-0.310862018
Resource,4,C0185,1.030301
Resource,4,C0193,0.6655
Resource,4,C0208,0.5324
Resource,4,C0223,0.15
Resource,4,C0237,0.165
Resource,4,C0251,0.1815
Resource,4,C0264,0.19965
Resource,4,C0290,0.2415765
Resource,4,C0343,-1.6484816
Resource,4,C0358,-1.40120936
Resource,4,C0372,-1.191027956
Resource,4,C0400,-0.860517698
Resource,4,C0426,-0.621724037
Resource,4,C0474,2.060602
Resource,5,C0009,0.2415765
Resource,5,C0017,0.08
Resource,5,C0025,0.088
Resource,5,C0034,0.0968
Resource,5,C0044,0.10648
Resource,5,C0055,0.117128
Resource,5,C0067,0.1288408
Resource,5,C0080,0.14172488
Resource,5,C0098,-0.869122909
Resource,5,C0103,-0.627941301
Resource,5,C0108,-0.83248328
Resource,5,C0116,-0.707610788
Resource,5,C0125,-0.60146917
Resource,5,C0135,-0.511248794
Resource,5,C0146,-0.434561475
Resource,5,C0158,-0.369377254
Resource,5,C0171,-0.313970666
Resource,5,C0186,1.0406041
Resource,5,C0194,0.73205
Resource,5,C0209,0.58564
Resource,5,C0224,0.15
Resource,5,C0238,0.165
Resource,5,C0252,0.1815
Resource,5,C0265,0.19965
Resource,5,C0278,0.219615
Resource,5,C0303,0.26573415
Resource,5,C0344,-1.66496648
Resource,5,C0359,-1.415221508
Resource,5,C0373,-1.202938282
Resource,5,C0387,-1.02249754
Resource,5,C0414,-0.738754472
Resource,5,C0475,2.0812081
Resource,6,C0012,0.26573415
Resource,6,C0018,0.08
Resource,6,C0026,0.088
Resource,6,C0035,0.0968
Resource,6,C0045,0.10648
Resource,6,C0056,0.117128
Resource,6,C0068,0.1288408
Resource,6,C0081,0.14172488
Resource,6,C0101,-0.746142024
Resource,6,C0109,-0.84080816
Resource,6,C0117,-0.714686936
Resource,6,C0126,-0.607483896
Resource,6,C0136,-0.516361311
Resource,6,C0147,-0.438907115
Resource,6,C0159,-0.373071047
Resource,6,C0172,-0.31711039
Resource,6,C0187,1.0510102
Resource,6,C0195,0.805255
Resource,6,C0210,0.644204
Resource,6,C0225,0.15
Resource,6,C0239,0.165
Resource,6,C0253,0.1815
Resource,6,C0266,0.19965
Resource,6,C0279,0.219615
Resource,6,C0291,0.2415765
Resource,6,C0345,-1.68161616
Resource,6,C0360,-1.429373736
Resource,6,C0374,-1.214967676
Resource,6,C0388,-1.032722524
Resource,6,C0401,-0.877814146
Resource,6,C0427,-0.63422072
Resource,6,C0476,2.1020202
Resource,7,C0019,0.08
Resource,7,C0027,0.088
Resource,7,C0036,0.0968
Resource,7,C0046,0.10648
Resource,7,C0057,0.117128
Resource,7,C0069,0.1288408
Resource,7,C0082,0.14172488
Resource,7,C0104,-0.640562957
Resource,7,C0110,-0.84921632
Resource,7,C0118,-0.721833872
Resource,7,C0127,-0.613558791
Resource,7,C0137,-0.521524973
Resource,7,C0148,-0.443296227
Resource,7,C0160,-0.376801793
Resource,7,C0173,-0.320281524
Resource,7,C0188,1.0615204
Resource,7,C0196,0.8857805
Resource,7,C0211,0.7086244
Resource,7,C0226,0.15
Resource,7,C0240,0.165
Resource,7,C0254,0.1815
Resource,7,C0267,0.19965
Resource,7,C0280,0.219615
Resource,7,C0292,0.2415765
Resource,7,C0304,0.26573415
Resource,7,C0346,-1.6984324
Resource,7,C0361,-1.44366754
Resource,7,C0375,-1.227117409
Resource,7,C0389,-1.043049798
Resource,7,C0402,-0.886592328
Resource,7,C0415,-0.753603479
Resource,7,C0477,2.1230405
Resource,8,C0020,0.08
Resource,8,C0028,0.088
Resource,8,C0037,0.0968
Resource,8,C0047,0.10648
Resource,8,C0058,0.117128
Resource,8,C0070,0.1288408
Resource,8,C0083,0.14172488
Resource,8,C0111,-0.85770856
Resource,8,C0119,-0.729052276
Resource,8,C0128,-0.619694435
Resource,8,C0138,-0.526740269
Resource,8,C0149,-0.447729229
Resource,8,C0161,-0.380569845
Resource,8,C0174,-0.323484368
Resource,8,C0189,1.0721357
Resource,8,C0197,0.9743586
Resource,8,C0212,0.7794869
Resource,8,C0227,0.15
Resource,8,C0241,0.165
Resource,8,C0255,0.1815
Resource,8,C0268,0.19965
Resource,8,C0281,0.219615
Resource,8,C0293,0.2415765
Resource,8,C0305,0.26573415
Resource,8,C0347,-1.7154168
Resource,8,C0362,-1.45810428
Resource,8,C0376,-1.239388638
Resource,8,C0390,-1.053480342
Resource,8,C0403,-0.895458291
Resource,8,C0416,-0.761139547
Resource,8,C0428,-0.646968615
Resource,8,C0478,2.144271
Resource,9,C0029,0.088
Resource,9,C0038,0.0968
Resource,9,C0048,0.10648
Resource,9,C0059,0.117128
Resource,9,C0071,0.1288408
Resource,9,C0084,0.14172488
Resource,9,C0112,-0.86628568
Resource,9,C0120,-0.736342828
Resource,9,C0129,-0.625891404
Resource,9,C0139,-0.532007693
Resource,9,C0150,-0.452206539
Resource,9,C0162,-0.384375558
Resource,9,C0175,-0.326719225
Resource,9,C0198,1.0717945
Resource,9,C0213,0.8574356
Resource,9,C0228,0.15
Resource,9,C0242,0.165
Resource,9,C0256,0.1815
Resource,9,C0269,0.19965
Resource,9,C0282,0.219615
Resource,9,C0294,0.2415765
Resource,9,C0306,0.26573415
Resource,9,C0313,0.08
Resource,9,C0348,-1.73257104
Resource,9,C0363,-1.472685384
Resource,9,C0377,-1.251782576
Resource,9,C0391,-1.06401519
Resource,9,C0404,-0.904412911
Resource,9,C0417,-0.768750975
Resource,9,C0429,-0.653438329
Resource,9,C0479,2.1657138
Resource,9,C0486,1.0828571
Resource,10,C0039,0.0968
Resource,10,C0049,0.10648
Resource,10,C0060,0.117128
Resource,10,C0072,0.1288408
Resource,10,C0085,0.14172488
Resource,10,C0121,-0.743706276
Resource,10,C0130,-0.632150335
Resource,10,C0140,-0.537327784
Resource,10,C0151,-0.456728617
Resource,10,C0163,-0.388219324
Resource,10,C0176,-0.329986426
Resource,10,C0199,1.178974
Resource,10,C0214,0.9431792
Resource,10,C0229,0.15
Resource,10,C0243,0.165
Resource,10,C0257,0.1815
Resource,10,C0270,0.19965
Resource,10,C0283,0.219615
Resource,10,C0295,0.2415765
Resource,10,C0307,0.26573415
Resource,10,C0314,0.08
Resource,10,C0320,0.088
Resource,10,C0349,-1.7498968
Resource,10,C0364,-1.48741228
Resource,10,C0378,-1.264300438
Resource,10,C0392,-1.074655372
Resource,10,C0405,-0.913457066
Resource,10,C0418,-0.776438506
Resource,10,C0430,-0.659972731
Resource,10,C0438,-0.87494856
Resource,10,C0480,2.187371
Resource,10,C0487,1.0936857
Resource,11,C0050,0.10648
Resource,11,C0061,0.117128
Resource,11,C0073,0.1288408
Resource,11,C0086,0.14172488
Resource,11,C0131,-0.638471863
Resource,11,C0141,-0.542701083
Resource,11,C0152,-0.461295921
Resource,11,C0164,-0.392101533
Resource,11,C0177,-0.333286303
Resource,11,C0200,1.2968714
Resource,11,C0215,1.0374972
Resource,11,C0230,0.15
Resource,11,C0244,0.165
Resource,11,C0258,0.1815
Resource,11,C0271,0.19965
Resource,11,C0284,0.219615
Resource,11,C0296,0.2415765
Resource,11,C0308,0.26573415
Resource,11,C0315,0.08
Resource,11,C0321,0.088
Resource,11,C0326,0.0968
Resource,11,C0350,-1.76739584
Resource,11,C0365,-1.502286464
Resource,11,C0379,-1.276943494
Resource,11,C0393,-1.08540197
Resource,11,C0406,-0.922591675
Resource,11,C0419,-0.784202923
Resource,11,C0431,-0.666572485
Resource,11,C0439,-0.88369808
Resource,11,C0446,-0.751143368
Resource,11,C0481,2.2092448
Resource,11,C0488,1.1046226
Resource,12,C0062,0.117128
Resource,12,C0074,0.1288408
Resource,12,C0087,0.14172488
Resource,12,C0142,-0.548128131
Resource,12,C0153,-0.465908911
Resource,12,C0165,-0.396022574
Resource,12,C0178,-0.336619188
Resource,12,C0201,1.4265586
Resource,12,C0216,1.141247
Resource,12,C0231,0.15
Resource,12,C0245,0.165
Resource,12,C0259,0.1815
Resource,12,C0272,0.19965
Resource,12,C0285,0.219615
Resource,12,C0297,0.2415765
Resource,12,C0309,0.26573415
Resource,12,C0316,0.08
Resource,12,C0322,0.088
Resource,12,C0327,0.0968
Resource,12,C0331,0.10648
Resource,12,C0351,-1.78506984
Resource,12,C0366,-1.517309364
Resource,12,C0380,-1.289712959
Resource,12,C0394,-1.096256015
Resource,12,C0407,-0.931817613
Resource,12,C0420,-0.792044971
Resource,12,C0432,-0.673238226
Resource,12,C0440,-0.89253512
Resource,12,C0447,-0.758654852
Resource,12,C0453,-0.644856624
Resource,12,C0482,2.2313373
Resource,12,C0489,1.1156689
Resource,13,C0075,0.1288408
Resource,13,C0088,0.14172488
Resource,13,C0154,-0.470568005
Resource,13,C0166,-0.399982804
Resource,13,C0179,-0.339985383
Resource,13,C0202,1.5692145
Resource,13,C0217,1.2553717
Resource,13,C0232,0.15
Resource,13,C0246,0.165
Resource,13,C0260,0.1815
Resource,13,C0273,0.19965
Resource,13,C0286,0.219615
Resource,13,C0298,0.2415765
Resource,13,C0310,0.26573415
Resource,13,C0317,0.08
Resource,13,C0323,0.088
Resource,13,C0328,0.0968
Resource,13,C0332,0.10648
Resource,13,C0335,0.117128
Resource,13,C0352,-1.80292056
Resource,13,C0367,-1.532482476
Resource,13,C0381,-1.302610105
Resource,13,C0395,-1.107218589
Resource,13,C0408,-0.941135801
Resource,13,C0421,-0.79996543
Resource,13,C0433,-0.679970616
Resource,13,C0441,-0.90146048
Resource,13,C0448,-0.766241408
Resource,13,C0454,-0.651305197
Resource,13,C0459,-0.553609417
Resource,13,C0483,2.2536507
Resource,13,C0490,1.1268256
Resource,14,C0089,0.14172488
Resource,14,C0167,-0.403982648
Resource,14,C0180,-0.34338525
Resource,14,C0203,1.726136
Resource,14,C0218,1.3809089
Resource,14,C0233,0.15
Resource,14,C0247,0.165
Resource,14,C0261,0.1815
Resource,14,C0274,0.19965
Resource,14,C0287,0.219615
Resource,14,C0299,0.2415765
Resource,14,C0311,0.26573415
Resource,14,C0318,0.08
Resource,14,C0324,0.088
Resource,14,C0329,0.0968
Resource,14,C0333,0.10648
Resource,14,C0336,0.117128
Resource,14,C0338,0.1288408
Resource,14,C0353,-1.82094984
Resource,14,C0368,-1.547807364
Resource,14,C0382,-1.315636259
Resource,14,C0396,-1.11829082
Resource,14,C0409,-0.950547197
Resource,14,C0422,-0.807965118
Resource,14,C0434,-0.68677035
Resource,14,C0442,-0.91047512
Resource,14,C0449,-0.773903852
Resource,14,C0455,-0.657818274
Resource,14,C0460,-0.559145533
Resource,14,C0464,-0.475273703
Resource,14,C0484,2.2761873
Resource,14,C0491,1.1380939
Resource,15,C0181,-0.346819121
Resource,15,C0204,1.8987496
Resource,15,C0219,1.5189998
Resource,15,C0234,0.15
Resource,15,C0248,0.165
Resource,15,C0262,0.1815
Resource,15,C0275,0.19965
Resource,15,C0288,0.219615
Resource,15,C0300,0.2415765
Resource,15,C0312,0.26573415
Resource,15,C0319,0.08
Resource,15,C0325,0.088
Resource,15,C0330,0.0968
Resource,15,C0334,0.10648
Resource,15,C0337,0.117128
Resource,15,C0339,0.1288408
Resource,15,C0340,0.14172488
Resource,15,C0354,-1.83915936
Resource,15,C0369,-1.563285456
Resource,15,C0383,-1.328792638
Resource,15,C0397,-1.129473742
Resource,15,C0410,-0.960052681
Resource,15,C0423,-0.816044779
Resource,15,C0435,-0.693638062
Resource,15,C0443,-0.91957992
Resource,15,C0450,-0.781642932
Resource,15,C0456,-0.664396492
Resource,15,C0461,-0.564737018
Resource,15,C0465,-0.480026466
Resource,15,C0468,-0.408022496
Resource,15,C0485,2.2989492
Resource,15,C0492,1.1494749
Demand,1,C0001,3960.0
Demand,1,C0003,3960.0
Demand,1,C0007,3960.0
Demand,1,C0013,1980.0
Demand,1,C0021,1980.0
Demand,1,C0030,1980.0
Demand,1,C0040,1980.0
Demand,1,C0051,1980.0
Demand,1,C0063,1980.0
Demand,1,C0076,1980.0
Demand,1,C0220,3960.0
Demand,1,C0249,3960.0
Demand,1,C0276,3960.0
Demand,1,C0301,3960.0
Demand,1,C0493,1.0
Demand,1,C0509,1.0
Demand,2,C0002,4000.0
Demand,2,C0005,4000.0
Demand,2,C0010,4000.0
Demand,2,C0014,2000.0
Demand,2,C0022,2000.0
Demand,2,C0031,2000.0
Demand,2,C0041,2000.0
Demand,2,C0052,2000.0
Demand,2,C0064,2000.0
Demand,2,C0077,2000.0
Demand,2,C0221,4000.0
Demand,2,C0235,4000.0
Demand,2,C0263,4000.0
Demand,2,C0289,4000.0
Demand,2,C0494,1.0
Demand,2,C0510,1.0
Demand,3,C0004,4040.0
Demand,3,C0008,4040.0
Demand,3,C0015,2020.0
Demand,3,C0023,2020.0
Demand,3,C0032,2020.0
Demand,3,C0042,2020.0
Demand,3,C0053,2020.0
Demand,3,C0065,2020.0
Demand,3,C0078,2020.0
Demand,3,C0222,4040.0
Demand,3,C0236,4040.0
Demand,3,C0250,4040.0
Demand,3,C0277,4040.0
Demand,3,C0302,4040.0
Demand,3,C0495,1.0
Demand,3,C0511,1.0
Demand,4,C0006,4080.0
Demand,4,C0011,4080.0
Demand,4,C0016,2040.0
Demand,4,C0024,2040.0
Demand,4,C0033,2040.0
Demand,4,C0043,2040.0
Demand,4,C0054,2040.0
Demand,4,C0066,2040.0
Demand,4,C0079,2040.0
Demand,4,C0223,4080.0
Demand,4,C0237,4080.0
Demand,4,C0251,4080.0
Demand,4,C0264,4080.0
Demand,4,C0290,4080.0
Demand,4,C0496,1.0
Demand,4,C0512,1.0
Demand,5,C0009,4120.0
Demand,5,C0017,2060.0
Demand,5,C0025,2060.0
Demand,5,C0034,2060.0
Demand,5,C0044,2060.0
Demand,5,C0055,2060.0
Demand,5,C0067,2060.0
Demand,5,C0080,2060.0
Demand,5,C0224,4120.0
Demand,5,C0238,4120.0
Demand,5,C0252,4120.0
Demand,5,C0265,4120.0
Demand,5,C0278,4120.0
Demand,5,C0303,4120.0
Demand,5,C0497,1.0
Demand,5,C0513,1.0
Demand,6,C0012,4160.0
Demand,6,C0018,2080.0
Demand,6,C0026,2080.0
Demand,6,C0035,2080.0
Demand,6,C0045,2080.0
Demand,6,C0056,2080.0
Demand,6,C0068,2080.0
Demand,6,C0081,2080.0
Demand,6,C0225,4160.0
Demand,6,C0239,4160.0
Demand,6,C0253,4160.0
Demand,6,C0266,4160.0
Demand,6,C0279,4160.0
Demand,6,C0291,4160.0
Demand,6,C0498,1.0
Demand,6,C0514,1.0
Demand,7,C0019,2100.0
Demand,7,C0027,2100.0
Demand,7,C0036,2100.0
Demand,7,C0046,2100.0
Demand,7,C0057,2100.0
Demand,7,C0069,2100.0
Demand,7,C0082,2100.0
Demand,7,C0226,4200.0
Demand,7,C0240,4200.0
Demand,7,C0254,4200.0
Demand,7,C0267,4200.0
Demand,7,C0280,4200.0
Demand,7,C0292,4200.0
Demand,7,C0304,4200.0
Demand,7,C0499,1.0
Demand,7,C0515,1.0
Demand,8,C0020,2120.0
Demand,8,C0028,2120.0
Demand,8,C0037,2120.0
Demand,8,C0047,2120.0
Demand,8,C0058,2120.0
Demand,8,C0070,2120.0
Demand,8,C0083,2120.0
Demand,8,C0227,4240.0
Demand,8,C0241,4240.0
Demand,8,C0255,4240.0
Demand,8,C0268,4240.0
Demand,8,C0281,4240.0
Demand,8,C0293,4240.0
Demand,8,C0305,4240.0
Demand,8,C0500,1.0
Demand,8,C0516,1.0
Demand,9,C0029,2140.0
Demand,9,C0038,2140.0
Demand,9,C0048,2140.0
Demand,9,C0059,2140.0
Demand,9,C0071,2140.0
Demand,9,C0084,2140.0
Demand,9,C0228,4280.0
Demand,9,C0242,4280.0
Demand,9,C0256,4280.0
Demand,9,C0269,4280.0
Demand,9,C0282,4280.0
Demand,9,C0294,4280.0
Demand,9,C0306,4280.0
Demand,9,C0313,2140.0
Demand,9,C0501,1.0
Demand,9,C0517,1.0
Demand,10,C0039,2160.0
Demand,10,C0049,2160.0
Demand,10,C0060,2160.0
Demand,10,C0072,2160.0
Demand,10,C0085,2160.0
Demand,10,C0229,4320.0
Demand,10,C0243,4320.0
Demand,10,C0257,4320.0
Demand,10,C0270,4320.0
Demand,10,C0283,4320.0
Demand,10,C0295,4320.0
Demand,10,C0307,4320.0
Demand,10,C0314,2160.0
Demand,10,C0320,2160.0
Demand,10,C0502,1.0
Demand,10,C0518,1.0
Demand,11,C0050,2180.0
Demand,11,C0061,2180.0
Demand,11,C0073,2180.0
Demand,11,C0086,2180.0
Demand,11,C0230,4360.0
Demand,11,C0244,4360.0
Demand,11,C0258,4360.0
Demand,11,C0271,4360.0
Demand,11,C0284,4360.0
Demand,11,C0296,4360.0
Demand,11,C0308,4360.0
Demand,11,C0315,2180.0
Demand,11,C0321,2180.0
Demand,11,C0326,2180.0
Demand,11,C0503,1.0
Demand,11,C0519,1.0
Demand,12,C0062,2200.0
Demand,12,C0074,2200.0
Demand,12,C0087,2200.0
Demand,12,C0231,4400.0
Demand,12,C0245,4400.0
Demand,12,C0259,4400.0
Demand,12,C0272,4400.0
Demand,12,C0285,4400.0
Demand,12,C0297,4400.0
Demand,12,C0309,4400.0
Demand,12,C0316,2200.0
Demand,12,C0322,2200.0
Demand,12,C0327,2200.0
Demand,12,C0331,2200.0
Demand,12,C0504,1.0
Demand,12,C0520,1.0
Demand,13,C0075,2220.0
Demand,13,C0088,2220.0
Demand,13,C0232,4440.0
Demand,13,C0246,4440.0
Demand,13,C0260,4440.0
Demand,13,C0273,4440.0
Demand,13,C0286,4440.0
Demand,13,C0298,4440.0
Demand,13,C0310,4440.0
Demand,13,C0317,2220.0
Demand,13,C0323,2220.0
Demand,13,C0328,2220.0
Demand,13,C0332,2220.0
Demand,13,C0335,2220.0
Demand,13,C0505,1.0
Demand,13,C0521,1.0
Demand,14,C0089,2240.0
Demand,14,C0233,4480.0
Demand,14,C0247,4480.0
Demand,14,C0261,4480.0
Demand,14,C0274,4480.0
Demand,14,C0287,4480.0
Demand,14,C0299,4480.0
Demand,14,C0311,4480.0
Demand,14,C0318,2240.0
Demand,14,C0324,2240.0
Demand,14,C0329,2240.0
Demand,14,C0333,2240.0
Demand,14,C0336,2240.0
Demand,14,C0338,2240.0
Demand,14,C0506,1.0
Demand,14,C0522,1.0
Demand,15,C0234,4520.0
Demand,15,C0248,4520.0
Demand,15,C0262,4520.0
Demand,15,C0275,4520.0
Demand,15,C0288,4520.0
Demand,15,C0300,4520.0
Demand,15,C0312,4520.0
Demand,15,C0319,2260.0
Demand,15,C0325,2260.0
Demand,15,C0330,2260.0
Demand,15,C0334,2260.0
Demand,15,C0337,2260.0
Demand,15,C0339,2260.0
Demand,15,C0340,2260.0
Demand,15,C0507,1.0
Demand,15,C0523,1.0
MinProd,1,C0001,3960.0
MinProd,1,C0003,3960.0
MinProd,1,C0007,3960.0
MinProd,1,C0220,3960.0
MinProd,1,C0249,3960.0
MinProd,1,C0276,3960.0
MinProd,1,C0301,3960.0
MinProd,1,C0493,1.0
MinProd,2,C0002,4000.0
MinProd,2,C0005,4000.0
MinProd,2,C0010,4000.0
MinProd,2,C0221,4000.0
MinProd,2,C0235,4000.0
MinProd,2,C0263,4000.0
MinProd,2,C0289,4000.0
MinProd,2,C0494,1.0
MinProd,3,C0004,4040.0
MinProd,3,C0008,4040.0
MinProd,3,C0222,4040.0
MinProd,3,C0236,4040.0
MinProd,3,C0250,4040.0
MinProd,3,C0277,4040.0
MinProd,3,C0302,4040.0
MinProd,3,C0495,1.0
MinProd,4,C0006,4080.0
MinProd,4,C0011,4080.0
MinProd,4,C0223,4080.0
MinProd,4,C0237,4080.0
MinProd,4,C0251,4080.0
MinProd,4,C0264,4080.0
MinProd,4,C0290,4080.0
MinProd,4,C0496,1.0
MinProd,5,C0009,4120.0
MinProd,5,C0224,4120.0
MinProd,5,C0238,4120.0
MinProd,5,C0252,4120.0
MinProd,5,C0265,4120.0
MinProd,5,C0278,4120.0
MinProd,5,C0303,4120.0
MinProd,5,C0497,1.0
MinProd,6,C0012,4160.0
MinProd,6,C0225,4160.0
MinProd,6,C0239,4160.0
MinProd,6,C0253,4160.0
MinProd,6,C0266,4160.0
MinProd,6,C0279,4160.0
MinProd,6,C0291,4160.0
MinProd,6,C0498,1.0
MinProd,7,C0226,4200.0
MinProd,7,C0240,4200.0
MinProd,7,C0254,4200.0
MinProd,7,C0267,4200.0
MinProd,7,C0280,4200.0
MinProd,7,C0292,4200.0
MinProd,7,C0304,4200.0
MinProd,7,C0499,1.0
MinProd,8,C0227,4240.0
MinProd,8,C0241,4240.0
MinProd,8,C0255,4240.0
MinProd,8,C0268,4240.0
MinProd,8,C0281,4240.0
MinProd,8,C0293,4240.0
MinProd,8,C0305,4240.0
MinProd,8,C0500,1.0
MinProd,9,C0228,4280.0
MinProd,9,C0242,4280.0
MinProd,9,C0256,4280.0
MinProd,9,C0269,4280.0
MinProd,9,C0282,4280.0
MinProd,9,C0294,4280.0
MinProd,9,C0306,4280.0
MinProd,9,C0501,1.0
MinProd,10,C0229,4320.0
MinProd,10,C0243,4320.0
MinProd,10,C0257,4320.0
MinProd,10,C0270,4320.0
MinProd,10,C0283,4320.0
MinProd,10,C0295,4320.0
MinProd,10,C0307,4320.0
MinProd,10,C0502,1.0
MinProd,11,C0230,4360.0
MinProd,11,C0244,4360.0
MinProd,11,C0258,4360.0
MinProd,11,C0271,4360.0
MinProd,11,C0284,4360.0
MinProd,11,C0296,4360.0
MinProd,11,C0308,4360.0
MinProd,11,C0503,1.0
MinProd,12,C0231,4400.0
MinProd,12,C0245,4400.0
MinProd,12,C0259,4400.0
MinProd,12,C0272,4400.0
MinProd,12,C0285,4400.0
MinProd,12,C0297,4400.0
MinProd,12,C0309,4400.0
MinProd,12,C0504,1.0
MinProd,13,C0232,4440.0
MinProd,13,C0246,4440.0
MinProd,13,C0260,4440.0
MinProd,13,C0273,4440.0
MinProd,13,C0286,4440.0
MinProd,13,C0298,4440.0
MinProd,13,C0310,4440.0
MinProd,13,C0505,1.0
MinProd,14,C0233,4480.0
MinProd,14,C0247,4480.0
MinProd,14,C0261,4480.0
MinProd,14,C0274,4480.0
MinProd,14,C0287,4480.0
MinProd,14,C0299,4480.0
MinProd,14,C0311,4480.0
MinProd,14,C0506,1.0
MinProd,15,C0234,4520.0
MinProd,15,C0248,4520.0
MinProd,15,C0262,4520.0
MinProd,15,C0275,4520.0
MinProd,15,C0288,4520.0
MinProd,15,C0300,4520.0
MinProd,15,C0312,4520.0
MinProd,15,C0507,1.0
MaxInv,1,C0013,1980.0
MaxInv,1,C0021,1980.0
MaxInv,1,C0030,1980.0
MaxInv,1,C0040,1980.0
MaxInv,1,C0051,1980.0
MaxInv,1,C0063,1980.0
MaxInv,1,C0076,1980.0
MaxInv,1,C0509,1.0
MaxInv,2,C0014,2000.0
MaxInv,2,C0022,2000.0
MaxInv,2,C0031,2000.0
MaxInv,2,C0041,2000.0
MaxInv,2,C0052,2000.0
MaxInv,2,C0064,2000.0
MaxInv,2,C0077,2000.0
MaxInv,2,C0510,1.0
MaxInv,3,C0015,2020.0
MaxInv,3,C0023,2020.0
MaxInv,3,C0032,2020.0
MaxInv,3,C0042,2020.0
MaxInv,3,C0053,2020.0
MaxInv,3,C0065,2020.0
MaxInv,3,C0078,2020.0
MaxInv,3,C0511,1.0
MaxInv,4,C0016,2040.0
MaxInv,4,C0024,2040.0
MaxInv,4,C0033,2040.0
MaxInv,4,C0043,2040.0
MaxInv,4,C0054,2040.0
MaxInv,4,C0066,2040.0
MaxInv,4,C0079,2040.0
MaxInv,4,C0512,1.0
MaxInv,5,C0017,2060.0
MaxInv,5,C0025,2060.0
MaxInv,5,C0034,2060.0
MaxInv,5,C0044,2060.0
MaxInv,5,C0055,2060.0
MaxInv,5,C0067,2060.0
MaxInv,5,C0080,2060.0
MaxInv,5,C0513,1.0
MaxInv,6,C0018,2080.0
MaxInv,6,C0026,2080.0
MaxInv,6,C0035,2080.0
MaxInv,6,C0045,2080.0
MaxInv,6,C0056,2080.0
MaxInv,6,C0068,2080.0
MaxInv,6,C0081,2080.0
MaxInv,6,C0514,1.0
MaxInv,7,C0019,2100.0
MaxInv,7,C0027,2100.0
MaxInv,7,C0036,2100.0
MaxInv,7,C0046,2100.0
