i,j,k,l,b0,b1,b2,b3,b4,b5,b6,b7
52,82,177,344,0,0,1,1,0,0,1,1
53,175,350,498,1,1,1,1,1,1,1,1
54,64,117,381,1,0,0,1,0,0,1,0
55,128,430,437,1,1,1,0,1,0,0,1
56,210,349,443,1,1,0,1,0,0,0,1
57,109,206,408,1,1,1,1,1,1,1,1
58,144,215,457,0,1,0,0,1,1,0,1
59,26,224,450,0,0,1,1,1,0,1,1
60,125,316,370,1,0,1,0,1,0,0,0
61,73,99,378,1,1,1,1,1,0,1,0
62,8,403,465,0,1,1,1,1,1,1,0
63,8,269,366,0,1,0,1,0,0,0,1
64,100,436,448,0,0,1,0,1,0,0,1
65,89,93,269,1,0,0,0,0,1,1,1
66,32,288,445,1,1,0,0,0,0,0,0
67,211,354,499,1,0,0,1,0,1,1,1
68,220,308,314,0,0,1,1,1,1,1,0
69,156,161,273,0,1,0,1,1,1,1,0
70,122,262,362,0,0,0,0,1,0,0,1
71,38,209,396,0,1,0,0,0,1,0,1
72,100,155,230,0,0,1,1,0,0,1,1
73,219,352,393,1,0,1,0,0,0,1,1
74,76,264,424,1,1,0,1,0,1,1,1
75,207,236,336,0,1,0,0,0,1,0,1
76,273,378,464,0,0,0,0,1,0,1,0
77,215,389,475,1,0,0,0,0,0,1,0
78,145,280,335,0,0,0,0,1,0,1,1
79,48,319,405,0,0,1,1,1,0,1,0
80,78,180,407,1,1,0,1,0,1,0,1
81,123,230,253,1,0,0,0,1,0,0,1
82,261,284,486,0,1,0,0,0,0,0,1
83,46,175,237,0,1,1,1,1,0,0,0
84,338,356,359,0,0,0,1,0,0,1,1
85,260,398,400,0,1,0,0,1,0,0,0
86,262,293,327,1,1,0,0,1,1,1,0
87,80,114,211,0,0,1,0,1,0,0,0
88,33,93,426,0,0,1,1,1,1,1,0
89,267,370,404,1,0,0,0,1,1,0,0
90,227,292,499,1,1,0,1,0,0,1,1
91,180,207,277,1,0,0,0,0,1,1,0
92,128,140,298,1,0,1,1,1,1,0,0
93,225,244,398,0,0,1,1,0,1,1,1
94,111,204,411,0,1,1,1,1,0,0,1
95,144,324,330,1,0,0,1,1,0,0,1
96,78,148,432,0,1,0,1,0,0,1,0
97,24,217,422,1,1,0,1,0,0,1,1
98,170,389,431,0,0,0,1,0,1,0,1
99,159,169,174,0,1,1,1,1,0,1,1
100,102,401,443,0,1,0,1,1,0,1,1
101,29,391,468,0,0,0,1,0,1,0,1
102,132,288,384,1,1,0,0,0,1,0,0
103,134,359,407,0,1,1,0,1,0,0,0
104,264,280,374,1,1,1,1,0,0,0,1
105,42,451,458,0,0,0,1,0,1,1,1
106,1,78,448,1,1,0,1,1,1,0,0
107,134,272,283,0,0,0,0,1,0,1,0
108,83,120,365,1,0,1,1,1,1,0,1
109,10,135,491,1,1,1,1,1,1,0,0
110,93,178,485,1,0,1,0,0,1,1,1
111,41,204,328,0,1,0,0,0,0,1,1
112,231,374,408,0,0,1,0,1,0,1,1
113,202,234,282,1,1,1,1,0,0,1,0
114,128,143,494,0,0,1,0,1,0,1,1
115,204,288,380,0,1,1,0,1,0,1,0
116,169,213,318,1,0,0,1,0,0,1,1
117,113,309,359,1,0,0,0,0,1,0,1
118,14,66,489,1,0,0,1,0,1,1,0
119,177,333,430,1,1,1,1,0,0,1,0
120,59,63,226,0,0,1,0,1,0,1,1
121,243,292,317,1,0,0,1,1,0,0,0
122,115,208,251,1,0,0,0,1,0,0,0
123,171,364,464,1,0,0,1,0,0,1,1
124,239,351,397,1,1,0,0,1,0,0,0
125,25,253,257,0,0,1,0,1,0,1,0
126,43,127,301,0,0,0,0,0,1,1,0
127,1,254,500,1,0,0,1,1,1,1,1
128,61,193,322,1,0,0,1,1,0,1,1
129,239,281,396,1,1,1,1,1,1,1,0
130,236,378,446,1,1,0,0,1,1,1,1
131,5,170,306,0,0,0,0,0,1,0,0
132,31,79,90,1,1,0,1,1,1,1,0
133,75,396,495,0,1,1,1,1,0,1,1
134,93,134,348,0,1,0,0,0,1,0,0
135,158,218,463,1,0,0,1,1,1,1,0
136,168,349,398,0,1,0,0,1,1,0,1
137,319,426,473,0,1,0,0,1,0,1,0
138,396,444,474,0,1,1,1,1,1,0,1
139,24,254,305,1,1,0,1,0,1,1,0
140,279,348,373,1,0,0,0,0,1,1,1
141,225,259,271,1,1,1,0,1,0,1,1
142,212,397,484,0,1,0,0,0,0,1,1
143,382,393,442,1,0,0,0,0,1,0,1
144,142,153,495,0,0,1,0,1,1,0,1
145,278,313,464,0,0,0,1,0,1,0,1
146,38,122,164,0,0,0,1,1,0,0,0
147,98,108,315,1,1,1,0,0,0,1,1
148,207,399,456,1,1,1,0,0,0,0,1
149,15,365,485,0,0,1,1,1,0,1,0
150,324,340,494,0,1,1,0,1,0,1,0
151,11,41,255,0,0,0,0,0,0,1,1
152,74,246,370,0,0,0,0,1,1,1,0
153,41,94,234,0,1,0,1,1,1,0,0
154,58,286,369,0,1,0,0,0,0,0,0
155,67,79,305,0,0,0,1,1,0,0,0
156,152,187,246,0,1,0,0,1,0,1,0
157,81,274,293,1,1,1,0,0,1,0,0
158,52,71,464,0,0,0,1,0,1,1,0
159,11,231,277,0,1,1,0,1,0,0,1
160,164,213,411,0,0,1,1,1,1,1,0
161,143,238,360,0,0,1,1,0,0,0,1
162,25,51,283,1,1,1,1,1,1,0,1
163,173,365,480,0,0,0,1,0,1,0,0
164,6,79,298,0,1,1,0,1,1,1,0
165,116,273,336,1,1,0,1,0,0,1,0
166,66,309,489,1,1,0,0,0,0,1,0
167,52,269,499,0,0,1,0,1,1,1,0
168,248,280,482,1,0,1,1,0,0,0,1
169,325,382,443,1,0,1,0,1,0,0,0
170,233,297,420,1,0,1,1,1,1,1,0
171,210,241,438,0,1,0,1,1,0,0,0
172,54,170,473,0,0,0,1,1,0,1,1
173,161,188,229,0,1,0,0,0,0,0,1
174,149,210,296,0,0,1,1,0,0,0,0
175,68,171,357,0,0,1,0,1,1,1,0
176,17,131,396,0,1,1,1,0,1,1,0
177,172,256,449,0,1,1,1,1,0,0,1
178,7,15,320,1,1,0,0,1,1,0,0
179,112,160,394,1,1,0,0,1,1,1,0
180,92,336,479,0,1,1,1,0,0,1,1
181,14,369,422,1,1,0,1,1,0,0,1
182,270,345,351,1,1,0,0,0,0,1,0
183,150,311,320,0,0,0,0,1,1,1,0
184,124,311,337,1,0,1,1,0,0,1,0
185,125,229,255,1,0,1,1,0,1,1,1
186,77,367,417,0,1,1,1,0,1,1,0
187,249,275,367,0,0,0,0,1,0,0,0
188,43,399,418,1,1,1,0,1,0,0,1
189,67,107,147,0,1,1,1,0,0,1,0
190,188,218,318,1,1,1,0,0,0,1,1
191,52,208,459,0,0,0,0,1,1,0,1
192,42,144,338,0,0,1,0,1,1,0,1
193,25,117,221,1,1,0,0,0,0,1,0
194,41,404,480,0,1,1,0,1,1,0,1
195,94,159,172,0,1,1,0,1,0,1,1
196,92,154,294,1,1,0,1,1,0,1,1
197,110,189,358,1,1,0,0,1,1,0,1
198,253,306,469,1,0,0,1,1,1,0,0
199,174,343,363,1,1,1,1,0,0,0,0
200,170,238,375,1,1,0,0,0,0,1,1
201,36,82,249,1,1,1,0,1,0,1,0
202,94,240,304,1,1,1,1,0,0,1,1
203,19,211,330,1,1,1,1,1,1,0,0
204,122,199,259,1,1,1,0,0,1,1,1
205,116,371,393,0,1,1,0,1,0,1,1
206,29,41,105,1,0,1,1,1,1,0,0
207,141,284,390,1,1,1,1,1,1,1,0
208,32,37,432,0,1,0,0,0,1,0,0
209,153,191,343,0,1,1,0,1,0,0,1
210,30,288,329,1,0,1,1,0,1,0,0
211,262,268,498,0,0,1,0,0,0,1,0
212,160,317,479,1,0,0,0,0,0,0,1
213,89,92,157,0,1,1,0,1,0,0,0
214,128,193,340,0,0,0,1,1,0,1,1
215,127,243,445,0,1,1,1,0,1,0,0
216,26,38,453,1,0,0,0,1,1,0,1
217,17,97,142,1,1,1,1,0,1,0,0
218,31,116,156,0,1,0,0,0,1,1,0
219,38,60,383,0,1,1,1,0,0,0,0
220,6,412,485,1,0,1,1,0,0,1,0
221,57,338,383,1,1,0,0,0,1,1,0
222,3,432,441,1,1,0,0,0,0,1,1
223,47,313,335,1,0,0,0,0,1,0,0
224,86,170,406,1,0,1,0,0,0,0,0
225,70,82,237,0,1,0,0,1,0,0,0
226,150,237,454,0,0,0,1,0,0,1,0
227,376,424,454,1,0,1,0,1,1,1,1
228,18,287,471,1,1,0,0,0,1,0,0
229,66,247,454,0,1,0,1,1,0,1,0
230,84,306,392,0,1,0,1,0,1,0,1
231,78,249,448,1,0,1,1,1,1,1,1
232,125,251,392,1,0,1,0,1,0,1,1
233,153,322,331,1,0,1,1,0,1,0,0
234,25,67,245,1,0,1,0,0,0,0,0
235,257,258,272,0,0,1,0,0,1,1,1
236,182,316,374,0,1,0,0,1,1,0,1
237,310,366,398,0,1,0,1,1,0,1,0
238,248,344,496,1,0,0,1,0,1,1,1
239,39,343,427,0,0,0,1,1,1,1,0
240,152,173,202,0,1,0,0,0,0,1,1
241,35,392,430,0,0,0,1,0,0,1,0
242,26,59,279,1,0,0,1,0,0,1,0
243,98,283,403,1,1,0,0,0,1,1,0
244,115,180,254,0,1,0,0,0,0,1,0
245,105,181,309,1,1,1,1,1,1,0,1
246,426,447,499,1,1,0,1,1,0,1,0
247,49,400,448,1,0,0,1,1,1,1,1
248,256,272,335,1,1,0,0,1,1,0,0
249,59,249,436,1,0,1,0,0,1,1,1
250,33,157,344,0,0,1,0,1,1,1,1
251,31,141,212,1,1,0,0,1,1,1,1
252,257,347,413,0,0,1,1,0,0,1,1
253,168,194,277,0,0,1,1,0,0,1,1
254,70,360,380,0,1,0,0,1,0,1,0
255,96,209,364,0,1,1,0,1,0,0,0
256,11,294,470,0,0,1,0,0,1,0,1
257,27,406,500,0,1,1,0,0,0,1,0
258,83,416,428,0,1,0,1,0,0,0,1
259,79,263,403,0,1,0,1,1,0,1,0
260,161,219,486,0,1,0,1,0,0,0,1
261,150,241,338,0,1,0,1,0,1,0,0
262,31,282,427,1,0,0,1,0,0,0,0
263,42,174,385,0,1,1,0,1,0,0,1
264,104,227,438,0,0,1,0,1,1,1,0
265,277,287,483,0,0,1,1,1,1,0,0
266,19,78,188,0,1,1,0,1,1,1,1
267,55,186,354,1,0,0,0,1,1,0,1
268,144,202,417,1,1,1,1,0,0,0,0
269,87,392,458,0,1,0,0,0,1,0,0
270,292,297,404,1,1,1,0,1,1,0,0
271,60,243,297,0,1,0,1,0,1,0,0
272,210,251,325,0,0,1,0,0,0,1,0
273,38,340,488,0,0,1,1,0,1,1,0
274,142,189,450,0,1,0,0,1,1,1,0
275,60,106,249,1,1,0,0,1,1,1,0
276,56,258,413,1,1,0,0,0,1,1,1
277,301,350,485,0,1,1,1,0,0,1,1
278,74,152,207,1,0,0,0,1,0,0,1
279,52,148,185,1,0,0,1,0,1,1,1
280,53,298,390,1,0,1,1,1,1,0,1
281,265,450,496,1,1,0,1,1,0,1,0
282,55,135,192,1,0,1,1,1,0,1,1
283,39,255,425,1,1,1,0,1,0,1,0
284,98,349,478,0,1,1,0,0,0,1,0
285,69,163,495,0,1,1,0,0,0,0,1
286,227,235,422,1,1,0,0,0,0,1,0
287,270,312,385,1,1,0,0,0,0,0,1
288,292,385,406,0,1,0,0,1,0,1,0
289,61,294,487,0,1,1,1,0,1,0,0
290,156,215,413,0,0,0,1,1,1,1,1
291,11,246,287,0,0,1,0,0,0,1,0
292,69,362,380,0,0,0,0,1,1,1,1
293,330,337,475,1,0,0,0,0,1,1,0
294,353,377,462,0,0,1,1,0,1,0,0
295,42,108,134,0,0,0,0,0,1,0,1
296,114,223,473,1,0,1,1,0,1,0,1
297,102,125,324,1,0,1,0,1,0,0,1
298,53,290,355,0,1,0,0,0,1,1,1
299,191,268,420,1,0,0,1,1,1,1,0
300,288,328,394,1,1,1,0,0,1,0,1
301,14,199,393,1,1,1,1,0,1,1,1
302,36,70,404,0,1,0,0,1,1,1,0
303,390,411,439,1,1,1,0,1,0,0,1
304,73,86,91,0,1,1,0,0,1,0,1
305,70,262,447,1,0,0,0,0,1,1,1
306,115,143,290,1,0,0,0,0,0,1,0
307,64,278,360,0,1,1,0,1,1,1,0
308,83,221,342,0,0,0,0,1,1,1,1
309,104,236,307,1,1,1,1,1,1,1,1
310,241,413,432,1,0,0,0,1,0,1,0
311,18,205,402,0,0,1,0,1,0,1,1
312,40,216,250,1,0,0,0,1,1,0,1
313,16,91,386,0,0,0,1,0,0,1,1
314,143,356,451,1,1,0,1,1,1,1,0
315,125,194,457,0,1,0,0,0,1,0,0
316,64,255,456,1,0,0,0,1,1,1,1
317,1,107,339,1,1,1,0,1,1,0,1
318,53,369,480,1,0,1,0,0,1,0,0
319,1,241,279,0,1,1,1,0,1,0,0
320,7,267,492,0,0,0,0,1,0,0,0
321,48,324,410,1,0,1,1,1,1,0,1
322,60,130,196,1,0,0,1,1,0,0,0
323,6,160,204,1,0,1,1,0,1,0,1
324,67,282,492,1,1,1,0,0,1,1,0
325,193,366,483,1,0,1,0,0,1,1,0
326,126,127,379,1,1,0,1,0,0,1,1
327,28,267,489,1,0,0,0,0,1,1,0
328,46,81,256,1,1,1,0,1,0,0,1
329,103,159,304,1,1,1,1,0,1,1,1
330,31,225,320,1,0,1,0,1,0,0,1
331,135,188,315,1,0,0,1,0,1,1,0
332,237,299,339,0,0,1,1,1,0,1,0
333,14,388,433,1,1,0,1,0,0,0,1
334,68,158,241,0,1,0,0,1,1,1,1
335,65,208,458,1,0,1,1,0,0,0,1
336,258,440,456,1,1,1,0,0,1,1,1
337,1,15,460,1,1,1,1,1,1,0,1
338,95,248,457,0,0,1,0,1,0,1,0
339,144,265,422,0,1,1,0,0,0,1,0
340,155,235,490,1,0,1,0,1,1,1,1
341,115,298,326,0,1,1,1,0,1,1,1
342,26,76,327,1,1,0,0,1,0,1,1
343,52,261,484,1,0,0,0,1,1,1,1
344,222,244,430,0,1,0,0,0,0,0,1
345,97,190,490,1,1,0,1,0,1,0,1
346,37,396,434,1,1,0,0,0,1,1,1
347,32,250,363,0,0,0,1,0,1,0,1
348,151,321,385,0,0,0,0,1,1,1,0
349,85,123,352,1,0,0,0,1,1,0,1
350,253,267,466,0,0,0,1,0,0,0,1
351,6,117,472,1,0,0,0,0,1,1,1
352,369,388,438,0,1,0,1,1,0,0,1
353,65,186,363,1,0,0,0,1,0,1,0
354,194,213,268,1,0,1,0,1,1,0,1
355,15,217,228,0,0,0,1,1,0,1,0
356,19,151,324,1,1,1,1,0,1,0,1
357,43,67,201,0,1,0,0,0,0,1,1
358,125,266,455,1,0,1,1,1,1,1,1
359,8,104,237,0,1,1,1,1,0,1,0
360,27,151,407,0,1,0,0,1,0,1,0
361,184,292,322,0,0,0,0,1,0,0,0
362,145,420,448,0,0,0,1,1,1,0,0
363,317,367,410,1,1,1,1,0,1,1,0
364,153,188,196,0,1,0,1,0,0,1,0
365,109,218,480,0,0,0,0,1,1,1,0
366,96,138,166,1,0,1,0,1,1,1,0
367,146,344,493,1,1,1,0,1,0,1,1
368,269,346,349,0,0,1,1,1,0,0,1
369,26,292,369,0,1,1,0,1,1,1,0
370,67,359,409,1,0,1,1,0,0,1,1
371,304,410,499,0,0,1,0,1,0,0,0
372,16,99,196,0,0,0,1,0,1,0,1
373,20,294,334,1,1,1,1,1,1,1,1
374,177,304,487,1,0,1,0,1,1,1,1
375,100,271,276,0,1,1,0,0,1,1,1
376,212,221,440,1,0,0,1,0,1,0,0
377,4,51,397,1,1,0,0,1,1,1,0
378,151,211,371,0,0,0,0,1,1,0,0
379,206,214,295,0,0,0,0,0,1,1,1
380,135,343,495,1,1,1,1,0,1,0,1
381,134,249,333,0,1,1,1,0,0,0,0
382,165,362,405,1,1,1,0,0,1,1,0
383,309,484,492,1,1,1,0,1,0,1,1
384,66,243,314,1,0,0,0,1,0,1,1
385,123,281,500,1,0,0,0,1,0,0,1
386,81,84,490,0,1,0,0,0,0,0,0
387,53,415,423,0,1,1,1,0,1,0,1
388,78,192,455,0,1,1,1,1,1,1,1
389,7,347,455,1,1,1,1,1,0,1,0
390,57,230,305,1,1,1,0,0,0,1,0
391,252,446,483,1,0,0,0,0,1,1,0
392,77,248,267,1,1,1,0,0,0,0,0
393,233,237,347,1,1,0,1,1,1,1,0
394,176,273,443,0,1,1,0,0,1,0,0
395,115,120,255,0,0,0,1,1,1,1,0
396,191,278,279,1,1,0,1,0,0,1,1
397,156,193,409,0,0,0,1,1,0,0,1
398,144,158,448,0,1,0,0,1,0,0,1
399,107,215,383,1,0,1,1,0,0,1,0
400,150,216,433,0,0,1,1,0,1,0,0
401,10,258,463,1,0,1,1,0,1,1,1
402,50,326,442,0,1,1,0,0,0,1,0
403,52,106,199,1,1,1,1,1,0,0,1
404,3,348,350,1,1,1,0,1,1,0,1
405,14,148,339,0,1,1,0,1,0,0,1
406,158,309,483,0,1,0,1,1,1,0,0
407,162,315,317,1,0,0,0,1,0,0,0
408,87,122,385,1,0,1,1,1,1,1,0
409,130,343,363,1,1,1,1,0,1,0,1
410,2,28,257,1,1,0,1,1,0,0,0
411,128,318,371,1,1,0,1,1,1,1,0
412,11,95,302,1,1,1,1,1,0,0,1
413,106,147,361,0,1,0,0,1,1,1,0
414,188,335,453,1,1,0,0,1,1,0,0
415,8,236,434,0,1,1,0,1,1,0,0
416,34,190,307,1,0,1,0,1,1,1,0
417,49,101,186,0,1,0,0,1,0,0,0
418,12,268,488,1,1,1,1,0,1,0,1
419,58,292,297,1,0,0,0,1,1,1,0
420,43,151,181,1,1,0,1,1,1,1,0
421,7,154,156,1,1,1,1,1,0,0,0
422,294,360,382,1,1,1,1,0,0,1,1
423,77,111,320,0,0,0,0,1,0,0,1
424,159,183,351,1,1,0,0,1,1,1,1
425,67,439,494,1,1,0,1,1,1,0,1
426,34,285,367,1,0,0,0,1,1,1,0
427,75,271,330,1,1,0,1,1,1,1,1
428,190,194,225,0,0,1,1,1,1,0,0
429,60,82,438,1,1,0,1,1,0,0,1
430,19,39,374,0,0,0,1,0,1,0,0
431,113,150,290,1,1,1,1,1,0,1,1
432,123,165,173,0,1,0,1,0,0,1,0
433,72,415,482,0,0,0,0,1,1,0,0
434,244,417,500,0,0,0,0,0,0,1,1
435,172,372,488,0,0,0,0,0,1,0,0
436,225,253,260,0,1,0,1,1,0,1,0
437,28,312,479,0,1,1,0,1,0,0,0
438,109,420,462,1,1,0,0,1,1,1,1
439,200,256,385,1,0,1,1,0,0,1,0
440,138,337,387,1,1,0,0,0,1,0,0
441,147,185,308,1,1,0,0,0,1,0,1
442,24,246,392,1,0,1,1,0,1,0,0
443,221,407,419,1,1,1,1,1,1,0,1
444,8,38,100,0,1,0,0,1,0,0,1
445,265,274,300,1,0,0,1,1,1,0,0
446,48,111,287,0,0,0,0,0,1,0,0
447,43,218,318,0,1,0,1,0,0,1,0
448,229,382,479,1,0,1,0,1,0,1,1
449,152,165,323,1,1,0,1,0,0,1,1
450,120,280,378,1,0,0,1,0,1,1,1
451,33,349,399,0,1,0,0,1,0,1,0
452,191,212,336,1,0,1,0,0,1,1,0
453,124,128,493,0,1,1,1,0,0,1,0
454,18,87,480,0,1,0,0,0,1,0,0
455,16,175,432,0,1,1,0,1,1,0,1
456,4,163,237,1,0,1,0,1,1,1,0
457,72,149,474,0,1,1,1,0,1,0,1
458,154,167,336,1,1,1,1,0,0,0,1
459,253,277,455,1,1,0,1,0,1,1,1
460,44,305,326,1,0,1,1,0,0,0,1
461,11,79,465,0,1,1,0,0,0,1,0
462,78,398,442,1,0,1,0,1,1,1,0
463,110,157,443,1,1,0,1,0,1,0,0
464,59,355,499,1,0,0,0,1,0,1,0
465,181,234,356,0,1,1,0,1,1,1,1
466,56,308,427,0,0,1,0,1,0,0,1
467,108,167,220,0,1,1,1,1,1,0,1
468,326,416,431,0,0,0,1,1,1,1,0
469,59,118,489,1,0,1,1,0,1,0,1
470,223,265,346,0,0,1,0,1,0,0,0
471,81,319,368,0,0,1,0,1,0,1,1
472,204,351,468,1,0,0,1,1,0,0,0
473,111,144,211,0,1,1,0,1,0,0,1
474,83,162,348,1,0,1,0,1,0,0,1
475,144,458,495,1,0,0,0,1,0,0,0
476,241,299,355,1,0,1,0,0,1,1,0
477,130,205,384,0,1,0,1,1,1,1,1
478,169,174,232,0,0,0,1,1,1,0,1
479,158,193,470,0,1,0,0,0,0,0,0
480,259,263,445,1,0,1,0,0,0,1,0
481,24,74,153,1,1,1,0,1,1,1,1
482,276,281,338,0,0,0,0,1,0,0,1
483,170,242,304,0,0,0,1,0,0,1,0
484,269,281,412,0,1,0,1,1,1,0,1
485,58,385,449,1,0,1,0,1,0,0,0
486,293,405,433,1,1,1,0,0,0,0,0
487,285,334,376,1,1,1,1,1,1,0,0
488,95,424,451,1,0,1,1,1,1,0,1
489,51,253,495,0,1,1,0,0,0,1,0
490,33,58,455,0,1,1,0,0,0,0,1
491,37,231,321,0,0,0,0,0,0,1,0
492,49,62,160,1,0,1,1,1,1,1,0
493,187,202,203,1,0,0,0,0,0,0,0
494,301,396,422,0,0,1,0,0,1,0,1
495,90,398,438,0,1,0,1,0,1,1,0
496,303,404,440,0,1,0,0,1,1,0,1
497,294,314,445,1,1,0,1,0,1,0,0
498,188,430,498,0,1,1,1,1,0,0,1
499,322,423,476,1,1,1,0,0,1,0,1
500,54,344,447,1,1,1,1,0,0,1,1
