decision_id,node_id,coef
d04062,c585,-1.0
d04062,c946,-1.0
d04079,c37,1.0
d04079,c151,-1.0
d04079,c946,-1.0
d04096,c37,1.0
d04096,c302,-1.0
d04096,c946,-1.0
d04113,c37,1.0
d04113,c453,-1.0
d04113,c946,-1.0
d04130,c37,1.0
d04130,c604,-1.0
d04130,c946,-1.0
d04145,c37,1.0
d04145,c168,-1.0
d04145,c946,-1.0
d04161,c37,1.0
d04161,c319,-1.0
d04161,c946,-1.0
d04177,c37,1.0
d04177,c470,-1.0
d04177,c946,-1.0
d04193,c37,1.0
d04193,c621,-1.0
d04193,c946,-1.0
d10503,c37,-1.0
d03849,c38,1.0
d10504,c38,-1.0
d03850,c39,1.0
d10505,c39,-1.0
d03851,c40,1.0
d10506,c40,-1.0
d05748,c41,1.0
d10336,c41,-1.0
d05749,c42,1.0
d10337,c42,-1.0
d05750,c43,1.0
d10338,c43,-1.0
d05751,c44,1.0
d10339,c44,-1.0
d05752,c45,1.0
d10340,c45,-1.0
d05753,c46,1.0
d10341,c46,-1.0
d05754,c47,1.0
d10342,c47,-1.0
d05755,c48,1.0
d10343,c48,-1.0
d05756,c49,1.0
d10344,c49,-1.0
d05757,c50,1.0
d10345,c50,-1.0
d05758,c51,1.0
d10346,c51,-1.0
d05760,c52,1.0
d10347,c52,-1.0
d05761,c53,1.0
d10348,c53,-1.0
d05762,c54,1.0
d10349,c54,-1.0
d05763,c55,1.0
d10350,c55,-1.0
d04212,c56,-1.0
d04212,c188,1.0
d04212,c954,-1.0
d05687,c56,1.0
d05687,c75,-1.0
d05687,c947,-1.0
d05706,c56,1.0
d05706,c226,-1.0
d05706,c947,-1.0
d05725,c56,1.0
d05725,c377,-1.0
d05725,c947,-1.0
d05744,c56,1.0
d05744,c528,-1.0
d05744,c947,-1.0
d05783,c56,1.0
d05783,c94,-1.0
d05783,c947,-1.0
d05801,c56,1.0
d05801,c245,-1.0
d05801,c947,-1.0
d05819,c56,1.0
d05819,c396,-1.0
d05819,c947,-1.0
d05837,c56,1.0
d05837,c547,-1.0
d05837,c947,-1.0
d05855,c56,1.0
d05855,c113,-1.0
d05855,c947,-1.0
d05873,c56,1.0
d05873,c264,-1.0
d05873,c947,-1.0
d05891,c56,1.0
d05891,c415,-1.0
d05891,c947,-1.0
d05909,c56,1.0
d05909,c566,-1.0
d05909,c947,-1.0
d05927,c56,1.0
d05927,c132,-1.0
d05927,c947,-1.0
d05944,c56,1.0
d05944,c283,-1.0
d05944,c947,-1.0
d05961,c56,1.0
d05961,c434,-1.0
d05961,c947,-1.0
d05978,c56,1.0
d05978,c585,-1.0
d05978,c947,-1.0
d05995,c56,1.0
d05995,c151,-1.0
d05995,c947,-1.0
d06012,c56,1.0
d06012,c302,-1.0
d06012,c947,-1.0
d06029,c56,1.0
d06029,c453,-1.0
d06029,c947,-1.0
d06046,c56,1.0
d06046,c604,-1.0
d06046,c947,-1.0
d06061,c56,1.0
d06061,c168,-1.0
d06061,c947,-1.0
d06077,c56,1.0
d06077,c319,-1.0
d06077,c947,-1.0
d06093,c56,1.0
d06093,c470,-1.0
d06093,c947,-1.0
d06109,c56,1.0
d06109,c621,-1.0
d06109,c947,-1.0
d10351,c56,-1.0
d05765,c57,1.0
d10352,c57,-1.0
d05766,c58,1.0
d10353,c58,-1.0
d05767,c59,1.0
d10354,c59,-1.0
d10412,c60,-1.0
d10940,c60,1.0
d10413,c61,-1.0
d10941,c61,1.0
d10414,c62,-1.0
d10942,c62,1.0
d10415,c63,-1.0
d10943,c63,1.0
d10416,c64,-1.0
d10944,c64,1.0
d10417,c65,-1.0
d10945,c65,1.0
d10418,c66,-1.0
d10946,c66,1.0
d10419,c67,-1.0
d10947,c67,1.0
d10420,c68,-1.0
d10948,c68,1.0
d10421,c69,-1.0
d10949,c69,1.0
d10422,c70,-1.0
d10950,c70,1.0
d10423,c71,-1.0
d10952,c71,1.0
d10424,c72,-1.0
d10953,c72,1.0
d10425,c73,-1.0
d10954,c73,1.0
d10426,c74,-1.0
d10955,c74,1.0
d04288,c75,-1.0
d04288,c188,1.0
d04288,c954,-1.0
d04786,c75,-1.0
d04786,c339,1.0
d04786,c962,-1.0
d05246,c75,-1.0
d05246,c490,1.0
d05246,c970,-1.0
d06128,c75,-1.0
d06128,c207,1.0
d06128,c955,-1.0
d10427,c75,-1.0
d10975,c75,1.0
d10975,c94,-1.0
d10975,c948,-1.0
d10993,c75,1.0
d10993,c245,-1.0
d10993,c948,-1.0
d11011,c75,1.0
d11011,c396,-1.0
d11011,c948,-1.0
d11029,c75,1.0
d11029,c547,-1.0
d11029,c948,-1.0
d11047,c75,1.0
d11047,c113,-1.0
d11047,c948,-1.0
d11065,c75,1.0
d11065,c264,-1.0
d11065,c948,-1.0
d11083,c75,1.0
d11083,c415,-1.0
d11083,c948,-1.0
d11101,c75,1.0
d11101,c566,-1.0
d11101,c948,-1.0
d11119,c75,1.0
d11119,c132,-1.0
d11119,c948,-1.0
d11136,c75,1.0
d11136,c283,-1.0
d11136,c948,-1.0
d11153,c75,1.0
d11153,c434,-1.0
d11153,c948,-1.0
d11170,c75,1.0
d11170,c585,-1.0
d11170,c948,-1.0
d11187,c75,1.0
d11187,c151,-1.0
d11187,c948,-1.0
d11204,c75,1.0
d11204,c302,-1.0
d11204,c948,-1.0
d11221,c75,1.0
d11221,c453,-1.0
d11221,c948,-1.0
d11238,c75,1.0
d11238,c604,-1.0
d11238,c948,-1.0
d11253,c75,1.0
d11253,c168,-1.0
d11253,c948,-1.0
d11269,c75,1.0
d11269,c319,-1.0
d11269,c948,-1.0
d11285,c75,1.0
d11285,c470,-1.0
d11285,c948,-1.0
d11301,c75,1.0
d11301,c621,-1.0
d11301,c948,-1.0
d10428,c76,-1.0
d10957,c76,1.0
d10429,c77,-1.0
d10958,c77,1.0
d10430,c78,-1.0
d10959,c78,1.0
d07361,c79,1.0
d10564,c79,-1.0
d07362,c80,1.0
d10565,c80,-1.0
d07363,c81,1.0
d10566,c81,-1.0
d07364,c82,1.0
d10567,c82,-1.0
d07365,c83,1.0
d10568,c83,-1.0
d07366,c84,1.0
d10569,c84,-1.0
d07367,c85,1.0
d10570,c85,-1.0
d07368,c86,1.0
d10571,c86,-1.0
d07369,c87,1.0
d10572,c87,-1.0
d07370,c88,1.0
d10573,c88,-1.0
d07371,c89,1.0
d10574,c89,-1.0
d07372,c90,1.0
d10575,c90,-1.0
d07373,c91,1.0
d10576,c91,-1.0
d07374,c92,1.0
d10577,c92,-1.0
d07375,c93,1.0
d10578,c93,-1.0
d04384,c94,-1.0
d04384,c188,1.0
d04384,c954,-1.0
d04882,c94,-1.0
d04882,c339,1.0
d04882,c962,-1.0
d05342,c94,-1.0
d05342,c490,1.0
d05342,c970,-1.0
d06224,c94,-1.0
d06224,c207,1.0
d06224,c955,-1.0
d06646,c94,-1.0
d06646,c358,1.0
d06646,c963,-1.0
d07030,c94,-1.0
d07030,c509,1.0
d07030,c971,-1.0
d07396,c94,1.0
d07396,c113,-1.0
d07396,c949,-1.0
d07415,c94,1.0
d07415,c264,-1.0
d07415,c949,-1.0
d07434,c94,1.0
d07434,c415,-1.0
d07434,c949,-1.0
d07453,c94,1.0
d07453,c566,-1.0
d07453,c949,-1.0
d07472,c94,1.0
d07472,c132,-1.0
d07472,c949,-1.0
d07490,c94,1.0
d07490,c283,-1.0
d07490,c949,-1.0
d07508,c94,1.0
d07508,c434,-1.0
d07508,c949,-1.0
d07526,c94,1.0
d07526,c585,-1.0
d07526,c949,-1.0
d07544,c94,1.0
d07544,c151,-1.0
d07544,c949,-1.0
d07562,c94,1.0
d07562,c302,-1.0
d07562,c949,-1.0
d07580,c94,1.0
d07580,c453,-1.0
d07580,c949,-1.0
d07598,c94,1.0
d07598,c604,-1.0
d07598,c949,-1.0
d07614,c94,1.0
d07614,c168,-1.0
d07614,c949,-1.0
d07631,c94,1.0
d07631,c319,-1.0
d07631,c949,-1.0
d07648,c94,1.0
d07648,c470,-1.0
d07648,c949,-1.0
d07665,c94,1.0
d07665,c621,-1.0
d07665,c949,-1.0
d10579,c94,-1.0
d11340,c94,-1.0
d11340,c226,1.0
d11340,c956,-1.0
d07377,c95,1.0
d10580,c95,-1.0
d07378,c96,1.0
d10581,c96,-1.0
d07379,c97,1.0
d10582,c97,-1.0
d08521,c98,1.0
d10640,c98,-1.0
d08522,c99,1.0
d10641,c99,-1.0
d08523,c100,1.0
d10642,c100,-1.0
d08524,c101,1.0
d10643,c101,-1.0
d08525,c102,1.0
d10644,c102,-1.0
d08526,c103,1.0
d10645,c103,-1.0
d08527,c104,1.0
d10646,c104,-1.0
d08528,c105,1.0
d10647,c105,-1.0
d08529,c106,1.0
d10648,c106,-1.0
d08530,c107,1.0
d10649,c107,-1.0
d08531,c108,1.0
d10650,c108,-1.0
d08532,c109,1.0
d10651,c109,-1.0
d08533,c110,1.0
d10652,c110,-1.0
d08534,c111,1.0
d10653,c111,-1.0
d08535,c112,1.0
d10654,c112,-1.0
d04456,c113,-1.0
d04456,c188,1.0
d04456,c954,-1.0
d04954,c113,-1.0
d04954,c339,1.0
d04954,c962,-1.0
d05414,c113,-1.0
d05414,c490,1.0
d05414,c970,-1.0
d06296,c113,-1.0
d06296,c207,1.0
d06296,c955,-1.0
d06718,c113,-1.0
d06718,c358,1.0
d06718,c963,-1.0
d07102,c113,-1.0
d07102,c509,1.0
d07102,c971,-1.0
d07705,c113,-1.0
d07705,c245,1.0
d07705,c957,-1.0
d08556,c113,1.0
d08556,c132,-1.0
d08556,c950,-1.0
d08574,c113,1.0
d08574,c283,-1.0
d08574,c950,-1.0
d08592,c113,1.0
d08592,c434,-1.0
d08592,c950,-1.0
d08610,c113,1.0
d08610,c585,-1.0
d08610,c950,-1.0
d08628,c113,1.0
d08628,c151,-1.0
d08628,c950,-1.0
d08646,c113,1.0
d08646,c302,-1.0
d08646,c950,-1.0
d08664,c113,1.0
d08664,c453,-1.0
d08664,c950,-1.0
d08682,c113,1.0
d08682,c604,-1.0
d08682,c950,-1.0
d08698,c113,1.0
d08698,c168,-1.0
d08698,c950,-1.0
d08715,c113,1.0
d08715,c319,-1.0
d08715,c950,-1.0
d08732,c113,1.0
d08732,c470,-1.0
d08732,c950,-1.0
d08749,c113,1.0
d08749,c621,-1.0
d08749,c950,-1.0
d10655,c113,-1.0
d11412,c113,-1.0
d11412,c226,1.0
d11412,c956,-1.0
d11759,c113,-1.0
d11759,c377,1.0
d11759,c964,-1.0
d12070,c113,-1.0
d12070,c528,1.0
d12070,c972,-1.0
d08537,c114,1.0
d10656,c114,-1.0
d08538,c115,1.0
d10657,c115,-1.0
d08539,c116,1.0
d10658,c116,-1.0
d09381,c117,1.0
d10716,c117,-1.0
d09382,c118,1.0
d10717,c118,-1.0
d09383,c119,1.0
d10718,c119,-1.0
d09384,c120,1.0
d10719,c120,-1.0
d09385,c121,1.0
d10720,c121,-1.0
d09386,c122,1.0
d10721,c122,-1.0
d09387,c123,1.0
d10722,c123,-1.0
d09388,c124,1.0
d10723,c124,-1.0
d09389,c125,1.0
d10724,c125,-1.0
d09390,c126,1.0
d10725,c126,-1.0
d09391,c127,1.0
d10726,c127,-1.0
d09392,c128,1.0
d10727,c128,-1.0
d09393,c129,1.0
d10728,c129,-1.0
d09394,c130,1.0
d10729,c130,-1.0
d09395,c131,1.0
d10730,c131,-1.0
d04528,c132,-1.0
d04528,c188,1.0
d04528,c954,-1.0
d05026,c132,-1.0
d05026,c339,1.0
d05026,c962,-1.0
d05486,c132,-1.0
d05486,c490,1.0
d05486,c970,-1.0
d06368,c132,-1.0
d06368,c207,1.0
d06368,c955,-1.0
d06790,c132,-1.0
d06790,c358,1.0
d06790,c963,-1.0
d07174,c132,-1.0
d07174,c509,1.0
d07174,c971,-1.0
d07781,c132,-1.0
d07781,c245,1.0
d07781,c957,-1.0
d08071,c132,-1.0
d08071,c396,1.0
d08071,c965,-1.0
d08323,c132,-1.0
d08323,c547,1.0
d08323,c973,-1.0
d08789,c132,-1.0
d08789,c264,1.0
d08789,c958,-1.0
d09416,c132,1.0
d09416,c151,-1.0
d09416,c951,-1.0
d09435,c132,1.0
d09435,c302,-1.0
d09435,c951,-1.0
d09454,c132,1.0
d09454,c453,-1.0
d09454,c951,-1.0
d09473,c132,1.0
d09473,c604,-1.0
d09473,c951,-1.0
d09490,c132,1.0
d09490,c168,-1.0
d09490,c951,-1.0
d09507,c132,1.0
d09507,c319,-1.0
d09507,c951,-1.0
d09524,c132,1.0
d09524,c470,-1.0
d09524,c951,-1.0
d09541,c132,1.0
d09541,c621,-1.0
d09541,c951,-1.0
d10731,c132,-1.0
d11484,c132,-1.0
d11484,c226,1.0
d11484,c956,-1.0
d11831,c132,-1.0
d11831,c377,1.0
d11831,c964,-1.0
d12142,c132,-1.0
d12142,c528,1.0
d12142,c972,-1.0
d09397,c133,1.0
d10732,c133,-1.0
d09398,c134,1.0
d10733,c134,-1.0
d09400,c135,1.0
d10734,c135,-1.0
d09965,c136,1.0
d10792,c136,-1.0
d09966,c137,1.0
d10793,c137,-1.0
d09967,c138,1.0
d10794,c138,-1.0
d09968,c139,1.0
d10795,c139,-1.0
d09969,c140,1.0
d10796,c140,-1.0
d09970,c141,1.0
d10797,c141,-1.0
d09971,c142,1.0
d10798,c142,-1.0
d09972,c143,1.0
d10799,c143,-1.0
d09973,c144,1.0
d10800,c144,-1.0
d09974,c145,1.0
d10801,c145,-1.0
d09975,c146,1.0
d10802,c146,-1.0
d09976,c147,1.0
d10803,c147,-1.0
d09977,c148,1.0
d10804,c148,-1.0
d09978,c149,1.0
d10805,c149,-1.0
d09979,c150,1.0
d10806,c150,-1.0
d04596,c151,-1.0
d04596,c188,1.0
d04596,c954,-1.0
d05094,c151,-1.0
d05094,c339,1.0
d05094,c962,-1.0
d05554,c151,-1.0
d05554,c490,1.0
d05554,c970,-1.0
d06436,c151,-1.0
d06436,c207,1.0
d06436,c955,-1.0
d06858,c151,-1.0
d06858,c358,1.0
d06858,c963,-1.0
d07242,c151,-1.0
d07242,c509,1.0
d07242,c971,-1.0
d07853,c151,-1.0
d07853,c245,1.0
d07853,c957,-1.0
d08143,c151,-1.0
d08143,c396,1.0
d08143,c965,-1.0
d08395,c151,-1.0
d08395,c547,1.0
d08395,c973,-1.0
d08861,c151,-1.0
d08861,c264,1.0
d08861,c958,-1.0
d09076,c151,-1.0
d09076,c415,1.0
d09076,c966,-1.0
d09255,c151,-1.0
d09255,c566,1.0
d09255,c974,-1.0
d09581,c151,-1.0
d09581,c283,1.0
d09581,c959,-1.0
d09998,c151,1.0
d09998,c168,-1.0
d09998,c952,-1.0
d10015,c151,1.0
d10015,c319,-1.0
d10015,c952,-1.0
d10032,c151,1.0
d10032,c470,-1.0
d10032,c952,-1.0
d10049,c151,1.0
d10049,c621,-1.0
d10049,c952,-1.0
d10807,c151,-1.0
d11552,c151,-1.0
d11552,c226,1.0
d11552,c956,-1.0
d11899,c151,-1.0
d11899,c377,1.0
d11899,c964,-1.0
d12210,c151,-1.0
d12210,c528,1.0
d12210,c972,-1.0
d09981,c152,1.0
d10808,c152,-1.0
d09982,c153,1.0
d10809,c153,-1.0
d09984,c154,1.0
d10810,c154,-1.0
d10253,c155,1.0
d10868,c155,-1.0
d10254,c156,1.0
d10869,c156,-1.0
d10257,c157,1.0
d10870,c157,-1.0
d10258,c158,1.0
d10871,c158,-1.0
d10259,c159,1.0
d10872,c159,-1.0
d10260,c160,1.0
d10873,c160,-1.0
d10261,c161,1.0
d10874,c161,-1.0
d10262,c162,1.0
d10875,c162,-1.0
d10263,c163,1.0
d10876,c163,-1.0
d10264,c164,1.0
d10877,c164,-1.0
d10265,c165,1.0
d10878,c165,-1.0
d10266,c166,1.0
d10879,c166,-1.0
d10267,c167,1.0
d10880,c167,-1.0
d04662,c168,-1.0
d04662,c188,1.0
d04662,c954,-1.0
d05160,c168,-1.0
d05160,c339,1.0
d05160,c962,-1.0
d05620,c168,-1.0
d05620,c490,1.0
d05620,c970,-1.0
d06502,c168,-1.0
d06502,c207,1.0
d06502,c955,-1.0
d06924,c168,-1.0
d06924,c358,1.0
d06924,c963,-1.0
d07308,c168,-1.0
d07308,c509,1.0
d07308,c971,-1.0
d07923,c168,-1.0
d07923,c245,1.0
d07923,c957,-1.0
d08213,c168,-1.0
d08213,c396,1.0
d08213,c965,-1.0
d08465,c168,-1.0
d08465,c547,1.0
d08465,c973,-1.0
d08931,c168,-1.0
d08931,c264,1.0
d08931,c958,-1.0
d09146,c168,-1.0
d09146,c415,1.0
d09146,c966,-1.0
d09325,c168,-1.0
d09325,c566,1.0
d09325,c974,-1.0
d09655,c168,-1.0
d09655,c283,1.0
d09655,c959,-1.0
d09801,c168,-1.0
d09801,c434,1.0
d09801,c967,-1.0
d09909,c168,-1.0
d09909,c585,1.0
d09909,c975,-1.0
d10087,c168,-1.0
d10087,c302,1.0
d10087,c960,-1.0
d10881,c168,-1.0
d11618,c168,-1.0
d11618,c226,1.0
d11618,c956,-1.0
d11965,c168,-1.0
d11965,c377,1.0
d11965,c964,-1.0
d12276,c168,-1.0
d12276,c528,1.0
d12276,c972,-1.0
d10269,c169,1.0
d10882,c169,-1.0
d10270,c170,1.0
d10883,c170,-1.0
d10271,c171,1.0
d10884,c171,-1.0
d10272,c172,1.0
d10885,c172,-1.0
d04349,c173,1.0
d10507,c173,-1.0
d04350,c174,1.0
d10508,c174,-1.0
d04351,c175,1.0
d10509,c175,-1.0
d04352,c176,1.0
d10510,c176,-1.0
d04353,c177,1.0
d10511,c177,-1.0
d04354,c178,1.0
d10512,c178,-1.0
d04355,c179,1.0
d10513,c179,-1.0
d04356,c180,1.0
d10514,c180,-1.0
d04357,c181,1.0
d10515,c181,-1.0
d04358,c182,1.0
d10516,c182,-1.0
d04359,c183,1.0
d10517,c183,-1.0
d04361,c184,1.0
d10518,c184,-1.0
d04362,c185,1.0
d10519,c185,-1.0
d04363,c186,1.0
d10520,c186,-1.0
d04364,c187,1.0
d10521,c187,-1.0
d04231,c188,1.0
d04231,c207,-1.0
d04231,c954,-1.0
d04250,c188,1.0
d04250,c358,-1.0
d04250,c954,-1.0
d04269,c188,1.0
d04269,c509,-1.0
d04269,c954,-1.0
d04307,c188,1.0
d04307,c226,-1.0
d04307,c954,-1.0
d04326,c188,1.0
d04326,c377,-1.0
d04326,c954,-1.0
d04345,c188,1.0
d04345,c528,-1.0
d04345,c954,-1.0
d04402,c188,1.0
d04402,c245,-1.0
d04402,c954,-1.0
d04420,c188,1.0
d04420,c396,-1.0
d04420,c954,-1.0
d04438,c188,1.0
d04438,c547,-1.0
d04438,c954,-1.0
d04474,c188,1.0
d04474,c264,-1.0
d04474,c954,-1.0
d04492,c188,1.0
d04492,c415,-1.0
d04492,c954,-1.0
d04510,c188,1.0
d04510,c566,-1.0
d04510,c954,-1.0
d04545,c188,1.0
d04545,c283,-1.0
d04545,c954,-1.0
d04562,c188,1.0
d04562,c434,-1.0
d04562,c954,-1.0
d04579,c188,1.0
d04579,c585,-1.0
d04579,c954,-1.0
d04613,c188,1.0
d04613,c302,-1.0
d04613,c954,-1.0
d04630,c188,1.0
d04630,c453,-1.0
d04630,c954,-1.0
d04647,c188,1.0
d04647,c604,-1.0
d04647,c954,-1.0
d04678,c188,1.0
d04678,c319,-1.0
d04678,c954,-1.0
d04694,c188,1.0
d04694,c470,-1.0
d04694,c954,-1.0
d04710,c188,1.0
d04710,c621,-1.0
d04710,c954,-1.0
d10522,c188,-1.0
d04366,c189,1.0
d10523,c189,-1.0
d04367,c190,1.0
d10524,c190,-1.0
d04368,c191,1.0
d10525,c191,-1.0
d06189,c192,1.0
d10355,c192,-1.0
d06190,c193,1.0
d10356,c193,-1.0
d06191,c194,1.0
d10357,c194,-1.0
d06192,c195,1.0
d10358,c195,-1.0
d06193,c196,1.0
d10359,c196,-1.0
d06194,c197,1.0
d10360,c197,-1.0
d06195,c198,1.0
d10361,c198,-1.0
d06196,c199,1.0
d10362,c199,-1.0
d06197,c200,1.0
d10363,c200,-1.0
d06198,c201,1.0
d10364,c201,-1.0
d06199,c202,1.0
d10365,c202,-1.0
d06201,c203,1.0
d10366,c203,-1.0
d06202,c204,1.0
d10367,c204,-1.0
d06203,c205,1.0
d10368,c205,-1.0
d06204,c206,1.0
d10369,c206,-1.0
d04729,c207,-1.0
d04729,c339,1.0
d04729,c962,-1.0
d06147,c207,1.0
d06147,c226,-1.0
d06147,c955,-1.0
d06166,c207,1.0
d06166,c377,-1.0
d06166,c955,-1.0
d06185,c207,1.0
d06185,c528,-1.0
d06185,c955,-1.0
d06242,c207,1.0
d06242,c245,-1.0
d06242,c955,-1.0
d06260,c207,1.0
d06260,c396,-1.0
d06260,c955,-1.0
d06278,c207,1.0
d06278,c547,-1.0
d06278,c955,-1.0
d06314,c207,1.0
d06314,c264,-1.0
d06314,c955,-1.0
d06332,c207,1.0
d06332,c415,-1.0
d06332,c955,-1.0
d06350,c207,1.0
d06350,c566,-1.0
d06350,c955,-1.0
d06385,c207,1.0
d06385,c283,-1.0
d06385,c955,-1.0
d06402,c207,1.0
d06402,c434,-1.0
d06402,c955,-1.0
d06419,c207,1.0
d06419,c585,-1.0
d06419,c955,-1.0
d06453,c207,1.0
d06453,c302,-1.0
d06453,c955,-1.0
d06470,c207,1.0
d06470,c453,-1.0
d06470,c955,-1.0
d06487,c207,1.0
d06487,c604,-1.0
d06487,c955,-1.0
d06518,c207,1.0
d06518,c319,-1.0
d06518,c955,-1.0
d06534,c207,1.0
d06534,c470,-1.0
d06534,c955,-1.0
d06550,c207,1.0
d06550,c621,-1.0
d06550,c955,-1.0
d10370,c207,-1.0
d06206,c208,1.0
d10371,c208,-1.0
d06207,c209,1.0
d10372,c209,-1.0
d06208,c210,1.0
d10373,c210,-1.0
d10431,c211,-1.0
d11305,c211,1.0
d10432,c212,-1.0
d11306,c212,1.0
d10433,c213,-1.0
d11307,c213,1.0
d10434,c214,-1.0
d11308,c214,1.0
d10435,c215,-1.0
d11309,c215,1.0
d10436,c216,-1.0
d11310,c216,1.0
d10437,c217,-1.0
d11311,c217,1.0
d10438,c218,-1.0
d11312,c218,1.0
d10439,c219,-1.0
d11313,c219,1.0
d10440,c220,-1.0
d11314,c220,1.0
d10441,c221,-1.0
d11315,c221,1.0
d10442,c222,-1.0
d11317,c222,1.0
d10443,c223,-1.0
d11318,c223,1.0
d10444,c224,-1.0
d11319,c224,1.0
d10445,c225,-1.0
d11320,c225,1.0
d04805,c226,-1.0
d04805,c339,1.0
d04805,c962,-1.0
d05265,c226,-1.0
d05265,c490,1.0
d05265,c970,-1.0
d06569,c226,-1.0
d06569,c358,1.0
d06569,c963,-1.0
d10446,c226,-1.0
d11358,c226,1.0
d11358,c245,-1.0
d11358,c956,-1.0
d11376,c226,1.0
d11376,c396,-1.0
d11376,c956,-1.0
d11394,c226,1.0
d11394,c547,-1.0
d11394,c956,-1.0
d11430,c226,1.0
d11430,c264,-1.0
d11430,c956,-1.0
d11448,c226,1.0
d11448,c415,-1.0
d11448,c956,-1.0
d11466,c226,1.0
d11466,c566,-1.0
d11466,c956,-1.0
d11501,c226,1.0
d11501,c283,-1.0
d11501,c956,-1.0
d11518,c226,1.0
d11518,c434,-1.0
d11518,c956,-1.0
d11535,c226,1.0
d11535,c585,-1.0
d11535,c956,-1.0
d11569,c226,1.0
d11569,c302,-1.0
d11569,c956,-1.0
d11586,c226,1.0
d11586,c453,-1.0
d11586,c956,-1.0
d11603,c226,1.0
d11603,c604,-1.0
d11603,c956,-1.0
d11634,c226,1.0
d11634,c319,-1.0
d11634,c956,-1.0
d11650,c226,1.0
d11650,c470,-1.0
d11650,c956,-1.0
d11666,c226,1.0
d11666,c621,-1.0
d11666,c956,-1.0
d10447,c227,-1.0
d11322,c227,1.0
d10448,c228,-1.0
d11323,c228,1.0
d10449,c229,-1.0
d11324,c229,1.0
d07670,c230,1.0
d10583,c230,-1.0
d07671,c231,1.0
d10584,c231,-1.0
d07672,c232,1.0
d10585,c232,-1.0
d07673,c233,1.0
d10586,c233,-1.0
d07674,c234,1.0
d10587,c234,-1.0
d07675,c235,1.0
d10588,c235,-1.0
d07676,c236,1.0
d10589,c236,-1.0
d07677,c237,1.0
d10590,c237,-1.0
d07678,c238,1.0
d10591,c238,-1.0
d07679,c239,1.0
d10592,c239,-1.0
d07680,c240,1.0
d10593,c240,-1.0
d07681,c241,1.0
d10594,c241,-1.0
d07682,c242,1.0
d10595,c242,-1.0
d07683,c243,1.0
d10596,c243,-1.0
d07684,c244,1.0
d10597,c244,-1.0
d04900,c245,-1.0
d04900,c339,1.0
d04900,c962,-1.0
d05360,c245,-1.0
d05360,c490,1.0
d05360,c970,-1.0
d06664,c245,-1.0
d06664,c358,1.0
d06664,c963,-1.0
d07048,c245,-1.0
d07048,c509,1.0
d07048,c971,-1.0
d07724,c245,1.0
d07724,c264,-1.0
d07724,c957,-1.0
d07743,c245,1.0
d07743,c415,-1.0
d07743,c957,-1.0
d07762,c245,1.0
d07762,c566,-1.0
d07762,c957,-1.0
d07799,c245,1.0
d07799,c283,-1.0
d07799,c957,-1.0
d07817,c245,1.0
d07817,c434,-1.0
d07817,c957,-1.0
d07835,c245,1.0
d07835,c585,-1.0
d07835,c957,-1.0
d07871,c245,1.0
d07871,c302,-1.0
d07871,c957,-1.0
d07889,c245,1.0
d07889,c453,-1.0
d07889,c957,-1.0
d07907,c245,1.0
d07907,c604,-1.0
d07907,c957,-1.0
d07940,c245,1.0
d07940,c319,-1.0
d07940,c957,-1.0
d07957,c245,1.0
d07957,c470,-1.0
d07957,c957,-1.0
d07974,c245,1.0
d07974,c621,-1.0
d07974,c957,-1.0
