source,target,var_cost_fwd,fixed_cost_fwd,var_cost_bwd,fixed_cost_bwd
71,72,0.0,9.0,0.0,9.0
71,91,0.0,7.0,0.0,7.0
72,73,0.0,6.0,0.0,6.0
72,92,0.0,7.0,0.0,7.0
73,74,0.0,2.0,0.0,2.0
73,93,0.0,6.0,0.0,6.0
74,75,0.0,1.0,0.0,1.0
74,94,0.0,1.0,0.0,1.0
75,76,0.0,9.0,0.0,9.0
75,95,0.0,4.0,0.0,4.0
76,77,0.0,44.0,0.0,44.0
76,96,0.0,1.0,0.0,1.0
77,78,0.0,7.0,0.0,7.0
77,97,0.0,41.0,0.0,41.0
78,79,0.0,8.0,0.0,8.0
78,98,0.0,1.0,0.0,1.0
79,99,0.0,44.0,0.0,44.0
80,81,0.0,7.0,0.0,7.0
80,100,0.0,42.0,0.0,42.0
81,82,0.0,9.0,0.0,9.0
81,101,0.0,7.0,0.0,7.0
82,83,0.0,3.0,0.0,3.0
82,102,0.0,4.0,0.0,4.0
83,84,0.0,45.0,0.0,45.0
83,103,0.0,42.0,0.0,42.0
84,85,0.0,43.0,0.0,43.0
84,104,0.0,4.0,0.0,4.0
85,86,0.0,39.0,0.0,39.0
85,105,0.0,43.0,0.0,43.0
86,87,0.0,7.0,0.0,7.0
86,106,0.0,43.0,0.0,43.0
87,88,0.0,9.0,0.0,9.0
87,107,0.0,5.0,0.0,5.0
88,89,0.0,9.0,0.0,9.0
88,108,0.0,5.0,0.0,5.0
89,90,0.0,1.0,0.0,1.0
89,109,0.0,2.0,0.0,2.0
90,91,0.0,1.0,0.0,1.0
90,110,0.0,1.0,0.0,1.0
91,92,0.0,39.0,0.0,39.0
91,111,0.0,37.0,0.0,37.0
92,93,0.0,8.0,0.0,8.0
92,112,0.0,3.0,0.0,3.0
93,94,0.0,6.0,0.0,6.0
93,113,0.0,3.0,0.0,3.0
94,95,0.0,1.0,0.0,1.0
94,114,0.0,9.0,0.0,9.0
95,96,0.0,7.0,0.0,7.0
95,115,0.0,41.0,0.0,41.0
96,97,0.0,6.0,0.0,6.0
96,116,0.0,8.0,0.0,8.0
97,98,0.0,6.0,0.0,6.0
97,117,0.0,43.0,0.0,43.0
98,99,0.0,8.0,0.0,8.0
98,118,0.0,9.0,0.0,9.0
99,119,0.0,42.0,0.0,42.0
100,101,0.0,44.0,0.0,44.0
100,120,0.0,9.0,0.0,9.0
101,102,0.0,9.0,0.0,9.0
101,121,0.0,2.0,0.0,2.0
102,103,0.0,8.0,0.0,8.0
102,122,0.0,7.0,0.0,7.0
103,104,0.0,9.0,0.0,9.0
103,123,0.0,7.0,0.0,7.0
104,105,0.0,3.0,0.0,3.0
104,124,0.0,6.0,0.0,6.0
105,106,0.0,38.0,0.0,38.0
105,125,0.0,9.0,0.0,9.0
106,107,0.0,3.0,0.0,3.0
106,126,0.0,1.0,0.0,1.0
107,108,0.0,9.0,0.0,9.0
107,127,0.0,1.0,0.0,1.0
108,109,0.0,5.0,0.0,5.0
108,128,0.0,7.0,0.0,7.0
109,110,0.0,37.0,0.0,37.0
109,129,0.0,6.0,0.0,6.0
110,111,0.0,41.0,0.0,41.0
110,130,0.0,42.0,0.0,42.0
111,112,0.0,8.0,0.0,8.0
111,131,0.0,9.0,0.0,9.0
112,113,0.0,1.0,0.0,1.0
112,132,0.0,8.0,0.0,8.0
113,114,0.0,3.0,0.0,3.0
113,133,0.0,9.0,0.0,9.0
114,115,0.0,3.0,0.0,3.0
114,134,0.0,9.0,0.0,9.0
115,116,0.0,40.0,0.0,40.0
115,135,0.0,5.0,0.0,5.0
116,117,0.0,43.0,0.0,43.0
116,136,0.0,37.0,0.0,37.0
117,118,0.0,39.0,0.0,39.0
117,137,0.0,4.0,0.0,4.0
118,119,0.0,38.0,0.0,38.0
118,138,0.0,1.0,0.0,1.0
119,139,0.0,1.0,0.0,1.0
120,121,0.0,6.0,0.0,6.0
120,140,0.0,6.0,0.0,6.0
121,122,0.0,7.0,0.0,7.0
121,141,0.0,6.0,0.0,6.0
122,123,0.0,5.0,0.0,5.0
122,142,0.0,2.0,0.0,2.0
123,124,0.0,6.0,0.0,6.0
123,143,0.0,5.0,0.0,5.0
124,125,0.0,3.0,0.0,3.0
124,144,0.0,3.0,0.0,3.0
125,126,0.0,5.0,0.0,5.0
125,145,0.0,3.0,0.0,3.0
126,127,0.0,6.0,0.0,6.0
126,146,0.0,5.0,0.0,5.0
127,128,0.0,6.0,0.0,6.0
127,147,0.0,8.0,0.0,8.0
128,129,0.0,1.0,0.0,1.0
128,148,0.0,5.0,0.0,5.0
129,130,0.0,8.0,0.0,8.0
129,149,0.0,4.0,0.0,4.0
130,131,0.0,5.0,0.0,5.0
130,150,0.0,45.0,0.0,45.0
131,132,0.0,1.0,0.0,1.0
131,151,0.0,4.0,0.0,4.0
132,133,0.0,2.0,0.0,2.0
132,152,0.0,4.0,0.0,4.0
133,134,0.0,2.0,0.0,2.0
133,153,0.0,4.0,0.0,4.0
134,135,0.0,7.0,0.0,7.0
134,154,0.0,8.0,0.0,8.0
135,136,0.0,5.0,0.0,5.0
135,155,0.0,9.0,0.0,9.0
136,137,0.0,4.0,0.0,4.0
136,156,0.0,3.0,0.0,3.0
137,138,0.0,5.0,0.0,5.0
137,157,0.0,2.0,0.0,2.0
138,139,0.0,3.0,0.0,3.0
138,158,0.0,5.0,0.0,5.0
139,159,0.0,4.0,0.0,4.0
140,141,0.0,9.0,0.0,9.0
140,160,0.0,8.0,0.0,8.0
141,142,0.0,8.0,0.0,8.0
141,161,0.0,4.0,0.0,4.0
142,143,0.0,9.0,0.0,9.0
142,162,0.0,41.0,0.0,41.0
143,144,0.0,4.0,0.0,4.0
143,163,0.0,2.0,0.0,2.0
144,145,0.0,38.0,0.0,38.0
144,164,0.0,44.0,0.0,44.0
145,146,0.0,45.0,0.0,45.0
145,165,0.0,45.0,0.0,45.0
146,147,0.0,42.0,0.0,42.0
146,166,0.0,40.0,0.0,40.0
147,148,0.0,1.0,0.0,1.0
147,167,0.0,6.0,0.0,6.0
148,149,0.0,7.0,0.0,7.0
148,168,0.0,8.0,0.0,8.0
149,150,0.0,5.0,0.0,5.0
149,169,0.0,9.0,0.0,9.0
150,151,0.0,40.0,0.0,40.0
150,170,0.0,41.0,0.0,41.0
151,152,0.0,40.0,0.0,40.0
151,171,0.0,5.0,0.0,5.0
152,153,0.0,3.0,0.0,3.0
152,172,0.0,1.0,0.0,1.0
153,154,0.0,6.0,0.0,6.0
153,173,0.0,5.0,0.0,5.0
154,155,0.0,8.0,0.0,8.0
154,174,0.0,8.0,0.0,8.0
155,156,0.0,5.0,0.0,5.0
155,175,0.0,9.0,0.0,9.0
156,157,0.0,2.0,0.0,2.0
156,176,0.0,2.0,0.0,2.0
157,158,0.0,8.0,0.0,8.0
157,177,0.0,8.0,0.0,8.0
158,159,0.0,8.0,0.0,8.0
158,178,0.0,4.0,0.0,4.0
159,179,0.0,6.0,0.0,6.0
160,161,0.0,8.0,0.0,8.0
160,180,0.0,3.0,0.0,3.0
161,162,0.0,2.0,0.0,2.0
161,181,0.0,5.0,0.0,5.0
162,163,0.0,41.0,0.0,41.0
162,182,0.0,9.0,0.0,9.0
163,164,0.0,37.0,0.0,37.0
163,183,0.0,41.0,0.0,41.0
164,165,0.0,43.0,0.0,43.0
164,184,0.0,39.0,0.0,39.0
165,166,0.0,39.0,0.0,39.0
165,185,0.0,9.0,0.0,9.0
166,167,0.0,9.0,0.0,9.0
166,186,0.0,4.0,0.0,4.0
167,168,0.0,8.0,0.0,8.0
167,187,0.0,3.0,0.0,3.0
168,169,0.0,4.0,0.0,4.0
168,188,0.0,6.0,0.0,6.0
169,170,0.0,38.0,0.0,38.0
169,189,0.0,38.0,0.0,38.0
170,171,0.0,3.0,0.0,3.0
170,190,0.0,9.0,0.0,9.0
171,172,0.0,1.0,0.0,1.0
171,191,0.0,1.0,0.0,1.0
172,173,0.0,8.0,0.0,8.0
172,192,0.0,1.0,0.0,1.0
173,174,0.0,3.0,0.0,3.0
173,193,0.0,8.0,0.0,8.0
174,175,0.0,7.0,0.0,7.0
174,194,0.0,1.0,0.0,1.0
175,176,0.0,9.0,0.0,9.0
175,195,0.0,8.0,0.0,8.0
176,177,0.0,6.0,0.0,6.0
176,196,0.0,38.0,0.0,38.0
177,178,0.0,7.0,0.0,7.0
177,197,0.0,7.0,0.0,7.0
178,179,0.0,3.0,0.0,3.0
178,198,0.0,8.0,0.0,8.0
179,199,0.0,3.0,0.0,3.0
180,181,0.0,38.0,0.0,38.0
180,200,0.0,8.0,0.0,8.0
181,182,0.0,2.0,0.0,2.0
181,201,0.0,7.0,0.0,7.0
182,183,0.0,3.0,0.0,3.0
182,202,0.0,6.0,0.0,6.0
183,184,0.0,39.0,0.0,39.0
183,203,0.0,5.0,0.0,5.0
184,185,0.0,9.0,0.0,9.0
184,204,0.0,7.0,0.0,7.0
185,186,0.0,3.0,0.0,3.0
185,205,0.0,1.0,0.0,1.0
186,187,0.0,3.0,0.0,3.0
186,206,0.0,2.0,0.0,2.0
187,188,0.0,2.0,0.0,2.0
187,207,0.0,4.0,0.0,4.0
188,189,0.0,45.0,0.0,45.0
188,208,0.0,45.0,0.0,45.0
189,190,0.0,1.0,0.0,1.0
189,209,0.0,39.0,0.0,39.0
190,191,0.0,5.0,0.0,5.0
190,210,0.0,7.0,0.0,7.0
191,192,0.0,5.0,0.0,5.0
191,211,0.0,6.0,0.0,6.0
192,193,0.0,7.0,0.0,7.0
192,212,0.0,2.0,0.0,2.0
193,194,0.0,9.0,0.0,9.0
193,213,0.0,1.0,0.0,1.0
194,195,0.0,2.0,0.0,2.0
194,214,0.0,4.0,0.0,4.0
195,196,0.0,6.0,0.0,6.0
195,215,0.0,9.0,0.0,9.0
196,197,0.0,2.0,0.0,2.0
196,216,0.0,45.0,0.0,45.0
197,198,0.0,8.0,0.0,8.0
197,217,0.0,3.0,0.0,3.0
198,199,0.0,2.0,0.0,2.0
198,218,0.0,37.0,0.0,37.0
199,219,0.0,2.0,0.0,2.0
200,201,0.0,2.0,0.0,2.0
200,220,0.0,2.0,0.0,2.0
201,202,0.0,1.0,0.0,1.0
201,221,0.0,4.0,0.0,4.0
202,203,0.0,7.0,0.0,7.0
202,222,0.0,2.0,0.0,2.0
203,204,0.0,3.0,0.0,3.0
203,223,0.0,6.0,0.0,6.0
204,205,0.0,3.0,0.0,3.0
204,224,0.0,4.0,0.0,4.0
205,206,0.0,6.0,0.0,6.0
205,225,0.0,8.0,0.0,8.0
206,207,0.0,4.0,0.0,4.0
206,226,0.0,9.0,0.0,9.0
207,208,0.0,1.0,0.0,1.0
207,227,0.0,5.0,0.0,5.0
208,209,0.0,43.0,0.0,43.0
208,228,0.0,7.0,0.0,7.0
209,210,0.0,7.0,0.0,7.0
209,229,0.0,5.0,0.0,5.0
210,211,0.0,9.0,0.0,9.0
210,230,0.0,5.0,0.0,5.0
211,212,0.0,3.0,0.0,3.0
211,231,0.0,3.0,0.0,3.0
212,213,0.0,44.0,0.0,44.0
212,232,0.0,1.0,0.0,1.0
213,214,0.0,42.0,0.0,42.0
213,233,0.0,7.0,0.0,7.0
214,215,0.0,5.0,0.0,5.0
214,234,0.0,45.0,0.0,45.0
215,216,0.0,6.0,0.0,6.0
215,235,0.0,3.0,0.0,3.0
216,217,0.0,8.0,0.0,8.0
216,236,0.0,37.0,0.0,37.0
217,218,0.0,6.0,0.0,6.0
217,237,0.0,7.0,0.0,7.0
218,219,0.0,39.0,0.0,39.0
218,238,0.0,7.0,0.0,7.0
219,239,0.0,39.0,0.0,39.0
220,221,0.0,40.0,0.0,40.0
220,240,0.0,7.0,0.0,7.0
221,222,0.0,5.0,0.0,5.0
221,241,0.0,2.0,0.0,2.0
222,223,0.0,6.0,0.0,6.0
222,242,0.0,1.0,0.0,1.0
223,224,0.0,38.0,0.0,38.0
223,243,0.0,38.0,0.0,38.0
224,225,0.0,37.0,0.0,37.0
224,244,0.0,38.0,0.0,38.0
225,226,0.0,4.0,0.0,4.0
225,245,0.0,6.0,0.0,6.0
226,227,0.0,7.0,0.0,7.0
226,246,0.0,2.0,0.0,2.0
227,228,0.0,3.0,0.0,3.0
227,247,0.0,8.0,0.0,8.0
228,229,0.0,3.0,0.0,3.0
228,248,0.0,9.0,0.0,9.0
229,230,0.0,7.0,0.0,7.0
229,249,0.0,3.0,0.0,3.0
230,231,0.0,2.0,0.0,2.0
230,250,0.0,1.0,0.0,1.0
231,232,0.0,5.0,0.0,5.0
231,251,0.0,2.0,0.0,2.0
232,233,0.0,6.0,0.0,6.0
232,252,0.0,9.0,0.0,9.0
233,234,0.0,1.0,0.0,1.0
233,253,0.0,4.0,0.0,4.0
234,235,0.0,4.0,0.0,4.0
234,254,0.0,43.0,0.0,43.0
235,236,0.0,6.0,0.0,6.0
235,255,0.0,6.0,0.0,6.0
236,237,0.0,2.0,0.0,2.0
236,256,0.0,38.0,0.0,38.0
237,238,0.0,1.0,0.0,1.0
237,257,0.0,4.0,0.0,4.0
238,239,0.0,1.0,0.0,1.0
238,258,0.0,4.0,0.0,4.0
239,259,0.0,4.0,0.0,4.0
240,241,0.0,4.0,0.0,4.0
240,260,0.0,8.0,0.0,8.0
241,242,0.0,2.0,0.0,2.0
241,261,0.0,2.0,0.0,2.0
242,243,0.0,3.0,0.0,3.0
242,262,0.0,3.0,0.0,3.0
243,244,0.0,39.0,0.0,39.0
243,263,0.0,8.0,0.0,8.0
244,245,0.0,9.0,0.0,9.0
244,264,0.0,43.0,0.0,43.0
245,246,0.0,9.0,0.0,9.0
245,265,0.0,8.0,0.0,8.0
246,247,0.0,8.0,0.0,8.0
246,266,0.0,4.0,0.0,4.0
247,248,0.0,8.0,0.0,8.0
247,267,0.0,1.0,0.0,1.0
248,249,0.0,8.0,0.0,8.0
248,268,0.0,8.0,0.0,8.0
249,250,0.0,40.0,0.0,40.0
249,269,0.0,9.0,0.0,9.0
250,251,0.0,2.0,0.0,2.0
250,270,0.0,41.0,0.0,41.0
251,252,0.0,4.0,0.0,4.0
251,271,0.0,8.0,0.0,8.0
252,253,0.0,5.0,0.0,5.0
252,272,0.0,45.0,0.0,45.0
253,254,0.0,1.0,0.0,1.0
253,273,0.0,3.0,0.0,3.0
254,255,0.0,9.0,0.0,9.0
254,274,0.0,7.0,0.0,7.0
255,256,0.0,1.0,0.0,1.0
255,275,0.0,8.0,0.0,8.0
256,257,0.0,39.0,0.0,39.0
256,276,0.0,2.0,0.0,2.0
257,258,0.0,6.0,0.0,6.0
257,277,0.0,4.0,0.0,4.0
258,259,0.0,6.0,0.0,6.0
258,278,0.0,8.0,0.0,8.0
259,279,0.0,8.0,0.0,8.0
260,261,0.0,41.0,0.0,41.0
260,280,0.0,38.0,0.0,38.0
261,262,0.0,41.0,0.0,41.0
261,281,0.0,40.0,0.0,40.0
262,263,0.0,6.0,0.0,6.0
262,282,0.0,8.0,0.0,8.0
263,264,0.0,5.0,0.0,5.0
263,283,0.0,5.0,0.0,5.0
264,265,0.0,8.0,0.0,8.0
264,284,0.0,45.0,0.0,45.0
265,266,0.0,5.0,0.0,5.0
265,285,0.0,8.0,0.0,8.0
266,267,0.0,1.0,0.0,1.0
266,286,0.0,4.0,0.0,4.0
267,268,0.0,4.0,0.0,4.0
267,287,0.0,9.0,0.0,9.0
268,269,0.0,5.0,0.0,5.0
268,288,0.0,8.0,0.0,8.0
269,270,0.0,3.0,0.0,3.0
269,289,0.0,7.0,0.0,7.0
270,271,0.0,9.0,0.0,9.0
270,290,0.0,38.0,0.0,38.0
271,272,0.0,2.0,0.0,2.0
271,291,0.0,8.0,0.0,8.0
272,273,0.0,5.0,0.0,5.0
272,292,0.0,42.0,0.0,42.0
273,274,0.0,6.0,0.0,6.0
273,293,0.0,3.0,0.0,3.0
274,275,0.0,5.0,0.0,5.0
274,294,0.0,4.0,0.0,4.0
275,276,0.0,7.0,0.0,7.0
275,295,0.0,4.0,0.0,4.0
276,277,0.0,2.0,0.0,2.0
276,296,0.0,9.0,0.0,9.0
277,278,0.0,2.0,0.0,2.0
277,297,0.0,8.0,0.0,8.0
278,279,0.0,1.0,0.0,1.0
278,298,0.0,2.0,0.0,2.0
279,299,0.0,9.0,0.0,9.0
280,281,0.0,40.0,0.0,40.0
280,300,0.0,43.0,0.0,43.0
281,282,0.0,2.0,0.0,2.0
281,301,0.0,4.0,0.0,4.0
282,283,0.0,4.0,0.0,4.0
282,302,0.0,9.0,0.0,9.0
283,284,0.0,45.0,0.0,45.0
283,303,0.0,40.0,0.0,40.0
284,285,0.0,9.0,0.0,9.0
284,304,0.0,9.0,0.0,9.0
285,286,0.0,8.0,0.0,8.0
285,305,0.0,6.0,0.0,6.0
286,287,0.0,6.0,0.0,6.0
286,306,0.0,6.0,0.0,6.0
287,288,0.0,7.0,0.0,7.0
287,307,0.0,2.0,0.0,2.0
288,289,0.0,3.0,0.0,3.0
288,308,0.0,4.0,0.0,4.0
289,290,0.0,5.0,0.0,5.0
289,309,0.0,4.0,0.0,4.0
290,291,0.0,40.0,0.0,40.0
290,310,0.0,2.0,0.0,2.0
291,292,0.0,40.0,0.0,40.0
291,311,0.0,39.0,0.0,39.0
292,293,0.0,41.0,0.0,41.0
292,312,0.0,38.0,0.0,38.0
293,294,0.0,41.0,0.0,41.0
293,313,0.0,7.0,0.0,7.0
294,295,0.0,38.0,0.0,38.0
294,314,0.0,44.0,0.0,44.0
295,296,0.0,4.0,0.0,4.0
295,315,0.0,45.0,0.0,45.0
296,297,0.0,4.0,0.0,4.0
296,316,0.0,6.0,0.0,6.0
297,298,0.0,40.0,0.0,40.0
297,317,0.0,5.0,0.0,5.0
298,299,0.0,6.0,0.0,6.0
298,318,0.0,37.0,0.0,37.0
299,319,0.0,7.0,0.0,7.0
300,301,0.0,1.0,0.0,1.0
300,320,0.0,7.0,0.0,7.0
301,302,0.0,1.0,0.0,1.0
301,321,0.0,1.0,0.0,1.0
302,303,0.0,4.0,0.0,4.0
302,322,0.0,6.0,0.0,6.0
303,304,0.0,8.0,0.0,8.0
303,323,0.0,8.0,0.0,8.0
304,305,0.0,2.0,0.0,2.0
304,324,0.0,2.0,0.0,2.0
305,306,0.0,9.0,0.0,9.0
305,325,0.0,7.0,0.0,7.0
306,307,0.0,8.0,0.0,8.0
306,326,0.0,1.0,0.0,1.0
307,308,0.0,5.0,0.0,5.0
307,327,0.0,8.0,0.0,8.0
308,309,0.0,42.0,0.0,42.0
308,328,0.0,43.0,0.0,43.0
309,310,0.0,4.0,0.0,4.0
309,329,0.0,2.0,0.0,2.0
310,311,0.0,1.0,0.0,1.0
310,330,0.0,2.0,0.0,2.0
311,312,0.0,37.0,0.0,37.0
311,331,0.0,44.0,0.0,44.0
312,313,0.0,8.0,0.0,8.0
312,332,0.0,37.0,0.0,37.0
313,314,0.0,6.0,0.0,6.0
313,333,0.0,9.0,0.0,9.0
314,315,0.0,44.0,0.0,44.0
314,334,0.0,40.0,0.0,40.0
315,316,0.0,43.0,0.0,43.0
315,335,0.0,4.0,0.0,4.0
316,317,0.0,6.0,0.0,6.0
316,336,0.0,41.0,0.0,41.0
317,318,0.0,4.0,0.0,4.0
317,337,0.0,6.0,0.0,6.0
318,319,0.0,42.0,0.0,42.0
318,338,0.0,38.0,0.0,38.0
319,339,0.0,45.0,0.0,45.0
320,321,0.0,4.0,0.0,4.0
320,340,0.0,4.0,0.0,4.0
321,322,0.0,8.0,0.0,8.0
321,341,0.0,5.0,0.0,5.0
322,323,0.0,9.0,0.0,9.0
322,342,0.0,5.0,0.0,5.0
323,324,0.0,4.0,0.0,4.0
323,343,0.0,1.0,0.0,1.0
324,325,0.0,6.0,0.0,6.0
324,344,0.0,4.0,0.0,4.0
325,326,0.0,9.0,0.0,9.0
325,345,0.0,3.0,0.0,3.0
326,327,0.0,2.0,0.0,2.0
326,346,0.0,1.0,0.0,1.0
327,328,0.0,4.0,0.0,4.0
327,347,0.0,2.0,0.0,2.0
328,329,0.0,7.0,0.0,7.0
328,348,0.0,1.0,0.0,1.0
329,330,0.0,3.0,0.0,3.0
329,349,0.0,5.0,0.0,5.0
330,331,0.0,1.0,0.0,1.0
330,350,0.0,5.0,0.0,5.0
331,332,0.0,44.0,0.0,44.0
331,351,0.0,42.0,0.0,42.0
332,333,0.0,39.0,0.0,39.0
332,352,0.0,6.0,0.0,6.0
333,334,0.0,45.0,0.0,45.0
333,353,0.0,8.0,0.0,8.0
334,335,0.0,8.0,0.0,8.0
334,354,0.0,45.0,0.0,45.0
335,336,0.0,3.0,0.0,3.0
335,355,0.0,8.0,0.0,8.0
336,337,0.0,44.0,0.0,44.0
336,356,0.0,45.0,0.0,45.0
337,338,0.0,40.0,0.0,40.0
337,357,0.0,8.0,0.0,8.0
338,339,0.0,44.0,0.0,44.0
338,358,0.0,3.0,0.0,3.0
339,359,0.0,7.0,0.0,7.0
340,341,0.0,3.0,0.0,3.0
340,360,0.0,8.0,0.0,8.0
341,342,0.0,7.0,0.0,7.0
341,361,0.0,7.0,0.0,7.0
342,343,0.0,9.0,0.0,9.0
342,362,0.0,42.0,0.0,42.0
343,344,0.0,5.0,0.0,5.0
343,363,0.0,2.0,0.0,2.0
344,345,0.0,3.0,0.0,3.0
344,364,0.0,8.0,0.0,8.0
345,346,0.0,7.0,0.0,7.0
345,365,0.0,2.0,0.0,2.0
346,347,0.0,9.0,0.0,9.0
346,366,0.0,4.0,0.0,4.0
347,348,0.0,3.0,0.0,3.0
347,367,0.0,44.0,0.0,44.0
348,349,0.0,7.0,0.0,7.0
348,368,0.0,6.0,0.0,6.0
349,350,0.0,37.0,0.0,37.0
349,369,0.0,7.0,0.0,7.0
350,351,0.0,45.0,0.0,45.0
350,370,0.0,1.0,0.0,1.0
351,352,0.0,4.0,0.0,4.0
351,371,0.0,1.0,0.0,1.0
352,353,0.0,4.0,0.0,4.0
352,372,0.0,6.0,0.0,6.0
353,354,0.0,4.0,0.0,4.0
353,373,0.0,8.0,0.0,8.0
354,355,0.0,42.0,0.0,42.0
354,374,0.0,4.0,0.0,4.0
355,356,0.0,45.0,0.0,45.0
355,375,0.0,43.0,0.0,43.0
