evidence_id,u_entity_key,v_entity_key,effect_type,agreement_domain,weight,source_type,direction_recorded,confidence_bucket,qc_flag
126,EB367A25743,E1186A1D361,activation,trend,1,curation,U_to_V,low,pass
127,EB367A25743,E1186A1D361,repression,contrast,1,database,V_to_U,low,pass
128,EB367A25743,E1186A1D361,activation,trend,1,experiment,U_to_V,low,pass
129,EB367A25743,E1186A1D361,repression,contrast,1,pipeline,V_to_U,medium,pass
130,EB367A25743,E1186A1D361,activation,trend,1,curation,U_to_V,medium,pass
131,EB367A25743,E1186A1D361,repression,contrast,1,database,V_to_U,medium,pass
132,EB367A25743,E1186A1D361,activation,trend,1,experiment,U_to_V,high,pass
133,EB367A25743,E1186A1D361,repression,contrast,1,pipeline,V_to_U,high,review
134,EB367A25743,E1186A1D361,activation,trend,1,curation,U_to_V,high,review
135,EB367A25743,E1186A1D361,repression,contrast,1,database,V_to_U,low,review
136,EB367A25743,E1186A1D361,activation,trend,1,experiment,U_to_V,low,review
137,EB367A25743,E1186A1D361,repression,contrast,1,pipeline,V_to_U,low,review
138,EB367A25743,E1186A1D361,activation,trend,1,curation,U_to_V,medium,review
139,EB367A25743,E1186A1D361,repression,contrast,1,database,V_to_U,medium,review
140,EB367A25743,E1186A1D361,activation,trend,1,experiment,U_to_V,medium,fail
141,EB367A25743,E1186A1D361,repression,contrast,1,pipeline,V_to_U,high,fail
142,EB367A25743,E1186A1D361,activation,trend,1,curation,U_to_V,high,fail
143,EB367A25743,E1186A1D361,repression,contrast,1,database,V_to_U,high,fail
144,EB367A25743,E1186A1D361,activation,trend,1,experiment,U_to_V,low,fail
145,EB367A25743,E1186A1D361,repression,contrast,1,pipeline,V_to_U,low,fail
146,EB367A25743,E1186A1D361,activation,trend,1,curation,U_to_V,low,fail
147,EB367A25743,E1186A1D361,repression,contrast,1,database,V_to_U,medium,pass
148,EB367A25743,E1186A1D361,activation,trend,1,experiment,U_to_V,medium,pass
149,EB367A25743,E1186A1D361,repression,contrast,1,pipeline,V_to_U,medium,pass
150,EB367A25743,E1186A1D361,activation,trend,1,curation,U_to_V,high,pass
151,EB367A25743,E1186A1D361,repression,contrast,1,database,V_to_U,high,pass
152,EB367A25743,E1186A1D361,activation,trend,1,experiment,U_to_V,high,pass
153,EB367A25743,E1186A1D361,repression,contrast,1,pipeline,V_to_U,low,pass
154,EB367A25743,E1186A1D361,activation,trend,1,curation,U_to_V,low,review
155,EB367A25743,E1186A1D361,repression,contrast,1,database,V_to_U,low,review
156,EB367A25743,E1186A1D361,activation,trend,1,experiment,U_to_V,medium,review
157,EB367A25743,E1186A1D361,repression,contrast,1,pipeline,V_to_U,medium,review
158,EB367A25743,E1186A1D361,activation,trend,1,curation,U_to_V,medium,review
159,EB367A25743,E1186A1D361,repression,contrast,1,database,V_to_U,high,review
160,EB367A25743,E017CFEF4AD,activation,trend,1,experiment,U_to_V,high,review
161,EB367A25743,E175E7360BD,repression,trend,1,pipeline,V_to_U,high,fail
162,EB367A25743,E175E7360BD,activation,contrast,1,curation,U_to_V,low,fail
163,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,low,fail
164,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,low,fail
165,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,medium,fail
166,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,medium,fail
167,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,medium,fail
168,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,high,pass
169,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,high,pass
170,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,high,pass
171,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,low,pass
172,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,low,pass
173,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,low,pass
174,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,medium,pass
175,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,medium,review
176,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,medium,review
177,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,high,review
178,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,high,review
179,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,high,review
180,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,low,review
181,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,low,review
182,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,low,fail
183,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,medium,fail
184,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,medium,fail
185,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,medium,fail
186,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,high,fail
187,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,high,fail
188,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,high,fail
189,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,low,pass
190,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,low,pass
191,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,low,pass
192,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,medium,pass
193,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,medium,pass
194,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,medium,pass
195,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,high,pass
196,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,high,review
197,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,high,review
198,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,low,review
199,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,low,review
200,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,low,review
201,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,medium,review
202,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,medium,review
203,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,medium,fail
204,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,high,fail
205,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,high,fail
206,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,high,fail
207,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,low,fail
208,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,low,fail
209,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,low,fail
210,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,medium,pass
211,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,medium,pass
212,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,medium,pass
213,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,high,pass
214,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,high,pass
215,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,high,pass
216,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,low,pass
217,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,low,review
218,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,low,review
219,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,medium,review
220,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,medium,review
221,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,medium,review
222,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,high,review
223,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,high,review
224,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,high,fail
225,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,low,fail
226,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,low,fail
227,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,low,fail
228,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,medium,fail
229,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,medium,fail
230,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,medium,fail
231,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,high,pass
232,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,high,pass
233,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,high,pass
234,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,low,pass
235,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,low,pass
236,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,low,pass
237,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,medium,pass
238,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,medium,review
239,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,medium,review
240,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,high,review
241,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,high,review
242,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,high,review
243,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,low,review
244,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,low,review
245,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,low,fail
246,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,medium,fail
247,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,medium,fail
248,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,medium,fail
249,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,high,fail
250,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,high,fail
251,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,high,fail
252,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,low,pass
253,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,low,pass
254,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,low,pass
255,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,medium,pass
256,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,medium,pass
257,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,medium,pass
258,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,high,pass
259,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,high,review
260,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,high,review
261,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,low,review
262,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,low,review
263,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,low,review
264,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,medium,review
265,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,medium,review
266,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,medium,fail
267,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,high,fail
268,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,high,fail
269,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,high,fail
270,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,low,fail
271,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,low,fail
272,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,low,fail
273,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,medium,pass
274,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,medium,pass
275,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,medium,pass
276,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,high,pass
277,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,high,pass
278,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,high,pass
279,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,low,pass
280,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,low,review
281,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,low,review
282,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,medium,review
283,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,medium,review
284,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,medium,review
285,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,high,review
286,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,high,review
287,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,high,fail
288,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,low,fail
289,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,low,fail
290,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,low,fail
291,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,medium,fail
292,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,medium,fail
293,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,medium,fail
294,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,high,pass
295,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,high,pass
296,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,high,pass
297,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,low,pass
298,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,low,pass
299,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,low,pass
300,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,medium,pass
301,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,medium,review
302,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,medium,review
303,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,high,review
304,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,high,review
305,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,high,review
306,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,low,review
307,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,low,review
308,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,low,fail
309,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,medium,fail
310,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,medium,fail
311,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,medium,fail
312,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,high,fail
313,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,high,fail
314,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,high,fail
315,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,low,pass
316,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,low,pass
317,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,low,pass
318,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,medium,pass
319,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,medium,pass
320,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,medium,pass
321,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,high,pass
322,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,high,review
323,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,high,review
324,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,low,review
325,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,low,review
326,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,low,review
327,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,medium,review
328,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,medium,review
329,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,medium,fail
330,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,high,fail
331,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,high,fail
332,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,high,fail
333,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,low,fail
334,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,low,fail
335,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,low,fail
336,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,medium,pass
337,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,medium,pass
338,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,medium,pass
339,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,high,pass
340,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,high,pass
341,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,high,pass
342,EB367A25743,E2003EAA929,activation,trend,1,curation,U_to_V,low,pass
343,EB367A25743,E2003EAA929,repression,contrast,1,database,V_to_U,low,review
344,EB367A25743,E2003EAA929,activation,trend,1,experiment,U_to_V,low,review
345,EB367A25743,E2003EAA929,repression,contrast,1,pipeline,V_to_U,medium,review
