Variable_Name,Variable_Type,Lower_Bound,Upper_Bound,Objective_Coefficient
C0165,Integer,0.0,3.0,0.0
C0166,Integer,0.0,3.0,0.0
C0167,Integer,0.0,3.0,0.0
C0168,Integer,0.0,3.0,0.0
C0169,Integer,0.0,3.0,0.0
C0170,Integer,0.0,3.0,0.0
C0171,Integer,0.0,3.0,0.0
C0172,Integer,0.0,3.0,0.0
C0173,Integer,0.0,3.0,0.0
C0174,Integer,0.0,3.0,0.0
C0175,Integer,0.0,3.0,0.0
C0176,Integer,0.0,3.0,0.0
C0177,Integer,0.0,3.0,0.0
C0178,Integer,0.0,3.0,0.0
C0179,Integer,0.0,4.0,0.0
C0180,Integer,0.0,23.0,0.0
C0181,Integer,0.0,3.0,0.0
C0182,Integer,0.0,3.0,0.0
C0183,Integer,0.0,3.0,0.0
C0184,Integer,0.0,3.0,0.0
C0185,Integer,0.0,3.0,0.0
C0186,Integer,0.0,3.0,0.0
C0187,Integer,0.0,3.0,0.0
C0188,Integer,0.0,3.0,0.0
C0189,Integer,0.0,3.0,0.0
C0190,Integer,0.0,3.0,0.0
C0191,Integer,0.0,3.0,0.0
C0192,Integer,0.0,3.0,0.0
C0193,Integer,0.0,3.0,0.0
C0194,Integer,0.0,5.0,0.0
C0195,Integer,0.0,4.0,0.0
C0196,Integer,0.0,23.0,0.0
C0197,Integer,0.0,3.0,0.0
C0198,Integer,0.0,3.0,0.0
C0199,Integer,0.0,3.0,0.0
C0200,Integer,0.0,3.0,0.0
C0201,Integer,0.0,3.0,0.0
C0202,Integer,0.0,3.0,0.0
C0203,Integer,0.0,3.0,0.0
C0204,Integer,0.0,3.0,0.0
C0205,Integer,0.0,3.0,0.0
C0206,Integer,0.0,3.0,0.0
C0207,Integer,0.0,3.0,0.0
C0208,Integer,0.0,3.0,0.0
C0209,Integer,0.0,5.0,0.0
C0210,Integer,0.0,5.0,0.0
C0211,Integer,0.0,4.0,0.0
C0212,Integer,0.0,23.0,0.0
C0213,Integer,0.0,3.0,0.0
C0214,Integer,0.0,3.0,0.0
C0215,Integer,0.0,3.0,0.0
C0216,Integer,0.0,3.0,0.0
C0217,Integer,0.0,3.0,0.0
C0218,Integer,0.0,3.0,0.0
C0219,Integer,0.0,3.0,0.0
C0220,Integer,0.0,3.0,0.0
C0221,Integer,0.0,3.0,0.0
C0222,Integer,0.0,3.0,0.0
C0223,Integer,0.0,3.0,0.0
C0224,Integer,0.0,6.0,0.0
C0225,Integer,0.0,5.0,0.0
C0226,Integer,0.0,5.0,0.0
C0227,Integer,0.0,4.0,0.0
C0228,Integer,0.0,23.0,0.0
C0229,Integer,0.0,3.0,0.0
C0230,Integer,0.0,3.0,0.0
C0231,Integer,0.0,3.0,0.0
C0232,Integer,0.0,3.0,0.0
C0233,Integer,0.0,3.0,0.0
C0234,Integer,0.0,3.0,0.0
C0235,Integer,0.0,3.0,0.0
C0236,Integer,0.0,3.0,0.0
C0237,Integer,0.0,3.0,0.0
C0238,Integer,0.0,3.0,0.0
C0239,Integer,0.0,6.0,0.0
C0240,Integer,0.0,6.0,0.0
C0241,Integer,0.0,5.0,0.0
C0242,Integer,0.0,5.0,0.0
C0243,Integer,0.0,4.0,0.0
C0244,Integer,0.0,23.0,0.0
C0245,Integer,0.0,3.0,0.0
C0246,Integer,0.0,3.0,0.0
C0247,Integer,0.0,3.0,0.0
C0248,Integer,0.0,3.0,0.0
C0249,Integer,0.0,3.0,0.0
C0250,Integer,0.0,3.0,0.0
C0251,Integer,0.0,3.0,0.0
C0252,Integer,0.0,3.0,0.0
C0253,Integer,0.0,3.0,0.0
C0254,Integer,0.0,8.0,0.0
C0255,Integer,0.0,6.0,0.0
C0256,Integer,0.0,6.0,0.0
C0257,Integer,0.0,5.0,0.0
C0258,Integer,0.0,5.0,0.0
C0259,Integer,0.0,4.0,0.0
C0260,Integer,0.0,23.0,0.0
C0261,Integer,0.0,3.0,0.0
C0262,Integer,0.0,3.0,0.0
C0263,Integer,0.0,3.0,0.0
C0264,Integer,0.0,3.0,0.0
C0265,Integer,0.0,3.0,0.0
C0266,Integer,0.0,3.0,0.0
C0267,Integer,0.0,3.0,0.0
C0268,Integer,0.0,3.0,0.0
C0269,Integer,0.0,2.0,0.0
C0270,Integer,0.0,2.0,0.0
C0271,Integer,0.0,2.0,0.0
C0272,Integer,0.0,2.0,0.0
C0273,Integer,0.0,2.0,0.0
C0274,Integer,0.0,2.0,0.0
C0275,Integer,0.0,2.0,0.0
C0276,Integer,0.0,2.0,0.0
C0277,Integer,0.0,2.0,0.0
C0278,Integer,0.0,2.0,0.0
C0279,Integer,0.0,2.0,0.0
C0280,Integer,0.0,2.0,0.0
C0281,Integer,0.0,2.0,0.0
C0282,Integer,0.0,2.0,0.0
C0283,Integer,0.0,2.0,0.0
C0284,Integer,0.0,2.0,0.0
C0285,Integer,0.0,2.0,0.0
C0286,Integer,0.0,2.0,0.0
C0287,Integer,0.0,2.0,0.0
C0288,Integer,0.0,2.0,0.0
C0289,Integer,0.0,2.0,0.0
C0290,Integer,0.0,2.0,0.0
C0291,Integer,0.0,2.0,0.0
C0292,Integer,0.0,2.0,0.0
C0293,Integer,0.0,2.0,0.0
C0294,Integer,0.0,2.0,0.0
C0295,Integer,0.0,2.0,0.0
C0296,Integer,0.0,2.0,0.0
C0297,Integer,0.0,2.0,0.0
C0298,Integer,0.0,2.0,0.0
C0299,Integer,0.0,2.0,0.0
C0300,Integer,0.0,2.0,0.0
C0301,Integer,0.0,2.0,0.0
C0302,Integer,0.0,2.0,0.0
C0303,Integer,0.0,2.0,0.0
C0304,Integer,0.0,2.0,0.0
C0305,Integer,0.0,2.0,0.0
C0306,Integer,0.0,2.0,0.0
C0307,Integer,0.0,2.0,0.0
C0308,Integer,0.0,2.0,0.0
C0309,Integer,0.0,2.0,0.0
C0310,Integer,0.0,2.0,0.0
C0311,Integer,0.0,4.0,0.0
C0312,Integer,0.0,23.0,0.0
C0313,Integer,0.0,3.0,0.0
C0314,Integer,0.0,3.0,0.0
C0315,Integer,0.0,3.0,0.0
C0316,Integer,0.0,3.0,0.0
C0317,Integer,0.0,3.0,0.0
C0318,Integer,0.0,3.0,0.0
C0319,Integer,0.0,3.0,0.0
C0320,Integer,0.0,3.0,0.0
C0321,Integer,0.0,3.0,0.0
C0322,Integer,0.0,3.0,0.0
C0323,Integer,0.0,3.0,0.0
C0324,Integer,0.0,3.0,0.0
C0325,Integer,0.0,3.0,0.0
C0326,Integer,0.0,3.0,0.0
C0327,Integer,0.0,5.0,0.0
C0328,Integer,0.0,4.0,0.0
C0329,Integer,0.0,23.0,0.0
C0330,Integer,0.0,3.0,0.0
C0331,Integer,0.0,3.0,0.0
C0332,Integer,0.0,3.0,0.0
C0333,Integer,0.0,3.0,0.0
C0334,Integer,0.0,3.0,0.0
C0335,Integer,0.0,3.0,0.0
C0336,Integer,0.0,3.0,0.0
C0337,Integer,0.0,3.0,0.0
C0338,Integer,0.0,3.0,0.0
C0339,Integer,0.0,3.0,0.0
C0340,Integer,0.0,3.0,0.0
C0341,Integer,0.0,3.0,0.0
C0342,Integer,0.0,3.0,0.0
C0343,Integer,0.0,5.0,0.0
C0344,Integer,0.0,5.0,0.0
C0345,Integer,0.0,4.0,0.0
C0346,Integer,0.0,23.0,0.0
C0347,Integer,0.0,3.0,0.0
C0348,Integer,0.0,3.0,0.0
C0349,Integer,0.0,3.0,0.0
C0350,Integer,0.0,3.0,0.0
C0351,Integer,0.0,3.0,0.0
C0352,Integer,0.0,3.0,0.0
C0353,Integer,0.0,3.0,0.0
C0354,Integer,0.0,3.0,0.0
C0355,Integer,0.0,3.0,0.0
C0356,Integer,0.0,3.0,0.0
C0357,Integer,0.0,3.0,0.0
C0358,Integer,0.0,3.0,0.0
C0359,Integer,0.0,6.0,0.0
C0360,Integer,0.0,5.0,0.0
C0361,Integer,0.0,5.0,0.0
C0362,Integer,0.0,4.0,0.0
C0363,Integer,0.0,23.0,0.0
C0364,Integer,0.0,3.0,0.0
C0365,Integer,0.0,3.0,0.0
C0366,Integer,0.0,3.0,0.0
C0367,Integer,0.0,3.0,0.0
C0368,Integer,0.0,3.0,0.0
C0369,Integer,0.0,3.0,0.0
C0370,Integer,0.0,3.0,0.0
C0371,Integer,0.0,3.0,0.0
C0372,Integer,0.0,3.0,0.0
C0373,Integer,0.0,3.0,0.0
C0374,Integer,0.0,3.0,0.0
C0375,Integer,0.0,6.0,0.0
C0376,Integer,0.0,6.0,0.0
C0377,Integer,0.0,5.0,0.0
C0378,Integer,0.0,5.0,0.0
C0379,Integer,0.0,4.0,0.0
C0380,Integer,0.0,23.0,0.0
C0381,Integer,0.0,3.0,0.0
C0382,Integer,0.0,3.0,0.0
C0383,Integer,0.0,3.0,0.0
C0384,Integer,0.0,3.0,0.0
C0385,Integer,0.0,3.0,0.0
C0386,Integer,0.0,3.0,0.0
C0387,Integer,0.0,3.0,0.0
C0388,Integer,0.0,3.0,0.0
C0389,Integer,0.0,3.0,0.0
C0390,Integer,0.0,3.0,0.0
C0391,Integer,0.0,8.0,0.0
C0392,Integer,0.0,6.0,0.0
C0393,Integer,0.0,6.0,0.0
C0394,Integer,0.0,5.0,0.0
C0395,Integer,0.0,5.0,0.0
C0396,Integer,0.0,4.0,0.0
C0397,Integer,0.0,23.0,0.0
C0398,Integer,0.0,3.0,0.0
C0399,Integer,0.0,3.0,0.0
C0400,Integer,0.0,3.0,0.0
C0401,Integer,0.0,3.0,0.0
C0402,Integer,0.0,3.0,0.0
C0403,Integer,0.0,3.0,0.0
C0404,Integer,0.0,3.0,0.0
C0405,Integer,0.0,3.0,0.0
C0406,Integer,0.0,3.0,0.0
C0407,Integer,0.0,8.0,0.0
C0408,Integer,0.0,6.0,0.0
C0409,Integer,0.0,6.0,0.0
C0410,Integer,0.0,5.0,0.0
C0411,Integer,0.0,5.0,0.0
C0412,Integer,0.0,4.0,0.0
C0413,Integer,0.0,23.0,0.0
C0414,Integer,0.0,3.0,0.0
C0415,Integer,0.0,3.0,0.0
C0416,Integer,0.0,3.0,0.0
C0417,Integer,0.0,3.0,0.0
C0418,Integer,0.0,3.0,0.0
C0419,Integer,0.0,3.0,0.0
C0420,Integer,0.0,3.0,0.0
C0421,Integer,0.0,3.0,0.0
C0422,Integer,0.0,2.0,0.0
C0423,Integer,0.0,2.0,0.0
C0424,Integer,0.0,2.0,0.0
C0425,Integer,0.0,2.0,0.0
C0426,Integer,0.0,2.0,0.0
C0427,Integer,0.0,2.0,0.0
C0428,Integer,0.0,2.0,0.0
C0429,Integer,0.0,2.0,0.0
C0430,Integer,0.0,2.0,0.0
C0431,Integer,1.0,2.0,0.0
C0432,Integer,0.0,2.0,0.0
C0433,Integer,0.0,2.0,0.0
C0434,Integer,0.0,2.0,0.0
C0435,Integer,0.0,2.0,0.0
C0436,Integer,0.0,2.0,0.0
C0437,Integer,0.0,2.0,0.0
C0438,Integer,0.0,2.0,0.0
C0439,Integer,0.0,2.0,0.0
C0440,Integer,1.0,2.0,0.0
C0441,Integer,0.0,2.0,0.0
C0442,Integer,0.0,2.0,0.0
C0443,Integer,0.0,2.0,0.0
C0444,Integer,0.0,2.0,0.0
C0445,Integer,0.0,2.0,0.0
C0446,Integer,0.0,2.0,0.0
C0447,Integer,0.0,2.0,0.0
C0448,Integer,2.0,3.0,0.0
C0449,Integer,0.0,2.0,0.0
C0450,Integer,0.0,2.0,0.0
C0451,Integer,0.0,2.0,0.0
C0452,Integer,0.0,2.0,0.0
C0453,Integer,0.0,2.0,0.0
C0454,Integer,0.0,2.0,0.0
C0455,Integer,2.0,3.0,0.0
C0456,Integer,0.0,2.0,0.0
C0457,Integer,0.0,2.0,0.0
C0458,Integer,0.0,2.0,0.0
C0459,Integer,0.0,2.0,0.0
C0460,Integer,0.0,2.0,0.0
C0461,Integer,4.0,5.0,0.0
C0462,Integer,0.0,2.0,0.0
C0463,Integer,0.0,2.0,0.0
C0464,Integer,0.0,2.0,0.0
C0465,Integer,0.0,2.0,0.0
C0466,Integer,0.0,2.0,0.0
C0467,Integer,0.0,2.0,0.0
C0468,Integer,0.0,2.0,0.0
C0469,Integer,0.0,23.0,0.0
C0470,Integer,0.0,3.0,0.0
C0471,Integer,0.0,3.0,0.0
C0472,Integer,0.0,3.0,0.0
C0473,Integer,0.0,3.0,0.0
C0474,Integer,0.0,3.0,0.0
C0475,Integer,0.0,3.0,0.0
C0476,Integer,0.0,3.0,0.0
C0477,Integer,0.0,3.0,0.0
C0478,Integer,0.0,3.0,0.0
C0479,Integer,0.0,3.0,0.0
C0480,Integer,0.0,3.0,0.0
C0481,Integer,0.0,3.0,0.0
C0482,Integer,0.0,3.0,0.0
C0483,Integer,0.0,3.0,0.0
C0484,Integer,0.0,2.0,0.0
C0485,Integer,0.0,2.0,0.0
C0486,Integer,0.0,2.0,0.0
C0487,Integer,0.0,2.0,0.0
C0488,Integer,0.0,2.0,0.0
C0489,Integer,0.0,2.0,0.0
C0490,Integer,0.0,2.0,0.0
C0491,Integer,0.0,2.0,0.0
C0492,Integer,0.0,2.0,0.0
C0493,Integer,0.0,1.0,0.003
C0494,Integer,0.0,1.0,0.00315
C0495,Integer,0.0,1.0,0.0033075
C0496,Integer,0.0,1.0,0.0034729
C0497,Integer,0.0,1.0,0.0036466
C0498,Integer,0.0,1.0,0.003829
C0499,Integer,0.0,1.0,0.0040205
C0500,Integer,0.0,1.0,0.0042216
C0501,Integer,0.0,1.0,0.0044327
C0502,Integer,0.0,1.0,0.0046544
C0503,Integer,0.0,1.0,0.0048872
C0504,Integer,0.0,1.0,0.0051316
C0505,Integer,0.0,1.0,0.0053882
C0506,Integer,0.0,1.0,0.0056577
C0507,Integer,0.0,1.0,0.0059406
C0508,Integer,0.0,1.0,0.0062377
C0509,Integer,0.0,3000.0,0.0005
C0510,Integer,0.0,3150.0,0.000525
C0511,Integer,0.0,3308.0,0.0005513
C0512,Integer,0.0,3473.0,0.0005789
C0513,Integer,0.0,3647.0,0.0006079
C0514,Integer,0.0,3830.0,0.0006383
C0515,Integer,0.0,4021.0,0.0006703
C0516,Integer,0.0,4223.0,0.0007039
C0517,Integer,0.0,4434.0,0.0007391
C0518,Integer,0.0,4656.0,0.0007761
C0519,Integer,0.0,4889.0,0.000815
C0520,Integer,0.0,5134.0,0.0008558
C0521,Integer,0.0,5391.0,0.0008986
C0522,Integer,0.0,5661.0,0.0009436
C0523,Integer,0.0,5944.0,0.0009908
C0524,Integer,0.0,1.0,0.0010404
