Constraint_ID,Limit_Value,Channel_IDs
R0032,4.0,"['C0008', 'C0014', 'C0026', 'C0044', 'C0074', 'C0080', 'C0086', 'C0104']"
R0033,4.0,"['C0009', 'C0015', 'C0027', 'C0045', 'C0075', 'C0081', 'C0087', 'C0105']"
R0034,4.0,"['C0010', 'C0016', 'C0028', 'C0046', 'C0076', 'C0082', 'C0088', 'C0106']"
R0035,4.0,"['C0011', 'C0017', 'C0029', 'C0047', 'C0077', 'C0083', 'C0089', 'C0107']"
R0036,4.0,"['C0012', 'C0018', 'C0030', 'C0048', 'C0078', 'C0084', 'C0090', 'C0108']"
R0037,4.0,"['C0007', 'C0013', 'C0031', 'C0037', 'C0073', 'C0079', 'C0085', 'C0103']"
R0038,4.0,"['C0008', 'C0014', 'C0032', 'C0038', 'C0074', 'C0080', 'C0086', 'C0104']"
R0039,4.0,"['C0009', 'C0015', 'C0033', 'C0039', 'C0075', 'C0081', 'C0087', 'C0105']"
R0040,4.0,"['C0010', 'C0016', 'C0034', 'C0040', 'C0076', 'C0082', 'C0088', 'C0106']"
R0041,4.0,"['C0011', 'C0017', 'C0035', 'C0041', 'C0077', 'C0083', 'C0089', 'C0107']"
R0042,4.0,"['C0012', 'C0018', 'C0036', 'C0042', 'C0078', 'C0084', 'C0090', 'C0108']"
R0043,4.0,"['C0007', 'C0013', 'C0031', 'C0037', 'C0079', 'C0085', 'C0091', 'C0103']"
R0044,4.0,"['C0008', 'C0014', 'C0032', 'C0038', 'C0080', 'C0086', 'C0092', 'C0104']"
R0045,4.0,"['C0009', 'C0015', 'C0033', 'C0039', 'C0081', 'C0087', 'C0093', 'C0105']"
R0046,4.0,"['C0010', 'C0016', 'C0034', 'C0040', 'C0082', 'C0088', 'C0094', 'C0106']"
R0047,4.0,"['C0011', 'C0017', 'C0035', 'C0041', 'C0083', 'C0089', 'C0095', 'C0107']"
R0048,4.0,"['C0012', 'C0018', 'C0036', 'C0042', 'C0084', 'C0090', 'C0096', 'C0108']"
R0049,4.0,"['C0007', 'C0013', 'C0031', 'C0037', 'C0079', 'C0085', 'C0097', 'C0103']"
R0050,4.0,"['C0008', 'C0014', 'C0032', 'C0038', 'C0080', 'C0086', 'C0098', 'C0104']"
R0051,4.0,"['C0009', 'C0015', 'C0033', 'C0039', 'C0081', 'C0087', 'C0099', 'C0105']"
R0052,4.0,"['C0010', 'C0016', 'C0034', 'C0040', 'C0082', 'C0088', 'C0100', 'C0106']"
R0053,4.0,"['C0011', 'C0017', 'C0035', 'C0041', 'C0083', 'C0089', 'C0101', 'C0107']"
R0054,4.0,"['C0012', 'C0018', 'C0036', 'C0042', 'C0084', 'C0090', 'C0102', 'C0108']"
R0055,4.0,"['C0007', 'C0013', 'C0031', 'C0043', 'C0073', 'C0079', 'C0085', 'C0103']"
R0056,4.0,"['C0008', 'C0014', 'C0032', 'C0044', 'C0074', 'C0080', 'C0086', 'C0104']"
R0057,4.0,"['C0009', 'C0015', 'C0033', 'C0045', 'C0075', 'C0081', 'C0087', 'C0105']"
R0058,4.0,"['C0010', 'C0016', 'C0034', 'C0046', 'C0076', 'C0082', 'C0088', 'C0106']"
R0059,4.0,"['C0011', 'C0017', 'C0035', 'C0047', 'C0077', 'C0083', 'C0089', 'C0107']"
R0060,4.0,"['C0012', 'C0018', 'C0036', 'C0048', 'C0078', 'C0084', 'C0090', 'C0108']"
R0061,4.0,"['C0007', 'C0013', 'C0031', 'C0043', 'C0079', 'C0085', 'C0091', 'C0103']"
R0062,4.0,"['C0008', 'C0014', 'C0032', 'C0044', 'C0080', 'C0086', 'C0092', 'C0104']"
R0063,4.0,"['C0009', 'C0015', 'C0033', 'C0045', 'C0081', 'C0087', 'C0093', 'C0105']"
R0064,4.0,"['C0010', 'C0016', 'C0034', 'C0046', 'C0082', 'C0088', 'C0094', 'C0106']"
R0065,4.0,"['C0011', 'C0017', 'C0035', 'C0047', 'C0083', 'C0089', 'C0095', 'C0107']"
R0066,4.0,"['C0012', 'C0018', 'C0036', 'C0048', 'C0084', 'C0090', 'C0096', 'C0108']"
R0067,4.0,"['C0007', 'C0013', 'C0031', 'C0043', 'C0079', 'C0085', 'C0097', 'C0103']"
R0068,4.0,"['C0008', 'C0014', 'C0032', 'C0044', 'C0080', 'C0086', 'C0098', 'C0104']"
R0069,4.0,"['C0009', 'C0015', 'C0033', 'C0045', 'C0081', 'C0087', 'C0099', 'C0105']"
R0070,4.0,"['C0010', 'C0016', 'C0034', 'C0046', 'C0082', 'C0088', 'C0100', 'C0106']"
R0071,4.0,"['C0011', 'C0017', 'C0035', 'C0047', 'C0083', 'C0089', 'C0101', 'C0107']"
R0072,4.0,"['C0012', 'C0018', 'C0036', 'C0048', 'C0084', 'C0090', 'C0102', 'C0108']"
R0073,4.0,"['C0007', 'C0019', 'C0025', 'C0037', 'C0073', 'C0079', 'C0085', 'C0103']"
R0074,4.0,"['C0008', 'C0020', 'C0026', 'C0038', 'C0074', 'C0080', 'C0086', 'C0104']"
R0075,4.0,"['C0009', 'C0021', 'C0027', 'C0039', 'C0075', 'C0081', 'C0087', 'C0105']"
R0076,4.0,"['C0010', 'C0022', 'C0028', 'C0040', 'C0076', 'C0082', 'C0088', 'C0106']"
R0077,4.0,"['C0011', 'C0023', 'C0029', 'C0041', 'C0077', 'C0083', 'C0089', 'C0107']"
R0078,4.0,"['C0012', 'C0024', 'C0030', 'C0042', 'C0078', 'C0084', 'C0090', 'C0108']"
R0079,4.0,"['C0007', 'C0019', 'C0025', 'C0043', 'C0073', 'C0079', 'C0085', 'C0103']"
R0080,4.0,"['C0008', 'C0020', 'C0026', 'C0044', 'C0074', 'C0080', 'C0086', 'C0104']"
R0081,4.0,"['C0009', 'C0021', 'C0027', 'C0045', 'C0075', 'C0081', 'C0087', 'C0105']"
R0082,4.0,"['C0010', 'C0022', 'C0028', 'C0046', 'C0076', 'C0082', 'C0088', 'C0106']"
R0083,4.0,"['C0011', 'C0023', 'C0029', 'C0047', 'C0077', 'C0083', 'C0089', 'C0107']"
R0084,4.0,"['C0012', 'C0024', 'C0030', 'C0048', 'C0078', 'C0084', 'C0090', 'C0108']"
R0085,4.0,"['C0007', 'C0019', 'C0031', 'C0037', 'C0073', 'C0079', 'C0085', 'C0103']"
R0086,4.0,"['C0008', 'C0020', 'C0032', 'C0038', 'C0074', 'C0080', 'C0086', 'C0104']"
R0087,4.0,"['C0009', 'C0021', 'C0033', 'C0039', 'C0075', 'C0081', 'C0087', 'C0105']"
R0088,4.0,"['C0010', 'C0022', 'C0034', 'C0040', 'C0076', 'C0082', 'C0088', 'C0106']"
R0089,4.0,"['C0011', 'C0023', 'C0035', 'C0041', 'C0077', 'C0083', 'C0089', 'C0107']"
R0090,4.0,"['C0012', 'C0024', 'C0036', 'C0042', 'C0078', 'C0084', 'C0090', 'C0108']"
R0091,4.0,"['C0007', 'C0019', 'C0031', 'C0037', 'C0079', 'C0085', 'C0091', 'C0103']"
R0092,4.0,"['C0008', 'C0020', 'C0032', 'C0038', 'C0080', 'C0086', 'C0092', 'C0104']"
R0093,4.0,"['C0009', 'C0021', 'C0033', 'C0039', 'C0081', 'C0087', 'C0093', 'C0105']"
R0094,4.0,"['C0010', 'C0022', 'C0034', 'C0040', 'C0082', 'C0088', 'C0094', 'C0106']"
R0095,4.0,"['C0011', 'C0023', 'C0035', 'C0041', 'C0083', 'C0089', 'C0095', 'C0107']"
R0096,4.0,"['C0012', 'C0024', 'C0036', 'C0042', 'C0084', 'C0090', 'C0096', 'C0108']"
R0097,4.0,"['C0007', 'C0019', 'C0031', 'C0037', 'C0079', 'C0085', 'C0097', 'C0103']"
R0098,4.0,"['C0008', 'C0020', 'C0032', 'C0038', 'C0080', 'C0086', 'C0098', 'C0104']"
R0099,4.0,"['C0009', 'C0021', 'C0033', 'C0039', 'C0081', 'C0087', 'C0099', 'C0105']"
R0100,4.0,"['C0010', 'C0022', 'C0034', 'C0040', 'C0082', 'C0088', 'C0100', 'C0106']"
R0101,4.0,"['C0011', 'C0023', 'C0035', 'C0041', 'C0083', 'C0089', 'C0101', 'C0107']"
R0102,4.0,"['C0012', 'C0024', 'C0036', 'C0042', 'C0084', 'C0090', 'C0102', 'C0108']"
R0103,4.0,"['C0007', 'C0019', 'C0031', 'C0043', 'C0073', 'C0079', 'C0085', 'C0103']"
R0104,4.0,"['C0008', 'C0020', 'C0032', 'C0044', 'C0074', 'C0080', 'C0086', 'C0104']"
R0105,4.0,"['C0009', 'C0021', 'C0033', 'C0045', 'C0075', 'C0081', 'C0087', 'C0105']"
R0106,4.0,"['C0010', 'C0022', 'C0034', 'C0046', 'C0076', 'C0082', 'C0088', 'C0106']"
R0107,4.0,"['C0011', 'C0023', 'C0035', 'C0047', 'C0077', 'C0083', 'C0089', 'C0107']"
R0108,4.0,"['C0012', 'C0024', 'C0036', 'C0048', 'C0078', 'C0084', 'C0090', 'C0108']"
R0109,4.0,"['C0073', 'C0085', 'C0115']"
R0110,4.0,"['C0074', 'C0086', 'C0116']"
R0111,4.0,"['C0075', 'C0087', 'C0117']"
R0112,4.0,"['C0076', 'C0088', 'C0118']"
R0113,4.0,"['C0077', 'C0089', 'C0119']"
R0114,4.0,"['C0078', 'C0090', 'C0120']"
R0115,4.0,"['C0007', 'C0019', 'C0031', 'C0043', 'C0079', 'C0085', 'C0091', 'C0103']"
R0116,4.0,"['C0008', 'C0020', 'C0032', 'C0044', 'C0080', 'C0086', 'C0092', 'C0104']"
R0117,4.0,"['C0009', 'C0021', 'C0033', 'C0045', 'C0081', 'C0087', 'C0093', 'C0105']"
R0118,4.0,"['C0010', 'C0022', 'C0034', 'C0046', 'C0082', 'C0088', 'C0094', 'C0106']"
R0119,4.0,"['C0011', 'C0023', 'C0035', 'C0047', 'C0083', 'C0089', 'C0095', 'C0107']"
R0120,4.0,"['C0012', 'C0024', 'C0036', 'C0048', 'C0084', 'C0090', 'C0096', 'C0108']"
R0121,4.0,"['C0007', 'C0043', 'C0079', 'C0085', 'C0091', 'C0109']"
R0122,4.0,"['C0008', 'C0044', 'C0080', 'C0086', 'C0092', 'C0110']"
R0123,4.0,"['C0009', 'C0045', 'C0081', 'C0087', 'C0093', 'C0111']"
R0124,4.0,"['C0010', 'C0046', 'C0082', 'C0088', 'C0094', 'C0112']"
R0125,4.0,"['C0011', 'C0047', 'C0083', 'C0089', 'C0095', 'C0113']"
R0126,4.0,"['C0012', 'C0048', 'C0084', 'C0090', 'C0096', 'C0114']"
R0127,4.0,"['C0085', 'C0091', 'C0109', 'C0115']"
R0128,4.0,"['C0086', 'C0092', 'C0110', 'C0116']"
R0129,4.0,"['C0087', 'C0093', 'C0111', 'C0117']"
R0130,4.0,"['C0088', 'C0094', 'C0112', 'C0118']"
R0131,4.0,"['C0089', 'C0095', 'C0113', 'C0119']"
R0132,4.0,"['C0090', 'C0096', 'C0114', 'C0120']"
R0133,4.0,"['C0007', 'C0019', 'C0031', 'C0043', 'C0079', 'C0085', 'C0097', 'C0103']"
R0134,4.0,"['C0008', 'C0020', 'C0032', 'C0044', 'C0080', 'C0086', 'C0098', 'C0104']"
R0135,4.0,"['C0009', 'C0021', 'C0033', 'C0045', 'C0081', 'C0087', 'C0099', 'C0105']"
R0136,4.0,"['C0010', 'C0022', 'C0034', 'C0046', 'C0082', 'C0088', 'C0100', 'C0106']"
R0137,4.0,"['C0011', 'C0023', 'C0035', 'C0047', 'C0083', 'C0089', 'C0101', 'C0107']"
R0138,4.0,"['C0012', 'C0024', 'C0036', 'C0048', 'C0084', 'C0090', 'C0102', 'C0108']"
R0139,4.0,"['C0007', 'C0043', 'C0079', 'C0085', 'C0097', 'C0109']"
R0140,4.0,"['C0008', 'C0044', 'C0080', 'C0086', 'C0098', 'C0110']"
R0141,4.0,"['C0009', 'C0045', 'C0081', 'C0087', 'C0099', 'C0111']"
R0142,4.0,"['C0010', 'C0046', 'C0082', 'C0088', 'C0100', 'C0112']"
R0143,4.0,"['C0011', 'C0047', 'C0083', 'C0089', 'C0101', 'C0113']"
R0144,4.0,"['C0012', 'C0048', 'C0084', 'C0090', 'C0102', 'C0114']"
R0145,4.0,"['C0085', 'C0097', 'C0109', 'C0115']"
R0146,4.0,"['C0086', 'C0098', 'C0110', 'C0116']"
R0147,4.0,"['C0087', 'C0099', 'C0111', 'C0117']"
R0148,4.0,"['C0088', 'C0100', 'C0112', 'C0118']"
R0149,4.0,"['C0089', 'C0101', 'C0113', 'C0119']"
R0150,4.0,"['C0090', 'C0102', 'C0114', 'C0120']"
R0151,4.0,"['C0121', 'C0145', 'C0151']"
R0152,4.0,"['C0122', 'C0146', 'C0152']"
R0153,4.0,"['C0123', 'C0147', 'C0153']"
R0154,4.0,"['C0124', 'C0148', 'C0154']"
R0155,4.0,"['C0125', 'C0149', 'C0155']"
R0156,4.0,"['C0126', 'C0150', 'C0156']"
R0157,4.0,"['C0127', 'C0145', 'C0151']"
R0158,4.0,"['C0128', 'C0146', 'C0152']"
R0159,4.0,"['C0129', 'C0147', 'C0153']"
R0160,4.0,"['C0130', 'C0148', 'C0154']"
R0161,4.0,"['C0131', 'C0149', 'C0155']"
R0162,4.0,"['C0132', 'C0150', 'C0156']"
R0163,4.0,"['C0133', 'C0139']"
R0164,4.0,"['C0134', 'C0140']"
R0165,4.0,"['C0135', 'C0141']"
R0166,4.0,"['C0136', 'C0142']"
R0167,4.0,"['C0137', 'C0143']"
R0168,4.0,"['C0138', 'C0144']"
R0169,4.0,"['C0049', 'C0055', 'C0061', 'C0067']"
R0170,4.0,"['C0050', 'C0056', 'C0062', 'C0068']"
R0171,4.0,"['C0051', 'C0057', 'C0063', 'C0069']"
R0172,4.0,"['C0052', 'C0058', 'C0064', 'C0070']"
R0173,4.0,"['C0053', 'C0059', 'C0065', 'C0071']"
R0174,4.0,"['C0054', 'C0060', 'C0066', 'C0072']"
R0175,3.0,"['C0001', 'C0002', 'C0003', 'C0004', 'C0005', 'C0006']"
R0176,3.0,"['C0007', 'C0008', 'C0009', 'C0010', 'C0011', 'C0012']"
R0177,3.0,"['C0013', 'C0014', 'C0015', 'C0016', 'C0017', 'C0018']"
R0178,3.0,"['C0019', 'C0020', 'C0021', 'C0022', 'C0023', 'C0024']"
R0179,3.0,"['C0025', 'C0026', 'C0027', 'C0028', 'C0029', 'C0030']"
R0180,3.0,"['C0031', 'C0032', 'C0033', 'C0034', 'C0035', 'C0036']"
R0181,3.0,"['C0037', 'C0038', 'C0039', 'C0040', 'C0041', 'C0042']"
R0182,3.0,"['C0043', 'C0044', 'C0045', 'C0046', 'C0047', 'C0048']"
R0183,3.0,"['C0049', 'C0050', 'C0051', 'C0052', 'C0053', 'C0054']"
R0184,3.0,"['C0055', 'C0056', 'C0057', 'C0058', 'C0059', 'C0060']"
R0185,3.0,"['C0061', 'C0062', 'C0063', 'C0064', 'C0065', 'C0066']"
R0186,3.0,"['C0067', 'C0068', 'C0069', 'C0070', 'C0071', 'C0072']"
R0187,3.0,"['C0073', 'C0074', 'C0075', 'C0076', 'C0077', 'C0078']"
R0188,3.0,"['C0079', 'C0080', 'C0081', 'C0082', 'C0083', 'C0084']"
R0189,3.0,"['C0085', 'C0086', 'C0087', 'C0088', 'C0089', 'C0090']"
R0190,3.0,"['C0091', 'C0092', 'C0093', 'C0094', 'C0095', 'C0096']"
R0191,3.0,"['C0097', 'C0098', 'C0099', 'C0100', 'C0101', 'C0102']"
R0192,3.0,"['C0103', 'C0104', 'C0105', 'C0106', 'C0107', 'C0108']"
R0193,3.0,"['C0109', 'C0110', 'C0111', 'C0112', 'C0113', 'C0114']"
R0194,3.0,"['C0115', 'C0116', 'C0117', 'C0118', 'C0119', 'C0120']"
R0195,3.0,"['C0121', 'C0122', 'C0123', 'C0124', 'C0125', 'C0126']"
R0196,3.0,"['C0127', 'C0128', 'C0129', 'C0130', 'C0131', 'C0132']"
R0197,3.0,"['C0133', 'C0134', 'C0135', 'C0136', 'C0137', 'C0138']"
R0198,3.0,"['C0139', 'C0140', 'C0141', 'C0142', 'C0143', 'C0144']"
R0199,3.0,"['C0145', 'C0146', 'C0147', 'C0148', 'C0149', 'C0150']"
R0200,3.0,"['C0151', 'C0152', 'C0153', 'C0154', 'C0155', 'C0156']"
