Master_Channel_ID,Slave_Channel_IDs
C0039,"['C0003', 'C0015', 'C0027', 'C0033', 'C0075', 'C0087', 'C0093', 'C0099']"
C0040,"['C0004', 'C0016', 'C0028', 'C0034', 'C0076', 'C0088', 'C0094', 'C0100']"
C0041,"['C0005', 'C0017', 'C0029', 'C0035', 'C0077', 'C0089', 'C0095', 'C0101']"
C0042,"['C0006', 'C0018', 'C0030', 'C0036', 'C0078', 'C0090', 'C0096', 'C0102']"
C0043,"['C0001', 'C0013', 'C0019', 'C0025', 'C0031', 'C0073', 'C0079', 'C0091', 'C0097', 'C0103', 'C0109']"
C0044,"['C0002', 'C0014', 'C0020', 'C0026', 'C0032', 'C0074', 'C0080', 'C0092', 'C0098', 'C0104', 'C0110']"
C0045,"['C0003', 'C0015', 'C0021', 'C0027', 'C0033', 'C0075', 'C0081', 'C0093', 'C0099', 'C0105', 'C0111']"
C0046,"['C0004', 'C0016', 'C0022', 'C0028', 'C0034', 'C0076', 'C0082', 'C0094', 'C0100', 'C0106', 'C0112']"
C0047,"['C0005', 'C0017', 'C0023', 'C0029', 'C0035', 'C0077', 'C0083', 'C0095', 'C0101', 'C0107', 'C0113']"
C0048,"['C0006', 'C0018', 'C0024', 'C0030', 'C0036', 'C0078', 'C0084', 'C0096', 'C0102', 'C0108', 'C0114']"
C0049,['C0055']
C0050,['C0056']
C0051,['C0057']
C0052,['C0058']
C0053,['C0059']
C0054,['C0060']
C0055,['C0061']
C0056,['C0062']
C0057,['C0063']
C0058,['C0064']
C0059,['C0065']
C0060,['C0066']
C0061,"['C0049', 'C0067']"
C0062,"['C0050', 'C0068']"
C0063,"['C0051', 'C0069']"
C0064,"['C0052', 'C0070']"
C0065,"['C0053', 'C0071']"
C0066,"['C0054', 'C0072']"
C0067,['C0055']
C0068,['C0056']
C0069,['C0057']
C0070,['C0058']
C0071,['C0059']
C0072,['C0060']
C0073,"['C0001', 'C0007', 'C0013', 'C0019', 'C0025', 'C0079', 'C0085']"
C0074,"['C0002', 'C0008', 'C0014', 'C0020', 'C0026', 'C0080', 'C0086']"
C0075,"['C0003', 'C0009', 'C0015', 'C0021', 'C0027', 'C0081', 'C0087']"
C0076,"['C0004', 'C0010', 'C0016', 'C0022', 'C0028', 'C0082', 'C0088']"
C0077,"['C0005', 'C0011', 'C0017', 'C0023', 'C0029', 'C0083', 'C0089']"
C0078,"['C0006', 'C0012', 'C0018', 'C0024', 'C0030', 'C0084', 'C0090']"
C0079,"['C0025', 'C0031', 'C0103', 'C0109']"
C0080,"['C0026', 'C0032', 'C0104', 'C0110']"
C0081,"['C0027', 'C0033', 'C0105', 'C0111']"
C0082,"['C0028', 'C0034', 'C0106', 'C0112']"
C0083,"['C0029', 'C0035', 'C0107', 'C0113']"
C0084,"['C0030', 'C0036', 'C0108', 'C0114']"
C0085,"['C0025', 'C0031', 'C0103', 'C0109']"
C0086,"['C0026', 'C0032', 'C0104', 'C0110']"
C0087,"['C0027', 'C0033', 'C0105', 'C0111']"
C0088,"['C0028', 'C0034', 'C0106', 'C0112']"
C0089,"['C0029', 'C0035', 'C0107', 'C0113']"
C0090,"['C0030', 'C0036', 'C0108', 'C0114']"
C0091,"['C0109', 'C0115']"
C0092,"['C0110', 'C0116']"
C0093,"['C0111', 'C0117']"
C0094,"['C0112', 'C0118']"
C0095,"['C0113', 'C0119']"
C0096,"['C0114', 'C0120']"
C0097,['C0085']
C0098,['C0086']
C0099,['C0087']
C0100,['C0088']
C0101,['C0089']
C0102,['C0090']
C0103,"['C0001', 'C0013', 'C0025', 'C0031', 'C0043', 'C0073', 'C0085', 'C0091', 'C0097']"
C0104,"['C0002', 'C0014', 'C0026', 'C0032', 'C0044', 'C0074', 'C0086', 'C0092', 'C0098']"
C0105,"['C0003', 'C0015', 'C0027', 'C0033', 'C0045', 'C0075', 'C0087', 'C0093', 'C0099']"
C0106,"['C0004', 'C0016', 'C0028', 'C0034', 'C0046', 'C0076', 'C0088', 'C0094', 'C0100']"
C0107,"['C0005', 'C0017', 'C0029', 'C0035', 'C0047', 'C0077', 'C0089', 'C0095', 'C0101']"
C0108,"['C0006', 'C0018', 'C0030', 'C0036', 'C0048', 'C0078', 'C0090', 'C0096', 'C0102']"
C0109,['C0115']
C0110,['C0116']
C0111,['C0117']
C0112,['C0118']
C0113,['C0119']
C0114,['C0120']
C0115,"['C0073', 'C0085', 'C0091']"
C0116,"['C0074', 'C0086', 'C0092']"
C0117,"['C0075', 'C0087', 'C0093']"
C0118,"['C0076', 'C0088', 'C0094']"
C0119,"['C0077', 'C0089', 'C0095']"
C0120,"['C0078', 'C0090', 'C0096']"
C0121,['C0151']
C0122,['C0152']
C0123,['C0153']
C0124,['C0154']
C0125,['C0155']
C0126,['C0156']
C0127,['C0145']
C0128,['C0146']
C0129,['C0147']
C0130,['C0148']
C0131,['C0149']
C0132,['C0150']
C0133,['C0139']
C0134,['C0140']
C0135,['C0141']
C0136,['C0142']
C0137,['C0143']
C0138,['C0144']
C0145,['C0121']
C0146,['C0122']
C0147,['C0123']
C0148,['C0124']
C0149,['C0125']
C0150,['C0126']
C0151,['C0121']
C0152,['C0122']
C0153,['C0123']
C0154,['C0124']
C0155,['C0125']
C0156,['C0126']
