unit_id,tag_a,tag_b,base_term,adj_term,status_code,reported_score
U00,LUR,NZ3E4BR,B7B2XGXJZPMU4,AOO4VPHQ2QLRI,REVIEW,39066.0
U00,PEA,KULHDBE,B2Q3KBTOBGZ7W,A6J2D734HMJ6X,OK,39061.0
U00,6GY,LC5A43P,BBLO2SHITT2X4,A34Y3J7OKBXO7,REVIEW,33.0
U00,2ZO,ICJMSHL,B6FHWSHOO2CFX,ARAADXAZZDN5N,REVIEW,39065.0
U00,ZH5,35HPRNC,BSJROS7UCKEDF,AP3EMAM2CH6HG,OK,39064.0
U00,BD4,QVXWI6H,BCPKIBKLHLVDG,AGTM633L7ZOGP,OK,39063.0
U00,GBV,MZJ27D3,BP3RCMIRKPBMI,A5IYDFRMOL26L,OK,39060.0
U00,2C2,JUKSLWY,BG4OOZYII6NXC,AJHQYIA6QRAXF,OK,39065.0
U00,4V2,2FBT4FF,BJGEIQ3KUGVBJ,AUCRGZXUNY3DV,REVIEW,285.0
U00,4F7,DH65T3K,BNXKX77HUTJJ6,APP2NKLXIKNNA,OK,282.0
U00,XTY,RFYH3R2,BUWP3UNQ2Z3YC,A5BVSTYANEYSM,OK,39063.0
U00,VJI,32NMZR5,BDS6XFLXKLOEA,AMDZ6IN5S2MG4,OK,39064.0
U00,2U3,2ALRX4R,BKUPVOK6R6KKJ,AN6XAMZPJBXNO,REVIEW,39066.0
U00,JYQ,KTUJ4OL,BVEUC2NID6ZFJ,ATFKIZ36SOG67,OK,39065.0
U00,BFJ,NPSLIK6,BZIPBJOEZY7PR,AOE7MFEDAIJS2,OK,33.0
U00,TCU,OWXSYYM,BHYATT5MDSD5W,A7ECL2FRXMXQ5,REVIEW,34.0
U00,SSI,2DXZNMA,BVUVOIBRKHVPH,AOEELSH5HSSDU,REVIEW,36.0
U00,VIP,7ZWEU3K,BNGDKW7BZHRRJ,AD6DIDPQBZP5S,OK,35.0
U00,E4S,73DB7ED,BYU2EO7DQ5PU7,A5EWH7SAVXFMX,REVIEW,34.0
U00,ESL,XS2II6U,BBG2MYF6JV7EC,AK3L3SLUCD3GV,OK,32.0
U00,DJX,JUVDIOR,BGFZVEE7C3E53,AJGHH5FVNSC3H,OK,32.0
U00,TZX,RH2IZ3L,BHLGSCUE434KN,AEMTG52E7BSMU,OK,37.0
U00,M6S,4KSK7NR,BCVN6W2OLVU62,AVVTBGZEZMCGV,REVIEW,34.0
U00,MAW,O3CSBEW,BPJETUIMQDDWJ,AVHRC4RCBAEIV,REVIEW,34.0
U00,GAN,6LMRWNS,BXKBY7O7IVZKO,AYKIX6GULEOMB,REVIEW,29.0
U00,OKH,W7GJMN7,B4YJQTGY6QHMR,ANF2AO6N72X2W,OK,35.0
U00,HU2,N3OA2T3,BQOGMARSGLQSP,A4MRJT2PPJDQI,REVIEW,44.0
U00,BN4,ZLPPK3U,BTQO2TP2UTA6T,AWQVDEOYTCANL,REVIEW,38.0
U00,EL3,MNBFYIZ,BOVGDKFD3XGHF,AYNRRYLFWDV75,REVIEW,34.0
U00,B3U,EXO3TDE,BHSLSH5WYM4OQ,AJLENYMEELEDM,REVIEW,28.0
U00,4HR,BO5MSRF,B3EUZC5QIWD52,AJYD4E25ONKWG,OK,31.0
U01,FFD,DI4IIPA,BRXBDWK57QQ3S,AQTLLFYNZUUNP,REVIEW,35.0
U01,HZ3,UOMOTHW,BQF7TTIBQLL6A,ARAWPELDPEV3Z,REVIEW,35.0
U01,7GW,65IEI4D,BIN56MMUHGQFV,A5TE36JAHQQK2,OK,45.0
U01,UKF,R4PX75K,BKC7VEAGEPCFK,AZJVJ7IOVPYDM,REVIEW,42.0
U01,FTT,QUX7TZ6,BNDKIINCDPXAE,AVNYQC5CRLTNU,REVIEW,227.0
U01,VYQ,GHBUUA2,BNYKILVILOEQJ,A4N7MBO3HLSRR,OK,45.0
U01,ZRD,RYGWDT2,BVKVWLHSEHHK7,ADRTSXFJDBJK6,OK,93.0
U01,GSL,7PXXT2Y,B254D735TI73A,ANUFCXXTLTTY2,OK,33.0
U01,WPY,DIRPOHP,BT7THJZJIBBVH,ALDKYRGLSO6NK,REVIEW,33.0
U01,3V2,LZ5JCSC,BHMUNRYLPBFG7,AL5ZLX3AVSURB,OK,55.0
U01,2IG,GN725D3,BJVA66GGY35UV,AJT2D7T3YEWB3,REVIEW,265.0
U01,ODA,6DGH3N6,BW3EPCWXDPWW5,AXSFOEJ5M7NEN,REVIEW,34.0
U01,AOT,GEIHMFG,BVLZ7NKBJTRTF,ACKP46UK52XFH,OK,34.0
U01,Z5N,4ZOF3TE,BLWGDCVMMDS3W,AH4I5PRGG7KTV,REVIEW,36.0
U01,L2O,E4ZA2US,BFV6GBLIS23JC,AZRJQIQ7JLRJI,OK,38.0
U01,B2W,JR3XXTR,BBJGGQRA5F2IT,AVXEKF7UFX23K,REVIEW,42.0
U01,6MF,LKMNYUJ,BXMZPOGIKZWFD,AXPS4XBFID25I,OK,39062.0
U01,3JT,XB6LYLA,BVP3552OMEZT7,ANRYMYBGMFLCR,OK,39062.0
U01,TS6,B77UZDO,BL3TAK7HKDLVQ,AKOSFHT6V4SCR,OK,32.0
U01,OZH,J2DZEDF,BUURKANAZ6HZD,AKOEFP6GTQGGS,REVIEW,39.0
U01,347,JSRLD2H,BU2VZIT6APCUX,A25BGPQQJVNA2,REVIEW,32.0
U01,LZI,B57UWLW,BRTHNKH4COOUE,AUQCGICRGNBIF,REVIEW,30.0
U01,STG,ZZ3OZUJ,B3QQ47V7NFKBI,ADXFP63FLZMAU,REVIEW,34.0
U01,TXT,7SAAWWP,BKQTYXJE75362,ARULH6373BIEM,REVIEW,31.0
U01,YFI,4TXRJIC,BBMQ4ZNPDH6VQ,AJD6LK2E2MFBG,OK,63.0
U01,5ZA,KWRGUXX,BXRQSQQRQ43VW,AGBICOJ5ZWDRD,REVIEW,80.0
U01,PEC,7NLNDC7,B3KESYYPE6IMK,AYPPEQQX3A7KE,OK,279.0
U01,RMG,6E7JTZD,BLWB3AEPFT5ER,AQJQVEZVTH4RE,OK,39063.0
U01,FW4,GOMW4VE,BIPHIY47AIP3T,AZU7DICBSZMNN,OK,60.0
U01,65L,3EU4V7B,B4G4X6V3I2XT4,AWUKVTQLKUBJ5,REVIEW,43.0
U01,HW3,IURDAKX,BIA5S35MJ2B64,ANXNYW54ODKGV,REVIEW,41.0
U01,6BR,S2YH7PY,B5BPN7VMMZ2JS,A3NLOMKGAY24F,OK,39065.0
U01,4TF,XI7CPUT,B4G4MAZBW3NY2,AOV6G5R7L7RXU,OK,39063.0
U01,NZ3,NNCX6OH,BGO3L5FHCI4F2,AAD32VFAMM7Q4,REVIEW,39062.0
U01,YB4,KW6A3LT,BUTEZVYQ3PVAV,AXOK2HCSGYX3Z,REVIEW,52.0
U01,ODP,N5XZAHB,BCLTIKYCCQ2CC,AD4SEEYIKJNZK,REVIEW,39065.0
U01,XOV,2EU336Z,BU2ILTYKIRDXU,ARO6ZMF7VXHK2,REVIEW,68.0
U01,FFY,GGRVGH4,BKDVPMB3FON2Q,AQI5O2AJQDOW2,REVIEW,39063.0
U01,46C,SWTLG7G,BT2EM56Q65U4Z,AYWKTJNMY3TM5,OK,39062.0
U01,WZY,RE2CK5M,BDO665HY32V6Y,ARZJWDL7WTKTS,OK,39064.0
U01,JSZ,HXE4TTQ,BXHQBGR5KM76Z,APAXIWYLZ45UQ,REVIEW,96.0
U01,JYJ,J644PJP,BOWUFKGRZ7QE4,ADQCOWFPNJD4J,OK,95.0
U01,NHZ,ZHKIWZF,BOGBUILT6JUYE,A6T6I3BGB7EVY,OK,269.0
U01,KB3,3EHSSR6,B5CSKL2YPQCCE,AM7MQ2OVYDADO,REVIEW,271.0
U01,CEI,O655UIQ,B6DNEWUQXBIEC,AEZZT3DI2JV2Z,REVIEW,262.0
U01,GKH,W4II732,BOJSAP3R3V42K,A72HB2BJWYZMN,REVIEW,260.0
U01,MLG,YBKQOLY,BCSSC6AUEDRQA,AFVK74APPI3QQ,OK,39.0
U01,RQC,HTR7PWM,B2UEMA74DKABZ,ATNFULSVGUNA4,OK,34.0
U01,ST2,NWXHPYQ,BODUV6NCJBRMR,ATIHTEXBQFP4L,OK,44.0
U02,PF7,44NQCZ2,B63IQSJVXPZNT,AVUI5UTNQTQ7F,REVIEW,31.0
U02,5VO,M4SRAMY,BQXJF6CDBNGIB,AFTEIGUITCZMF,REVIEW,32.0
U02,PIT,2BLQODF,BUVKPN27KVIYK,A6L6RT23FKP63,REVIEW,293.0
U02,Z7J,75FTYN7,B654YBO6R2E2N,ABISVIXS35F7J,REVIEW,44.0
U02,OXO,UFHO3KD,BDN3YWDUHZZGB,AI6KWZ3IM46WN,OK,421.0
U02,4R3,XHB33OM,BQZBVS5JO374T,AI7XBHOJPTG2G,OK,386.0
U02,3VB,HL37XLF,BVOKV4IKMDDD7,A564O4X4J34RF,REVIEW,61.0
U02,3KP,Q3PAUJK,B6PEPGWSYEV6B,AJ3RM4U54KLFD,REVIEW,35.0
U02,QVK,BUXJJ4E,BGMBPONJCRSPC,AFTVQB7V3HTEN,OK,39.0
U02,MQ5,QWR2YPE,BVZPTLX7W3XQ2,ARHUIYNEXCYQ7,REVIEW,59.0
U02,3VB,VNO5T5D,BVOKV4IKMDDD7,ARO2EXSZ452D6,REVIEW,469.0
U02,VPX,JHGFEZO,BLCZ3L2FTJLHU,AZFQCHINCNKTV,REVIEW,637.0
U02,3II,JQSWNRI,BO2UMEBD45PFK,AM3OLFO3VGGPW,OK,105.0
U02,TPS,K23M3S2,BMQNNTTQL6UU5,AQ2OHF2CK2KH3,REVIEW,31.0
U02,P3F,KZ6FQNB,BSJFJJRF3F4FG,AEQYDLRQILP7S,OK,39065.0
U02,HDY,UHZGUFC,BWF54Y5UBAD2G,AIXUNM55CZHQ4,REVIEW,39064.0
U02,FWL,E2R6OYT,BNC67VD3LVTZ2,AENCMO6OWIB5U,REVIEW,39060.0
U02,MG2,5SAKGZD,BRUD4GSGJVHYL,ANO3ZFKSLAE5N,OK,39060.0
U02,ETA,D5D3AFB,BB4JGRJBL6JLA,ASZ3TRUHAM6T7,OK,39060.0
U02,VSN,LSUCX4N,B7ZP732C3PEHH,AKFADSBNQMPBV,REVIEW,39061.0
U02,CR4,TYFYJOK,BLNLD6BR3BUYW,AGIU4C7WGXI6R,OK,39060.0
U02,I4S,RCMWIY6,BO6Y46LY2OYJR,ATQ25572ZFZF7,REVIEW,39061.0
U02,HOP,37FGKU3,BFNMSMT6R63Q2,ALB3WN4AILQ3B,REVIEW,39063.0
U02,F3Z,RACLF27,BN5UZ2CVVVGXQ,APEDTBORWWMH7,REVIEW,39061.0
U02,6CA,WUADZSL,BRBQV6L6R6EZN,AXANGOLVEACC2,REVIEW,526.0
U02,X6I,BMCWAMG,BZISEASYOKSYP,AE45TCXB6DQST,REVIEW,32.0
U02,F3Q,YPJLSC4,B4O3HOWPWR4TT,A4VS6DJOEXZWM,OK,39064.0
U02,H7C,QKYO2TX,BAFBHDA2NEFN4,A6G32P3XZXF4U,OK,141.0
U02,T3M,SMB4I7P,BAHTKFRJAKQHH,AR3LFU4CUXLEU,OK,39064.0
U02,72Z,L345OVO,BD2BSRZ4R6SAP,ALRD446MZ2DGE,OK,39063.0
U02,MBB,RWXU3BL,BQFTKMRMARJFW,AKDVHNFXQMDET,OK,41.0
U02,QSZ,SA4B2DI,BRGW6UFQCJ6UK,AFOLZKKI2ZTOK,REVIEW,39061.0
U02,32X,3GYQWGP,BR4VUVMNLPM5E,AO7NCNFZHS6IA,OK,39063.0
U02,43V,YVERLJR,BSISFOF4PT4LY,A6G4V2CTSFKPN,OK,39063.0
U02,LRZ,UVLSC6C,BH5IADAYAIM5U,A455O2KCQGBSK,REVIEW,39063.0
U02,CZL,5MTQOIW,BM2BHQTLYOSSC,AMQX4VM3KC6VN,REVIEW,39060.0
U02,CR7,TJFBVNV,BOQZQ7RMFXLFJ,AOPYHRWDA4ZEX,REVIEW,39062.0
U02,RFE,IX47RC6,B6EIFAIEPV5KV,A3D7GZ2RGQYEO,OK,39060.0
U02,7SW,7JFSBFK,BSPYTTXZV57O6,A7HEZYFHDJO3K,OK,71.0
U02,BHQ,5Z5E2IG,BE5E2TDP7M3CQ,A5IE4VK75E7X4,OK,70.0
U02,POK,X2DVNIY,BCKZVI33MVITF,ALDBPLI3YTVBJ,REVIEW,39061.0
U02,PMA,UJKMT4N,BIC4XJUQWOCOH,ANPBE2G3GEFC2,REVIEW,39060.0
U02,55G,ZBRBVIN,BVUR7HKYTMDSZ,ASSY4FAEUPJ2S,REVIEW,39061.0
U02,PFZ,CF75TH6,B7SJXNHQDOWPD,AWEHPXJXTFB4U,OK,39064.0
U02,YHW,DQHHTL5,B5URZ75BNCB3E,AAOEGTUW76QZI,OK,132.0
U02,VMO,U7OLMHK,BL2LITANDZ2UF,A36DY2F7JJLZB,OK,130.0
U02,RRL,PWTVDJ5,BMDEB3LHPRIBS,AKQNSNKAGT3N5,OK,39.0
U02,FT3,CNHB54Z,BAFXZXKX35GVX,AQ7BXBQ5I2MW7,OK,37.0
U02,VTY,55JKWFQ,BLL3JALLVHP6P,AOSR3L2DAC7CR,REVIEW,35.0
U03,GKZ,S2KPV3T,BMEV6HWC6ZJL5,A5E7XQEU4X452,OK,31.0
U03,DFO,ZWRPCRM,BBRRBZLEJKWPT,AEPRJ6IFD4NNJ,OK,33.0
U03,Q4X,RLMM2CB,BXJZKKP6YMCUF,AYUIFXISTLGTN,REVIEW,175.0
U03,RRQ,77RAJBN,BTBAFG3FISWYJ,AFZJE6IHCTII2,OK,174.0
U03,XF3,WHIM6TF,BLKJIXW5IDGIH,A3HYMR3RNZ2PP,REVIEW,29.0
U03,M4F,DV7QJQD,BXN3RE2GNWKVM,A26HWUDUUZTUA,OK,32.0
U03,CQR,4MSS75W,B5YZVCP5MM5WA,AQME4WOMUJQB4,REVIEW,29.0
U03,2N2,IIYKRDW,BRK4TSFXLZIIM,AZ6SX4U2MPBNN,REVIEW,27.0
U03,ZCU,F642H2W,B5ORP63WNMYQ3,A7P4RSITHX3NR,OK,27.0
U03,HGL,LN2UVBN,B5E45SEX5MOXL,AI4GQCUH2H4GR,REVIEW,33.0
U03,CEH,XI7LDKM,BH6S4XNZ4YNR7,AIWAYV2YHQCQJ,OK,29.0
U03,U2U,ETN2G7Y,BR54DXFMDJEWV,AORJPGCG6K2XD,OK,51.0
U03,LGR,CIEUVUB,BO6Z6NYF5HMTH,AZMYUITF4SECW,OK,31.0
U03,AZ7,LNYUU23,BTL34FQ2EDXSE,AVVA6375WTSXT,REVIEW,29.0
U03,K3T,PJFIZBS,B5DCGVUUACQ74,A6E6TZHQS7LCI,REVIEW,32.0
U03,BXZ,A7J5YWG,BL2G2PKGJQR2M,ACJCXGOGQEEIJ,OK,36.0
U03,MZY,OEXRRMH,BPME5ANSCE7T4,AU6CSGAE6LTPI,REVIEW,38.0
U03,NW7,UF4YO4L,BUORK4QO3XJA4,AH2UC6QSE3FXD,OK,60.0
U03,LUN,K7DM4YQ,BLYSCASWWZGUP,A4W2UZ5G3FIGI,REVIEW,32.0
U03,FBW,ZPMGPUM,B5SR76ODTKW6L,AGGP6D6WCHBVD,REVIEW,31.0
U03,FEO,VX7VJJI,BMCK6WFFPET7T,A377VEPPTS237,OK,29.0
U03,WAJ,V32MEWS,BU4U7PJLB7FXB,AFWYAHKGULY6G,OK,28.0
U03,DRU,3GQ6AGF,B3QNOPWLEXMR6,AK3RMRV6N7C6C,OK,30.0
U03,B4C,TI4IW5H,BY5E3DX2PDZMO,ADVIHLIVYD3QC,REVIEW,169.0
U03,SBL,5QRYSUZ,BDHTDF3VPQBCV,A5MWC35PU3X2B,OK,168.0
U03,PVS,JEJN3DT,B5BZV3RMWNMMG,A2M44Z7HFBOC3,OK,33.0
U03,PCW,VNTWRAM,BX5ONQWJHVBPY,ARUKRR6TPRBFT,OK,29.0
U03,52O,KCDNLER,B4AWI2AGYUAFR,A3DHEV3ANDWGW,REVIEW,31.0
U03,B3D,V7UZOO5,BKRZOVNNI3URX,AVHK47GQZWTKX,OK,32.0
U03,B24,QAWRD6X,B4GIWCLKGFS5A,AROMEQRGWM5T6,REVIEW,31.0
U03,3FH,23GJBLX,B477RVJMC2CGR,APFVR5IG4LFJH,OK,26.0
U03,SNB,L2OU47J,B3ZK7RBLMRWJ6,AHNNJOFRQ2RKV,OK,39062.0
U03,V4K,LG6CAUA,BHZKPGMCGSO5S,AWDEMF3J676FT,OK,37.0
U03,POG,JY5MIJG,BNYYNJPVLWZ65,AH3IJ5ATGG3N7,OK,34.0
U03,T6L,7LTVEVD,BKDJOV6STMZMQ,AUHPIAWVJYYCM,REVIEW,80.0
U03,PJ6,CU7XFIS,BUUQ4UK6EOO5T,A5R62RYFM6YAL,OK,31.0
U03,NOE,R5QQYU7,BB4V7DYCZ6VPN,ATJ5MKKWEUVMN,REVIEW,24.0
U03,3BV,7E42FGE,BHRJWGKCR7U5Q,AJ5HQ46KRLKO2,REVIEW,54.0
U03,SNC,D6AVC2I,BT3UKJA3CGWYX,APOIAEWUQ4I5F,REVIEW,59.0
U03,HTQ,IKBZWSM,B47LPUCTIEZUP,AZZGIGZQONE7J,REVIEW,125.0
U03,C2C,AES23DF,BRFSWOPLQJEXQ,AK6KTXSJ4IJOD,OK,35.0
U03,LAF,P5Q5SGB,BASCJEIZBHFZF,AHXTSYNB2SZRJ,REVIEW,33.0
U03,3PR,Y5QY4QC,BPGZ54GU5SNN5,AQYINEHHNYPDT,REVIEW,25.0
U03,IXH,AJLMETD,BRLECOGI62RCB,ACXF52QGWFXF4,OK,39062.0
U03,TWX,S2NAVLW,BLTBSIFZSUENP,ACE43Z57PJMMH,OK,30.0
U03,MAY,4HFX7LS,BVS5HRMJD3UCV,AR3XLJY6N37QI,REVIEW,39065.0
U03,CRE,LE7BJEP,BWYYJMLPZGYHG,AGUCBTKBXYDGS,OK,39066.0
U03,6V5,UP7ELFB,BUCIHLX7ENH4A,AFUUKC26KKW7P,REVIEW,41.0
U03,OXS,ZAXFGWR,BDLOM6ITVYUJL,ALYSSQ2BORWJG,REVIEW,40.0
U04,6HP,WOGWNJI,BSJDNHSUBTE7X,ANBHWJQNKALKM,REVIEW,31.0
U04,NQN,HG27TBK,B55BZGDUOH4ED,AKLM3QBBHOTNF,OK,33.0
U04,Z2M,GJBB2DU,BLKLH7XSQ6KR3,ADOZNQEBRHJG4,OK,39.0
U04,XE6,SFWC32K,BMEGURTXKUXB6,ATAN6KW4ZECET,REVIEW,42.0
U04,ANN,VZC56SB,BUMKSWATZQZS4,ARNC662JRZXK3,REVIEW,39.0
U04,XA7,XU3PHGQ,BED4LJSXPQ3DE,ACZMP4M3OIZM2,REVIEW,41.0
U04,NYL,TPFP6F5,BSWYXL2647HYZ,AVV3LZPX5CIU3,OK,30.0
U04,6DZ,IMKGMOD,BZ6K2HLME74MF,AEJMLCCY2S42B,OK,31.0
U04,Q35,WNYMPR6,BJX2THLULZ5QS,ACXSABWRI3YSM,REVIEW,35.0
U04,VD2,TZLCPCX,BHV273B5KIB3J,AA3SLGABFZE3Q,OK,48.0
U04,X5O,B74MFHU,BB3V3X32IN24J,A5PEF2M7LTYG4,REVIEW,32.0
U04,LII,R2QYKMC,BUIYFKNGXJMEA,A2QZEQMCC3NTJ,OK,30.0
U04,GJ2,HTCTIZM,BW6UESX6YUIIG,AWUT6JWXXHTCI,OK,33.0
U04,PPQ,5OAKZXH,BC7AC47P2PJSW,AA6ACP2BEICFZ,REVIEW,36.0
U04,VO7,64SIZYX,BRYFQX3SKTBX3,ARFDPHKYNL2FY,OK,37.0
U04,ENQ,NUVMI4F,BPMKTNWPNHTT7,ACMJDYE46GG4Z,OK,40.0
U04,DJE,TNDYO7G,BQZRS2LTPTR7M,AX7IPFP45AO3J,OK,34.0
U04,YY7,52PMUX2,BACHXOLIMRAEG,AJRHCCBC4KX24,OK,33.0
U04,GDH,66G44JV,BERUMNEUWASEZ,AL4DF2IGDY6JS,OK,36.0
U04,K6M,AT4673Q,BTC2L5ZH7OF7W,APUI7KC22RPVA,OK,36.0
U04,H2B,JT5UW4J,BCFOJDMRZJNVA,AHSIJUJRWW43R,OK,30.0
U04,M67,YYUADIA,BKNC2AOCTUU5Y,A3QI4MPMDHI7R,OK,29.0
U04,LFP,7SBZVLL,BAV6TUREPOUC3,ACZSC4UT2KWT7,REVIEW,35.0
U04,IXV,HWLCON3,BYC3CHFA24O67,AKI56PB7OYWDE,REVIEW,29.0
U04,6OM,6SAKARV,B64AOXECWV2U2,ADXVY5KZ5OPSS,REVIEW,38.0
U04,542,3CJF422,BOFG5HCHVE2PA,AK2YWEYECP2C5,OK,32.0
U04,ZGI,NDKZTNT,BNHZ5T3UGYAUE,AXULQ3TB2YQWF,REVIEW,35.0
U04,TPI,ZE52CJW,BKDG3BJED3UW6,A7EZTPHXLZENK,OK,39063.0
U04,OW7,BJ2RDVZ,BJ6Z5KLSGW7OK,AGXO2BXYMOZMM,REVIEW,53.0
U04,ZWT,KHOFOD6,BP5SFSVQFATO3,AZJUHSPLEDBZX,REVIEW,35.0
U04,AED,PIJFQR7,BG7EQI2FQBD5N,AB3DYHLK22DAO,OK,30.0
U04,HCO,YRIIMZC,BTNMLNRBXJTRP,AVC45XTVRBMPP,REVIEW,649.0
U04,NMG,QI3CQKR,B47TYDWMMZHPU,ANVJ2H3FSIGAT,OK,39061.0
U04,J5G,DWZS5MT,BUORMTEXAMCWC,AHZZRZDFS2KFI,REVIEW,34.0
U04,MGL,MRDSTFA,BWIATMOEBTBPO,AVWNOP2ZZEYLP,REVIEW,39061.0
U04,LU7,ELFS3PS,BKCJOKSYZTQLQ,AX75BNUVVHYOB,OK,39066.0
U04,QF6,K7XXI3L,BMXPAEFBXSBJB,AZ6HEJBWRUXRS,OK,32.0
U04,FPO,XY6X2V3,B2NLQE64H6DVU,AVJVOOLE7G5GC,OK,32.0
U04,LGO,MBUQYSX,BWKCLJFCGUJMM,AUWSCMVYNULJZ,REVIEW,39064.0
U04,ZKS,DBISR5R,BBIMNWFEILJCX,A2U3CVHU2I4GN,OK,39063.0
U04,UQO,3TJIAHO,B3QOGC6ULHENK,AA2OWGCU6BYHD,OK,39063.0
U04,LND,SYSBBC2,B66KLCUJ4DHEY,A3PKES3IQPMBB,REVIEW,39061.0
U04,ZAP,YGJWLPN,B5AGC5Y265J4I,AZFPKIKZBEMSJ,REVIEW,33.0
U04,PKF,DTJ2AM7,BDAZQVJNJ66OB,AZPV5KLK5DGCE,REVIEW,30.0
U04,5N5,QQ5VAZC,BGTDEMI446RGK,A57GAQHDDLZRY,REVIEW,35.0
U04,GZX,NJQ6DFQ,BF2BXEWZYAH4J,AB3ZHNX5FV6PG,REVIEW,30.0
U04,ZTX,3IFLV64,BSDSQRQJ3RJ6K,ATUC6DN5OUDLZ,REVIEW,37.0
U04,GD2,LN3MLCJ,BSUVTFDZK33Q5,AYXSBGHIECLAO,OK,33.0
U04,3KA,6RF43W5,BC2QQ4FAJAJXI,ALZIGXFT3SBO7,REVIEW,36.0
U05,D4D,6INT3RX,BAPK66ZDJZS25,A5IIPBBBUFRWC,OK,36.0
U05,WF2,A5RJJZC,BXH2LIR26FJ3J,AWF2TSBXFVROH,OK,33.0
U05,YSI,RHIDS6Q,B5GCJLBI5ZC2L,AXLH26THA4JIT,OK,33.0
U05,NLJ,U2SIG7P,BJ2DW6KJNCTA4,AW32ZSMZ6HWEL,OK,34.0
U05,JCZ,B3IN4SB,BMPW4G66YB4SO,AVJ56BK7LFB5Q,REVIEW,34.0
U05,NV3,BVIDYPP,BANZS4OBHF2AO,AAPPQP6PYLJF5,REVIEW,34.0
U05,D7Q,FJB3HMT,BDHTE26XAGST7,AFRRCPPTC5LKI,REVIEW,35.0
U05,BSP,ONHOH55,BIMNUPPBPLPLC,AKPL2UC457SPD,REVIEW,36.0
U05,6XH,PCFZERD,BM4ONR4DVCRDR,AKNOFERLRORPG,OK,30.0
U05,GDZ,FCVOX5W,BZWD7ZJYUAR2V,AL6MNWOWISAT7,OK,36.0
U05,XKI,3ODTX7D,BL54OZSBPVBVT,AMXNHB33GCQQJ,OK,33.0
U05,YEI,JWPRTIH,BQ4HNPOE5F7XH,ATTWAGLJW7FVW,OK,31.0
U05,TVQ,FPY5T3C,BIX6XGAXSQR4H,AWQVLUDMW2MLI,REVIEW,30.0
U05,E4L,ZIFSUOR,BEEM6Y3IJQTC2,AZRN5LMG73FYC,OK,32.0
U05,XWC,HKNYRIC,BLVJXFNS4V63Q,ACQ3R3MM5HXQK,OK,32.0
U05,OKY,UIS3J2J,BUKKBAEQF4V4U,ALEFEUYDR3QUJ,REVIEW,33.0
U05,TOM,ZTMHS5V,BLYTNSBF7E7II,AMB5MP7E2RB4H,REVIEW,34.0
U05,4I5,KQATJOI,B4B5I7F2NKQDF,ATDXKTTGI3INL,OK,30.0
U05,H5T,KL2WSGT,BE4DHHPAQDHQL,ABCG3T656KE6V,OK,36.0
U05,BBO,2TJWFFN,BVB6KKFAWNDL3,AKACGM645XKS6,OK,31.0
U05,DJF,DYIQSET,BXEK7DYQYTK7A,APNVNWT26IROP,OK,36.0
U05,TST,JYAOI5E,BD73GA2RHEWJF,ATICRXVJFN3YP,REVIEW,35.0
U05,6LC,ILGKT4I,BDVSK5WA2NA5S,AONIYJ2TU6C32,OK,31.0
U05,NQK,PQA7MEZ,BG5OF6VSZYK27,AFPJ74MBLMH2Y,OK,30.0
U05,YMD,RRSZO3E,BS2AY224VECLL,AUTVR3NHSBGMQ,REVIEW,33.0
U05,GH7,LSYM3WM,BUGLJAEXMH5XZ,AZFG3IFIXHLUK,OK,35.0
U05,35V,4LQ6R27,BMZ2QDLT7TAWY,AI33JH45GVP7D,REVIEW,31.0
