variant_id,checkpoint_id,budget_coefficient,rhs,sense_id
2,10,35042.0,30965.0,0
2,11,35042.0,30965.0,0
2,12,34705.0,31609.0,0
2,13,34594.0,31577.0,0
2,14,34427.0,31420.0,0
2,15,34010.0,30965.0,0
2,16,33754.0,30804.0,0
2,17,33621.0,30671.0,0
2,18,33332.0,30146.0,0
2,19,33312.0,30320.0,0
2,20,30899.0,27887.0,0
2,21,30558.0,27546.0,0
2,22,30461.0,27492.0,0
2,23,30334.0,27184.0,0
2,24,27462.0,24378.0,0
2,25,7841.0,4822.0,0
2,26,7841.0,4822.0,0
3,0,51484.0,48284.0,0
3,1,47352.0,44152.0,0
3,2,47256.0,44056.0,0
3,3,47039.0,43839.0,0
3,4,46856.0,43656.0,0
3,5,46454.0,43254.0,0
3,6,41809.0,38609.0,0
3,7,41809.0,38609.0,0
3,8,36173.0,32973.0,0
3,9,35123.0,31923.0,0
3,10,35042.0,31842.0,0
3,11,35042.0,31842.0,0
3,12,34705.0,31505.0,0
3,13,34594.0,31394.0,0
3,14,34427.0,31227.0,0
3,15,34010.0,30810.0,0
3,16,33754.0,30554.0,0
3,17,33621.0,30421.0,0
3,18,33332.0,30132.0,0
3,19,33312.0,30112.0,0
3,20,30899.0,27699.0,0
3,21,30558.0,27358.0,0
3,22,30461.0,27261.0,0
3,23,30334.0,27134.0,0
3,24,27462.0,24262.0,0
3,25,7841.0,4641.0,0
3,26,7841.0,4641.0,0
4,0,51484.0,40561.0,0
4,1,47352.0,35236.0,0
4,2,47256.0,36940.0,0
4,3,47039.0,25923.0,0
4,4,46856.0,28740.0,0
4,5,46454.0,36738.0,0
4,6,41809.0,36961.0,0
4,7,41809.0,36961.0,0
4,8,36173.0,24057.0,0
4,9,35123.0,27280.0,0
4,10,35042.0,19926.0,0
4,11,35042.0,19926.0,0
4,12,34705.0,26856.0,0
4,13,34594.0,27949.0,0
4,14,34427.0,25978.0,0
4,15,34010.0,27361.0,0
4,16,33754.0,25905.0,0
4,17,33621.0,26372.0,0
4,18,33332.0,26083.0,0
4,19,33312.0,26063.0,0
4,20,30899.0,25448.0,0
4,21,30558.0,22107.0,0
4,22,30461.0,23212.0,0
4,23,30334.0,23083.0,0
4,24,27462.0,21411.0,0
4,25,7841.0,2993.0,0
4,26,7841.0,2993.0,0
5,0,51484.0,47507.0,0
5,1,47352.0,41282.0,0
5,2,47256.0,40586.0,0
5,3,47039.0,37967.0,0
5,4,46856.0,36284.0,0
5,5,46454.0,40084.0,0
5,6,41809.0,37850.0,0
5,7,41809.0,37850.0,0
5,8,36173.0,27101.0,0
5,9,35123.0,30261.0,0
5,10,35042.0,27470.0,0
5,11,35042.0,27470.0,0
5,12,34705.0,30133.0,0
5,13,34594.0,29734.0,0
5,14,34427.0,29855.0,0
5,15,34010.0,28538.0,0
5,16,33754.0,29782.0,0
5,17,33621.0,29649.0,0
5,18,33332.0,28160.0,0
5,19,33312.0,28733.0,0
5,20,30899.0,25437.0,0
5,21,30558.0,26596.0,0
5,22,30461.0,26482.0,0
5,23,30334.0,26070.0,0
5,24,27462.0,23200.0,0
5,25,7841.0,3882.0,0
5,26,7841.0,3882.0,0
6,0,51484.0,44674.0,0
6,1,47352.0,36645.0,0
6,2,47256.0,35049.0,0
6,3,47039.0,36636.0,0
6,4,46856.0,34649.0,0
6,5,46454.0,34247.0,0
6,6,41809.0,36172.0,0
6,7,41809.0,36172.0,0
6,8,36173.0,24866.0,0
6,9,35123.0,27772.0,0
6,10,35042.0,26139.0,0
6,11,35042.0,26139.0,0
6,12,34705.0,27343.0,0
6,13,34594.0,25585.0,0
6,14,34427.0,27065.0,0
6,15,34010.0,26639.0,0
6,16,33754.0,26393.0,0
6,17,33621.0,25960.0,0
6,18,33332.0,26269.0,0
6,19,33312.0,25950.0,0
6,20,30899.0,21844.0,0
6,21,30558.0,22858.0,0
6,22,30461.0,21744.0,0
6,23,30334.0,22975.0,0
6,24,27462.0,20105.0,0
6,25,7841.0,4841.0,0
6,26,7841.0,4841.0,0
