Main pipe0,(0 0),(1 0),(2 0),(3 0),(4 0),(5 0),(6 0),(7 0),(8 0),(9 0),(10 0),(11 0),(12 0),(13 0),(14 0),(15 0),(16 0),(17 0),(18 0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe1,(0 0),(1 0),(1 11),(2 0),(2 11),(3 0),(3 11),(4 0),(4 11),(5 0),(5 11),(6 0),(6 11),(7 0),(7 11),(8 0),(8 11),(9 0),(9 11),(10 0),(10 11),(11 0),(11 11),(12 0),(12 11),(13 0),(13 11),(14 0),(14 11),(15 0),(15 11),(16 0),(16 11),(17 0),(17 11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe12,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 0),(9 11),(9 16),(9 19),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(10 0),(10 11),(10 16),(10 19),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(11 11),(11 16),(11 19),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(12 11),(12 16),(12 19),(12 27),(12 30),(12 32),(12 34),(12 35),(12 36),(12 43),(12 45),(13 11),(13 16),(13 19),(13 27),(13 30),(13 32),(13 34),(13 35),(13 41),(13 43),(13 45),(14 16),(14 19),(14 27),(14 30),(14 32),(14 35),(14 36),(14 41),(14 43),(14 45),(15 27),(15 32),(15 34),(15 36),(15 41),(15 43),(15 45),(16 30),(16 34),(16 35),(16 36),(16 41),(16 45),(17 30),(17 34),(17 35),(17 36),(17 41),(17 45),(18 35),(18 36),(18 41),(18 45),,,,,,,,,,,
Main pipe13,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 0),(9 11),(9 16),(9 19),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(10 0),(10 11),(10 16),(10 19),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(11 11),(11 16),(11 19),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(11 46),(12 11),(12 16),(12 19),(12 27),(12 30),(12 32),(12 34),(12 35),(12 36),(12 43),(12 45),(13 11),(13 16),(13 19),(13 27),(13 30),(13 32),(13 34),(13 35),(13 41),(13 43),(13 45),(14 16),(14 19),(14 27),(14 30),(14 32),(14 35),(14 36),(14 41),(14 43),(14 45),(14 46),(15 32),(15 34),(15 36),(15 41),(15 43),(15 45),(16 34),(16 35),(16 36),(16 41),(16 45),(17 34),(17 35),(17 36),(17 41),(17 45),(18 36),(18 41),(18 45),(18 46),(19 46),,,,,,,,,,,
Main pipe14,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 0),(9 11),(9 16),(9 19),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(10 0),(10 11),(10 16),(10 19),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(11 11),(11 16),(11 19),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(11 46),(12 11),(12 16),(12 19),(12 27),(12 30),(12 32),(12 34),(12 35),(12 36),(12 43),(12 45),(13 16),(13 19),(13 27),(13 30),(13 32),(13 34),(13 35),(13 41),(13 43),(13 45),(14 16),(14 19),(14 27),(14 30),(14 32),(14 35),(14 36),(14 41),(14 43),(14 45),(14 46),(14 47),(15 32),(15 34),(15 36),(15 41),(15 43),(15 45),(15 47),(16 34),(16 35),(16 36),(16 41),(16 45),(17 34),(17 35),(17 36),(17 41),(17 45),(18 41),(18 45),(18 46),(19 46),,,,,,,,,,,
Main pipe15,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 0),(9 11),(9 16),(9 19),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(10 11),(10 16),(10 19),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(11 11),(11 16),(11 19),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(11 46),(12 11),(12 16),(12 19),(12 27),(12 30),(12 32),(12 34),(12 35),(12 36),(12 43),(12 45),(12 48),(13 16),(13 19),(13 27),(13 30),(13 32),(13 34),(13 35),(13 41),(13 43),(13 45),(13 48),(14 16),(14 19),(14 27),(14 30),(14 32),(14 35),(14 36),(14 41),(14 43),(14 45),(14 46),(14 47),(15 32),(15 34),(15 36),(15 41),(15 43),(15 45),(15 47),(16 34),(16 35),(16 36),(16 41),(16 45),(16 48),(17 34),(17 35),(17 36),(17 41),(17 45),(17 48),(18 41),(18 45),(18 46),(18 48),(19 46),(19 48),,,,,,
Main pipe16,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 11),(9 16),(9 19),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(10 11),(10 16),(10 19),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(11 11),(11 16),(11 19),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(11 46),(12 11),(12 16),(12 19),(12 27),(12 30),(12 32),(12 34),(12 35),(12 36),(12 43),(12 45),(12 48),(13 16),(13 19),(13 27),(13 30),(13 32),(13 34),(13 35),(13 41),(13 43),(13 45),(13 48),(14 16),(14 19),(14 27),(14 30),(14 32),(14 35),(14 36),(14 41),(14 43),(14 45),(14 46),(14 47),(15 32),(15 34),(15 36),(15 41),(15 43),(15 45),(15 47),(15 49),(16 34),(16 35),(16 36),(16 41),(16 45),(16 48),(16 49),(17 34),(17 35),(17 36),(17 41),(17 45),(17 48),(17 49),(18 41),(18 45),(18 46),(18 48),(19 46),(19 48),,,,
Main pipe17,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 11),(9 16),(9 19),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(10 11),(10 16),(10 19),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(11 11),(11 16),(11 19),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(11 46),(12 11),(12 16),(12 19),(12 27),(12 30),(12 32),(12 34),(12 35),(12 36),(12 43),(12 45),(12 48),(12 50),(13 16),(13 19),(13 27),(13 30),(13 32),(13 34),(13 35),(13 41),(13 43),(13 45),(13 48),(14 19),(14 27),(14 30),(14 32),(14 35),(14 36),(14 41),(14 43),(14 45),(14 46),(14 47),(14 50),(15 32),(15 34),(15 36),(15 41),(15 43),(15 45),(15 47),(15 49),(16 35),(16 36),(16 41),(16 45),(16 48),(16 49),(16 50),(17 35),(17 36),(17 41),(17 45),(17 48),(17 49),(17 50),(18 41),(18 45),(18 46),(18 48),(19 46),(19 48),(19 50),,
Main pipe18,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 11),(9 16),(9 19),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(9 51),(10 11),(10 16),(10 19),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(11 11),(11 16),(11 19),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(11 46),(12 11),(12 16),(12 19),(12 27),(12 30),(12 32),(12 34),(12 35),(12 36),(12 43),(12 45),(12 48),(12 50),(13 16),(13 19),(13 27),(13 30),(13 32),(13 34),(13 35),(13 41),(13 43),(13 45),(13 48),(14 19),(14 27),(14 30),(14 32),(14 35),(14 36),(14 41),(14 43),(14 45),(14 46),(14 47),(14 50),(15 34),(15 36),(15 41),(15 43),(15 45),(15 47),(15 49),(16 36),(16 41),(16 45),(16 48),(16 49),(16 50),(17 36),(17 41),(17 45),(17 48),(17 49),(17 50),(18 41),(18 45),(18 46),(18 48),(19 46),(19 48),(19 50),,,,
Main pipe19,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 11),(9 16),(9 19),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(9 51),(10 11),(10 16),(10 19),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(10 52),(11 11),(11 16),(11 19),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(11 46),(12 16),(12 19),(12 27),(12 30),(12 32),(12 34),(12 35),(12 36),(12 43),(12 45),(12 48),(12 50),(13 19),(13 27),(13 30),(13 32),(13 34),(13 35),(13 41),(13 43),(13 45),(13 48),(14 19),(14 27),(14 30),(14 32),(14 35),(14 36),(14 41),(14 43),(14 45),(14 46),(14 47),(14 50),(15 34),(15 36),(15 41),(15 43),(15 45),(15 47),(15 49),(16 41),(16 45),(16 48),(16 49),(16 50),(17 41),(17 45),(17 48),(17 49),(17 50),(18 45),(18 46),(18 48),(19 46),(19 48),(19 50),,,,,,,,
Main pipe20,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 11),(9 16),(9 19),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(9 51),(10 11),(10 16),(10 19),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(10 52),(11 11),(11 16),(11 19),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(11 46),(12 16),(12 19),(12 27),(12 30),(12 32),(12 34),(12 35),(12 36),(12 43),(12 45),(12 48),(12 50),(13 19),(13 27),(13 30),(13 32),(13 34),(13 35),(13 41),(13 43),(13 45),(13 48),(13 53),(14 27),(14 30),(14 32),(14 35),(14 36),(14 41),(14 43),(14 45),(14 46),(14 47),(14 50),(15 36),(15 41),(15 43),(15 45),(15 47),(15 49),(15 53),(16 41),(16 45),(16 48),(16 49),(16 50),(16 53),(17 41),(17 45),(17 48),(17 49),(17 50),(17 53),(18 45),(18 46),(18 48),(18 53),(19 46),(19 48),(19 50),,,,,
Main pipe21,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 11),(9 16),(9 19),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(9 51),(10 11),(10 16),(10 19),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(10 52),(11 11),(11 16),(11 19),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(11 46),(11 55),(12 16),(12 19),(12 27),(12 30),(12 32),(12 34),(12 35),(12 36),(12 43),(12 45),(12 48),(12 50),(13 27),(13 30),(13 32),(13 34),(13 35),(13 41),(13 43),(13 45),(13 48),(13 53),(13 55),(14 27),(14 30),(14 32),(14 35),(14 36),(14 41),(14 43),(14 45),(14 46),(14 47),(14 50),(14 55),(15 41),(15 43),(15 45),(15 47),(15 49),(15 53),(16 41),(16 45),(16 48),(16 49),(16 50),(16 53),(17 41),(17 45),(17 48),(17 49),(17 50),(17 53),(18 45),(18 46),(18 48),(18 53),(18 55),(19 48),(19 50),(19 55),,,
Main pipe22,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 11),(9 16),(9 19),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(9 45),(9 51),(10 11),(10 16),(10 19),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(10 45),(10 52),(11 16),(11 19),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(11 45),(11 46),(11 55),(12 16),(12 19),(12 27),(12 30),(12 32),(12 34),(12 35),(12 36),(12 43),(12 45),(12 48),(12 50),(13 27),(13 30),(13 32),(13 34),(13 35),(13 41),(13 43),(13 45),(13 48),(13 53),(13 55),(14 27),(14 30),(14 32),(14 35),(14 36),(14 41),(14 43),(14 45),(14 46),(14 47),(14 50),(14 55),(15 41),(15 43),(15 45),(15 47),(15 49),(15 53),(15 56),(16 41),(16 45),(16 48),(16 49),(16 50),(16 53),(16 56),(17 41),(17 45),(17 48),(17 49),(17 50),(17 53),(17 56),(18 46),(18 48),(18 53),(18 55),(19 48),(19 50),(19 55),(19 56),
