pair_id,i_id,j_id,row_gap_i_before_j,row_gap_j_before_i,col_gap_i_before_j,col_gap_j_before_i
57,1,12,5.0,8.0,11.0,16.0
58,1,13,5.0,8.0,11.0,16.0
59,1,14,5.0,8.0,11.0,11.0
60,1,15,5.0,7.0,11.0,12.0
61,1,16,5.0,5.0,11.0,13.0
62,1,17,5.0,5.0,11.0,12.0
63,1,18,5.0,5.0,11.0,12.0
64,1,19,5.0,5.0,11.0,12.0
65,1,20,5.0,7.0,11.0,12.0
66,1,21,5.0,7.0,11.0,11.0
67,1,22,5.0,6.0,11.0,11.0
68,1,23,5.0,6.0,11.0,12.0
69,1,24,5.0,6.0,11.0,11.0
70,1,25,5.0,5.0,11.0,11.0
71,1,26,5.0,9.0,11.0,13.0
72,1,27,5.0,4.0,11.0,9.0
73,1,28,5.0,6.0,11.0,11.0
74,1,29,5.0,5.0,11.0,10.0
75,1,30,5.0,5.0,11.0,10.0
76,1,31,5.0,5.0,11.0,12.0
77,1,32,5.0,7.0,11.0,12.0
78,1,33,5.0,6.0,11.0,11.0
79,1,34,5.0,5.0,11.0,10.0
80,1,35,5.0,7.0,11.0,12.0
81,1,36,5.0,7.0,11.0,11.0
82,1,37,5.0,5.0,11.0,11.0
83,1,38,5.0,5.0,11.0,12.0
84,1,39,5.0,6.0,11.0,11.0
85,1,40,5.0,7.0,11.0,12.0
86,1,41,5.0,7.0,11.0,11.0
87,1,42,5.0,6.0,11.0,11.0
88,1,43,5.0,6.0,11.0,12.0
89,1,44,5.0,8.0,11.0,12.0
90,1,45,5.0,5.0,11.0,11.0
91,1,46,5.0,5.0,11.0,10.0
92,1,47,5.0,7.0,11.0,13.0
93,2,3,6.0,5.0,12.0,12.0
94,2,4,6.0,5.0,12.0,12.0
95,2,5,6.0,6.0,12.0,11.0
96,2,6,6.0,5.0,12.0,11.0
97,2,7,6.0,6.0,12.0,13.0
98,2,8,6.0,5.0,12.0,11.0
99,2,9,6.0,5.0,12.0,12.0
100,2,10,6.0,5.0,12.0,11.0
101,2,11,6.0,5.0,12.0,11.0
102,2,12,6.0,8.0,12.0,16.0
103,2,13,6.0,8.0,12.0,16.0
104,2,14,6.0,8.0,12.0,11.0
105,2,15,6.0,7.0,12.0,12.0
106,2,16,6.0,5.0,12.0,13.0
107,2,17,6.0,5.0,12.0,12.0
108,2,18,6.0,5.0,12.0,12.0
109,2,19,6.0,5.0,12.0,12.0
110,2,20,6.0,7.0,12.0,12.0
111,2,21,6.0,7.0,12.0,11.0
112,2,22,6.0,6.0,12.0,11.0
113,2,23,6.0,6.0,12.0,12.0
114,2,24,6.0,6.0,12.0,11.0
115,2,25,6.0,5.0,12.0,11.0
116,2,26,6.0,9.0,12.0,13.0
117,2,27,6.0,4.0,12.0,9.0
118,2,28,6.0,6.0,12.0,11.0
119,2,29,6.0,5.0,12.0,10.0
120,2,30,6.0,5.0,12.0,10.0
121,2,31,6.0,5.0,12.0,12.0
122,2,32,6.0,7.0,12.0,12.0
123,2,33,6.0,6.0,12.0,11.0
124,2,34,6.0,5.0,12.0,10.0
125,2,35,6.0,7.0,12.0,12.0
126,2,36,6.0,7.0,12.0,11.0
127,2,37,6.0,5.0,12.0,11.0
128,2,38,6.0,5.0,12.0,12.0
129,2,39,6.0,6.0,12.0,11.0
130,2,40,6.0,7.0,12.0,12.0
131,2,41,6.0,7.0,12.0,11.0
132,2,42,6.0,6.0,12.0,11.0
133,2,43,6.0,6.0,12.0,12.0
134,2,44,6.0,8.0,12.0,12.0
135,2,45,6.0,5.0,12.0,11.0
136,2,46,6.0,5.0,12.0,10.0
137,2,47,6.0,7.0,12.0,13.0
138,3,4,5.0,5.0,12.0,12.0
139,3,5,5.0,6.0,12.0,11.0
140,3,6,5.0,5.0,12.0,11.0
141,3,7,5.0,6.0,12.0,13.0
142,3,8,5.0,5.0,12.0,11.0
143,3,9,5.0,5.0,12.0,12.0
144,3,10,5.0,5.0,12.0,11.0
145,3,11,5.0,5.0,12.0,11.0
146,3,12,5.0,8.0,12.0,16.0
147,3,13,5.0,8.0,12.0,16.0
148,3,14,5.0,8.0,12.0,11.0
149,3,15,5.0,7.0,12.0,12.0
150,3,16,5.0,5.0,12.0,13.0
151,3,17,5.0,5.0,12.0,12.0
152,3,18,5.0,5.0,12.0,12.0
153,3,19,5.0,5.0,12.0,12.0
154,3,20,5.0,7.0,12.0,12.0
155,3,21,5.0,7.0,12.0,11.0
156,3,22,5.0,6.0,12.0,11.0
157,3,23,5.0,6.0,12.0,12.0
158,3,24,5.0,6.0,12.0,11.0
159,3,25,5.0,5.0,12.0,11.0
160,3,26,5.0,9.0,12.0,13.0
161,3,27,5.0,4.0,12.0,9.0
162,3,28,5.0,6.0,12.0,11.0
163,3,29,5.0,5.0,12.0,10.0
164,3,30,5.0,5.0,12.0,10.0
165,3,31,5.0,5.0,12.0,12.0
166,3,32,5.0,7.0,12.0,12.0
167,3,33,5.0,6.0,12.0,11.0
168,3,34,5.0,5.0,12.0,10.0
169,3,35,5.0,7.0,12.0,12.0
170,3,36,5.0,7.0,12.0,11.0
171,3,37,5.0,5.0,12.0,11.0
172,3,38,5.0,5.0,12.0,12.0
173,3,39,5.0,6.0,12.0,11.0
174,3,40,5.0,7.0,12.0,12.0
175,3,41,5.0,7.0,12.0,11.0
176,3,42,5.0,6.0,12.0,11.0
177,3,43,5.0,6.0,12.0,12.0
178,3,44,5.0,8.0,12.0,12.0
179,3,45,5.0,5.0,12.0,11.0
180,3,46,5.0,5.0,12.0,10.0
181,3,47,5.0,7.0,12.0,13.0
182,4,5,5.0,6.0,12.0,11.0
183,4,6,5.0,5.0,12.0,11.0
184,4,7,5.0,6.0,12.0,13.0
185,4,8,5.0,5.0,12.0,11.0
186,4,9,5.0,5.0,12.0,12.0
187,4,10,5.0,5.0,12.0,11.0
188,4,11,5.0,5.0,12.0,11.0
189,4,12,5.0,8.0,12.0,16.0
190,4,13,5.0,8.0,12.0,16.0
191,4,14,5.0,8.0,12.0,11.0
192,4,15,5.0,7.0,12.0,12.0
193,4,16,5.0,5.0,12.0,13.0
194,4,17,5.0,5.0,12.0,12.0
195,4,18,5.0,5.0,12.0,12.0
196,4,19,5.0,5.0,12.0,12.0
197,4,20,5.0,7.0,12.0,12.0
198,4,21,5.0,7.0,12.0,11.0
199,4,22,5.0,6.0,12.0,11.0
200,4,23,5.0,6.0,12.0,12.0
201,4,24,5.0,6.0,12.0,11.0
202,4,25,5.0,5.0,12.0,11.0
203,4,26,5.0,9.0,12.0,13.0
204,4,27,5.0,4.0,12.0,9.0
205,4,28,5.0,6.0,12.0,11.0
206,4,29,5.0,5.0,12.0,10.0
207,4,30,5.0,5.0,12.0,10.0
208,4,31,5.0,5.0,12.0,12.0
209,4,32,5.0,7.0,12.0,12.0
210,4,33,5.0,6.0,12.0,11.0
211,4,34,5.0,5.0,12.0,10.0
212,4,35,5.0,7.0,12.0,12.0
213,4,36,5.0,7.0,12.0,11.0
214,4,37,5.0,5.0,12.0,11.0
215,4,38,5.0,5.0,12.0,12.0
216,4,39,5.0,6.0,12.0,11.0
217,4,40,5.0,7.0,12.0,12.0
218,4,41,5.0,7.0,12.0,11.0
219,4,42,5.0,6.0,12.0,11.0
220,4,43,5.0,6.0,12.0,12.0
221,4,44,5.0,8.0,12.0,12.0
222,4,45,5.0,5.0,12.0,11.0
223,4,46,5.0,5.0,12.0,10.0
224,4,47,5.0,7.0,12.0,13.0
225,5,6,6.0,5.0,11.0,11.0
226,5,7,6.0,6.0,11.0,13.0
227,5,8,6.0,5.0,11.0,11.0
228,5,9,6.0,5.0,11.0,12.0
229,5,10,6.0,5.0,11.0,11.0
230,5,11,6.0,5.0,11.0,11.0
231,5,12,6.0,8.0,11.0,16.0
232,5,13,6.0,8.0,11.0,16.0
233,5,14,6.0,8.0,11.0,11.0
234,5,15,6.0,7.0,11.0,12.0
235,5,16,6.0,5.0,11.0,13.0
236,5,17,6.0,5.0,11.0,12.0
237,5,18,6.0,5.0,11.0,12.0
238,5,19,6.0,5.0,11.0,12.0
239,5,20,6.0,7.0,11.0,12.0
240,5,21,6.0,7.0,11.0,11.0
241,5,22,6.0,6.0,11.0,11.0
242,5,23,6.0,6.0,11.0,12.0
243,5,24,6.0,6.0,11.0,11.0
244,5,25,6.0,5.0,11.0,11.0
245,5,26,6.0,9.0,11.0,13.0
246,5,27,6.0,4.0,11.0,9.0
247,5,28,6.0,6.0,11.0,11.0
248,5,29,6.0,5.0,11.0,10.0
249,5,30,6.0,5.0,11.0,10.0
250,5,31,6.0,5.0,11.0,12.0
251,5,32,6.0,7.0,11.0,12.0
252,5,33,6.0,6.0,11.0,11.0
253,5,34,6.0,5.0,11.0,10.0
254,5,35,6.0,7.0,11.0,12.0
255,5,36,6.0,7.0,11.0,11.0
256,5,37,6.0,5.0,11.0,11.0
257,5,38,6.0,5.0,11.0,12.0
258,5,39,6.0,6.0,11.0,11.0
259,5,40,6.0,7.0,11.0,12.0
260,5,41,6.0,7.0,11.0,11.0
261,5,42,6.0,6.0,11.0,11.0
262,5,43,6.0,6.0,11.0,12.0
263,5,44,6.0,8.0,11.0,12.0
264,5,45,6.0,5.0,11.0,11.0
265,5,46,6.0,5.0,11.0,10.0
266,5,47,6.0,7.0,11.0,13.0
267,6,7,5.0,6.0,11.0,13.0
268,6,8,5.0,5.0,11.0,11.0
269,6,9,5.0,5.0,11.0,12.0
270,6,10,5.0,5.0,11.0,11.0
271,6,11,5.0,5.0,11.0,11.0
272,6,12,5.0,8.0,11.0,16.0
273,6,13,5.0,8.0,11.0,16.0
274,6,14,5.0,8.0,11.0,11.0
275,6,15,5.0,7.0,11.0,12.0
276,6,16,5.0,5.0,11.0,13.0
277,6,17,5.0,5.0,11.0,12.0
278,6,18,5.0,5.0,11.0,12.0
279,6,19,5.0,5.0,11.0,12.0
280,6,20,5.0,7.0,11.0,12.0
281,6,21,5.0,7.0,11.0,11.0
282,6,22,5.0,6.0,11.0,11.0
283,6,23,5.0,6.0,11.0,12.0
284,6,24,5.0,6.0,11.0,11.0
285,6,25,5.0,5.0,11.0,11.0
286,6,26,5.0,9.0,11.0,13.0
287,6,27,5.0,4.0,11.0,9.0
288,6,28,5.0,6.0,11.0,11.0
289,6,29,5.0,5.0,11.0,10.0
290,6,30,5.0,5.0,11.0,10.0
291,6,31,5.0,5.0,11.0,12.0
292,6,32,5.0,7.0,11.0,12.0
293,6,33,5.0,6.0,11.0,11.0
294,6,34,5.0,5.0,11.0,10.0
295,6,35,5.0,7.0,11.0,12.0
296,6,36,5.0,7.0,11.0,11.0
297,6,37,5.0,5.0,11.0,11.0
298,6,38,5.0,5.0,11.0,12.0
299,6,39,5.0,6.0,11.0,11.0
300,6,40,5.0,7.0,11.0,12.0
301,6,41,5.0,7.0,11.0,11.0
302,6,42,5.0,6.0,11.0,11.0
303,6,43,5.0,6.0,11.0,12.0
304,6,44,5.0,8.0,11.0,12.0
305,6,45,5.0,5.0,11.0,11.0
306,6,46,5.0,5.0,11.0,10.0
307,6,47,5.0,7.0,11.0,13.0
308,7,8,6.0,5.0,13.0,11.0
309,7,9,6.0,5.0,13.0,12.0
310,7,10,6.0,5.0,13.0,11.0
311,7,11,6.0,5.0,13.0,11.0
312,7,12,6.0,8.0,13.0,16.0
313,7,13,6.0,8.0,13.0,16.0
314,7,14,6.0,8.0,13.0,11.0
315,7,15,6.0,7.0,13.0,12.0
316,7,16,6.0,5.0,13.0,13.0
317,7,17,6.0,5.0,13.0,12.0
318,7,18,6.0,5.0,13.0,12.0
319,7,19,6.0,5.0,13.0,12.0
320,7,20,6.0,7.0,13.0,12.0
321,7,21,6.0,7.0,13.0,11.0
322,7,22,6.0,6.0,13.0,11.0
323,7,23,6.0,6.0,13.0,12.0
324,7,24,6.0,6.0,13.0,11.0
325,7,25,6.0,5.0,13.0,11.0
326,7,26,6.0,9.0,13.0,13.0
327,7,27,6.0,4.0,13.0,9.0
328,7,28,6.0,6.0,13.0,11.0
329,7,29,6.0,5.0,13.0,10.0
330,7,30,6.0,5.0,13.0,10.0
331,7,31,6.0,5.0,13.0,12.0
332,7,32,6.0,7.0,13.0,12.0
333,7,33,6.0,6.0,13.0,11.0
334,7,34,6.0,5.0,13.0,10.0
335,7,35,6.0,7.0,13.0,12.0
336,7,36,6.0,7.0,13.0,11.0
337,7,37,6.0,5.0,13.0,11.0
338,7,38,6.0,5.0,13.0,12.0
339,7,39,6.0,6.0,13.0,11.0
340,7,40,6.0,7.0,13.0,12.0
341,7,41,6.0,7.0,13.0,11.0
342,7,42,6.0,6.0,13.0,11.0
343,7,43,6.0,6.0,13.0,12.0
344,7,44,6.0,8.0,13.0,12.0
345,7,45,6.0,5.0,13.0,11.0
346,7,46,6.0,5.0,13.0,10.0
347,7,47,6.0,7.0,13.0,13.0
348,8,9,5.0,5.0,11.0,12.0
349,8,10,5.0,5.0,11.0,11.0
350,8,11,5.0,5.0,11.0,11.0
351,8,12,5.0,8.0,11.0,16.0
352,8,13,5.0,8.0,11.0,16.0
353,8,14,5.0,8.0,11.0,11.0
354,8,15,5.0,7.0,11.0,12.0
355,8,16,5.0,5.0,11.0,13.0
356,8,17,5.0,5.0,11.0,12.0
357,8,18,5.0,5.0,11.0,12.0
358,8,19,5.0,5.0,11.0,12.0
359,8,20,5.0,7.0,11.0,12.0
360,8,21,5.0,7.0,11.0,11.0
361,8,22,5.0,6.0,11.0,11.0
362,8,23,5.0,6.0,11.0,12.0
363,8,24,5.0,6.0,11.0,11.0
364,8,25,5.0,5.0,11.0,11.0
365,8,26,5.0,9.0,11.0,13.0
366,8,27,5.0,4.0,11.0,9.0
367,8,28,5.0,6.0,11.0,11.0
368,8,29,5.0,5.0,11.0,10.0
369,8,30,5.0,5.0,11.0,10.0
370,8,31,5.0,5.0,11.0,12.0
371,8,32,5.0,7.0,11.0,12.0
372,8,33,5.0,6.0,11.0,11.0
373,8,34,5.0,5.0,11.0,10.0
374,8,35,5.0,7.0,11.0,12.0
375,8,36,5.0,7.0,11.0,11.0
376,8,37,5.0,5.0,11.0,11.0
377,8,38,5.0,5.0,11.0,12.0
378,8,39,5.0,6.0,11.0,11.0
379,8,40,5.0,7.0,11.0,12.0
380,8,41,5.0,7.0,11.0,11.0
381,8,42,5.0,6.0,11.0,11.0
382,8,43,5.0,6.0,11.0,12.0
383,8,44,5.0,8.0,11.0,12.0
384,8,45,5.0,5.0,11.0,11.0
385,8,46,5.0,5.0,11.0,10.0
386,8,47,5.0,7.0,11.0,13.0
387,9,10,5.0,5.0,12.0,11.0
388,9,11,5.0,5.0,12.0,11.0
389,9,12,5.0,8.0,12.0,16.0
390,9,13,5.0,8.0,12.0,16.0
391,9,14,5.0,8.0,12.0,11.0
392,9,15,5.0,7.0,12.0,12.0
393,9,16,5.0,5.0,12.0,13.0
394,9,17,5.0,5.0,12.0,12.0
395,9,18,5.0,5.0,12.0,12.0
396,9,19,5.0,5.0,12.0,12.0
397,9,20,5.0,7.0,12.0,12.0
398,9,21,5.0,7.0,12.0,11.0
399,9,22,5.0,6.0,12.0,11.0
400,9,23,5.0,6.0,12.0,12.0
401,9,24,5.0,6.0,12.0,11.0
402,9,25,5.0,5.0,12.0,11.0
403,9,26,5.0,9.0,12.0,13.0
404,9,27,5.0,4.0,12.0,9.0
405,9,28,5.0,6.0,12.0,11.0
406,9,29,5.0,5.0,12.0,10.0
407,9,30,5.0,5.0,12.0,10.0
408,9,31,5.0,5.0,12.0,12.0
409,9,32,5.0,7.0,12.0,12.0
410,9,33,5.0,6.0,12.0,11.0
411,9,34,5.0,5.0,12.0,10.0
412,9,35,5.0,7.0,12.0,12.0
413,9,36,5.0,7.0,12.0,11.0
414,9,37,5.0,5.0,12.0,11.0
415,9,38,5.0,5.0,12.0,12.0
416,9,39,5.0,6.0,12.0,11.0
417,9,40,5.0,7.0,12.0,12.0
418,9,41,5.0,7.0,12.0,11.0
419,9,42,5.0,6.0,12.0,11.0
420,9,43,5.0,6.0,12.0,12.0
421,9,44,5.0,8.0,12.0,12.0
422,9,45,5.0,5.0,12.0,11.0
423,9,46,5.0,5.0,12.0,10.0
424,9,47,5.0,7.0,12.0,13.0
425,10,11,5.0,5.0,11.0,11.0
426,10,12,5.0,8.0,11.0,16.0
427,10,13,5.0,8.0,11.0,16.0
428,10,14,5.0,8.0,11.0,11.0
429,10,15,5.0,7.0,11.0,12.0
430,10,16,5.0,5.0,11.0,13.0
431,10,17,5.0,5.0,11.0,12.0
432,10,18,5.0,5.0,11.0,12.0
433,10,19,5.0,5.0,11.0,12.0
434,10,20,5.0,7.0,11.0,12.0
435,10,21,5.0,7.0,11.0,11.0
436,10,22,5.0,6.0,11.0,11.0
437,10,23,5.0,6.0,11.0,12.0
438,10,24,5.0,6.0,11.0,11.0
439,10,25,5.0,5.0,11.0,11.0
440,10,26,5.0,9.0,11.0,13.0
441,10,27,5.0,4.0,11.0,9.0
442,10,28,5.0,6.0,11.0,11.0
443,10,29,5.0,5.0,11.0,10.0
444,10,30,5.0,5.0,11.0,10.0
445,10,31,5.0,5.0,11.0,12.0
446,10,32,5.0,7.0,11.0,12.0
447,10,33,5.0,6.0,11.0,11.0
448,10,34,5.0,5.0,11.0,10.0
449,10,35,5.0,7.0,11.0,12.0
450,10,36,5.0,7.0,11.0,11.0
451,10,37,5.0,5.0,11.0,11.0
452,10,38,5.0,5.0,11.0,12.0
453,10,39,5.0,6.0,11.0,11.0
454,10,40,5.0,7.0,11.0,12.0
455,10,41,5.0,7.0,11.0,11.0
456,10,42,5.0,6.0,11.0,11.0
457,10,43,5.0,6.0,11.0,12.0
458,10,44,5.0,8.0,11.0,12.0
459,10,45,5.0,5.0,11.0,11.0
460,10,46,5.0,5.0,11.0,10.0
461,10,47,5.0,7.0,11.0,13.0
462,11,12,5.0,8.0,11.0,16.0
463,11,13,5.0,8.0,11.0,16.0
464,11,14,5.0,8.0,11.0,11.0
465,11,15,5.0,7.0,11.0,12.0
466,11,16,5.0,5.0,11.0,13.0
467,11,17,5.0,5.0,11.0,12.0
468,11,18,5.0,5.0,11.0,12.0
469,11,19,5.0,5.0,11.0,12.0
470,11,20,5.0,7.0,11.0,12.0
471,11,21,5.0,7.0,11.0,11.0
472,11,22,5.0,6.0,11.0,11.0
473,11,23,5.0,6.0,11.0,12.0
474,11,24,5.0,6.0,11.0,11.0
475,11,25,5.0,5.0,11.0,11.0
476,11,26,5.0,9.0,11.0,13.0
477,11,27,5.0,4.0,11.0,9.0
478,11,28,5.0,6.0,11.0,11.0
479,11,29,5.0,5.0,11.0,10.0
480,11,30,5.0,5.0,11.0,10.0
481,11,31,5.0,5.0,11.0,12.0
482,11,32,5.0,7.0,11.0,12.0
483,11,33,5.0,6.0,11.0,11.0
484,11,34,5.0,5.0,11.0,10.0
485,11,35,5.0,7.0,11.0,12.0
486,11,36,5.0,7.0,11.0,11.0
487,11,37,5.0,5.0,11.0,11.0
488,11,38,5.0,5.0,11.0,12.0
489,11,39,5.0,6.0,11.0,11.0
490,11,40,5.0,7.0,11.0,12.0
491,11,41,5.0,7.0,11.0,11.0
492,11,42,5.0,6.0,11.0,11.0
493,11,43,5.0,6.0,11.0,12.0
494,11,44,5.0,8.0,11.0,12.0
495,11,45,5.0,5.0,11.0,11.0
496,11,46,5.0,5.0,11.0,10.0
497,11,47,5.0,7.0,11.0,13.0
498,12,13,8.0,8.0,16.0,16.0
499,12,14,8.0,8.0,16.0,11.0
500,12,15,8.0,7.0,16.0,12.0
501,12,16,8.0,5.0,16.0,13.0
502,12,17,8.0,5.0,16.0,12.0
503,12,18,8.0,5.0,16.0,12.0
504,12,19,8.0,5.0,16.0,12.0
505,12,20,8.0,7.0,16.0,12.0
506,12,21,8.0,7.0,16.0,11.0
507,12,22,8.0,6.0,16.0,11.0
508,12,23,8.0,6.0,16.0,12.0
509,12,24,8.0,6.0,16.0,11.0
510,12,25,8.0,5.0,16.0,11.0
511,12,26,8.0,9.0,16.0,13.0
512,12,27,8.0,4.0,16.0,9.0
513,12,28,8.0,6.0,16.0,11.0
514,12,29,8.0,5.0,16.0,10.0
515,12,30,8.0,5.0,16.0,10.0
516,12,31,8.0,5.0,16.0,12.0
517,12,32,8.0,7.0,16.0,12.0
518,12,33,8.0,6.0,16.0,11.0
519,12,34,8.0,5.0,16.0,10.0
520,12,35,8.0,7.0,16.0,12.0
521,12,36,8.0,7.0,16.0,11.0
522,12,37,8.0,5.0,16.0,11.0
523,12,38,8.0,5.0,16.0,12.0
524,12,39,8.0,6.0,16.0,11.0
525,12,40,8.0,7.0,16.0,12.0
526,12,41,8.0,7.0,16.0,11.0
527,12,42,8.0,6.0,16.0,11.0
528,12,43,8.0,6.0,16.0,12.0
529,12,44,8.0,8.0,16.0,12.0
530,12,45,8.0,5.0,16.0,11.0
531,12,46,8.0,5.0,16.0,10.0
532,12,47,8.0,7.0,16.0,13.0
533,13,14,8.0,8.0,16.0,11.0
534,13,15,8.0,7.0,16.0,12.0
535,13,16,8.0,5.0,16.0,13.0
536,13,17,8.0,5.0,16.0,12.0
537,13,18,8.0,5.0,16.0,12.0
538,13,19,8.0,5.0,16.0,12.0
539,13,20,8.0,7.0,16.0,12.0
540,13,21,8.0,7.0,16.0,11.0
541,13,22,8.0,6.0,16.0,11.0
542,13,23,8.0,6.0,16.0,12.0
543,13,24,8.0,6.0,16.0,11.0
544,13,25,8.0,5.0,16.0,11.0
545,13,26,8.0,9.0,16.0,13.0
546,13,27,8.0,4.0,16.0,9.0
547,13,28,8.0,6.0,16.0,11.0
548,13,29,8.0,5.0,16.0,10.0
549,13,30,8.0,5.0,16.0,10.0
550,13,31,8.0,5.0,16.0,12.0
551,13,32,8.0,7.0,16.0,12.0
552,13,33,8.0,6.0,16.0,11.0
553,13,34,8.0,5.0,16.0,10.0
554,13,35,8.0,7.0,16.0,12.0
555,13,36,8.0,7.0,16.0,11.0
556,13,37,8.0,5.0,16.0,11.0
557,13,38,8.0,5.0,16.0,12.0
558,13,39,8.0,6.0,16.0,11.0
559,13,40,8.0,7.0,16.0,12.0
560,13,41,8.0,7.0,16.0,11.0
561,13,42,8.0,6.0,16.0,11.0
562,13,43,8.0,6.0,16.0,12.0
563,13,44,8.0,8.0,16.0,12.0
564,13,45,8.0,5.0,16.0,11.0
565,13,46,8.0,5.0,16.0,10.0
566,13,47,8.0,7.0,16.0,13.0
567,14,15,8.0,7.0,11.0,12.0
568,14,16,8.0,5.0,11.0,13.0
569,14,17,8.0,5.0,11.0,12.0
570,14,18,8.0,5.0,11.0,12.0
571,14,19,8.0,5.0,11.0,12.0
572,14,20,8.0,7.0,11.0,12.0
573,14,21,8.0,7.0,11.0,11.0
574,14,22,8.0,6.0,11.0,11.0
575,14,23,8.0,6.0,11.0,12.0
576,14,24,8.0,6.0,11.0,11.0
577,14,25,8.0,5.0,11.0,11.0
578,14,26,8.0,9.0,11.0,13.0
579,14,27,8.0,4.0,11.0,9.0
580,14,28,8.0,6.0,11.0,11.0
581,14,29,8.0,5.0,11.0,10.0
582,14,30,8.0,5.0,11.0,10.0
583,14,31,8.0,5.0,11.0,12.0
584,14,32,8.0,7.0,11.0,12.0
585,14,33,8.0,6.0,11.0,11.0
586,14,34,8.0,5.0,11.0,10.0
587,14,35,8.0,7.0,11.0,12.0
588,14,36,8.0,7.0,11.0,11.0
589,14,37,8.0,5.0,11.0,11.0
590,14,38,8.0,5.0,11.0,12.0
591,14,39,8.0,6.0,11.0,11.0
592,14,40,8.0,7.0,11.0,12.0
593,14,41,8.0,7.0,11.0,11.0
594,14,42,8.0,6.0,11.0,11.0
595,14,43,8.0,6.0,11.0,12.0
596,14,44,8.0,8.0,11.0,12.0
597,14,45,8.0,5.0,11.0,11.0
598,14,46,8.0,5.0,11.0,10.0
599,14,47,8.0,7.0,11.0,13.0
600,15,16,7.0,5.0,12.0,13.0
601,15,17,7.0,5.0,12.0,12.0
602,15,18,7.0,5.0,12.0,12.0
603,15,19,7.0,5.0,12.0,12.0
604,15,20,7.0,7.0,12.0,12.0
605,15,21,7.0,7.0,12.0,11.0
606,15,22,7.0,6.0,12.0,11.0
607,15,23,7.0,6.0,12.0,12.0
608,15,24,7.0,6.0,12.0,11.0
609,15,25,7.0,5.0,12.0,11.0
610,15,26,7.0,9.0,12.0,13.0
611,15,27,7.0,4.0,12.0,9.0
612,15,28,7.0,6.0,12.0,11.0
613,15,29,7.0,5.0,12.0,10.0
614,15,30,7.0,5.0,12.0,10.0
615,15,31,7.0,5.0,12.0,12.0
616,15,32,7.0,7.0,12.0,12.0
617,15,33,7.0,6.0,12.0,11.0
618,15,34,7.0,5.0,12.0,10.0
619,15,35,7.0,7.0,12.0,12.0
620,15,36,7.0,7.0,12.0,11.0
621,15,37,7.0,5.0,12.0,11.0
622,15,38,7.0,5.0,12.0,12.0
623,15,39,7.0,6.0,12.0,11.0
624,15,40,7.0,7.0,12.0,12.0
625,15,41,7.0,7.0,12.0,11.0
626,15,42,7.0,6.0,12.0,11.0
627,15,43,7.0,6.0,12.0,12.0
628,15,44,7.0,8.0,12.0,12.0
629,15,45,7.0,5.0,12.0,11.0
630,15,46,7.0,5.0,12.0,10.0
