segment_id,slot_id,threshold_low,threshold_high,unit_price
SEGcc611c8e89,TS31df6c22e6,0.721,0.722,178.06
SEGce45019f0b,TS9dba1a3b01,0.721,0.722,178.06
SEG34e98daab8,TS78f161f2ff,15.0,18.5,108.435
SEGf0694dea49,TSf0e592f52c,0.721,0.722,178.06
SEGf593a7829b,TS741a1f1b80,1.03,5.16,168.131
SEG5f9f46dd57,TS68bd1ddae5,0.721,0.722,178.06
SEGec7fe77a59,TS7c3e8eda03,255.0,258.0,221.953
SEG77997b4dde,TSf988146cfc,0.36,0.9,171.336
SEG87a933c624,TS0c0829db4c,147.1,167.0,18.1333
SEGf9232cb2ac,TS31df6c22e6,158.3,165.7,100.75
SEGaa935583cf,TS40e6d8607e,23.5,32.8,141.012
SEG7a5774ca09,TS4447a8fd1d,15.0,18.5,108.435
SEGc6ea5ae9b9,TS2caf91eb09,185.0,220.0,21.3154
SEGf7e2732dfe,TS25e8984bfe,2.1,8.4,149.385
SEGc6d10f4a09,TS5f1586151b,65.0,79.4,54.9888
SEG162e8b2b83,TS7376d266d9,258.1,300.9,218.044
SEG1668aea967,TS87d83de23a,135.0,152.4,55.6976
SEG419a9d315a,TS4d5a110698,18.6,26.0,102.885
SEG1b7886083f,TS87c63a4e02,10.0,14.0,215.54
SEG1eb6cbefe6,TSeb9415d128,105.9,141.04,50.8469
SEGc81009bbc2,TS7143fb07ff,2.1,8.4,149.385
SEG75caa46a4b,TS04c42a0beb,165.8,189.09,100.23
SEG73d6261f07,TS4c537bf323,97.0,134.9,54.9607
SEG1d44e4a75f,TS49044e168e,33.7,37.5,93.9432
SEGeff1c7640f,TSd08b69a66f,33.7,37.5,93.9432
SEG258f094e36,TS7bda0322ac,79.5,105.8,52.9179
SEGbeec1a6de0,TSb32f93b444,328.1,399.7,100.467
SEG8619e27355,TS4bbcbe666d,105.9,136.3,130.382
SEG20c9459336,TS3f4a752d20,117.0,129.0,0.353573
SEG2e37d2de7d,TSf98c56f109,158.3,165.7,100.75
SEGf7b837ed74,TS87d83de23a,33.7,37.5,93.9432
SEGd47ec9cc6b,TS7742df5bec,88.8,113.9,57.7753
SEG8201d4d0e9,TS37ff698958,70.1,75.0,61.8359
SEG2c35452a5f,TS7cb9d4122f,70.1,85.3,64.8355
SEG8dd19d8adc,TS77f91674dc,258.1,300.9,218.044
SEGad2857f1c8,TSe9513bdbd6,117.0,129.0,0.353573
SEGd58051511a,TSbe35f40078,315.3,331.5,98.3015
SEGf9591d6cc3,TS40e6d8607e,328.1,400.0,100.467
SEG6f5b71bd98,TS0c139ee02f,15.0,18.5,108.435
SEG26907e4401,TS278d9f1fcc,165.8,189.09,100.23
SEG0a225c91c9,TS0c139ee02f,33.7,37.5,93.9432
SEGd3aec278b7,TS7c3e8eda03,50.0,70.0,64.9502
SEG1e14c32f3e,TS4c537bf323,100.0,155.9,190.763
SEG2cc346887b,TSfa3e5079a3,156.0,156.25,157.534
SEGd35dcca921,TS3856554761,117.0,129.0,0.353573
SEG873ae545c7,TS632a2e8ee3,202.0,205.0,177.555
SEG393e815a33,TSe8cf6380ac,147.1,167.0,18.1333
SEG5a2d04f5fd,TS36061ce77d,310.2,328.0,106.131
SEG592d9acc25,TS98b842dd92,205.1,240.0,174.556
SEG9d4fcb995b,TSa0373678c6,331.6,395.9,98.0178
SEG980ef4616d,TS25a9345498,18.6,26.0,102.885
SEGf4938a7fb5,TSde0255c439,258.1,300.9,218.044
SEG33f1e68856,TS87c63a4e02,50.0,70.0,64.9502
SEG66796b9b10,TSfeb615966d,5.936,5.937,127.251
SEG928c0ff3e6,TSfa31d84579,1.462,2.924,152.17
SEGdba30dc135,TS5624c05049,50.0,70.0,64.9502
SEG857fc9d6fa,TS8c634a4f2c,105.9,136.3,130.382
SEGcee07e88ba,TS49044e168e,117.1,147.0,19.3657
SEG73f3bbb9c0,TSc7c50e9162,187.1,208.0,16.5371
SEG938bdea01f,TScfb121d745,205.1,240.0,174.556
SEG23948d6584,TS3856554761,33.7,37.5,93.9432
SEG58da82d8c0,TSc99f6324df,88.8,113.9,55.9683
SEG799fac5ca0,TScb0b285159,14.1,23.4,155.573
SEGc4f7913c47,TS0e5dfbabce,88.8,113.9,57.7753
SEGdaefc7147b,TSd5ab48622e,0.653,1.959,195.46
SEG96aee23275,TS5624c05049,114.0,130.3,54.9015
SEG691e216290,TS25116cbe77,124.1,144.7,30.0234
SEG0f7c5a6692,TS478fa29d45,33.7,37.5,93.9432
SEG13787f396c,TSb32f93b444,167.1,187.0,17.2241
SEG64989ffec2,TSeb9415d128,50.0,70.0,64.9502
SEG4a004cf1e4,TSf3c4cf7d55,18.6,26.0,102.885
SEGb7e9b47ac4,TS6ef1672b5d,65.0,79.4,54.9888
SEGda2525e6b8,TSc84e67f3cf,315.3,331.5,98.3015
SEGee4fd027d4,TSf6619c37bf,315.3,331.5,98.3015
SEG3e3275d269,TS21c7a3001a,124.1,144.7,342.542
SEGb656417aad,TS432824cef5,255.0,258.0,221.953
SEG0343eaf220,TS42d0b628c0,331.6,395.9,98.0178
SEG7ade63de16,TS8a4ad29ceb,312.6,400.0,165.56
SEG1a1e00dd79,TS26b55ccfc1,250.1,280.0,18.9919
SEG59b5899c47,TSf0e592f52c,240.1,312.5,172.836
SEG7a90c7d121,TS030306ac46,79.5,105.8,52.9179
SEGdd4b72f197,TS5be34975d7,310.0,315.2,98.727
SEGe2626f053f,TS31df6c22e6,301.0,344.0,212.286
SEG6111b4e5d5,TS3f6b29d3d4,187.1,208.0,16.5371
SEGb25ad351cc,TS9dba1a3b01,50.0,70.0,64.9502
SEG80e9e80c25,TSc9b8f16ba0,105.9,141.04,130.352
SEG2ed631775b,TS4d5a110698,185.0,220.0,21.3154
SEG5ba4a40169,TS6ff2389c54,255.0,258.0,221.953
SEG5a70033255,TS6b2a8043e4,158.3,165.7,100.75
SEG3f303b6c2c,TSf0553561e8,10.0,14.0,215.54
SEGa2bea50231,TSc99f6324df,15.0,18.5,108.435
SEGeee4fcc2cf,TSd18d3cfa89,97.0,134.9,54.9607
SEG3ba97a9004,TS7bda0322ac,114.0,136.4,56.9391
SEG4f75952bf2,TS8a860b9b72,15.0,18.5,108.435
SEG19cb22d748,TS443ac81312,301.0,344.0,212.286
SEGf547154f42,TSf25add6f3a,185.0,220.0,21.3154
SEGce570d68ff,TSe9c90cedfa,310.0,328.0,106.131
SEG67b750b986,TS6b2a8043e4,70.1,85.3,64.8355
SEG33795b01d8,TSf5bb5644d6,310.0,328.0,106.131
SEGc3cc961ab2,TS37ff698958,165.8,189.09,100.23
SEGda1daa1cfe,TS73837dcaff,152.5,165.9,55.738
SEGa623639a70,TS8895174cf3,50.0,70.0,61.4538
SEG098b79c1cc,TS2e3a4076ec,185.0,220.0,21.3154
SEGfe7d0e5fba,TS31df6c22e6,147.1,167.0,18.1333
SEG03efb1375d,TS25116cbe77,117.1,147.0,19.3657
SEG3866863d58,TSe5a8bddd9e,50.0,70.0,61.4538
SEGef8ba82c59,TS5be34975d7,301.0,344.0,212.286
SEG3839d1a947,TS9dba1a3b01,90.0,96.9,56.6363
SEG1cca044372,TScbb1097136,344.1,386.5,206.618
SEGf859330959,TS4d5a110698,165.5,208.0,310.326
SEG53a0c88af3,TS50f763e077,167.1,187.0,17.2241
SEG52b88b7636,TS4d5a110698,6.2,6.3,109.264
SEGef02d98ddb,TSc99f6324df,90.0,96.9,56.6363
SEG5d2c0c9986,TS2661a11a3f,172.1,193.0,0.515207
SEG300e981684,TS98b842dd92,315.3,331.5,98.3015
SEGa092abad6c,TS5ea5d90b6c,165.8,189.09,100.23
SEG9a3c695766,TSa55de547fe,0.721,0.722,178.06
SEG6cf754bcfb,TSeb58535d43,0.653,1.959,195.46
SEG881ccdd9bd,TS73837dcaff,75.0,88.7,59.6592
SEG038a17fb9b,TS8a4ad29ceb,14.1,23.4,155.573
SEG39b638b137,TSa0373678c6,124.1,144.7,30.0234
SEG54ab333cb0,TS443166fe6c,310.2,328.0,106.131
SEGf320f26e7e,TS97e6bd8f9b,50.0,70.0,64.9502
SEG13bccd06ac,TS4bbcbe666d,65.0,79.4,142.403
SEG8f02045771,TS49044e168e,158.3,165.7,100.75
SEGf68081b7d2,TS6ff2389c54,75.0,88.7,59.6592
SEG8ffa82107e,TSd08b69a66f,97.0,134.9,54.9607
SEG92aed66bf1,TS632a2e8ee3,79.5,105.8,134.928
SEG26a5778a73,TS04c42a0beb,165.5,208.0,310.326
SEGf8ce8c1844,TS5ea5d90b6c,15.0,18.5,108.435
SEG3bb31af24e,TS7c3e8eda03,155.1,158.2,101.649
SEGa48295fe38,TS04c42a0beb,50.0,70.0,64.9502
SEGc00384b604,TS0064756dcb,90.0,96.9,56.6363
SEG43e3c64c75,TS2f96a4be85,50.0,70.0,64.9502
SEGab0e0a7623,TS666767b301,32.9,37.5,135.447
SEG2c671e448d,TSda9affbe11,14.1,23.4,155.573
SEG1e0141c2ca,TSa0373678c6,117.0,129.0,0.353573
SEG22d9949abd,TSd08b69a66f,0.721,0.722,178.06
SEG5e493544ef,TS25a9345498,105.9,136.3,51.34
SEGe9af54f8bd,TSf0553561e8,255.0,258.0,221.953
SEG4103f9f583,TSa790cd60e5,155.0,158.2,101.649
SEGf7cfa82a87,TS2f96a4be85,240.1,312.5,172.836
SEGe8811760e9,TS666767b301,79.5,105.8,134.928
SEG55138d2850,TSa442a672e5,135.0,152.4,55.6976
SEG1721c72508,TS5be34975d7,310.0,328.0,106.131
SEG445e9be339,TSa18c1ed2d2,280.1,321.4,17.9312
SEGb8a2a50859,TS3d7ccb0210,115.0,124.0,373.859
SEG39fef9b7ca,TS50f763e077,26.1,33.6,96.7136
SEG4ca5083f5f,TS04c42a0beb,0.721,0.722,178.06
SEG2448efaf79,TSd29e70c128,26.1,33.6,96.7136
SEG4bb897d055,TSbc57395db7,79.5,105.8,52.9179
SEG507e403c5b,TS6b2a8043e4,124.1,144.7,342.542
SEGefcff6f61e,TS8bd964e3f8,331.6,395.9,98.0178
SEG1131d75f68,TSf7c05ecaf1,115.0,117.0,20.2143
SEGa7da2b3368,TS84b8520c28,65.0,79.4,142.403
SEG6653ea4abd,TS8a4ad29ceb,15.0,18.5,108.435
SEG52bd66bba8,TS543272cc34,155.1,158.2,101.649
SEG5e184a3a81,TS9215f23210,90.0,96.9,56.6363
SEG6870228d31,TS84b8520c28,129.1,150.4,0.393982
SEG350e72b5f5,TSb0a72470c9,10.0,14.0,215.54
SEG221c99c1da,TS8c634a4f2c,158.3,165.7,100.75
SEG52c6481938,TSea8ddd055f,79.5,105.8,52.9179
SEG913aea7536,TSf0e592f52c,105.9,141.04,130.352
SEGba126982ff,TS4bbcbe666d,10.0,14.0,215.54
SEG4dec5a28e5,TS07d3a63e2b,135.0,152.4,55.6976
SEGe2c0ec8f15,TS632a2e8ee3,75.0,88.7,58.2271
SEG83acbfc85c,TS5c28dfa9ca,105.9,136.3,51.34
SEG0af11f1b95,TS632a2e8ee3,135.0,152.4,55.6976
SEG90d3ec0b38,TS7bda0322ac,147.1,167.0,18.1333
SEGf191aad4be,TS31165b053e,331.6,395.9,98.0178
SEG0733dd7fdf,TS31165b053e,105.9,141.04,50.8469
SEG86a596815f,TSee8f79fd45,144.8,165.4,326.954
SEG35b405c073,TS42d0b628c0,100.0,155.9,190.763
SEG07cc9bbaa4,TS84b8520c28,105.9,141.04,130.352
SEG17b194d976,TSf98c56f109,115.0,124.0,34.0239
SEG6718c1b97e,TSb0a72470c9,156.0,156.25,157.534
SEG263af7b4e5,TSa790cd60e5,255.0,258.0,221.953
SEG9ddf0a31c4,TS07d3a63e2b,124.1,144.7,342.542
SEG374dcd9293,TSda9affbe11,100.0,155.9,171.978
SEGe650e683e6,TS25e8984bfe,220.1,250.0,20.3456
SEG6e326cf13f,TS8895174cf3,115.0,117.0,20.2143
SEG4dc4cef44f,TS4447a8fd1d,147.1,167.0,18.1333
SEGe253a4940c,TSf8f59db910,88.8,113.9,57.7753
SEGf35303bc31,TS7376d266d9,165.8,189.09,100.23
SEG8ccd42ecdf,TS09c93edef7,70.1,75.0,61.8359
SEG6d3d322c97,TS21c7a3001a,315.3,331.5,98.3015
SEG5f92133780,TSf8f59db910,79.5,105.8,134.928
SEG1bf07a2968,TS0afeb9f6ae,331.6,395.9,98.0178
SEG27d5b4a0ef,TS25116cbe77,65.0,79.4,54.9888
SEG0b32594869,TS4447a8fd1d,97.0,134.9,54.9607
SEG80b767e03d,TS55c54cd19d,114.0,136.4,56.9391
SEG07b9427869,TS42d0b628c0,240.1,312.5,172.836
SEG8757670d01,TS7c3e8eda03,144.8,165.4,326.954
SEGbbacea5ddd,TS84b8520c28,0.653,1.959,195.46
SEG0e0f538860,TSe9513bdbd6,10.0,14.0,215.54
SEG0e05c2e18d,TS40e6d8607e,5.936,5.937,127.251
SEG6c4d6e2b46,TS6ef1672b5d,165.5,208.0,310.326
SEGaf381e1818,TS7cf3133006,33.7,37.5,93.9432
SEG094fd8a6c7,TS3f6b29d3d4,26.1,33.6,96.7136
SEG14c547c300,TS31165b053e,250.1,280.0,18.9919
SEG9fe3e8ac90,TS2130a64621,202.0,205.0,177.555
SEG8ec328b42a,TS278d9f1fcc,79.5,105.8,52.9179
SEG1aeadfc504,TSda9affbe11,18.6,26.0,102.885
SEGf7aabf394b,TS97e6bd8f9b,147.1,167.0,18.1333
SEG788bd1a368,TSf5bb5644d6,147.1,167.0,18.1333
SEG9786b302a4,TS04fcc74874,150.5,172.0,0.444492
SEGe479ee60ad,TS5be34975d7,75.0,88.7,58.2271
SEG293124cb61,TS26b55ccfc1,79.5,105.8,52.9179
SEGfa96f664aa,TSb0a72470c9,65.0,79.4,142.393
SEGade5acabba,TS7c3e8eda03,301.0,344.0,212.286
SEGd6e95c1835,TSa442a672e5,79.5,105.8,52.9179
SEGb1a0ee7ae6,TS2661a11a3f,312.6,400.0,165.56
SEG2c837636fd,TS7742df5bec,79.5,105.8,52.4445
SEG58ec6970a6,TSf426558a2a,88.8,113.9,57.7753
SEG7831d29721,TS4447a8fd1d,75.0,88.7,59.6592
SEG41494f85bf,TS2661a11a3f,65.0,79.4,55.5115
SEG4229ede5c7,TSbc57395db7,14.1,23.4,155.573
SEG80445c2f2e,TSea8ddd055f,50.0,70.0,61.4538
SEG3a4ce5b83b,TSfeb615966d,70.1,85.3,64.8355
SEG6ed69b9866,TS7bda0322ac,10.0,14.0,215.54
SEG72e8f56093,TSea8ddd055f,155.0,158.2,101.649
SEG8309845f47,TS1f1def30c4,310.0,315.2,98.727
SEG00f8558720,TS2661a11a3f,165.8,194.39,100.23
SEGc86a721abc,TS5b76c70c04,75.0,88.7,58.2271
SEGb842c1a4c7,TS6f1fc6830c,301.0,344.0,212.286
SEGd2b6f027dd,TS741a1f1b80,117.1,147.0,19.3657
SEGf101c0c18f,TSc43ca385e8,105.9,136.3,51.34
SEG3b173e6948,TSf7c05ecaf1,135.0,152.4,55.6976
SEG08a07962ed,TS55c54cd19d,0.653,1.959,195.46
SEGf06d1802b0,TS7143fb07ff,0.721,0.722,178.06
SEG4019023a46,TS2e3a4076ec,202.0,205.0,177.555
SEGdd40b0409c,TSda410e142f,250.1,280.0,18.9919
SEG42cb56cc09,TS632a2e8ee3,70.1,75.0,61.8359
SEG793c30f24b,TS87c63a4e02,117.1,147.0,19.3657
SEGef506657be,TS7742df5bec,220.1,250.0,20.3456
SEG32745e4ce0,TS3856554761,1.03,5.16,168.131
SEG638335b0e7,TSf8f59db910,114.0,130.3,54.9015
SEGbf26173f89,TS25116cbe77,115.0,124.0,34.0239
SEG454bb05b24,TSd0fc980b3a,310.2,328.0,106.131
SEG9ac4d9d996,TS5be34975d7,115.0,117.0,20.2143
SEGdc2cfe448b,TSb32f93b444,114.0,136.4,56.9391
SEGd063341e82,TS3f6b29d3d4,100.0,155.9,171.978
SEGaede4e4014,TScb0b285159,205.1,240.0,174.556
SEG2e721d0c77,TS6f1fc6830c,310.2,328.0,106.131
SEG4c18c1c4ba,TS77f91674dc,280.1,321.4,17.9312
SEGd3ef97424f,TSeb58535d43,1.03,5.16,168.131
SEG8516c5417f,TSbc57395db7,344.1,386.5,206.618
SEG245af7581d,TSc7c50e9162,65.0,79.4,54.9888
SEG0eaad6f57d,TSbc57395db7,2.1,8.4,149.385
SEGb0040439fd,TS5368b7fc42,315.3,331.5,98.3015
SEG7327ef177b,TS21c7a3001a,158.3,165.7,100.75
SEGe3fe26aa6e,TS3856554761,301.0,344.0,212.286
SEG91ba4d763d,TS7742df5bec,156.0,156.25,157.534
SEG03a7664ca4,TS4447a8fd1d,115.0,124.0,373.859
SEG8af5dcad4e,TSf3c4cf7d55,129.1,150.4,0.393982
SEG82fb5a5f5e,TSf2f132c858,220.1,250.0,20.3456
SEGfb47ceccf1,TSfa3e5079a3,33.7,37.5,93.9432
SEGfa9abe88c0,TSa114592a6e,26.1,33.6,96.7136
SEG7062870c32,TS7c3e8eda03,202.0,205.0,177.555
SEG785987e9d5,TSf8f59db910,117.1,147.0,19.3657
SEG4d3606be4e,TS37ff698958,117.0,129.0,0.353573
SEG824c9dafa9,TSc7c50e9162,187.1,208.0,16.5371
SEG396378f137,TS25a9345498,105.9,136.3,130.382
SEGf4650172e9,TS32530bb46a,156.0,156.25,171.09
SEGbec3f9fc70,TS0e0b71e89c,114.0,136.4,56.9391
SEGc03212152f,TS42d0b628c0,50.0,70.0,61.4538
SEGa7755ff70e,TS68cccee489,150.5,172.0,0.444492
SEG6926d8224d,TS31df6c22e6,115.0,124.0,34.0239
SEGddcd713b7d,TS6e1a677fa1,105.9,136.3,130.382
SEGe1b3634983,TS6b2a8043e4,18.6,26.0,102.885
SEGbabb1521cb,TS055580bf5d,6.2,6.3,109.264
SEG384c36dda4,TS36061ce77d,33.7,37.5,93.9432
SEG905cb46f68,TSee8f79fd45,90.0,96.9,56.6363
SEG66098164f1,TS249557872b,158.3,165.7,100.75
SEGfead32d4bb,TSf6619c37bf,18.6,26.0,102.885
SEGf8b93aef91,TS25a9345498,32.9,37.5,135.447
SEGe9247edc7e,TS2e3a4076ec,2.1,8.4,149.385
SEG2a894b6782,TS632a2e8ee3,79.5,105.8,52.9179
SEGde1e10776f,TS76d4197a5d,33.7,37.5,93.9432
SEG93c88edbfd,TSf450088623,187.1,208.0,16.5371
SEG0502451e2f,TS7bda0322ac,15.0,18.5,108.435
SEG888d4ffbdc,TSe5a8bddd9e,156.0,156.25,171.09
SEG15a1bbe9c6,TS2caf91eb09,240.1,312.5,172.836
SEG0ca1f55ec4,TSf450088623,258.1,300.9,218.044
SEG4c3ac42efc,TSa2bddef18e,310.2,328.0,106.131
SEGdb208bff50,TS68cccee489,105.9,141.04,130.352
SEG6ee1968d33,TS55c54cd19d,255.0,258.0,221.953
SEG6de8e1e955,TSa55de547fe,315.3,331.5,98.3015
SEG3f31f2b75e,TS7cf3133006,167.1,187.0,17.2241
SEGb735494ae5,TSf450088623,0.653,1.959,195.46
SEG718ddfb302,TS055580bf5d,105.9,136.3,130.382
SEG41c88a3cee,TS77f91674dc,147.1,167.0,18.1333
SEG69f9e5a496,TS0e2a47f426,75.0,88.7,59.6592
SEGf872f1ac24,TSff6b080e7d,152.5,165.9,55.738
SEG75dba06117,TS6f1fc6830c,328.1,399.7,100.467
SEG628e558dab,TSe0b6ccf3df,310.0,328.0,106.131
SEG3dae3c2882,TS8a860b9b72,147.1,167.0,18.1333
SEGcacec644c4,TSa790cd60e5,50.0,70.0,64.9502
SEG48ebe73afb,TSc84e67f3cf,70.1,75.0,61.8359
SEGa0b2943769,TS3f6b29d3d4,0.36,0.9,171.336
SEG5002ca4d4d,TSa0373678c6,167.1,187.0,17.2241
SEG35ae787a25,TS68bd1ddae5,144.8,165.4,326.954
SEGf100be713f,TSea8ddd055f,65.0,79.4,142.403
SEGa141575a5a,TS8ea511c0a1,100.0,155.9,171.978
SEGe7bcdeffc7,TS2e3a4076ec,193.1,226.8,0.57582
SEG0b3cce9d98,TS469a3b02e2,255.0,258.0,221.953
SEGec00f89ebe,TS50f763e077,167.1,187.0,17.2241
SEGef8a40262d,TSa18c1ed2d2,240.1,312.5,172.836
SEG1f17ab601a,TSa790cd60e5,124.1,144.7,342.542
SEG12c8138548,TS4c537bf323,88.8,113.9,57.7753
SEG62c12710ed,TSf3c4cf7d55,187.1,208.0,16.5371
SEG6c770ee7fe,TS76d4197a5d,185.0,220.0,21.3154
SEG3d65bc97b9,TS68cccee489,26.1,33.6,96.7136
SEG98bb50d48c,TS84b8520c28,65.0,79.4,142.393
SEG637c48d8ef,TSe9513bdbd6,312.6,400.0,165.56
SEG7c103dbdff,TS7cb9d4122f,144.8,165.4,326.954
SEG839e964d93,TS5be34975d7,75.0,88.7,59.6592
SEG3f8777df5a,TS30f6b06801,165.8,194.39,100.23
SEG72297dc304,TS2e3a4076ec,75.1,85.5,62.0938
SEGc033196169,TS2caf91eb09,328.1,400.0,100.467
SEGd651dcb048,TSfa3e5079a3,312.6,400.0,165.56
SEG10f24bbfef,TS7143fb07ff,18.6,26.0,102.885
SEG981f019d6b,TS36061ce77d,315.3,331.5,98.3015
SEG8011a31a85,TSa5f1ec3f85,88.8,113.9,55.9683
SEG1f920821ed,TSf25add6f3a,50.0,70.0,64.9502
SEG308617b2e4,TS8c634a4f2c,23.5,32.8,141.012
SEGe0af1ff52b,TScbb1097136,10.0,14.0,215.54
SEG6d263f7f34,TS04fcc74874,165.8,194.39,100.23
SEG6d4710b173,TS77f91674dc,23.5,32.8,141.012
SEG55067dd66d,TSda410e142f,70.1,75.0,61.8359
SEG7559563554,TSf8f59db910,5.936,5.937,127.251
SEG28aa40a569,TS2f96a4be85,310.2,328.0,106.131
SEG417a4bb19e,TSd18d3cfa89,115.0,124.0,373.859
SEG49160be66c,TSa442a672e5,147.1,167.0,18.1333
SEGcf31301db8,TS37ff698958,0.36,0.9,171.336
SEG68bef939ed,TS4aff6b5863,70.1,75.0,61.8359
SEG4744b569fe,TS87c63a4e02,152.5,165.9,55.738
SEGbbf53cb3d7,TS666767b301,26.1,33.6,96.7136
SEG0354c8a6f7,TS7c3e8eda03,158.3,165.7,100.75
SEG8c7f709942,TSf450088623,65.0,79.4,142.393
SEG2ad7696d92,TS9215f23210,115.0,124.0,373.859
SEGb98ce7a599,TS469a3b02e2,114.0,136.4,56.9391
SEGbc40bd1fb8,TS8895174cf3,70.1,85.3,64.8355
SEGc0c061a76d,TSe9c90cedfa,255.0,258.0,221.953
SEG17a8781a1b,TS8ea511c0a1,115.0,117.0,20.2143
SEG17fe16d41d,TS37ff698958,1.462,2.924,152.17
SEGd3ba3fe1a5,TSf450088623,386.6,434.8,201.092
SEG6e3624a472,TSa2bddef18e,187.1,208.0,16.5371
SEG217989b1fc,TSc11915e3ee,315.3,331.5,98.3015
SEGb1494ac87c,TSfa31d84579,312.6,400.0,165.56
SEG63ec13eadf,TSb0a72470c9,328.1,400.0,100.467
SEGf5080c1083,TS09c93edef7,386.6,434.8,201.092
SEG4ea5f7fb4a,TSe8cf6380ac,26.1,33.6,96.7136
SEG66c4a509de,TS3f6b29d3d4,79.5,105.8,52.4445
SEG80b959fd2f,TS242b6d35a5,115.0,124.0,373.859
SEG0016c503a7,TSda9affbe11,100.0,155.9,190.763
SEGac893bae0d,TS2661a11a3f,386.6,434.8,201.092
SEGfdf10dd9b5,TS4c537bf323,312.6,400.0,165.56
SEG69b3c63751,TSf5bb5644d6,0.721,0.722,178.06
SEGdccdaef334,TS9dba1a3b01,88.8,113.9,57.7753
SEG919b91b659,TS6ef1672b5d,185.0,220.0,21.3154
SEG75480a1fba,TS8a860b9b72,187.1,208.0,16.5371
SEGe74c7fa907,TS874720f008,117.0,129.0,0.353573
SEG4bdcb1be34,TS8c634a4f2c,124.1,144.7,30.0234
SEGc8172b804b,TS3f6b29d3d4,165.5,208.0,310.326
SEG955fffaa92,TS8895174cf3,310.2,328.0,106.131
SEG46dae5d7ee,TSf0553561e8,105.9,136.3,51.34
SEG86fdb0080a,TSde0255c439,75.0,88.7,59.6592
SEG327e53a432,TS8895174cf3,172.1,193.0,0.515207
SEG5600bd4ddb,TS31df6c22e6,165.8,189.09,100.23
SEGe9ee7dbb04,TS6e1a677fa1,310.2,328.0,106.131
SEG93f9cc5f7b,TS25a9345498,150.5,172.0,0.444492
SEG6648ad3994,TS5ea5d90b6c,65.0,79.4,142.393
SEG5608eb6417,TS3f6b29d3d4,155.1,158.2,101.649
SEGcba34be8eb,TSf2f132c858,18.6,26.0,102.885
SEG2527c92a73,TSee8f79fd45,115.0,124.0,373.859
SEG26b5e2de4b,TScfb121d745,1.462,2.924,152.17
SEGc93be4e415,TS4447a8fd1d,105.9,136.3,51.34
SEGfee131c204,TSf450088623,156.0,156.25,157.534
SEG08d81ba647,TS4bbcbe666d,155.1,158.2,101.649
SEGedc77b96c9,TS4aff6b5863,114.0,130.3,54.9015
SEG1d850f25cf,TS36061ce77d,18.6,26.0,102.885
SEG52e7455081,TS37ff698958,60.0,85.5,88.5458
SEG70bb55df95,TS6b2a8043e4,165.5,208.0,310.326
