Mode_ID,Global_Resource_ID,Amount
C0368,3,2800.0
C0374,3,2800.0
C0380,3,98608.0
C0385,3,162400.0
C0390,3,58800.0
C0396,3,5600.0
C0402,3,43943.0
C0407,3,50400.0
C0412,3,16800.0
C0418,3,5600.0
C0424,3,10729.0
C0429,3,16800.0
C0435,3,8400.0
C0441,3,5600.0
C0447,3,23919.0
C0452,3,33600.0
C0458,3,11200.0
C0464,3,2800.0
C0476,3,8400.0
C0482,3,2800.0
C0487,3,8460.0
C0492,3,16800.0
C0498,3,11200.0
C0504,3,8400.0
C0506,3,2993.0
C0512,3,5600.0
C0518,3,5600.0
C0539,3,23199.0
C0544,3,22400.0
C0550,3,2800.0
C0557,3,6740.0
C0562,3,5600.0
C0568,3,2800.0
C0574,3,11829.0
C0579,3,5600.0
C0585,3,2800.0
C0591,3,24888.0
C0596,3,28000.0
C0602,3,2800.0
C0609,3,9418.0
C0614,3,16800.0
C0620,3,32571.0
C0625,3,16800.0
C0632,3,8594.0
C0637,3,2800.0
C0643,3,5300.0
C0649,3,11200.0
C0653,3,30861.0
C0658,3,28000.0
C0664,3,8400.0
C0671,3,19906.0
C0676,3,14000.0
C0682,3,2800.0
C0689,3,1432.0
C0695,3,5600.0
C0236,4,28796.0
C0241,4,5600.0
C0290,4,19600.0
C0296,4,2800.0
C0307,4,16800.0
C0318,4,84000.0
C0324,4,16800.0
C0335,4,33600.0
C0341,4,5600.0
C0357,4,11200.0
C0363,4,5600.0
C0369,4,2800.0
C0375,4,2800.0
C0391,4,58800.0
C0397,4,5600.0
C0413,4,16800.0
C0419,4,5600.0
C0430,4,16800.0
C0436,4,8400.0
C0442,4,5600.0
C0453,4,33600.0
C0459,4,11200.0
C0465,4,2800.0
C0493,4,16800.0
C0499,4,11200.0
C0505,4,8400.0
C0507,4,2993.0
C0513,4,5600.0
C0519,4,5600.0
C0529,4,2356.0
C0534,4,5600.0
C0540,4,23199.0
C0545,4,22400.0
C0551,4,2800.0
C0558,4,6740.0
C0563,4,5600.0
C0569,4,2800.0
C0575,4,11829.0
C0580,4,5600.0
C0586,4,2800.0
C0592,4,24888.0
C0597,4,28000.0
C0603,4,2800.0
C0610,4,9418.0
C0615,4,16800.0
C0621,4,32571.0
C0626,4,16800.0
C0633,4,8594.0
C0638,4,2800.0
C0644,4,5300.0
C0650,4,11200.0
C0654,4,30861.0
C0659,4,28000.0
C0665,4,8400.0
C0672,4,19906.0
C0677,4,14000.0
C0683,4,2800.0
C0690,4,1432.0
C0696,4,5600.0
C0237,5,28796.0
C0242,5,5600.0
C0247,5,31180.0
C0252,5,14000.0
C0258,5,6915.0
C0263,5,2800.0
C0269,5,11209.0
C0274,5,8400.0
C0466,5,12925.0
C0471,5,8400.0
C0477,5,2800.0
C0508,5,2993.0
C0514,5,5600.0
C0520,5,5600.0
C0524,5,3308.0
C0530,5,2356.0
C0535,5,5600.0
C0541,5,23199.0
C0546,5,22400.0
C0552,5,2800.0
C0559,5,6740.0
C0564,5,5600.0
C0570,5,2800.0
C0576,5,11829.0
C0581,5,5600.0
C0587,5,2800.0
C0593,5,24888.0
C0598,5,28000.0
C0604,5,2800.0
C0611,5,9418.0
C0616,5,16800.0
C0622,5,32571.0
C0627,5,16800.0
C0639,5,2800.0
C0645,5,5300.0
C0651,5,11200.0
C0655,5,30861.0
C0660,5,28000.0
C0666,5,8400.0
C0673,5,19906.0
C0678,5,14000.0
C0684,5,2800.0
C0691,5,1432.0
C0697,5,5600.0
C0238,6,28796.0
C0243,6,5600.0
C0248,6,31180.0
C0253,6,14000.0
C0259,6,6915.0
C0264,6,2800.0
C0270,6,11209.0
C0275,6,8400.0
C0280,6,10107.0
C0285,6,19600.0
C0291,6,2800.0
C0297,6,17148.0
C0302,6,16800.0
C0308,6,69440.0
C0313,6,84000.0
C0319,6,16800.0
C0325,6,44300.0
C0330,6,33600.0
C0336,6,5600.0
C0342,6,18298.0
C0347,6,33600.0
C0352,6,11200.0
C0358,6,5600.0
C0364,6,2800.0
C0370,6,2800.0
C0376,6,98608.0
C0381,6,162400.0
C0386,6,58800.0
C0392,6,5600.0
C0398,6,43943.0
C0403,6,50400.0
C0408,6,16800.0
C0414,6,5600.0
C0420,6,10729.0
C0425,6,16800.0
C0431,6,8400.0
C0437,6,5600.0
C0443,6,23919.0
C0448,6,33600.0
C0454,6,11200.0
C0460,6,2800.0
C0467,6,12925.0
C0472,6,8400.0
C0478,6,2800.0
C0483,6,8460.0
C0488,6,16800.0
C0494,6,11200.0
C0500,6,8400.0
C0509,6,2993.0
C0515,6,5600.0
C0521,6,5600.0
C0525,6,3308.0
C0531,6,2356.0
C0536,6,5600.0
C0542,6,23199.0
C0547,6,22400.0
C0553,6,2800.0
C0560,6,6740.0
C0565,6,5600.0
C0571,6,2800.0
C0577,6,11829.0
C0582,6,5600.0
C0588,6,2800.0
C0594,6,24888.0
C0599,6,28000.0
C0605,6,2800.0
C0617,6,16800.0
C0628,6,16800.0
C0656,6,30861.0
C0661,6,28000.0
C0667,6,8400.0
C0679,6,14000.0
C0685,6,2800.0
C0239,7,28796.0
C0244,7,5600.0
C0249,7,31180.0
C0254,7,14000.0
C0260,7,6915.0
C0265,7,2800.0
C0271,7,11209.0
C0276,7,8400.0
C0281,7,10107.0
C0286,7,19600.0
C0292,7,2800.0
C0298,7,17148.0
C0303,7,16800.0
C0309,7,69440.0
C0314,7,84000.0
C0320,7,16800.0
C0326,7,44300.0
C0331,7,33600.0
C0337,7,5600.0
C0343,7,18298.0
C0348,7,33600.0
C0353,7,11200.0
C0359,7,5600.0
C0365,7,2800.0
C0371,7,2800.0
C0377,7,98608.0
C0382,7,162400.0
C0387,7,58800.0
C0393,7,5600.0
C0399,7,43943.0
C0404,7,50400.0
C0409,7,16800.0
C0415,7,5600.0
C0421,7,10729.0
C0426,7,16800.0
C0432,7,8400.0
C0438,7,5600.0
C0444,7,23919.0
C0449,7,33600.0
C0455,7,11200.0
C0461,7,2800.0
C0468,7,12925.0
C0473,7,8400.0
C0479,7,2800.0
C0484,7,8460.0
C0489,7,16800.0
C0495,7,11200.0
C0501,7,8400.0
C0510,7,2993.0
C0516,7,5600.0
C0522,7,5600.0
C0526,7,3308.0
C0532,7,2356.0
C0537,7,5600.0
C0543,7,23199.0
C0548,7,22400.0
C0554,7,2800.0
C0566,7,5600.0
C0572,7,2800.0
C0583,7,5600.0
C0589,7,2800.0
C0600,7,28000.0
C0606,7,2800.0
C0629,7,8594.0
C0634,7,2800.0
C0640,7,5300.0
C0646,7,11200.0
C0662,7,28000.0
C0668,7,8400.0
C0686,7,1432.0
C0692,7,5600.0
C0698,8,16452.0
C0700,8,8400.0
C0706,8,31158.0
C0711,8,2800.0
C0716,8,30078.0
C0721,8,14000.0
C0727,8,6526.0
C0732,8,2800.0
C0738,8,12656.0
C0743,8,2800.0
C0748,8,9147.0
C0753,8,19600.0
C0759,8,16727.0
C0764,8,14000.0
C0770,8,79383.0
C0775,8,61600.0
C0781,8,40505.0
C0786,8,25200.0
C0792,8,24683.0
C0797,8,19600.0
C0803,8,2800.0
C0809,8,112135.0
C0814,8,103600.0
C0820,8,11200.0
C0826,8,35246.0
C0831,8,39200.0
C0837,8,5600.0
C0843,8,13049.0
C0848,8,11200.0
C0854,8,22282.0
C0859,8,22400.0
C0866,8,14656.0
C0871,8,2800.0
C0876,8,13219.0
C0881,8,11200.0
C0887,8,5600.0
C0896,8,2407.0
C0902,8,5600.0
C0906,8,2184.0
C0912,8,4573.0
C0923,8,5600.0
C0957,8,15412.0
C0962,8,29042.0
C0968,8,5834.0
C0973,8,8627.0
C0989,8,18667.0
C0995,8,3169.0
C0712,9,2800.0
C0717,9,30078.0
C0722,9,14000.0
C0728,9,6526.0
C0733,9,2800.0
C0739,9,12656.0
C0744,9,2800.0
C0749,9,9147.0
C0754,9,19600.0
C0760,9,16727.0
C0765,9,14000.0
C0771,9,79383.0
C0776,9,61600.0
C0782,9,40505.0
C0787,9,25200.0
C0793,9,24683.0
C0798,9,19600.0
C0804,9,2800.0
C0810,9,112135.0
C0815,9,103600.0
C0821,9,11200.0
C0827,9,35246.0
C0832,9,39200.0
C0838,9,5600.0
C0844,9,13049.0
C0849,9,11200.0
C0855,9,22282.0
C0860,9,22400.0
C0867,9,14656.0
C0872,9,2800.0
C0877,9,13219.0
C0882,9,11200.0
C0888,9,5600.0
C0907,9,2184.0
C0924,9,6673.0
C0929,9,2800.0
C0935,9,8729.0
C0940,9,2800.0
C0946,9,22170.0
C0951,9,5600.0
C0958,9,15412.0
C0963,9,29042.0
C0969,9,5834.0
C0974,9,8627.0
C0978,9,27449.0
C0983,9,5600.0
C0990,9,18667.0
C0996,9,3169.0
C0699,10,16452.0
C0701,10,8400.0
C0723,10,14000.0
C0734,10,2800.0
C0745,10,2800.0
C0750,10,9147.0
C0755,10,19600.0
C0761,10,16727.0
C0766,10,14000.0
C0772,10,79383.0
C0777,10,61600.0
C0783,10,40505.0
C0788,10,25200.0
C0794,10,24683.0
C0799,10,19600.0
C0805,10,2800.0
C0811,10,112135.0
C0816,10,103600.0
C0822,10,11200.0
C0828,10,35246.0
C0833,10,39200.0
C0839,10,5600.0
C0845,10,13049.0
C0850,10,11200.0
C0856,10,22282.0
C0861,10,22400.0
C0873,10,2800.0
C0878,10,13219.0
C0883,10,11200.0
C0889,10,5600.0
C0891,10,2407.0
C0897,10,5600.0
C0913,10,23572.0
C0918,10,5600.0
C0925,10,6673.0
C0930,10,2800.0
C0936,10,8729.0
C0941,10,2800.0
C0947,10,22170.0
C0952,10,5600.0
C0959,10,15412.0
C0964,10,29042.0
C0970,10,5834.0
C0975,10,8627.0
C0979,10,27449.0
C0984,10,5600.0
C0991,10,18667.0
C0997,10,3169.0
C0702,11,31158.0
C0707,11,2800.0
C0756,11,19600.0
C0767,11,14000.0
C0778,11,61600.0
C0789,11,25200.0
C0800,11,19600.0
C0806,11,2800.0
C0817,11,103600.0
C0823,11,11200.0
C0834,11,39200.0
C0840,11,5600.0
C0851,11,11200.0
C0862,11,22400.0
C0884,11,11200.0
C0890,11,5600.0
C0892,11,2407.0
C0898,11,5600.0
C0908,11,4573.0
C0914,11,23572.0
C0919,11,5600.0
C0926,11,6673.0
C0931,11,2800.0
C0937,11,8729.0
C0942,11,2800.0
C0948,11,22170.0
C0953,11,5600.0
C0960,11,15412.0
C0965,11,29042.0
C0971,11,5834.0
C0976,11,8627.0
C0980,11,27449.0
C0985,11,5600.0
C0992,11,18667.0
C0998,11,3169.0
C0703,12,31158.0
C0708,12,2800.0
C0713,12,30078.0
C0718,12,14000.0
C0724,12,6526.0
C0729,12,2800.0
C0735,12,12656.0
C0740,12,2800.0
C0863,12,14656.0
C0868,12,2800.0
C0893,12,2407.0
C0899,12,5600.0
C0903,12,2184.0
C0909,12,4573.0
C0915,12,23572.0
C0920,12,5600.0
C0927,12,6673.0
C0932,12,2800.0
C0938,12,8729.0
C0943,12,2800.0
C0949,12,22170.0
C0954,12,5600.0
C0961,12,15412.0
C0966,12,29042.0
C0977,12,8627.0
C0981,12,27449.0
C0986,12,5600.0
C0993,12,18667.0
C0999,12,3169.0
C0704,13,31158.0
C0709,13,2800.0
C0714,13,30078.0
C0719,13,14000.0
C0725,13,6526.0
C0730,13,2800.0
C0736,13,12656.0
C0741,13,2800.0
C0746,13,9147.0
C0751,13,19600.0
C0757,13,16727.0
C0762,13,14000.0
C0768,13,79383.0
C0773,13,61600.0
C0779,13,40505.0
C0784,13,25200.0
C0790,13,24683.0
C0795,13,19600.0
C0801,13,2800.0
C0807,13,112135.0
C0812,13,103600.0
C0818,13,11200.0
C0824,13,35246.0
C0829,13,39200.0
C0835,13,5600.0
C0841,13,13049.0
C0846,13,11200.0
C0852,13,22282.0
C0857,13,22400.0
C0864,13,14656.0
C0869,13,2800.0
C0874,13,13219.0
C0879,13,11200.0
C0885,13,5600.0
C0894,13,2407.0
C0900,13,5600.0
C0904,13,2184.0
C0910,13,4573.0
C0916,13,23572.0
C0921,13,5600.0
C0928,13,6673.0
C0933,13,2800.0
C0939,13,8729.0
C0944,13,2800.0
C0950,13,22170.0
C0955,13,5600.0
C0982,13,27449.0
C0987,13,5600.0
C0705,14,31158.0
C0710,14,2800.0
C0715,14,30078.0
C0720,14,14000.0
C0726,14,6526.0
C0731,14,2800.0
C0737,14,12656.0
C0742,14,2800.0
C0747,14,9147.0
C0752,14,19600.0
C0758,14,16727.0
C0763,14,14000.0
C0769,14,79383.0
C0774,14,61600.0
C0780,14,40505.0
C0785,14,25200.0
C0791,14,24683.0
C0796,14,19600.0
C0802,14,2800.0
C0808,14,112135.0
C0813,14,103600.0
C0819,14,11200.0
C0825,14,35246.0
C0830,14,39200.0
C0836,14,5600.0
C0842,14,13049.0
C0847,14,11200.0
C0853,14,22282.0
C0858,14,22400.0
C0865,14,14656.0
C0870,14,2800.0
C0875,14,13219.0
C0880,14,11200.0
C0886,14,5600.0
C0895,14,2407.0
C0901,14,5600.0
C0905,14,2184.0
C0911,14,4573.0
C0917,14,23572.0
C0922,14,5600.0
C0934,14,2800.0
C0945,14,2800.0
C0956,14,5600.0
C0967,14,5834.0
C0972,14,8627.0
C0988,14,5600.0
C0994,14,3169.0
C1001,15,19002.0
C1003,15,19600.0
C1006,15,2800.0
C1008,15,6527.0
C1011,15,5600.0
C1015,15,2800.0
C1019,15,14485.0
C1022,15,5600.0
C1026,15,23495.0
C1030,15,22400.0
C1034,15,5600.0
C1038,15,16550.0
C1042,15,8400.0
C1047,15,30686.0
C1049,15,25200.0
C1055,15,2800.0
C1058,15,6349.0
C1061,15,8400.0
C1062,15,32266.0
C1066,15,28000.0
C1070,15,5600.0
C1074,15,21341.0
C1077,15,11200.0
C1081,15,2800.0
C1085,15,3097.0
C1088,15,2800.0
C1004,16,19600.0
C1007,16,2800.0
C1009,16,6527.0
C1012,16,5600.0
C1016,16,2800.0
C1020,16,14485.0
C1023,16,5600.0
C1027,16,23495.0
C1031,16,22400.0
C1035,16,5600.0
C1039,16,16550.0
C1043,16,8400.0
C1050,16,25200.0
C1063,16,32266.0
C1067,16,28000.0
C1071,16,5600.0
C1075,16,21341.0
C1078,16,11200.0
C1082,16,2800.0
C1086,16,3097.0
C1089,16,2800.0
C1010,17,6527.0
C1013,17,5600.0
C1017,17,2800.0
C1021,17,14485.0
C1024,17,5600.0
C1028,17,23495.0
C1032,17,22400.0
C1036,17,5600.0
C1040,17,16550.0
C1044,17,8400.0
C1051,17,8068.0
C1053,17,2800.0
C1056,17,6349.0
C1059,17,8400.0
C1064,17,32266.0
C1068,17,28000.0
C1072,17,5600.0
C1076,17,21341.0
C1079,17,11200.0
C1083,17,2800.0
C1087,17,3097.0
C1090,17,2800.0
C1000,18,19002.0
C1002,18,19600.0
C1005,18,2800.0
C1014,18,5600.0
C1018,18,2800.0
C1025,18,5600.0
C1029,18,23495.0
C1033,18,22400.0
C1037,18,5600.0
C1041,18,16550.0
C1045,18,8400.0
C1046,18,30686.0
C1048,18,25200.0
C1052,18,8068.0
C1054,18,2800.0
C1057,18,6349.0
C1060,18,8400.0
C1065,18,32266.0
C1069,18,28000.0
C1073,18,5600.0
C1080,18,11200.0
C1084,18,2800.0
