warehouse_id,store_id,variable_cost,fixed_cost,capacity
warehouse_4,store_11,6.0,234.0,9.0
warehouse_4,store_12,4.0,127.0,5.0
warehouse_5,store_0,4.0,201.0,7.0
warehouse_5,store_1,8.0,231.0,7.0
warehouse_5,store_2,4.0,98.0,7.0
warehouse_5,store_3,1.0,226.0,6.0
warehouse_5,store_4,9.0,133.0,3.0
warehouse_5,store_5,8.0,205.0,7.0
warehouse_5,store_6,2.0,197.0,4.0
warehouse_5,store_7,2.0,297.0,1.0
warehouse_5,store_8,7.0,276.0,7.0
warehouse_5,store_9,5.0,111.0,7.0
warehouse_5,store_10,6.0,233.0,2.0
warehouse_5,store_11,2.0,271.0,7.0
warehouse_5,store_12,9.0,171.0,5.0
warehouse_6,store_0,8.0,105.0,20.0
warehouse_6,store_1,1.0,168.0,21.0
warehouse_6,store_2,10.0,261.0,13.0
warehouse_6,store_3,8.0,277.0,6.0
warehouse_6,store_4,6.0,291.0,3.0
warehouse_6,store_5,4.0,243.0,21.0
warehouse_6,store_6,6.0,190.0,4.0
warehouse_6,store_7,5.0,176.0,1.0
warehouse_6,store_8,1.0,138.0,21.0
warehouse_6,store_9,5.0,203.0,21.0
warehouse_6,store_10,8.0,157.0,2.0
warehouse_6,store_11,4.0,85.0,9.0
warehouse_6,store_12,1.0,211.0,5.0
warehouse_7,store_0,4.0,231.0,7.0
warehouse_7,store_1,4.0,214.0,7.0
warehouse_7,store_2,4.0,84.0,7.0
warehouse_7,store_3,4.0,127.0,6.0
warehouse_7,store_4,1.0,256.0,3.0
warehouse_7,store_5,8.0,89.0,7.0
warehouse_7,store_6,1.0,196.0,4.0
warehouse_7,store_7,2.0,155.0,1.0
warehouse_7,store_8,6.0,159.0,7.0
warehouse_7,store_9,9.0,194.0,7.0
warehouse_7,store_10,2.0,141.0,2.0
warehouse_7,store_11,7.0,100.0,7.0
warehouse_7,store_12,6.0,263.0,5.0
warehouse_8,store_0,7.0,89.0,18.0
warehouse_8,store_1,10.0,93.0,18.0
warehouse_8,store_2,4.0,282.0,13.0
warehouse_8,store_3,3.0,127.0,6.0
warehouse_8,store_4,9.0,275.0,3.0
warehouse_8,store_5,6.0,191.0,18.0
warehouse_8,store_6,2.0,272.0,4.0
warehouse_8,store_7,2.0,180.0,1.0
warehouse_8,store_8,3.0,108.0,18.0
warehouse_8,store_9,7.0,147.0,18.0
warehouse_8,store_10,5.0,202.0,2.0
warehouse_8,store_11,5.0,228.0,9.0
warehouse_8,store_12,5.0,267.0,5.0
warehouse_9,store_0,1.0,124.0,12.0
warehouse_9,store_1,7.0,173.0,12.0
warehouse_9,store_2,3.0,164.0,12.0
warehouse_9,store_3,3.0,112.0,6.0
warehouse_9,store_4,7.0,264.0,3.0
warehouse_9,store_5,3.0,281.0,12.0
warehouse_9,store_6,7.0,187.0,4.0
warehouse_9,store_7,2.0,283.0,1.0
warehouse_9,store_8,1.0,226.0,12.0
warehouse_9,store_9,6.0,116.0,12.0
warehouse_9,store_10,7.0,173.0,2.0
warehouse_9,store_11,5.0,163.0,9.0
warehouse_9,store_12,5.0,112.0,5.0
warehouse_10,store_0,9.0,104.0,16.0
warehouse_10,store_1,3.0,179.0,16.0
warehouse_10,store_2,4.0,253.0,13.0
warehouse_10,store_3,10.0,261.0,6.0
warehouse_10,store_4,1.0,284.0,3.0
warehouse_10,store_5,9.0,272.0,16.0
warehouse_10,store_6,3.0,200.0,4.0
warehouse_10,store_7,5.0,112.0,1.0
warehouse_10,store_8,1.0,269.0,16.0
warehouse_10,store_9,2.0,213.0,16.0
warehouse_10,store_10,8.0,194.0,2.0
warehouse_10,store_11,6.0,188.0,9.0
warehouse_10,store_12,6.0,117.0,5.0
warehouse_11,store_0,5.0,242.0,12.0
warehouse_11,store_1,1.0,256.0,12.0
warehouse_11,store_2,1.0,255.0,12.0
warehouse_11,store_3,7.0,188.0,6.0
warehouse_11,store_4,9.0,272.0,3.0
warehouse_11,store_5,3.0,98.0,12.0
warehouse_11,store_6,5.0,293.0,4.0
warehouse_11,store_7,9.0,288.0,1.0
warehouse_11,store_8,5.0,268.0,12.0
warehouse_11,store_9,4.0,228.0,12.0
warehouse_11,store_10,5.0,126.0,2.0
warehouse_11,store_11,2.0,284.0,9.0
warehouse_11,store_12,7.0,147.0,5.0
warehouse_12,store_0,10.0,105.0,20.0
warehouse_12,store_1,7.0,161.0,20.0
warehouse_12,store_2,8.0,90.0,13.0
warehouse_12,store_3,2.0,108.0,6.0
warehouse_12,store_4,2.0,213.0,3.0
warehouse_12,store_5,3.0,179.0,20.0
warehouse_12,store_6,8.0,148.0,4.0
warehouse_12,store_7,9.0,158.0,1.0
warehouse_12,store_8,5.0,126.0,20.0
warehouse_12,store_9,6.0,189.0,20.0
warehouse_12,store_10,7.0,129.0,2.0
warehouse_12,store_11,4.0,100.0,9.0
warehouse_12,store_12,3.0,258.0,5.0
