material_id,radiation_id,attenuation
8,6,1.45811729
9,6,1.62038636
10,6,1.92308764
11,6,2.25421842
12,6,1.83034131
13,6,-1.0715834433
14,6,-4.2121949784
15,6,-2.2902053016
16,6,0.51422944
17,6,1.36136859
18,6,0.29092629
19,6,-0.4772974053
20,6,0.015269637
21,6,-0.0804842534
22,6,-0.0139190285
23,6,-0.5262143563
24,6,0.65446736
25,6,0.67112133
26,6,2.4154838
27,6,-1.0911620672
28,6,-0.4166940767
29,6,2.07572117
31,6,-1.481941785
33,6,0.56523334
34,6,-1.1524456371
35,6,1.01271028
1,7,3.08836424
2,7,1.6889428
3,7,0.86088595
4,7,2.69826676
5,7,-1.0472728654
6,7,2.5605544
7,7,-1.4802706013
8,7,0.96800049
9,7,1.05887202
10,7,2.43953697
11,7,2.79824206
12,7,3.21938907
13,7,2.13675516
14,7,-0.1868560041
15,7,-0.2944554206
16,7,-0.7148125888
17,7,3.22103911
18,7,0.1031786
19,7,-1.492583453
20,7,2.49509039
21,7,0.22636484
22,7,-2.9912692206
23,7,-0.7004989231
24,7,1.66550052
25,7,-1.4813481947
26,7,1.33296173
27,7,-1.1070187664
28,7,-0.2889771519
29,7,0.76918127
31,7,-1.4204549372
32,7,1.22548519
33,7,2.70958958
34,7,0.93748609
35,7,0.81668736
1,8,1.44344236
2,8,0.069403039
3,8,-0.2810955578
4,8,-0.2941414347
5,8,1.36003582
6,8,0.44898625
7,8,0.008399798
8,8,0.65175656
9,8,3.03067786
10,8,2.76850785
11,8,0.71668088
12,8,0.37207799
13,8,0.11899669
14,8,-0.6785666277
15,8,0.49875258
16,8,0.58591695
17,8,1.58938823
18,8,-0.8944764054
19,8,2.81994725
20,8,1.30972685
21,8,1.46637465
22,8,2.16688708
23,8,0.49504531
24,8,-0.1560544828
25,8,0.19435172
26,8,1.51499146
27,8,0.31884848
28,8,-0.0675091259
29,8,-0.2643393217
31,8,-0.6755857888
32,8,-0.2613440952
33,8,0.80316454
34,8,0.32960104
35,8,-0.6868183456
1,9,2.59894368
2,9,0.3156285
3,9,1.1637017
4,9,0.063562512
5,9,0.72310005
6,9,0.11747933
7,9,0.93005952
8,9,0.16010177
9,9,1.87582068
10,9,0.65995062
11,9,3.56366163
12,9,1.93723711
13,9,0.7880618
14,9,-2.0867639255
15,9,-0.6661700992
16,9,1.56322294
17,9,-0.6997522495
18,9,0.88159487
19,9,1.94796558
20,9,4.5344024
21,9,2.51532815
22,9,3.06069413
23,9,2.63086211
24,9,-0.1883232474
25,9,-0.9545795311
26,9,0.87562043
27,9,1.28493791
28,9,1.17355844
29,9,-1.0415400364
31,9,2.3191614
32,9,1.06083269
33,9,3.16430767
34,9,-0.4599145531
35,9,0.9017129
1,10,0.78417737
2,10,1.33151971
3,10,0.40712964
4,10,0.83073059
5,10,-0.2891165971
6,10,0.6428322
7,10,0.67448468
8,10,-1.6964471406
9,10,1.96585103
10,10,3.1176746
11,10,1.82313614
12,10,1.889617
13,10,-0.7674179835
14,10,-1.6078876244
15,10,1.22553591
16,10,-1.8916049381
17,10,1.75504239
18,10,-0.3648369016
19,10,2.2832996
20,10,1.9779075
21,10,-0.0718116409
22,10,0.28869191
23,10,-1.1336383392
24,10,3.16009007
25,10,-0.7222389141
26,10,1.97666269
27,10,-1.6602172104
28,10,0.29063646
29,10,0.11310004
31,10,0.31113046
32,10,-1.7060631233
33,10,-0.1534697287
34,10,-0.6153812902
35,10,-0.4051857589
1,11,1.41762507
2,11,-0.6904583749
3,11,0.19314849
4,11,-0.3203822073
5,11,1.39359305
6,11,2.28698307
7,11,0.729724
8,11,0.43705893
9,11,3.83224814
10,11,2.20416298
11,11,-0.400508961
12,11,2.75262044
13,11,-1.3359540239
14,11,1.12488017
15,11,-0.6347756481
16,11,0.30651753
17,11,-1.4488481914
18,11,-0.9788981394
19,11,1.05093176
20,11,0.69856919
21,11,0.12164234
22,11,1.19862897
23,11,1.31058457
24,11,0.18083499
25,11,1.70427617
26,11,1.69743955
27,11,2.08310951
28,11,-1.468484498
29,11,-0.5795747368
30,11,1.38563628
31,11,-0.8914439396
32,11,0.16771519
33,11,-0.1134543882
34,11,2.05013814
35,11,0.21880052
1,12,1.6040357
2,12,-2.6319161619
3,12,1.78269719
4,12,0.73228887
5,12,-0.847724327
6,12,0.80114287
7,12,0.36679135
8,12,-0.2929883649
9,12,2.14494845
10,12,2.78258976
11,12,3.0163788
12,12,2.05594367
13,12,-1.3360906466
14,12,1.14372119
15,12,1.21009341
16,12,-0.1307753576
17,12,2.04933201
18,12,-0.8300023717
19,12,-0.1996002152
20,12,0.6426664
21,12,0.14532971
22,12,-0.5432654121
23,12,-0.7057374582
24,12,1.75257049
25,12,1.68959378
26,12,0.70402055
27,12,0.64857883
28,12,0.39899399
29,12,-0.0408214652
30,12,0.27510176
31,12,-0.7892599238
32,12,-1.7357930232
33,12,1.10932255
34,12,-1.8238875344
35,12,1.1677323
1,13,3.51417284
2,13,0.92916923
3,13,0.62635981
4,13,1.96992793
5,13,0.18359796
6,13,0.45879078
7,13,-0.2799368328
8,13,-1.0744894691
9,13,0.95741051
10,13,3.56068139
11,13,2.82758862
12,13,0.82668277
13,13,-1.5010609113
14,13,1.70192788
15,13,0.85685902
16,13,-0.1688723352
17,13,-1.0214632476
18,13,1.08989841
19,13,1.14649263
20,13,1.19242331
21,13,0.49590953
22,13,0.66495277
23,13,1.13871413
24,13,0.39525035
25,13,-0.3877182106
26,13,3.12284716
27,13,-1.3195714803
28,13,1.04275492
29,13,2.17602402
31,13,1.83971411
32,13,0.94251802
33,13,0.89616708
34,13,1.50436732
35,13,1.51919345
1,14,2.04989495
2,14,0.77343935
3,14,-1.0093171406
4,14,0.43031925
5,14,-0.2802274734
6,14,-0.6277235885
7,14,1.21716164
8,14,-1.4629094731
9,14,2.82557399
10,14,3.35845695
11,14,1.77344438
12,14,2.89270371
13,14,-2.1693934846
14,14,-0.244203819
15,14,0.49503519
16,14,-0.442585745
17,14,2.77711882
18,14,1.37704075
19,14,1.97773604
20,14,-0.2969369307
21,14,1.17168221
22,14,1.27797862
23,14,-1.9310612472
24,14,0.76011281
25,14,1.56020231
26,14,2.24016083
27,14,1.72114618
28,14,1.5272717
29,14,2.01780595
31,14,0.39169127
32,14,0.5962733
33,14,3.04803703
34,14,-1.0372729653
35,14,1.17984907
1,15,1.78659394
2,15,0.10258717
3,15,0.12489428
4,15,0.97725978
5,15,2.13476262
6,15,0.15514016
7,15,2.2026151
8,15,1.62740692
9,15,1.64005925
10,15,1.97414267
11,15,0.54149027
12,15,0.81684831
13,15,0.80691079
14,15,-2.9918150978
15,15,-1.9755420545
16,15,0.55143661
17,15,-0.0920335684
18,15,-0.3832243169
19,15,0.12515244
20,15,1.48856574
21,15,-1.5392125807
22,15,0.91259506
23,15,1.06481857
24,15,1.60453668
25,15,-3.097157879
26,15,1.79249442
27,15,-1.09002357
28,15,0.60257725
29,15,-0.0151556405
30,15,2.76358955
31,15,1.12666154
32,15,-0.6290994325
33,15,2.80741511
34,15,-0.0615850318
35,15,1.2956816
1,16,1.92027217
2,16,1.77333016
3,16,1.78304795
4,16,0.71810673
5,16,0.037222096
6,16,0.26041192
7,16,3.18454434
8,16,-0.3874901605
9,16,1.55009965
10,16,0.59532584
11,16,1.50379074
12,16,4.45867673
13,16,-0.4189230684
14,16,2.36166702
15,16,1.28272058
16,16,0.52277957
17,16,1.00247163
18,16,0.14455687
19,16,-1.2184934166
20,16,1.7708171
21,16,1.90583479
22,16,3.77335244
23,16,0.67691187
24,16,1.02122164
25,16,0.20638276
26,16,1.35506324
27,16,0.39160063
28,16,1.01114846
29,16,1.16830411
30,16,2.48308848
31,16,-1.2934403633
32,16,0.34397739
33,16,2.28446958
34,16,2.88817864
35,16,4.29482964
1,17,0.36974115
2,17,0.64028105
3,17,-2.3104463402
4,17,-1.0003520382
5,17,-0.7113622368
6,17,-0.0583762458
7,17,0.90478619
8,17,-0.6932369901
9,17,2.46675256
10,17,2.79993598
11,17,1.57533104
12,17,4.5912229
13,17,0.78585066
14,17,-0.098631568
15,17,-0.27492775
16,17,0.61579373
17,17,0.10938814
18,17,1.95514529
19,17,1.20113356
20,17,2.38098792
21,17,-0.2550580038
22,17,0.93374341
23,17,0.65864678
24,17,-2.4657764493
25,17,2.81519157
26,17,-0.5537768225
27,17,0.29058803
28,17,-0.9023965265
29,17,-1.3833539876
30,17,1.20723049
31,17,0.93516584
32,17,-1.5788161203
33,17,1.1059903
34,17,2.15333371
35,17,1.17189878
1,18,1.91610368
2,18,1.65757168
3,18,-0.562866238
4,18,-0.9372145466
5,18,0.289035
6,18,2.97989653
7,18,0.56017321
8,18,-0.0746695944
9,18,2.00419221
10,18,2.89837453
11,18,2.98753728
12,18,0.73120234
13,18,-1.7248049078
14,18,-1.2852645642
15,18,0.76924317
16,18,1.63223546
17,18,1.67144991
18,18,1.4306616
19,18,1.32214302
20,18,1.13322522
21,18,-0.4114604965
22,18,-1.6080850896
23,18,-0.3650294049
24,18,1.57568782
25,18,1.10596749
26,18,2.19012563
27,18,-2.6786486177
28,18,-0.5674955286
29,18,-0.2282400427
31,18,1.58293434
32,18,1.40435888
33,18,2.53933837
34,18,0.58877127
35,18,-0.4523231496
1,19,2.99137696
4,19,0.33649529
5,19,0.053659545
6,19,1.17131225
7,19,2.50751484
8,19,-1.1040336107
9,19,1.49306647
10,19,4.70183456
11,19,0.93315105
12,19,0.85284111
14,19,0.28921148
15,19,0.558369
17,19,-0.9503336822
18,19,-0.0919335371
19,19,-0.7615339971
20,19,2.11790936
21,19,-0.9104962001
22,19,3.93806873
23,19,2.30275351
24,19,-0.0588261394
25,19,0.054437821
26,19,3.97603987
27,19,-2.9525368862
28,19,-0.7506932538
29,19,1.29466031
31,19,3.51309382
32,19,0.26841675
33,19,1.94369705
34,19,2.06780067
35,19,0.78674952
1,20,1.48635656
2,20,-0.0829756669
3,20,2.36071241
4,20,-0.5292768006
5,20,1.36647843
6,20,1.94879533
7,20,-1.2765466637
8,20,0.024622837
9,20,1.49263905
10,20,1.69157793
11,20,-0.1115595619
12,20,0.97482761
13,20,1.09570287
14,20,1.2307376
15,20,0.23595417
16,20,2.38792875
17,20,-1.9434593546
18,20,1.03579413
19,20,-0.8471109055
20,20,1.53407418
21,20,1.33933514
22,20,0.41987707
23,20,-0.2091098465
24,20,-0.4181692166
25,20,-0.5950083406
26,20,-0.1310182835
27,20,0.20594147
28,20,1.20147555
29,20,-0.050673032
30,20,-0.8363096292
31,20,2.33147343
32,20,-0.6746344499
33,20,1.78817731
34,20,0.41038263
35,20,0.11990899
1,21,0.70292989
2,21,-2.4728601257
3,21,-0.5987720236
4,21,0.85036826
5,21,-2.6874579467
6,21,-0.1686262293
7,21,0.7404745
8,21,1.06374009
9,21,2.31654046
10,21,3.87916131
11,21,1.56202396
12,21,3.77705881
13,21,-1.4263335792
14,21,0.84332125
15,21,0.075474985
16,21,2.19999836
17,21,0.5914871
18,21,-0.5092669708
19,21,-1.5137326739
20,21,-1.7309214792
21,21,0.33815956
22,21,-1.2192240746
23,21,-0.1209481213
24,21,-0.3836696288
25,21,-0.2190577955
26,21,1.72869999
27,21,-0.4535811216
28,21,0.52545129
29,21,-0.8770573706
31,21,-1.1115229546
32,21,2.20820196
33,21,0.14313635
34,21,-1.2892472738
35,21,0.58592443
1,22,1.55679598
2,22,0.42942915
3,22,0.034431597
4,22,-0.9768921715
5,22,-1.0084432491
6,22,2.83635934
7,22,1.03642054
8,22,-1.2156626974
9,22,3.89047692
10,22,1.81433256
11,22,0.80037846
12,22,4.82994915
13,22,-0.9938822029
14,22,-0.7578349534
15,22,0.42363728
16,22,0.82486095
17,22,0.9312913
18,22,1.98289845
19,22,-1.477567915
20,22,-0.8963250341
21,22,1.31978462
22,22,2.57309938
23,22,1.9374701
24,22,1.02623448
25,22,-0.1435922311
26,22,2.17477361
27,22,3.33041163
28,22,0.96967201
29,22,-1.683446207
30,22,2.16359642
31,22,0.69703793
32,22,-0.3622860982
33,22,1.09318091
34,22,1.62112076
35,22,0.29997388
1,23,1.45973532
2,23,0.5742543
3,23,0.19083321
4,23,2.04506681
5,23,-1.1590843002
6,23,0.45251463
7,23,-0.6101650186
8,23,-0.7202722106
9,23,3.1022902
10,23,3.81753216
11,23,1.3126761
12,23,1.17236155
13,23,-2.9290752257
14,23,-0.7233652241
15,23,0.41441503
16,23,-0.6028256251
17,23,-1.5354218861
18,23,-0.2304217641
19,23,-0.2182222676
20,23,1.91994814
21,23,-0.2496164238
22,23,-0.8641705932
23,23,0.45830268
24,23,0.36412822
25,23,1.29430768
26,23,0.55721607
27,23,-0.9239036836
28,23,-0.339052812
29,23,-0.2384279807
30,23,2.70649589
31,23,-0.1826330108
32,23,1.12232379
33,23,1.51065749
34,23,0.78561086
35,23,0.72286015
1,24,1.90401441
2,24,-0.4741848835
3,24,-0.8742457848
4,24,1.32492247
5,24,0.24234192
6,24,1.08553371
7,24,-0.1369020226
8,24,-0.3808422518
9,24,1.87585284
10,24,0.85672468
11,24,-0.7928070299
12,24,3.74277589
13,24,-0.9917205543
14,24,-0.1686635003
15,24,-0.5145759854
16,24,0.17417882
17,24,2.2013099
18,24,-0.6995510847
19,24,-1.1133441566
20,24,0.12615524
21,24,-3.9671716854
22,24,-0.6919233641
24,24,0.62639185
25,24,2.21048894
26,24,3.11836173
27,24,-2.2680069784
28,24,-0.8733477352
29,24,-1.2716429772
30,24,-0.0445915635
31,24,-0.5141835825
32,24,-0.1731990496
33,24,2.75599964
34,24,-1.0816243894
35,24,0.83389374
1,25,2.20314997
2,25,1.17027505
3,25,-0.691382953
4,25,2.45602983
5,25,0.039833028
6,25,0.9242882
7,25,-1.2394587885
8,25,0.64260162
9,25,0.72866667
10,25,2.00278377
11,25,0.66381636
13,25,1.68932115
14,25,0.99552183
15,25,0.013061854
16,25,4.13730512
17,25,1.29821663
18,25,1.6285386
19,25,1.04910831
20,25,2.80576906
21,25,0.11863799
22,25,0.24890293
23,25,1.8137221
24,25,-0.7115715134
25,25,0.021120713
26,25,2.18929029
27,25,-0.4169456961
28,25,2.3164357
29,25,-0.6599155765
31,25,0.2876211
32,25,0.18795238
33,25,3.05029762
34,25,0.88403627
35,25,0.97147663
1,26,1.88937994
2,26,1.28367537
3,26,-0.3276507366
4,26,0.73889644
5,26,-0.217911164
6,26,2.52976371
7,26,0.47533253
8,26,0.36350762
9,26,0.80031525
10,26,3.38949349
11,26,3.75531815
12,26,3.02286717
13,26,0.72451425
14,26,0.79822322
15,26,0.76742006
16,26,1.4509763
17,26,2.74562518
18,26,2.34939735
19,26,0.25932994
20,26,1.7156445
21,26,-0.8521143839
22,26,0.67649707
23,26,1.78170604
24,26,3.69912651
25,26,0.67216808
26,26,3.56001028
27,26,2.30037814
28,26,0.075077223
29,26,0.60774341
31,26,1.26928962
32,26,0.36628093
33,26,5.03706504
34,26,0.43369151
35,26,0.23955122
1,27,4.16287024
2,27,1.40078286
3,27,0.85274524
5,27,0.5245747
6,27,3.37036562
8,27,0.21065525
9,27,2.76153135
10,27,3.72047922
11,27,2.44931098
12,27,3.7755962
15,27,1.73927447
16,27,2.4266911
19,27,2.8307814
21,27,0.91274316
22,27,2.14183052
24,27,0.31747994
25,27,1.83457826
26,27,3.45821575
29,27,1.33742456
31,27,0.79567077
33,27,2.72763031
34,27,2.30568246
35,27,2.14317379
1,28,4.86025411
2,28,-0.0321958939
3,28,-0.1208415473
4,28,3.76349556
5,28,-0.9377630594
6,28,1.93851083
7,28,2.65386416
8,28,-0.2164056359
9,28,1.52563139
10,28,3.73736351
11,28,2.1936338
12,28,1.03113339
13,28,1.51403298
14,28,2.34043092
15,28,0.7255165
16,28,0.92172061
17,28,0.77933172
18,28,1.43076852
19,28,0.387646
20,28,0.96710385
21,28,-0.0143225731
22,28,1.73195639
23,28,-0.0624424111
24,28,0.44994066
25,28,0.014832278
26,28,0.70661936
27,28,-1.0288581059
28,28,0.45870227
29,28,0.73182651
31,28,0.30835703
32,28,0.68352021
33,28,1.9837454
34,28,-1.3843561661
35,28,-0.6279510811
