Step_ID,Max_Natural_Increase,Max_Natural_Decrease
C0147->C0148,1.83,
C0148->C0149,-1.35,
C0149->C0150,-1.49,
C0150->C0151,-1.3,
C0151->C0152,-2.81,
C0152->C0153,1.81,
C0153->C0154,-1.66,
C0154->C0155,1.45,
C0155->C0156,-1.94,
C0156->C0157,2.98,
C0157->C0158,-1.66,
C0158->C0159,1.38,
C0159->C0160,-2.64,
C0160->C0161,-1.09,
C0161->C0162,-1.33,
C0162->C0163,-1.12,
C0163->C0164,-2.82,
C0164->C0165,-1.62,
C0165->C0166,-2.06,
C0166->C0167,-1.73,
C0168->C0169,-1.24,
C0169->C0170,1.56,
C0170->C0171,-2.46,
C0171->C0172,-1.84,
C0172->C0173,2.69,
C0173->C0174,-1.82,
C0174->C0175,-1.55,
C0175->C0176,-2.37,
C0176->C0177,-2.99,
C0177->C0178,-1.52,
C0178->C0179,-2.48,
C0179->C0180,-1.08,
C0180->C0181,-1.29,
C0181->C0182,-1.12,
C0182->C0183,-2.09,
C0183->C0184,2.87,
C0184->C0185,2.53,
C0185->C0186,-1.01,
C0187->C0188,-1.78,
C0188->C0189,2.11,
C0189->C0190,-2.16,
C0190->C0191,-2.16,
C0191->C0192,-2.37,
C0192->C0193,-1.96,
C0193->C0194,-1.47,
C0194->C0195,1.23,
C0195->C0196,-2.75,
C0196->C0197,-1.6,
C0197->C0198,-2.34,
C0198->C0199,-2.56,
C0199->C0200,-1.58,
C0200->C0201,-2.16,
C0201->C0202,2.48,
C0202->C0203,-2.05,
C0203->C0204,-1.81,
C0204->C0205,-2.53,
C0205->C0206,-2.17,
C0206->C0207,-2.92,
C0207->C0208,-2.7,
C0209->C0210,1.63,
C0210->C0211,2.52,
C0211->C0212,-1.38,
C0212->C0213,-2.03,
C0213->C0214,-1.97,
C0214->C0215,-2.02,
C0215->C0216,-2.12,
C0216->C0217,-1.68,
C0217->C0218,1.65,
C0218->C0219,-2.37,
C0219->C0220,-1.59,
C0220->C0221,-2.19,
C0221->C0222,2.05,
C0223->C0224,-1.65,
C0224->C0225,-2.79,
C0225->C0226,-2.82,
C0226->C0227,-2.02,
C0227->C0228,-2.06,
C0228->C0229,1.52,
C0229->C0230,-2.65,
C0230->C0231,-2.93,
C0231->C0232,-2.38,
C0232->C0233,-2.74,
C0233->C0234,1.4,
C0234->C0235,2.29,
C0235->C0236,-1.89,
C0236->C0237,-1.02,
C0237->C0238,-2.31,
C0238->C0239,1.81,
C0239->C0240,2.64,
C0240->C0241,-2.31,
C0241->C0242,-2.58,
C0242->C0243,-2.21,
C0243->C0244,2.22,
C0244->C0245,-1.6,
C0246->C0247,2.25,
C0247->C0248,2.6,
C0248->C0249,-2.73,
C0249->C0250,-1.3,
C0250->C0251,-1.75,
C0251->C0252,-2.4,
C0252->C0253,-2.86,
C0253->C0254,-1.56,
C0254->C0255,1.24,
C0255->C0256,1.08,
C0256->C0257,-1.88,
C0257->C0258,-2.78,
C0258->C0259,-1.62,
C0260->C0261,-1.4,
C0261->C0262,-2.53,
C0262->C0263,-1.31,
C0263->C0264,-1.95,
C0264->C0265,-2.76,
C0265->C0266,2.15,
C0266->C0267,2.44,
C0267->C0268,-2.79,
C0268->C0269,1.51,
C0269->C0270,1.6,
C0270->C0271,-2.34,
C0271->C0272,-2.7,
C0272->C0273,1.09,
C0273->C0274,-2.76,
C0274->C0275,-2.41,
C0275->C0276,-1.08,
C0277->C0278,2.63,
C0278->C0279,-2.34,
C0279->C0280,-1.61,
C0280->C0281,-1.39,
C0281->C0282,-1.22,
C0282->C0283,-2.16,
C0283->C0284,-2.23,
C0284->C0285,-1.33,
C0285->C0286,-1.53,
C0286->C0287,-2.53,
C0287->C0288,2.15,
C0288->C0289,-2.32,
C0289->C0290,-2.69,
C0290->C0291,-2.62,
C0291->C0292,-1.45,
C0292->C0293,-1.09,
C0293->C0294,2.21,
C0294->C0295,2.8,
C0295->C0296,1.64,
C0296->C0297,2.65,
C0297->C0298,-1.91,
C0298->C0299,-2.06,
C0300->C0301,-1.67,
C0301->C0302,-2.25,
C0302->C0303,-2.09,
C0303->C0304,-2.72,
C0304->C0305,-1.42,
C0305->C0306,2.16,
C0306->C0307,-1.04,
C0307->C0308,-2.48,
C0308->C0309,1.66,
C0309->C0310,-1.45,
C0310->C0311,1.83,
C0311->C0312,1.19,
C0312->C0313,2.54,
C0313->C0314,-1.77,
C0314->C0315,-1.53,
C0315->C0316,-1.6,
C0316->C0317,1.91,
C0317->C0318,2.84,
C0318->C0319,-2.99,
C0319->C0320,-2.67,
C0320->C0321,-2.55,
C0321->C0322,1.09,
C0323->C0324,-2.26,
C0324->C0325,-1.77,
C0325->C0326,-1.53,
C0326->C0327,-1.03,
C0327->C0328,1.5,
C0328->C0329,-2.39,
C0329->C0330,-1.69,
C0330->C0331,1.04,
C0331->C0332,1.5,
C0332->C0333,-1.08,
C0333->C0334,2.61,
C0334->C0335,-1.15,
C0335->C0336,-2.56,
C0336->C0337,-1.92,
C0338->C0339,1.17,
C0339->C0340,2.21,
C0340->C0341,-2.31,
C0341->C0342,-2.16,
C0342->C0343,-2.36,
C0343->C0344,-1.27,
C0344->C0345,-1.25,
C0345->C0346,-1.38,
C0346->C0347,-2.58,
C0347->C0348,-1.1,
C0348->C0349,-1.77,
C0349->C0350,-2.88,
C0350->C0351,-2.18,
C0351->C0352,-2.33,
C0352->C0353,-1.66,
C0353->C0354,-1.12,
C0355->C0356,,-2.02
C0356->C0357,,-1.68
C0357->C0358,,-1.14
C0358->C0359,,-2.8
C0359->C0360,,1.53
C0360->C0361,,-2.71
C0361->C0362,,-2.46
C0362->C0363,,-2.35
C0363->C0364,,2.59
C0364->C0365,,-2.65
C0365->C0366,,1.92
C0366->C0367,,-1.41
C0367->C0368,,2.32
C0368->C0369,,-2.34
C0369->C0370,,2.52
C0371->C0372,,-1.92
C0372->C0373,,-1.89
C0373->C0374,,1.64
C0374->C0375,,2.69
C0375->C0376,,1.3
C0376->C0377,,-1.34
C0377->C0378,,-2.61
C0378->C0379,,1.45
C0379->C0380,,-2.11
C0380->C0381,,-2.28
C0381->C0382,,-1.79
C0382->C0383,,-1.47
C0383->C0384,,-2.14
C0384->C0385,,-2.85
C0385->C0386,,-1.35
C0386->C0387,,-2.86
C0387->C0388,,1.45
C0389->C0390,,-1.49
C0390->C0391,,-1.61
C0391->C0392,,1.24
C0392->C0393,,-1.23
C0393->C0394,,-1.0
C0394->C0395,,2.04
C0395->C0396,,-1.44
C0396->C0397,,-1.74
C0397->C0398,,2.52
C0398->C0399,,-1.32
C0399->C0400,,-2.31
C0400->C0401,,-1.27
C0401->C0402,,1.21
C0402->C0403,,-1.86
C0403->C0404,,2.22
C0404->C0405,,1.1
C0405->C0406,,-2.75
C0407->C0408,,2.3
C0408->C0409,,-2.92
C0409->C0410,,-1.59
C0410->C0411,,-1.43
C0411->C0412,,2.23
C0412->C0413,,-1.78
C0413->C0414,,2.66
C0414->C0415,,-1.5
C0415->C0416,,-2.73
C0416->C0417,,-2.42
C0417->C0418,,2.3
C0418->C0419,,-2.85
C0419->C0420,,-1.18
C0420->C0421,,-2.01
C0421->C0422,,-2.76
C0422->C0423,,-1.3
C0423->C0424,,1.17
C0424->C0425,,-2.86
C0425->C0426,,-2.12
C0426->C0427,,-2.14
C0428->C0429,,2.08
C0429->C0430,,-2.52
C0430->C0431,,-2.55
C0431->C0432,,-1.17
C0432->C0433,,1.91
C0433->C0434,,-2.22
C0434->C0435,,-1.27
C0435->C0436,,-2.37
C0436->C0437,,-1.57
C0437->C0438,,-2.47
C0438->C0439,,-2.82
C0439->C0440,,-1.43
C0440->C0441,,-2.62
C0441->C0442,,-2.53
C0442->C0443,,-1.65
C0443->C0444,,2.11
C0444->C0445,,2.83
C0446->C0447,,1.55
C0447->C0448,,-1.96
C0448->C0449,,2.26
C0449->C0450,,-1.21
C0450->C0451,,-2.78
C0451->C0452,,2.06
C0452->C0453,,-2.94
C0453->C0454,,-1.05
C0454->C0455,,-1.47
C0455->C0456,,1.7
C0456->C0457,,-1.65
C0457->C0458,,-2.33
C0458->C0459,,-1.48
C0459->C0460,,-1.14
C0461->C0462,,1.33
C0462->C0463,,-1.64
C0463->C0464,,-2.4
C0464->C0465,,-2.09
C0465->C0466,,-2.36
C0466->C0467,,-1.57
C0467->C0468,,-1.58
C0468->C0469,,-2.41
C0469->C0470,,-1.16
C0470->C0471,,-1.82
C0471->C0472,,-2.44
C0472->C0473,,-2.66
C0473->C0474,,-1.4
C0474->C0475,,-2.66
C0475->C0476,,-2.82
C0476->C0477,,-1.79
C0477->C0478,,2.03
C0479->C0480,,1.98
C0480->C0481,,-2.13
C0481->C0482,,1.46
C0482->C0483,,-2.74
C0483->C0484,,-1.74
C0484->C0485,,-1.64
C0485->C0486,,1.83
C0486->C0487,,2.94
C0487->C0488,,-1.97
C0488->C0489,,-1.44
C0489->C0490,,-1.83
C0490->C0491,,-2.19
C0491->C0492,,-1.06
C0492->C0493,,-1.96
C0493->C0494,,-1.25
C0495->C0496,,-2.14
C0496->C0497,,-1.74
C0497->C0498,,1.18
C0498->C0499,,-1.37
C0499->C0500,,-2.67
C0500->C0501,,-1.51
C0501->C0502,,1.87
C0502->C0503,,1.9
C0503->C0504,,-1.25
C0504->C0505,,-1.1
C0505->C0506,,1.2
C0506->C0507,,2.24
C0507->C0508,,-2.48
C0508->C0509,,-1.08
C0510->C0511,,2.18
C0511->C0512,,-2.17
C0512->C0513,,-1.35
C0513->C0514,,-1.49
C0514->C0515,,-1.3
C0515->C0516,,1.19
C0516->C0517,,-2.19
C0517->C0518,,2.34
C0518->C0519,,-2.55
C0519->C0520,,2.06
C0520->C0521,,-1.02
C0521->C0522,,2.34
C0522->C0523,,-2.62
C0523->C0524,,-2.64
C0524->C0525,,-1.09
C0525->C0526,,-1.33
C0526->C0527,,-1.12
C0527->C0528,,-2.82
C0528->C0529,,-1.62
C0529->C0530,,-2.06
C0530->C0531,,-1.73
C0532->C0533,,-1.31
C0533->C0534,,2.76
C0534->C0535,,-2.44
C0535->C0536,,-2.46
C0536->C0537,,2.16
C0537->C0538,,-1.31
C0538->C0539,,-1.82
C0539->C0540,,-1.55
C0540->C0541,,-2.37
C0541->C0542,,-2.99
C0542->C0543,,-1.52
C0543->C0544,,-2.48
C0544->C0545,,-1.08
C0545->C0546,,-1.29
C0546->C0547,,-1.12
C0547->C0548,,1.91
C0548->C0549,,2.87
C0549->C0550,,-1.47
C0550->C0551,,-1.01
C0552->C0553,,-1.06
C0553->C0554,,2.22
C0554->C0555,,-1.89
C0555->C0556,,-2.16
C0556->C0557,,-2.16
C0557->C0558,,-2.37
C0558->C0559,,-1.96
C0559->C0560,,2.53
C0560->C0561,,-2.77
C0561->C0562,,-2.75
C0562->C0563,,-1.6
C0563->C0564,,-2.34
C0564->C0565,,-2.56
C0565->C0566,,-1.58
C0566->C0567,,1.84
C0567->C0568,,-1.52
C0568->C0569,,-2.05
C0569->C0570,,-1.81
C0570->C0571,,-2.53
C0571->C0572,,-2.17
C0572->C0573,,-2.92
C0573->C0574,,-2.7
C0575->C0576,,1.9
C0576->C0577,,1.63
C0577->C0578,,-1.48
C0578->C0579,,-1.38
C0579->C0580,,-2.03
C0580->C0581,,-1.97
C0581->C0582,,-2.02
C0582->C0583,,-2.12
C0583->C0584,,2.32
C0584->C0585,,-2.35
C0585->C0586,,-2.37
C0586->C0587,,-1.59
C0587->C0588,,1.81
C0588->C0589,,-1.95
C0590->C0591,,-1.53
C0591->C0592,,-1.65
C0592->C0593,,-2.79
C0593->C0594,,-2.82
C0594->C0595,,-2.02
C0595->C0596,,1.94
C0596->C0597,,-2.48
C0597->C0598,,-2.65
C0598->C0599,,-2.93
C0599->C0600,,-2.38
C0600->C0601,,1.26
C0601->C0602,,1.4
C0602->C0603,,-1.71
C0603->C0604,,-1.89
C0604->C0605,,-1.02
C0605->C0606,,1.69
C0606->C0607,,1.81
C0607->C0608,,-1.36
C0608->C0609,,-2.31
C0609->C0610,,-2.58
C0610->C0611,,1.79
C0611->C0612,,-1.78
C0612->C0613,,2.4
C0614->C0615,,2.31
C0615->C0616,,2.25
C0616->C0617,,-1.4
C0617->C0618,,-2.73
C0618->C0619,,-1.3
C0619->C0620,,-1.75
C0620->C0621,,-2.4
C0621->C0622,,-2.86
C0622->C0623,,2.44
C0623->C0624,,1.24
C0624->C0625,,-2.92
C0625->C0626,,-1.88
C0626->C0627,,-2.78
C0627->C0628,,2.38
C0629->C0630,,-2.54
C0630->C0631,,-1.4
C0631->C0632,,-2.53
C0632->C0633,,-1.31
C0633->C0634,,-1.95
C0634->C0635,,1.24
C0635->C0636,,2.15
C0636->C0637,,-1.56
C0637->C0638,,1.21
C0638->C0639,,1.51
C0639->C0640,,-2.4
C0640->C0641,,-2.34
C0641->C0642,,1.3
C0642->C0643,,-2.91
C0643->C0644,,-2.76
C0644->C0645,,-2.41
C0645->C0646,,2.92
C0647->C0648,,1.26
C0648->C0649,,-1.37
C0649->C0650,,-2.34
C0650->C0651,,-1.61
C0651->C0652,,-1.39
C0652->C0653,,-1.22
C0653->C0654,,-2.16
C0654->C0655,,-2.23
C0655->C0656,,-1.33
C0656->C0657,,-1.53
C0657->C0658,,1.47
C0658->C0659,,-1.85
C0659->C0660,,-2.32
C0660->C0661,,-2.69
C0661->C0662,,-2.62
C0662->C0663,,-1.45
C0663->C0664,,2.91
C0664->C0665,,2.21
C0665->C0666,,2.8
C0666->C0667,,1.64
C0667->C0668,,-1.35
C0668->C0669,,-1.91
C0669->C0670,,1.94
C0671->C0672,,-1.23
C0672->C0673,,-1.67
C0673->C0674,,-2.25
C0674->C0675,,-2.09
C0675->C0676,,-2.72
C0676->C0677,,2.58
C0677->C0678,,-1.84
C0678->C0679,,-1.04
C0679->C0680,,1.52
C0680->C0681,,-2.34
C0681->C0682,,2.55
C0682->C0683,,1.83
C0683->C0684,,1.19
C0684->C0685,,-1.46
C0685->C0686,,-1.77
C0686->C0687,,-1.53
C0687->C0688,,2.4
C0688->C0689,,1.91
C0689->C0690,,-1.16
C0690->C0691,,-2.99
C0691->C0692,,-2.67
C0692->C0693,,1.45
C0693->C0694,,-2.91
C0695->C0696,,-1.23
C0696->C0697,,-2.26
C0697->C0698,,-1.77
C0698->C0699,,-1.53
C0699->C0700,,2.97
C0700->C0701,,-2.5
C0701->C0702,,-2.39
C0702->C0703,,2.31
C0703->C0704,,1.04
C0704->C0705,,-2.5
C0705->C0706,,2.92
C0706->C0707,,-1.39
C0707->C0708,,-1.15
C0708->C0709,,-2.56
C0709->C0710,,-1.92
C0711->C0712,,2.15
C0712->C0713,,1.17
C0713->C0714,,-1.79
C0714->C0715,,-2.31
C0715->C0716,,-2.16
C0716->C0717,,-2.36
C0717->C0718,,-1.27
C0718->C0719,,-1.25
C0719->C0720,,-1.38
C0720->C0721,,-2.58
C0721->C0722,,-1.1
C0722->C0723,,-1.77
C0723->C0724,,-2.88
C0724->C0725,,-2.18
C0725->C0726,,-2.33
C0726->C0727,,-1.66
C0727->C0728,,-1.12
