Step_ID,Binary_Variable_ID,Relaxation_Factor
C0452->C0453,C0768,4.0
C0453->C0454,C0799,4.0
C0454->C0455,C0752,4.0
C0456->C0457,C0747,4.0
C0457->C0458,C0738,4.0
C0458->C0459,C0760,4.0
C0459->C0460,C0783,4.0
C0462->C0463,C0743,4.0
C0463->C0464,C0747,4.0
C0464->C0465,C0793,4.0
C0465->C0466,C0796,4.0
C0466->C0467,C0731,4.0
C0467->C0468,C0778,4.0
C0468->C0469,C0769,4.0
C0469->C0470,C0781,4.0
C0470->C0471,C0784,4.0
C0471->C0472,C0800,4.0
C0472->C0473,C0777,4.0
C0473->C0474,C0768,4.0
C0474->C0475,C0795,4.0
C0475->C0476,C0739,4.0
C0476->C0477,C0735,4.0
C0480->C0481,C0762,4.0
C0482->C0483,C0797,4.0
C0483->C0484,C0758,4.0
C0484->C0485,C0730,4.0
C0487->C0488,C0772,4.0
C0488->C0489,C0767,4.0
C0489->C0490,C0732,4.0
C0490->C0491,C0769,4.0
C0491->C0492,C0802,4.0
C0492->C0493,C0754,4.0
C0493->C0494,C0787,4.0
C0495->C0496,C0784,4.0
C0496->C0497,C0743,4.0
C0498->C0499,C0802,4.0
C0499->C0500,C0803,4.0
C0500->C0501,C0762,4.0
C0503->C0504,C0805,4.0
C0504->C0505,C0748,4.0
C0507->C0508,C0771,4.0
C0508->C0509,C0782,4.0
C0511->C0512,C0742,4.0
C0512->C0513,C0768,4.0
C0513->C0514,C0757,4.0
C0514->C0515,C0788,4.0
C0516->C0517,C0754,4.0
C0518->C0519,C0749,4.0
C0520->C0521,C0785,4.0
C0522->C0523,C0795,4.0
C0523->C0524,C0781,4.0
C0524->C0525,C0731,4.0
C0525->C0526,C0736,4.0
C0526->C0527,C0740,4.0
C0527->C0528,C0734,4.0
C0528->C0529,C0751,4.0
C0529->C0530,C0758,4.0
C0530->C0531,C0755,4.0
C0532->C0533,C0737,4.0
C0534->C0535,C0756,4.0
C0535->C0536,C0802,4.0
C0537->C0538,C0784,4.0
C0538->C0539,C0781,4.0
C0539->C0540,C0787,4.0
C0540->C0541,C0796,4.0
C0541->C0542,C0746,4.0
C0542->C0543,C0749,4.0
C0543->C0544,C0804,4.0
C0544->C0545,C0755,4.0
C0545->C0546,C0733,4.0
C0546->C0547,C0739,4.0
C0549->C0550,C0805,4.0
C0550->C0551,C0768,4.0
C0552->C0553,C0746,4.0
C0554->C0555,C0767,4.0
C0555->C0556,C0773,4.0
C0556->C0557,C0784,4.0
C0557->C0558,C0753,4.0
C0558->C0559,C0794,4.0
C0560->C0561,C0792,4.0
C0561->C0562,C0800,4.0
C0562->C0563,C0760,4.0
C0563->C0564,C0772,4.0
C0564->C0565,C0785,4.0
C0565->C0566,C0764,4.0
C0567->C0568,C0756,4.0
C0568->C0569,C0779,4.0
C0569->C0570,C0763,4.0
C0570->C0571,C0747,4.0
C0571->C0572,C0730,4.0
C0572->C0573,C0771,4.0
C0573->C0574,C0789,4.0
C0577->C0578,C0795,4.0
C0578->C0579,C0750,4.0
C0579->C0580,C0745,4.0
C0580->C0581,C0792,4.0
C0581->C0582,C0774,4.0
C0582->C0583,C0732,4.0
C0584->C0585,C0800,4.0
C0585->C0586,C0782,4.0
C0586->C0587,C0760,4.0
C0588->C0589,C0804,4.0
C0590->C0591,C0757,4.0
C0591->C0592,C0789,4.0
C0592->C0593,C0749,4.0
C0593->C0594,C0784,4.0
C0594->C0595,C0734,4.0
C0596->C0597,C0771,4.0
C0597->C0598,C0788,4.0
C0598->C0599,C0776,4.0
C0599->C0600,C0797,4.0
C0602->C0603,C0750,4.0
C0603->C0604,C0799,4.0
C0604->C0605,C0754,4.0
C0607->C0608,C0761,4.0
C0608->C0609,C0802,4.0
C0609->C0610,C0760,4.0
C0611->C0612,C0793,4.0
C0616->C0617,C0740,4.0
C0617->C0618,C0754,4.0
C0618->C0619,C0791,4.0
C0619->C0620,C0760,4.0
C0620->C0621,C0794,4.0
C0621->C0622,C0801,4.0
C0624->C0625,C0781,4.0
C0625->C0626,C0750,4.0
C0626->C0627,C0751,4.0
C0629->C0630,C0747,4.0
C0630->C0631,C0746,4.0
C0631->C0632,C0759,4.0
C0632->C0633,C0796,4.0
C0633->C0634,C0778,4.0
C0636->C0637,C0801,4.0
C0639->C0640,C0772,4.0
C0640->C0641,C0760,4.0
C0642->C0643,C0768,4.0
C0643->C0644,C0744,4.0
C0644->C0645,C0762,4.0
C0648->C0649,C0791,4.0
C0649->C0650,C0747,4.0
C0650->C0651,C0776,4.0
C0651->C0652,C0736,4.0
C0652->C0653,C0741,4.0
C0653->C0654,C0756,4.0
C0654->C0655,C0789,4.0
C0655->C0656,C0790,4.0
C0656->C0657,C0752,4.0
C0658->C0659,C0763,4.0
C0659->C0660,C0795,4.0
C0660->C0661,C0780,4.0
C0661->C0662,C0754,4.0
C0662->C0663,C0735,4.0
C0667->C0668,C0786,4.0
C0668->C0669,C0732,4.0
C0671->C0672,C0805,4.0
C0672->C0673,C0773,4.0
C0673->C0674,C0779,4.0
C0674->C0675,C0795,4.0
C0675->C0676,C0801,4.0
C0677->C0678,C0757,4.0
C0678->C0679,C0761,4.0
C0680->C0681,C0746,4.0
C0684->C0685,C0785,4.0
C0685->C0686,C0769,4.0
C0686->C0687,C0797,4.0
C0689->C0690,C0776,4.0
C0690->C0691,C0748,4.0
C0691->C0692,C0775,4.0
C0693->C0694,C0783,4.0
C0695->C0696,C0768,4.0
C0696->C0697,C0785,4.0
C0697->C0698,C0769,4.0
C0698->C0699,C0797,4.0
C0700->C0701,C0784,4.0
C0701->C0702,C0804,4.0
C0704->C0705,C0759,4.0
C0706->C0707,C0760,4.0
C0707->C0708,C0763,4.0
C0708->C0709,C0752,4.0
C0709->C0710,C0750,4.0
C0713->C0714,C0745,4.0
C0714->C0715,C0752,4.0
C0715->C0716,C0793,4.0
C0716->C0717,C0766,4.0
C0717->C0718,C0756,4.0
C0718->C0719,C0738,4.0
C0719->C0720,C0798,4.0
C0720->C0721,C0800,4.0
C0721->C0722,C0769,4.0
C0722->C0723,C0770,4.0
C0723->C0724,C0753,4.0
C0724->C0725,C0737,4.0
C0725->C0726,C0780,4.0
C0726->C0727,C0804,4.0
C0727->C0728,C0750,4.0
