Variable_ID,LowerBound,UpperBound
C0408,0.0,17.08
C0409,0.0,18.41
C0410,0.0,18.57
C0411,0.0,18.23
C0412,0.0,18.22
C0413,0.0,18.66
C0414,0.0,18.5
C0415,0.0,17.27
C0416,0.0,17.58
C0417,0.0,18.3
C0418,0.0,17.15
C0419,0.0,18.82
C0420,0.0,17.99
C0421,0.0,17.24
C0422,0.0,18.7
C0423,0.0,17.17
C0424,0.0,17.14
C0425,0.0,17.88
C0426,0.0,17.86
C0427,0.0,20.0
C0428,0.0,18.08
C0429,0.0,17.48
C0430,0.0,17.45
C0431,0.0,18.83
C0432,0.0,17.91
C0433,0.0,17.78
C0434,0.0,18.73
C0435,0.0,17.63
C0436,0.0,18.43
C0437,0.0,17.53
C0438,0.0,17.18
C0439,0.0,18.57
C0440,0.0,17.38
C0441,0.0,17.47
C0442,0.0,18.35
C0443,0.0,18.11
C0444,0.0,18.83
C0445,0.0,20.0
C0446,0.0,17.55
C0447,0.0,18.04
C0448,0.0,18.26
C0449,0.0,18.79
C0450,0.0,17.22
C0451,0.0,18.06
C0452,0.0,17.06
C0453,0.0,18.95
C0454,0.0,18.53
C0455,0.0,17.7
C0456,0.0,18.35
C0457,0.0,17.67
C0458,0.0,18.52
C0459,0.0,18.86
C0460,0.0,20.0
C0461,0.0,17.33
C0462,0.0,18.36
C0463,0.0,17.6
C0464,0.0,17.91
C0465,0.0,17.64
C0466,0.0,18.43
C0467,0.0,18.42
C0468,0.0,17.59
C0469,0.0,18.84
C0470,0.0,18.18
C0471,0.0,17.56
C0472,0.0,17.34
C0473,0.0,18.6
C0474,0.0,17.34
C0475,0.0,17.18
C0476,0.0,18.21
C0477,0.0,18.03
C0478,0.0,20.0
C0479,0.0,17.98
C0480,0.0,17.87
C0481,0.0,17.46
C0482,0.0,17.26
C0483,0.0,18.26
C0484,0.0,18.36
C0485,0.0,17.83
C0486,0.0,18.94
C0487,0.0,18.03
C0488,0.0,18.56
C0489,0.0,18.17
C0490,0.0,17.81
C0491,0.0,18.94
C0492,0.0,18.04
C0493,0.0,18.75
C0494,0.0,20.0
C0495,0.0,17.86
C0496,0.0,18.26
C0497,0.0,17.18
C0498,0.0,18.63
C0499,0.0,17.33
C0500,0.0,18.49
C0501,0.0,17.87
C0502,0.0,17.9
C0503,0.0,18.75
C0504,0.0,18.9
C0505,0.0,17.2
C0506,0.0,18.24
C0507,0.0,17.52
C0508,0.0,18.92
C0509,0.0,20.0
C0510,0.0,18.18
C0511,0.0,17.83
C0512,0.0,18.65
C0513,0.0,18.51
C0514,0.0,18.7
C0515,0.0,17.19
C0516,0.0,17.81
C0517,0.0,18.34
C0518,0.0,17.45
C0519,0.0,18.06
C0520,0.0,18.98
C0521,0.0,18.34
C0522,0.0,17.38
C0523,0.0,17.36
C0524,0.0,18.91
C0525,0.0,18.67
C0526,0.0,18.88
C0527,0.0,17.18
C0528,0.0,18.38
C0529,0.0,17.94
C0530,0.0,18.27
C0531,0.0,20.0
C0532,0.0,18.69
C0533,0.0,18.76
C0534,0.0,17.56
C0535,0.0,17.54
C0536,0.0,18.16
C0537,0.0,18.69
C0538,0.0,18.18
C0539,0.0,18.45
C0540,0.0,17.63
C0541,0.0,17.01
C0542,0.0,18.48
C0543,0.0,17.52
C0544,0.0,18.92
C0545,0.0,18.71
C0546,0.0,18.88
C0547,0.0,17.91
C0548,0.0,18.87
C0549,0.0,18.53
C0550,0.0,18.99
C0551,0.0,20.0
C0552,0.0,18.94
C0553,0.0,18.22
C0554,0.0,18.11
C0555,0.0,17.84
C0556,0.0,17.84
C0557,0.0,17.63
C0558,0.0,18.04
C0559,0.0,18.53
C0560,0.0,17.23
C0561,0.0,17.25
C0562,0.0,18.4
C0563,0.0,17.66
C0564,0.0,17.44
C0565,0.0,18.42
C0566,0.0,17.84
C0567,0.0,18.48
C0568,0.0,17.95
C0569,0.0,18.19
C0570,0.0,17.47
C0571,0.0,17.83
C0572,0.0,17.08
C0573,0.0,17.3
C0574,0.0,20.0
C0575,0.0,17.9
C0576,0.0,17.63
C0577,0.0,18.52
C0578,0.0,18.62
C0579,0.0,17.97
C0580,0.0,18.03
C0581,0.0,17.98
C0582,0.0,17.88
C0583,0.0,18.32
C0584,0.0,17.65
C0585,0.0,17.63
C0586,0.0,18.41
C0587,0.0,17.81
C0588,0.0,18.05
C0589,0.0,20.0
C0590,0.0,18.47
C0591,0.0,18.35
C0592,0.0,17.21
C0593,0.0,17.18
C0594,0.0,17.98
C0595,0.0,17.94
C0596,0.0,17.52
C0597,0.0,17.35
C0598,0.0,17.07
C0599,0.0,17.62
C0600,0.0,17.26
C0601,0.0,17.4
C0602,0.0,18.29
C0603,0.0,18.11
C0604,0.0,18.98
C0605,0.0,17.69
C0606,0.0,17.81
C0607,0.0,18.64
C0608,0.0,17.69
C0609,0.0,17.42
C0610,0.0,17.79
C0611,0.0,18.22
C0612,0.0,18.4
C0613,0.0,20.0
C0614,0.0,18.31
C0615,0.0,18.25
C0616,0.0,18.6
C0617,0.0,17.27
C0618,0.0,18.7
C0619,0.0,18.25
C0620,0.0,17.6
C0621,0.0,17.14
C0622,0.0,18.44
C0623,0.0,17.24
C0624,0.0,17.08
C0625,0.0,18.12
C0626,0.0,17.22
C0627,0.0,18.38
C0628,0.0,20.0
C0629,0.0,17.46
C0630,0.0,18.6
C0631,0.0,17.47
C0632,0.0,18.69
C0633,0.0,18.05
C0634,0.0,17.24
C0635,0.0,18.15
C0636,0.0,18.44
C0637,0.0,17.21
C0638,0.0,17.51
C0639,0.0,17.6
C0640,0.0,17.66
C0641,0.0,17.3
C0642,0.0,17.09
C0643,0.0,17.24
C0644,0.0,17.59
C0645,0.0,18.92
C0646,0.0,20.0
C0647,0.0,17.26
C0648,0.0,18.63
C0649,0.0,17.66
C0650,0.0,18.39
C0651,0.0,18.61
C0652,0.0,18.78
C0653,0.0,17.84
C0654,0.0,17.77
C0655,0.0,18.67
C0656,0.0,18.47
C0657,0.0,17.47
C0658,0.0,18.15
C0659,0.0,17.68
C0660,0.0,17.31
C0661,0.0,17.38
C0662,0.0,18.55
C0663,0.0,18.91
C0664,0.0,18.21
C0665,0.0,18.8
C0666,0.0,17.64
C0667,0.0,18.65
C0668,0.0,18.09
C0669,0.0,17.94
C0670,0.0,20.0
C0671,0.0,18.77
C0672,0.0,18.33
C0673,0.0,17.75
C0674,0.0,17.91
C0675,0.0,17.28
C0676,0.0,18.58
C0677,0.0,18.16
C0678,0.0,18.96
C0679,0.0,17.52
C0680,0.0,17.66
C0681,0.0,18.55
C0682,0.0,17.83
C0683,0.0,17.19
C0684,0.0,18.54
C0685,0.0,18.23
C0686,0.0,18.47
C0687,0.0,18.4
C0688,0.0,17.91
C0689,0.0,18.84
C0690,0.0,17.01
C0691,0.0,17.33
C0692,0.0,17.45
C0693,0.0,17.09
C0694,0.0,20.0
C0695,0.0,18.77
C0696,0.0,17.74
C0697,0.0,18.23
C0698,0.0,18.47
C0699,0.0,18.97
C0700,0.0,17.5
C0701,0.0,17.61
C0702,0.0,18.31
C0703,0.0,17.04
C0704,0.0,17.5
C0705,0.0,18.92
C0706,0.0,18.61
C0707,0.0,18.85
C0708,0.0,17.44
C0709,0.0,18.08
C0710,0.0,20.0
C0711,0.0,18.15
C0712,0.0,17.17
C0713,0.0,18.21
C0714,0.0,17.69
C0715,0.0,17.84
C0716,0.0,17.64
C0717,0.0,18.73
C0718,0.0,18.75
C0719,0.0,18.62
C0720,0.0,17.42
C0721,0.0,18.9
C0722,0.0,18.23
C0723,0.0,17.12
C0724,0.0,17.82
C0725,0.0,17.67
C0726,0.0,18.34
C0727,0.0,18.88
C0728,0.0,20.0
