id,source,target,fixed_cost,var_cost
85,23,22,81.0,2.0
86,42,22,86.0,2.0
87,23,24,61.0,9.0
88,23,43,90.0,9.0
89,24,23,58.0,6.0
90,43,23,51.0,4.0
91,24,25,64.0,7.0
92,24,44,57.0,9.0
93,25,24,55.0,8.0
94,44,24,75.0,6.0
95,25,26,88.0,2.0
96,25,45,75.0,6.0
97,26,25,94.0,1.0
98,45,25,63.0,8.0
99,26,27,61.0,5.0
100,26,46,69.0,1.0
101,27,26,89.0,7.0
102,46,26,64.0,8.0
103,27,28,85.0,5.0
104,27,47,56.0,8.0
105,28,27,88.0,2.0
106,47,27,57.0,5.0
107,28,29,90.0,2.0
108,28,48,59.0,7.0
109,29,28,96.0,3.0
110,48,28,63.0,7.0
111,29,30,77.0,3.0
112,29,49,90.0,9.0
113,30,29,79.0,1.0
114,49,29,64.0,9.0
115,30,31,62.0,4.0
116,30,50,93.0,1.0
117,31,30,83.0,2.0
118,50,30,92.0,5.0
119,31,32,64.0,3.0
120,31,51,76.0,8.0
121,32,31,78.0,2.0
122,51,31,65.0,7.0
123,32,33,81.0,9.0
124,32,52,99.0,1.0
125,33,32,50.0,9.0
126,52,32,83.0,7.0
127,33,34,74.0,3.0
128,33,53,92.0,8.0
129,34,33,85.0,2.0
130,53,33,84.0,2.0
131,34,35,84.0,7.0
132,34,54,89.0,7.0
133,35,34,53.0,8.0
134,54,34,63.0,8.0
135,35,36,85.0,9.0
136,35,55,55.0,3.0
137,36,35,53.0,1.0
138,55,35,72.0,8.0
139,36,37,94.0,1.0
140,36,56,55.0,6.0
141,37,36,58.0,5.0
142,56,36,65.0,6.0
143,37,38,80.0,9.0
144,37,57,87.0,2.0
145,38,37,81.0,6.0
146,57,37,79.0,9.0
147,38,39,85.0,6.0
148,38,58,99.0,9.0
149,39,38,76.0,6.0
150,58,38,80.0,7.0
151,39,40,69.0,7.0
152,39,59,99.0,4.0
153,40,39,88.0,9.0
154,59,39,76.0,8.0
155,40,60,97.0,2.0
156,60,40,96.0,4.0
157,41,42,71.0,8.0
158,41,61,89.0,7.0
159,42,41,76.0,9.0
160,61,41,52.0,2.0
161,42,43,53.0,9.0
162,42,62,82.0,9.0
163,43,42,68.0,5.0
164,62,42,62.0,3.0
165,43,44,56.0,5.0
166,43,63,65.0,7.0
167,44,43,93.0,9.0
168,63,43,59.0,9.0
169,44,45,94.0,2.0
170,44,64,70.0,7.0
171,45,44,63.0,1.0
172,64,44,70.0,4.0
173,45,46,93.0,6.0
174,45,65,90.0,2.0
175,46,45,59.0,8.0
176,65,45,97.0,1.0
177,46,47,97.0,8.0
178,46,66,62.0,8.0
179,47,46,52.0,9.0
180,66,46,98.0,7.0
181,47,48,96.0,9.0
182,47,67,96.0,8.0
183,48,47,68.0,6.0
184,67,47,61.0,4.0
185,48,49,54.0,9.0
186,48,68,97.0,6.0
187,49,48,88.0,2.0
188,68,48,91.0,3.0
189,49,50,77.0,7.0
190,49,69,67.0,3.0
191,50,49,63.0,9.0
192,69,49,65.0,2.0
193,50,51,96.0,7.0
194,50,70,61.0,5.0
195,51,50,79.0,6.0
196,70,50,88.0,6.0
197,51,52,66.0,5.0
198,51,71,52.0,3.0
199,52,51,76.0,6.0
200,71,51,82.0,4.0
201,52,53,55.0,1.0
202,52,72,55.0,1.0
203,53,52,80.0,8.0
204,72,52,72.0,3.0
205,53,54,55.0,1.0
206,53,73,96.0,7.0
207,54,53,54.0,4.0
208,73,53,59.0,9.0
209,54,55,59.0,5.0
210,54,74,97.0,2.0
211,55,54,67.0,3.0
212,74,54,97.0,6.0
213,55,56,61.0,3.0
214,55,75,67.0,3.0
215,56,55,91.0,5.0
216,75,55,68.0,7.0
217,56,57,70.0,3.0
218,56,76,95.0,9.0
219,57,56,59.0,8.0
220,76,56,69.0,1.0
221,57,58,70.0,2.0
222,57,77,77.0,8.0
223,58,57,90.0,1.0
224,77,57,51.0,9.0
225,58,59,74.0,5.0
226,58,78,98.0,7.0
227,59,58,61.0,8.0
228,78,58,62.0,8.0
229,59,60,83.0,4.0
230,59,79,84.0,4.0
231,60,59,77.0,8.0
232,79,59,61.0,6.0
233,60,80,84.0,5.0
234,80,60,69.0,5.0
235,61,62,99.0,4.0
236,61,81,84.0,9.0
237,62,61,66.0,6.0
238,81,61,60.0,1.0
239,62,63,68.0,8.0
240,62,82,73.0,7.0
241,63,62,73.0,5.0
242,82,62,66.0,5.0
243,63,64,91.0,2.0
244,63,83,78.0,5.0
245,64,63,68.0,9.0
246,83,63,59.0,9.0
247,64,65,55.0,3.0
248,64,84,59.0,7.0
249,65,64,94.0,6.0
250,84,64,89.0,2.0
251,65,66,81.0,6.0
252,65,85,97.0,2.0
253,66,65,52.0,5.0
254,85,65,79.0,3.0
255,66,67,52.0,4.0
256,66,86,60.0,6.0
257,67,66,95.0,7.0
258,86,66,85.0,6.0
259,67,68,58.0,2.0
260,67,87,53.0,2.0
261,68,67,68.0,8.0
262,87,67,79.0,6.0
263,68,69,58.0,2.0
264,68,88,62.0,2.0
265,69,68,99.0,8.0
266,88,68,74.0,6.0
267,69,70,63.0,6.0
268,69,89,57.0,6.0
269,70,69,55.0,1.0
270,89,69,60.0,5.0
271,70,71,54.0,9.0
272,70,90,82.0,1.0
273,71,70,68.0,7.0
274,90,70,71.0,2.0
275,71,72,55.0,7.0
276,71,91,98.0,6.0
277,72,71,61.0,4.0
278,91,71,52.0,6.0
279,72,73,99.0,2.0
280,72,92,59.0,9.0
281,73,72,50.0,1.0
282,92,72,79.0,8.0
283,73,74,85.0,9.0
284,73,93,76.0,3.0
285,74,73,72.0,9.0
286,93,73,50.0,1.0
287,74,75,63.0,9.0
288,74,94,61.0,2.0
289,75,74,66.0,1.0
290,94,74,99.0,9.0
291,75,76,71.0,2.0
292,75,95,90.0,6.0
293,76,75,66.0,8.0
294,95,75,65.0,6.0
295,76,77,50.0,4.0
296,76,96,62.0,3.0
297,77,76,60.0,1.0
298,96,76,94.0,5.0
299,77,78,89.0,1.0
300,77,97,70.0,4.0
301,78,77,88.0,1.0
302,97,77,88.0,2.0
303,78,79,74.0,3.0
304,78,98,55.0,2.0
305,79,78,72.0,9.0
306,98,78,97.0,3.0
307,79,80,97.0,6.0
308,79,99,55.0,3.0
309,80,79,67.0,4.0
310,99,79,98.0,9.0
311,80,100,52.0,2.0
312,100,80,76.0,4.0
313,81,82,70.0,1.0
314,81,101,84.0,2.0
315,82,81,87.0,4.0
316,101,81,74.0,2.0
317,82,83,73.0,9.0
318,82,102,70.0,8.0
319,83,82,97.0,4.0
320,102,82,53.0,8.0
321,83,84,68.0,8.0
322,83,103,66.0,4.0
323,84,83,57.0,1.0
324,103,83,76.0,7.0
325,84,85,65.0,9.0
326,84,104,64.0,6.0
327,85,84,78.0,4.0
328,104,84,93.0,5.0
329,85,86,77.0,4.0
330,85,105,58.0,6.0
331,86,85,61.0,2.0
332,105,85,90.0,5.0
333,86,87,73.0,7.0
334,86,106,75.0,4.0
335,87,86,92.0,3.0
336,106,86,87.0,8.0
337,87,88,62.0,1.0
338,87,107,66.0,8.0
339,88,87,58.0,7.0
340,107,87,60.0,8.0
341,88,89,70.0,2.0
342,88,108,95.0,6.0
343,89,88,98.0,9.0
344,108,88,54.0,6.0
345,89,90,74.0,8.0
346,89,109,92.0,2.0
347,90,89,79.0,2.0
348,109,89,64.0,5.0
349,90,91,63.0,7.0
350,90,110,52.0,3.0
351,91,90,61.0,3.0
352,110,90,60.0,3.0
353,91,92,67.0,2.0
354,91,111,67.0,2.0
355,92,91,93.0,7.0
356,111,91,77.0,9.0
357,92,93,85.0,5.0
358,92,112,54.0,9.0
359,93,92,53.0,1.0
360,112,92,81.0,5.0
361,93,94,89.0,6.0
362,93,113,96.0,8.0
363,94,93,88.0,1.0
364,113,93,98.0,2.0
365,94,95,51.0,4.0
366,94,114,69.0,7.0
367,95,94,80.0,9.0
368,114,94,81.0,4.0
369,95,96,56.0,9.0
370,95,115,80.0,8.0
371,96,95,85.0,4.0
372,115,95,98.0,9.0
373,96,97,58.0,9.0
374,96,116,62.0,8.0
375,97,96,91.0,3.0
376,116,96,68.0,6.0
377,97,98,73.0,6.0
378,97,117,58.0,9.0
379,98,97,52.0,1.0
380,117,97,80.0,2.0
381,98,99,63.0,3.0
382,98,118,59.0,2.0
383,99,98,56.0,5.0
384,118,98,67.0,4.0
385,99,100,59.0,9.0
386,99,119,66.0,6.0
387,100,99,81.0,9.0
388,119,99,50.0,6.0
389,100,120,93.0,4.0
390,120,100,92.0,6.0
391,101,102,91.0,9.0
392,101,121,81.0,8.0
393,102,101,83.0,9.0
394,121,101,54.0,1.0
395,102,103,85.0,2.0
396,102,122,81.0,9.0
397,103,102,74.0,3.0
398,122,102,82.0,2.0
399,103,104,96.0,1.0
400,103,123,83.0,8.0
401,104,103,92.0,9.0
402,123,103,97.0,9.0
403,104,105,82.0,5.0
404,104,124,82.0,9.0
405,105,104,62.0,7.0
406,124,104,85.0,1.0
407,105,106,76.0,8.0
408,105,125,50.0,4.0
409,106,105,60.0,8.0
410,125,105,86.0,2.0
411,106,107,75.0,8.0
412,106,126,99.0,3.0
413,107,106,94.0,1.0
414,126,106,57.0,9.0
415,107,108,66.0,3.0
416,107,127,50.0,2.0
417,108,107,70.0,9.0
418,127,107,76.0,1.0
419,108,109,59.0,2.0
420,108,128,77.0,6.0
421,109,108,85.0,3.0
422,128,108,63.0,6.0
423,109,110,96.0,5.0
424,109,129,70.0,4.0
425,110,109,74.0,1.0
426,129,109,66.0,9.0
427,110,111,70.0,3.0
428,110,130,53.0,4.0
429,111,110,76.0,6.0
430,130,110,84.0,2.0
431,111,112,72.0,9.0
432,111,131,86.0,7.0
433,112,111,85.0,3.0
434,131,111,55.0,6.0
435,112,113,56.0,9.0
436,112,132,81.0,6.0
437,113,112,60.0,7.0
438,132,112,51.0,1.0
439,113,114,52.0,9.0
440,113,133,75.0,8.0
441,114,113,73.0,6.0
442,133,113,85.0,6.0
443,114,115,51.0,7.0
444,114,134,89.0,7.0
445,115,114,53.0,3.0
446,134,114,62.0,6.0
447,115,116,52.0,8.0
448,115,135,79.0,8.0
449,116,115,71.0,5.0
450,135,115,94.0,4.0
451,116,117,86.0,5.0
452,116,136,82.0,3.0
453,117,116,89.0,3.0
454,136,116,85.0,3.0
455,117,118,95.0,5.0
456,117,137,54.0,2.0
457,118,117,76.0,4.0
458,137,117,60.0,2.0
459,118,119,50.0,4.0
460,118,138,73.0,1.0
461,119,118,88.0,3.0
462,138,118,87.0,3.0
463,119,120,94.0,1.0
464,119,139,70.0,2.0
465,120,119,81.0,2.0
466,139,119,62.0,4.0
467,120,140,88.0,3.0
468,140,120,60.0,7.0
469,121,122,63.0,8.0
470,121,141,98.0,9.0
471,122,121,73.0,1.0
472,141,121,63.0,5.0
473,122,123,52.0,9.0
474,122,142,60.0,6.0
475,123,122,75.0,7.0
476,142,122,94.0,6.0
477,123,124,70.0,9.0
478,123,143,75.0,6.0
479,124,123,93.0,8.0
480,143,123,80.0,4.0
481,124,125,83.0,2.0
482,124,144,89.0,2.0
483,125,124,95.0,7.0
484,144,124,88.0,8.0
485,125,126,80.0,3.0
486,125,145,83.0,6.0
487,126,125,87.0,9.0
488,145,125,65.0,8.0
489,126,127,83.0,4.0
490,126,146,56.0,1.0
491,127,126,56.0,5.0
492,146,126,75.0,7.0
493,127,128,88.0,7.0
494,127,147,78.0,8.0
495,128,127,70.0,9.0
496,147,127,78.0,8.0
497,128,129,88.0,7.0
498,128,148,60.0,2.0
499,129,128,94.0,7.0
500,148,128,58.0,1.0
501,129,130,57.0,1.0
502,129,149,63.0,3.0
503,130,129,98.0,5.0
504,149,129,70.0,4.0
505,130,131,78.0,3.0
506,130,150,57.0,5.0
507,131,130,95.0,7.0
508,150,130,90.0,4.0
509,131,132,86.0,1.0
510,131,151,65.0,6.0
511,132,131,77.0,8.0
512,151,131,95.0,5.0
513,132,133,53.0,2.0
514,132,152,78.0,4.0
515,133,132,90.0,5.0
516,152,132,84.0,1.0
517,133,134,94.0,6.0
518,133,153,63.0,7.0
519,134,133,76.0,8.0
520,153,133,58.0,9.0
521,134,135,84.0,2.0
522,134,154,86.0,7.0
523,135,134,90.0,2.0
524,154,134,64.0,1.0
525,135,136,83.0,8.0
526,135,155,94.0,6.0
527,136,135,64.0,6.0
528,155,135,74.0,4.0
529,136,137,81.0,1.0
530,136,156,75.0,4.0
531,137,136,65.0,9.0
532,156,136,73.0,7.0
533,137,138,64.0,3.0
534,137,157,72.0,7.0
535,138,137,76.0,3.0
536,157,137,71.0,9.0
537,138,139,99.0,4.0
538,138,158,67.0,6.0
539,139,138,99.0,2.0
540,158,138,52.0,5.0
541,139,140,75.0,9.0
542,139,159,84.0,6.0
543,140,139,75.0,1.0
544,159,139,67.0,2.0
545,140,160,62.0,2.0
546,160,140,95.0,3.0
547,141,142,64.0,2.0
548,141,161,95.0,8.0
549,142,141,99.0,8.0
550,161,141,63.0,2.0
551,142,143,71.0,9.0
552,142,162,99.0,1.0
553,143,142,99.0,4.0
554,162,142,87.0,5.0
555,143,144,90.0,8.0
556,143,163,62.0,9.0
557,144,143,78.0,7.0
558,163,143,69.0,2.0
559,144,145,95.0,1.0
560,144,164,73.0,6.0
561,145,144,95.0,1.0
562,164,144,53.0,8.0
563,145,146,99.0,9.0
564,145,165,66.0,5.0
565,146,145,99.0,6.0
566,165,145,65.0,7.0
567,146,147,93.0,5.0
568,146,166,91.0,6.0
569,147,146,57.0,6.0
570,166,146,84.0,7.0
571,147,148,78.0,4.0
572,147,167,90.0,1.0
573,148,147,89.0,4.0
574,167,147,69.0,2.0
575,148,149,70.0,6.0
576,148,168,90.0,2.0
577,149,148,87.0,9.0
578,168,148,61.0,5.0
579,149,150,98.0,8.0
580,149,169,80.0,3.0
581,150,149,60.0,1.0
582,169,149,61.0,8.0
583,150,151,85.0,7.0
584,150,170,65.0,9.0
585,151,150,64.0,1.0
586,170,150,79.0,2.0
587,151,152,83.0,6.0
588,151,171,96.0,5.0
589,152,151,56.0,6.0
590,171,151,76.0,8.0
591,152,153,68.0,7.0
592,152,172,76.0,9.0
593,153,152,63.0,2.0
594,172,152,69.0,4.0
595,153,154,57.0,8.0
596,153,173,86.0,8.0
597,154,153,92.0,6.0
598,173,153,67.0,8.0
599,154,155,90.0,1.0
600,154,174,56.0,9.0
601,155,154,96.0,9.0
602,174,154,53.0,7.0
603,155,156,97.0,1.0
604,155,175,51.0,8.0
605,156,155,63.0,6.0
606,175,155,74.0,8.0
607,156,157,60.0,8.0
608,156,176,93.0,8.0
609,157,156,67.0,3.0
610,176,156,80.0,7.0
611,157,158,80.0,9.0
612,157,177,65.0,7.0
613,158,157,89.0,9.0
614,177,157,80.0,8.0
615,158,159,72.0,8.0
616,158,178,91.0,7.0
617,159,158,92.0,9.0
618,178,158,99.0,5.0
619,159,160,56.0,1.0
620,159,179,53.0,9.0
621,160,159,99.0,1.0
622,179,159,51.0,6.0
623,160,180,96.0,9.0
624,180,160,78.0,6.0
625,161,162,84.0,3.0
626,161,181,89.0,4.0
627,162,161,68.0,8.0
628,181,161,78.0,8.0
629,162,163,69.0,6.0
630,162,182,88.0,6.0
631,163,162,66.0,7.0
632,182,162,78.0,6.0
633,163,164,69.0,3.0
634,163,183,56.0,5.0
635,164,163,60.0,9.0
636,183,163,96.0,5.0
637,164,165,57.0,5.0
638,164,184,57.0,9.0
639,165,164,89.0,4.0
640,184,164,89.0,1.0
641,165,166,89.0,1.0
642,165,185,72.0,6.0
643,166,165,65.0,1.0
644,185,165,96.0,3.0
645,166,167,77.0,6.0
646,166,186,82.0,7.0
647,167,166,55.0,7.0
648,186,166,56.0,8.0
649,167,168,96.0,6.0
650,167,187,69.0,2.0
651,168,167,62.0,9.0
652,187,167,79.0,2.0
653,168,169,54.0,5.0
654,168,188,70.0,6.0
655,169,168,83.0,6.0
656,188,168,68.0,3.0
657,169,170,81.0,3.0
658,169,189,92.0,6.0
659,170,169,56.0,8.0
660,189,169,61.0,8.0
661,170,171,71.0,9.0
662,170,190,89.0,5.0
663,171,170,71.0,1.0
664,190,170,50.0,4.0
665,171,172,61.0,6.0
666,171,191,88.0,4.0
667,172,171,57.0,5.0
668,191,171,93.0,5.0
669,172,173,85.0,9.0
670,172,192,58.0,5.0
671,173,172,66.0,3.0
672,192,172,60.0,5.0
673,173,174,54.0,9.0
674,173,193,95.0,6.0
675,174,173,86.0,4.0
676,193,173,66.0,3.0
677,174,175,62.0,6.0
678,174,194,80.0,5.0
679,175,174,65.0,3.0
680,194,174,61.0,9.0
681,175,176,98.0,8.0
682,175,195,94.0,6.0
683,176,175,96.0,4.0
684,195,175,65.0,4.0
685,176,177,62.0,6.0
686,176,196,73.0,6.0
687,177,176,80.0,7.0
688,196,176,78.0,3.0
689,177,178,65.0,1.0
690,177,197,91.0,1.0
691,178,177,70.0,3.0
692,197,177,82.0,1.0
693,178,179,68.0,8.0
694,178,198,50.0,9.0
695,179,178,64.0,1.0
696,198,178,86.0,9.0
697,179,180,52.0,3.0
698,179,199,82.0,8.0
699,180,179,85.0,6.0
700,199,179,66.0,8.0
701,180,200,58.0,7.0
702,200,180,78.0,1.0
703,181,182,94.0,3.0
704,182,181,95.0,1.0
705,182,183,50.0,1.0
706,183,182,80.0,5.0
707,183,184,50.0,8.0
708,184,183,66.0,6.0
709,184,185,89.0,7.0
710,185,184,78.0,4.0
711,185,186,94.0,3.0
712,186,185,63.0,8.0
713,186,187,60.0,3.0
714,187,186,54.0,8.0
715,187,188,72.0,3.0
716,188,187,97.0,8.0
717,188,189,90.0,3.0
718,189,188,65.0,7.0
719,189,190,98.0,7.0
720,190,189,79.0,5.0
721,190,191,86.0,1.0
722,191,190,82.0,6.0
723,191,192,81.0,1.0
724,192,191,59.0,9.0
725,192,193,56.0,2.0
726,193,192,69.0,9.0
727,193,194,98.0,1.0
728,194,193,88.0,3.0
729,194,195,63.0,3.0
730,195,194,52.0,9.0
731,195,196,56.0,8.0
732,196,195,60.0,7.0
733,196,197,90.0,8.0
734,197,196,56.0,8.0
735,197,198,94.0,2.0
736,198,197,55.0,1.0
737,198,199,50.0,4.0
738,199,198,60.0,4.0
739,199,200,91.0,4.0
740,200,199,56.0,1.0
