warehouse_id,store_id,variable_cost,fixed_cost,capacity
2,20,9.0,136.0,27.0
3,0,1.0,238.0,2.0
3,1,10.0,112.0,8.0
3,2,10.0,147.0,2.0
3,3,5.0,152.0,3.0
3,4,7.0,110.0,19.0
3,5,8.0,73.0,5.0
3,6,10.0,253.0,15.0
3,7,10.0,135.0,30.0
3,8,6.0,98.0,30.0
3,9,10.0,88.0,9.0
3,10,9.0,102.0,3.0
3,11,2.0,196.0,21.0
3,12,5.0,117.0,2.0
3,13,2.0,133.0,29.0
3,14,5.0,94.0,5.0
3,15,7.0,204.0,30.0
3,16,4.0,116.0,9.0
3,17,2.0,132.0,7.0
3,18,9.0,208.0,27.0
3,19,7.0,256.0,7.0
3,20,5.0,213.0,27.0
4,0,8.0,73.0,2.0
4,1,4.0,175.0,8.0
4,2,4.0,202.0,2.0
4,3,4.0,260.0,3.0
4,4,3.0,234.0,19.0
4,5,1.0,119.0,5.0
4,6,3.0,214.0,15.0
4,7,2.0,79.0,26.0
4,8,1.0,157.0,26.0
4,9,8.0,202.0,9.0
4,10,2.0,263.0,3.0
4,11,9.0,102.0,21.0
4,12,10.0,113.0,2.0
4,13,6.0,165.0,26.0
4,14,2.0,226.0,5.0
4,15,3.0,102.0,26.0
4,16,7.0,192.0,9.0
4,17,5.0,93.0,7.0
4,18,4.0,69.0,26.0
4,19,7.0,219.0,7.0
4,20,10.0,112.0,26.0
5,0,4.0,154.0,2.0
5,1,4.0,107.0,8.0
5,2,7.0,190.0,2.0
5,3,7.0,139.0,3.0
5,4,10.0,88.0,14.0
5,5,7.0,125.0,5.0
5,6,1.0,104.0,14.0
5,7,8.0,97.0,14.0
5,8,7.0,149.0,14.0
5,9,9.0,134.0,9.0
5,10,7.0,203.0,3.0
5,11,7.0,84.0,14.0
5,12,5.0,177.0,2.0
5,13,1.0,118.0,14.0
5,14,2.0,210.0,5.0
5,15,5.0,83.0,14.0
5,16,8.0,161.0,9.0
5,17,9.0,169.0,7.0
5,18,8.0,241.0,14.0
5,19,9.0,168.0,7.0
5,20,9.0,181.0,14.0
6,0,4.0,127.0,2.0
6,1,7.0,162.0,8.0
6,2,1.0,237.0,2.0
6,3,4.0,175.0,3.0
6,4,1.0,92.0,19.0
6,5,5.0,189.0,5.0
6,6,1.0,104.0,15.0
6,7,2.0,225.0,23.0
6,8,2.0,225.0,23.0
6,9,5.0,259.0,9.0
6,10,5.0,129.0,3.0
6,11,7.0,137.0,21.0
6,12,2.0,226.0,2.0
6,13,6.0,71.0,23.0
6,14,6.0,258.0,5.0
6,15,6.0,245.0,23.0
6,16,6.0,204.0,9.0
6,17,6.0,71.0,7.0
6,18,3.0,79.0,23.0
6,19,3.0,67.0,7.0
6,20,4.0,234.0,23.0
7,0,1.0,144.0,2.0
7,1,1.0,185.0,8.0
7,2,4.0,234.0,2.0
7,3,8.0,127.0,3.0
7,4,10.0,112.0,19.0
7,5,3.0,81.0,5.0
7,6,9.0,206.0,15.0
7,7,4.0,154.0,20.0
7,8,8.0,97.0,20.0
7,9,3.0,91.0,9.0
7,10,9.0,161.0,3.0
7,11,5.0,189.0,20.0
7,12,5.0,117.0,2.0
7,13,2.0,196.0,20.0
7,14,5.0,177.0,5.0
7,15,8.0,148.0,20.0
7,16,5.0,259.0,9.0
7,17,4.0,93.0,7.0
7,18,6.0,219.0,20.0
7,19,4.0,202.0,7.0
7,20,1.0,131.0,20.0
8,0,10.0,123.0,2.0
8,1,1.0,238.0,8.0
8,2,10.0,77.0,2.0
8,3,7.0,86.0,3.0
8,4,6.0,71.0,19.0
8,5,9.0,227.0,5.0
8,6,7.0,109.0,15.0
8,7,10.0,217.0,38.0
8,8,3.0,115.0,32.0
8,9,10.0,147.0,9.0
8,10,5.0,247.0,3.0
8,11,6.0,258.0,21.0
8,12,5.0,129.0,2.0
8,13,6.0,178.0,29.0
8,14,6.0,125.0,5.0
8,15,10.0,217.0,50.0
8,16,8.0,241.0,9.0
8,17,8.0,228.0,7.0
8,18,4.0,106.0,27.0
8,19,3.0,261.0,7.0
8,20,3.0,132.0,27.0
9,0,10.0,147.0,2.0
9,1,9.0,148.0,8.0
9,2,7.0,72.0,2.0
9,3,4.0,187.0,3.0
9,4,7.0,110.0,13.0
9,5,4.0,128.0,5.0
9,6,4.0,96.0,13.0
9,7,10.0,207.0,13.0
9,8,8.0,203.0,13.0
9,9,10.0,217.0,9.0
9,10,1.0,158.0,3.0
9,11,5.0,129.0,13.0
9,12,2.0,225.0,2.0
9,13,6.0,178.0,13.0
9,14,3.0,103.0,5.0
9,15,7.0,73.0,13.0
9,16,5.0,153.0,9.0
9,17,8.0,161.0,7.0
9,18,3.0,238.0,13.0
9,19,3.0,91.0,7.0
9,20,8.0,101.0,13.0
10,0,10.0,123.0,2.0
10,1,10.0,76.0,8.0
10,2,1.0,78.0,2.0
10,3,4.0,154.0,3.0
10,4,7.0,149.0,19.0
10,5,8.0,97.0,5.0
10,6,1.0,119.0,15.0
10,7,10.0,146.0,32.0
10,8,3.0,94.0,32.0
10,9,10.0,76.0,9.0
10,10,10.0,183.0,3.0
10,11,10.0,122.0,21.0
10,12,6.0,178.0,2.0
10,13,6.0,178.0,29.0
10,14,5.0,106.0,5.0
10,15,1.0,130.0,32.0
10,16,8.0,168.0,9.0
10,17,8.0,121.0,7.0
10,18,9.0,136.0,27.0
10,19,9.0,160.0,7.0
10,20,7.0,162.0,27.0
11,0,5.0,259.0,2.0
11,1,7.0,167.0,8.0
11,2,4.0,260.0,2.0
11,3,8.0,167.0,3.0
11,4,3.0,120.0,19.0
11,5,5.0,177.0,5.0
11,6,1.0,104.0,15.0
11,7,4.0,95.0,25.0
11,8,5.0,177.0,25.0
11,9,3.0,95.0,9.0
11,10,9.0,216.0,3.0
11,11,9.0,242.0,21.0
11,12,2.0,263.0,2.0
11,13,5.0,130.0,25.0
11,14,9.0,195.0,5.0
11,15,4.0,153.0,25.0
11,16,2.0,209.0,9.0
11,17,8.0,135.0,7.0
11,18,3.0,250.0,25.0
11,19,2.0,102.0,7.0
11,20,9.0,193.0,25.0
