option_id,pool_id,source_system,confidence,note
opt_00688,pool_02,SYS_C,0.877,
opt_00532,pool_03,SYS_A,0.862,
opt_02992,pool_04,SYS_B,0.936,
opt_02668,pool_00,SYS_A,0.645,
opt_00478,pool_01,SYS_B,0.712,
opt_04146,pool_02,SYS_B,0.928,
opt_02767,pool_03,SYS_A,0.719,
opt_04226,pool_04,SYS_B,0.748,
opt_02438,pool_00,SYS_B,0.829,
opt_02097,pool_01,SYS_C,0.734,
opt_00981,pool_02,SYS_B,0.807,
opt_03478,pool_03,SYS_C,0.808,
opt_03640,pool_04,SYS_B,0.686,
opt_01964,pool_00,SYS_A,0.987,
opt_02374,pool_01,SYS_B,0.879,
opt_01366,pool_02,SYS_C,0.654,
opt_01996,pool_03,SYS_A,0.724,
opt_00631,pool_04,SYS_C,0.893,
opt_04710,pool_00,SYS_A,0.92,
opt_01218,pool_01,SYS_B,0.939,
opt_02642,pool_02,SYS_B,0.734,
opt_01936,pool_03,SYS_C,0.929,
opt_00781,pool_04,SYS_B,0.789,
opt_00998,pool_00,SYS_C,0.941,
opt_01128,pool_01,SYS_A,0.999,
opt_03038,pool_02,SYS_B,0.668,
opt_01395,pool_03,SYS_B,0.938,
opt_04906,pool_04,SYS_B,0.729,
opt_00381,pool_00,SYS_A,0.834,
opt_05001,pool_01,SYS_C,0.824,
opt_02582,pool_02,SYS_C,0.762,
opt_02710,pool_03,SYS_C,0.663,
opt_04347,pool_04,SYS_C,0.887,
opt_02686,pool_00,SYS_A,0.683,
opt_03987,pool_01,SYS_B,0.759,
opt_03158,pool_02,SYS_B,0.897,
opt_01361,pool_03,SYS_C,0.727,
opt_01256,pool_04,SYS_A,0.635,
opt_04173,pool_00,SYS_C,0.608,
opt_02981,pool_01,SYS_A,0.603,
opt_01157,pool_02,SYS_A,0.829,
opt_04635,pool_03,SYS_A,0.987,
opt_01102,pool_04,SYS_A,0.791,
opt_01474,pool_00,SYS_B,0.755,
opt_00033,pool_01,SYS_C,0.87,
opt_02901,pool_02,SYS_C,0.609,
opt_04368,pool_03,SYS_A,0.648,
opt_04172,pool_04,SYS_C,0.948,
opt_02679,pool_00,SYS_A,0.621,
opt_00362,pool_01,SYS_A,0.986,
opt_04789,pool_02,SYS_B,0.905,
opt_00470,pool_03,SYS_C,0.899,
opt_00702,pool_04,SYS_A,0.989,
opt_00995,pool_00,SYS_B,0.812,
opt_04541,pool_01,SYS_B,0.607,
opt_01327,pool_02,SYS_B,0.614,
opt_04613,pool_03,SYS_B,0.896,
opt_04335,pool_04,SYS_A,0.695,
opt_01951,pool_00,SYS_B,0.968,
opt_04912,pool_01,SYS_C,0.713,
opt_01078,pool_26,SYS_B,0.123,possible_misclassification
opt_04505,pool_03,SYS_B,0.609,
opt_02972,pool_04,SYS_C,0.957,
opt_02994,pool_00,SYS_A,0.969,
opt_02000,pool_01,SYS_B,0.703,
opt_02422,pool_02,SYS_B,0.982,
opt_02597,pool_03,SYS_B,0.661,
opt_04565,pool_04,SYS_A,0.635,
opt_02902,pool_00,SYS_A,0.772,
opt_02246,pool_01,SYS_C,0.669,
opt_04198,pool_02,SYS_A,0.93,
opt_02677,pool_03,SYS_A,0.634,
opt_03180,pool_04,SYS_C,0.918,
opt_01257,pool_00,SYS_B,0.708,
opt_00910,pool_01,SYS_C,0.939,
opt_03902,pool_02,SYS_C,0.756,
opt_03437,pool_03,SYS_C,0.965,
opt_03392,pool_04,SYS_B,0.653,
opt_01386,pool_00,SYS_A,0.77,
opt_03693,pool_01,SYS_A,0.85,
opt_01252,pool_02,SYS_C,0.681,
opt_00705,pool_03,SYS_C,0.763,
opt_00222,pool_04,SYS_C,0.858,
opt_03540,pool_00,SYS_B,0.918,
opt_00720,pool_01,SYS_A,0.71,
opt_00588,pool_02,SYS_B,0.745,
opt_03129,pool_03,SYS_B,0.743,
opt_00495,pool_04,SYS_B,0.881,
opt_00834,pool_00,SYS_A,0.833,
opt_02060,pool_01,SYS_C,0.644,
opt_02664,pool_02,SYS_A,0.931,
opt_02532,pool_03,SYS_C,0.915,
opt_02860,pool_04,SYS_A,1.0,
opt_00240,pool_00,SYS_A,0.66,
opt_04051,pool_01,SYS_B,0.676,
opt_02614,pool_02,SYS_A,0.946,
opt_00812,pool_03,SYS_C,0.723,
opt_01546,pool_04,SYS_C,0.678,
opt_02383,pool_00,SYS_C,0.922,
opt_02899,pool_01,SYS_B,0.857,
opt_00778,pool_02,SYS_C,0.845,
opt_00353,pool_24,SYS_C,0.273,possible_misclassification
opt_01858,pool_04,SYS_A,0.704,
opt_03550,pool_00,SYS_C,0.704,
opt_02986,pool_01,SYS_B,0.65,
opt_01225,pool_02,SYS_C,0.959,
opt_03376,pool_03,SYS_B,0.694,
opt_00513,pool_04,SYS_B,0.837,
opt_00747,pool_00,SYS_C,0.875,
opt_03686,pool_01,SYS_C,0.865,
opt_00077,pool_02,SYS_B,0.697,
opt_00371,pool_03,SYS_B,0.876,
opt_04703,pool_04,SYS_A,0.897,
opt_02577,pool_00,SYS_B,0.689,
opt_02465,pool_01,SYS_A,0.854,
opt_04504,pool_02,SYS_A,0.712,
opt_04276,pool_03,SYS_B,0.819,
opt_03999,pool_04,SYS_B,0.665,
opt_02868,pool_00,SYS_C,0.905,
opt_03848,pool_01,SYS_B,0.64,
opt_02950,pool_02,SYS_C,0.786,
opt_03517,pool_03,SYS_B,0.745,
opt_03712,pool_04,SYS_B,0.953,
opt_03215,pool_00,SYS_A,0.662,
opt_03978,pool_01,SYS_A,0.786,
opt_03481,pool_02,SYS_A,0.816,
opt_03849,pool_03,SYS_C,0.927,
opt_02696,pool_04,SYS_A,0.995,
opt_03281,pool_00,SYS_C,0.892,
opt_00241,pool_01,SYS_B,0.759,
opt_04878,pool_02,SYS_A,0.922,
opt_01984,pool_03,SYS_B,0.744,
opt_04667,pool_04,SYS_B,0.761,
opt_03520,pool_00,SYS_B,0.858,
opt_04691,pool_01,SYS_B,0.699,
opt_03068,pool_02,SYS_A,0.943,
opt_03662,pool_03,SYS_B,0.873,
opt_03575,pool_04,SYS_A,0.68,
opt_01535,pool_00,SYS_A,0.664,
opt_02375,pool_01,SYS_C,0.767,
opt_00189,pool_02,SYS_B,0.802,
opt_04473,pool_03,SYS_C,0.864,
opt_02216,pool_04,SYS_C,0.812,
opt_03404,pool_00,SYS_A,0.615,
opt_03403,pool_01,SYS_C,0.671,
opt_04935,pool_02,SYS_A,0.659,
opt_04963,pool_03,SYS_A,0.905,
opt_03041,pool_04,SYS_A,0.927,
opt_04936,pool_00,SYS_B,0.753,
opt_00023,pool_01,SYS_A,0.891,
opt_04389,pool_02,SYS_B,0.86,
opt_02353,pool_03,SYS_A,0.8,
opt_03211,pool_04,SYS_C,0.976,
opt_01109,pool_00,SYS_A,0.83,
opt_03131,pool_01,SYS_B,0.627,
opt_04979,pool_02,SYS_B,0.801,
opt_00951,pool_03,SYS_B,0.92,
opt_03722,pool_04,SYS_B,0.759,
opt_02324,pool_00,SYS_A,0.733,
opt_01473,pool_01,SYS_B,0.875,
opt_00422,pool_02,SYS_B,0.804,
opt_03005,pool_03,SYS_C,0.716,
opt_01412,pool_04,SYS_A,0.908,
opt_00000,pool_00,SYS_A,0.668,
opt_00900,pool_01,SYS_A,0.823,
opt_04753,pool_02,SYS_C,0.785,
opt_04974,pool_03,SYS_A,0.843,
opt_00844,pool_04,SYS_A,0.918,
opt_03779,pool_00,SYS_A,0.94,
opt_02215,pool_01,SYS_B,0.602,
opt_01168,pool_02,SYS_C,0.848,
opt_03436,pool_03,SYS_B,0.964,
opt_00930,pool_04,SYS_C,0.917,
opt_02297,pool_00,SYS_A,0.934,
opt_00094,pool_01,SYS_A,0.982,
opt_03611,pool_22,SYS_C,0.079,possible_misclassification
opt_03160,pool_03,SYS_B,0.646,
opt_00592,pool_04,SYS_B,0.955,
opt_00252,pool_00,SYS_C,0.834,
opt_02248,pool_01,SYS_A,0.872,
opt_00010,pool_02,SYS_A,0.769,
opt_00425,pool_03,SYS_A,0.854,
opt_02881,pool_04,SYS_B,0.646,
opt_00125,pool_00,SYS_B,0.923,
opt_00121,pool_01,SYS_B,0.748,
opt_04439,pool_02,SYS_C,0.712,
opt_02052,pool_03,SYS_A,0.968,
opt_03001,pool_04,SYS_C,0.736,
opt_04084,pool_00,SYS_C,0.875,
opt_01072,pool_01,SYS_B,0.694,
opt_00503,pool_27,SYS_C,0.206,possible_misclassification
opt_03047,pool_03,SYS_C,0.692,
opt_03218,pool_04,SYS_C,0.875,
opt_01553,pool_00,SYS_A,0.658,
opt_04267,pool_01,SYS_B,0.818,
opt_01430,pool_02,SYS_A,0.842,
opt_04156,pool_03,SYS_C,0.973,
opt_00764,pool_04,SYS_B,0.97,
opt_01045,pool_00,SYS_B,0.753,
opt_03969,pool_01,SYS_A,0.638,
opt_01175,pool_02,SYS_C,0.617,
opt_00046,pool_03,SYS_B,0.774,
opt_02712,pool_04,SYS_B,0.821,
opt_03212,pool_00,SYS_B,0.735,
opt_04301,pool_01,SYS_A,0.995,
opt_04024,pool_02,SYS_C,0.911,
opt_04990,pool_03,SYS_A,0.713,
opt_04385,pool_04,SYS_C,0.884,
opt_02162,pool_00,SYS_A,0.615,
opt_01587,pool_01,SYS_C,0.872,
opt_04187,pool_02,SYS_A,0.697,
opt_00111,pool_03,SYS_B,0.845,
opt_01276,pool_04,SYS_C,0.745,
opt_03474,pool_00,SYS_A,0.818,
opt_03506,pool_01,SYS_B,0.611,
opt_02762,pool_02,SYS_A,0.898,
opt_01570,pool_03,SYS_A,0.61,
opt_03900,pool_04,SYS_B,0.732,
opt_03261,pool_00,SYS_B,0.964,
opt_02847,pool_01,SYS_A,0.861,
opt_01537,pool_02,SYS_B,0.821,
opt_00378,pool_03,SYS_A,0.989,
opt_00520,pool_04,SYS_B,0.846,
opt_03519,pool_00,SYS_A,0.948,
opt_01602,pool_01,SYS_B,0.861,
opt_00473,pool_02,SYS_B,0.731,
opt_03321,pool_03,SYS_A,0.618,
opt_03352,pool_04,SYS_A,0.999,
opt_00479,pool_00,SYS_C,0.612,
opt_04285,pool_01,SYS_C,0.864,
opt_02481,pool_02,SYS_B,0.973,
opt_02825,pool_03,SYS_B,0.768,
opt_00795,pool_04,SYS_C,0.976,
opt_04475,pool_00,SYS_B,0.92,
opt_04353,pool_01,SYS_A,0.799,
opt_00019,pool_02,SYS_C,0.861,
opt_00001,pool_03,SYS_B,0.61,
opt_04170,pool_04,SYS_B,0.637,
opt_01816,pool_00,SYS_C,0.926,
opt_03776,pool_01,SYS_B,0.751,
opt_05018,pool_02,SYS_A,0.939,
opt_02578,pool_03,SYS_C,0.836,
opt_00069,pool_04,SYS_B,0.788,
opt_00432,pool_00,SYS_C,0.826,
opt_01442,pool_01,SYS_B,0.773,
opt_04328,pool_02,SYS_B,0.883,
opt_03529,pool_03,SYS_A,0.722,
opt_04680,pool_04,SYS_A,0.829,
opt_02225,pool_00,SYS_C,0.84,
opt_01547,pool_01,SYS_A,0.776,
opt_03893,pool_02,SYS_C,0.766,
opt_03099,pool_03,SYS_C,0.804,
opt_04929,pool_04,SYS_A,0.808,
opt_00989,pool_00,SYS_A,0.802,
opt_02380,pool_01,SYS_B,0.927,
opt_03203,pool_02,SYS_C,0.9,
opt_03318,pool_03,SYS_B,0.837,
opt_02923,pool_04,SYS_C,0.889,
opt_04239,pool_00,SYS_C,0.771,
opt_00798,pool_01,SYS_C,0.713,
opt_02687,pool_02,SYS_A,0.74,
opt_00071,pool_03,SYS_A,0.631,
opt_00990,pool_04,SYS_B,0.66,
opt_04647,pool_00,SYS_A,0.799,
opt_02154,pool_01,SYS_B,0.741,
opt_04083,pool_02,SYS_C,0.964,
opt_01227,pool_03,SYS_C,0.891,
opt_02451,pool_04,SYS_C,0.605,
opt_00360,pool_00,SYS_B,0.797,
opt_02142,pool_01,SYS_C,0.616,
opt_01629,pool_02,SYS_B,0.902,
opt_01055,pool_03,SYS_C,0.818,
opt_03513,pool_04,SYS_C,0.983,
opt_00859,pool_00,SYS_B,0.845,
opt_01517,pool_01,SYS_B,0.93,
opt_03792,pool_02,SYS_C,0.77,
opt_00887,pool_03,SYS_A,0.662,
opt_03254,pool_04,SYS_A,0.797,
opt_01069,pool_00,SYS_C,0.879,
opt_04400,pool_01,SYS_B,0.657,
opt_01641,pool_02,SYS_B,0.834,
opt_00856,pool_03,SYS_A,0.856,
opt_04337,pool_04,SYS_A,0.753,
opt_02845,pool_00,SYS_B,0.81,
opt_00547,pool_01,SYS_B,0.697,
opt_04477,pool_02,SYS_B,0.822,
opt_04854,pool_03,SYS_C,0.733,
opt_03711,pool_04,SYS_A,0.968,
opt_04739,pool_00,SYS_B,0.782,
opt_01423,pool_01,SYS_A,0.624,
opt_02921,pool_02,SYS_B,0.73,
opt_02175,pool_03,SYS_B,0.833,
opt_00173,pool_04,SYS_A,0.977,
opt_02895,pool_00,SYS_A,0.801,
opt_02153,pool_01,SYS_C,0.625,
opt_01184,pool_02,SYS_C,0.788,
opt_01357,pool_03,SYS_C,0.807,
opt_01761,pool_04,SYS_B,0.812,
opt_00349,pool_00,SYS_C,0.843,
opt_01135,pool_01,SYS_C,0.749,
opt_02257,pool_02,SYS_B,0.631,
opt_00828,pool_03,SYS_B,0.806,
opt_01682,pool_04,SYS_A,0.925,
opt_00805,pool_00,SYS_B,0.611,
opt_00318,pool_01,SYS_C,0.794,
opt_02278,pool_02,SYS_B,0.734,
opt_01028,pool_03,SYS_A,0.717,
opt_00691,pool_04,SYS_A,0.8,
opt_02792,pool_00,SYS_B,0.825,
opt_00674,pool_01,SYS_C,0.922,
opt_04865,pool_02,SYS_A,0.947,
opt_03762,pool_03,SYS_B,0.883,
opt_01170,pool_04,SYS_A,0.871,
opt_03331,pool_00,SYS_B,0.745,
opt_04503,pool_01,SYS_B,0.93,
opt_00794,pool_02,SYS_B,0.89,
opt_01359,pool_03,SYS_C,0.784,
opt_01588,pool_04,SYS_B,0.967,
opt_03807,pool_00,SYS_C,0.912,
opt_04684,pool_01,SYS_B,0.862,
opt_02752,pool_02,SYS_B,0.667,
opt_04399,pool_03,SYS_B,0.923,
opt_03065,pool_04,SYS_C,0.621,
opt_00363,pool_00,SYS_A,0.871,
opt_04230,pool_01,SYS_B,0.775,
opt_00886,pool_02,SYS_C,0.8,
opt_01594,pool_03,SYS_C,0.822,
opt_00802,pool_04,SYS_B,0.757,
opt_01706,pool_00,SYS_B,0.727,
opt_01705,pool_01,SYS_A,0.951,
opt_04268,pool_02,SYS_B,0.654,
opt_01989,pool_03,SYS_C,0.807,
opt_04444,pool_04,SYS_A,0.832,
opt_04491,pool_00,SYS_B,0.86,
opt_03743,pool_01,SYS_C,0.784,
opt_00466,pool_02,SYS_A,0.603,
opt_04525,pool_03,SYS_A,0.773,
opt_01145,pool_04,SYS_A,0.773,
opt_02507,pool_00,SYS_A,0.79,
opt_04628,pool_01,SYS_C,0.746,
opt_00551,pool_02,SYS_B,0.948,
opt_03756,pool_03,SYS_C,0.667,
opt_03665,pool_04,SYS_B,0.712,
opt_00640,pool_00,SYS_C,0.817,
opt_01715,pool_01,SYS_C,0.899,
opt_03308,pool_02,SYS_A,0.876,
opt_03939,pool_03,SYS_C,0.957,
opt_00003,pool_04,SYS_A,0.628,
opt_04104,pool_00,SYS_C,0.864,
opt_01645,pool_01,SYS_B,0.832,
opt_01495,pool_02,SYS_B,0.861,
opt_04697,pool_03,SYS_C,0.647,
opt_01387,pool_04,SYS_B,0.635,
opt_03699,pool_00,SYS_C,0.753,
opt_03864,pool_01,SYS_C,0.929,
opt_02196,pool_02,SYS_B,0.876,
opt_01211,pool_24,SYS_C,0.14,possible_misclassification
opt_04259,pool_04,SYS_B,0.632,
opt_02441,pool_05,SYS_C,0.911,
opt_04218,pool_06,SYS_A,0.83,
opt_02099,pool_07,SYS_C,0.979,
opt_00500,pool_08,SYS_B,0.889,
opt_03249,pool_09,SYS_A,0.983,
opt_00498,pool_07,SYS_B,0.275,possible_misclassification
opt_00299,pool_06,SYS_A,0.988,
opt_01751,pool_07,SYS_A,0.863,
opt_00979,pool_08,SYS_B,0.84,
opt_01859,pool_09,SYS_C,0.928,
opt_04042,pool_05,SYS_C,0.874,
opt_03031,pool_06,SYS_A,0.798,
opt_00499,pool_07,SYS_C,0.724,
opt_02555,pool_08,SYS_A,0.804,
opt_00534,pool_09,SYS_A,0.85,
opt_01324,pool_05,SYS_A,0.727,
opt_04559,pool_06,SYS_A,0.679,
opt_02545,pool_07,SYS_C,0.708,
opt_00630,pool_08,SYS_B,0.721,
opt_00120,pool_09,SYS_A,0.959,
opt_00461,pool_05,SYS_C,0.97,
opt_04999,pool_06,SYS_A,0.621,
opt_01020,pool_07,SYS_B,0.903,
opt_03084,pool_08,SYS_A,0.874,
opt_03402,pool_09,SYS_B,0.917,
opt_00150,pool_05,SYS_C,0.87,
opt_03266,pool_06,SYS_B,0.636,
opt_04111,pool_07,SYS_B,0.868,
opt_04023,pool_08,SYS_A,0.685,
opt_04459,pool_09,SYS_B,0.624,
opt_03248,pool_05,SYS_C,0.61,
opt_04704,pool_06,SYS_B,0.674,
opt_04787,pool_07,SYS_C,0.771,
opt_01624,pool_08,SYS_B,0.86,
opt_01573,pool_09,SYS_A,0.912,
opt_00850,pool_05,SYS_A,0.634,
opt_02617,pool_06,SYS_A,0.729,
opt_02140,pool_07,SYS_C,0.874,
opt_04349,pool_08,SYS_B,0.982,
opt_03124,pool_09,SYS_B,0.651,
opt_03467,pool_05,SYS_A,0.893,
opt_04140,pool_06,SYS_A,0.988,
opt_04092,pool_07,SYS_A,0.647,
opt_01531,pool_08,SYS_A,0.602,
opt_01758,pool_09,SYS_C,0.979,
opt_00340,pool_05,SYS_C,0.942,
opt_03993,pool_06,SYS_C,0.779,
opt_04578,pool_07,SYS_C,0.907,
opt_02416,pool_08,SYS_A,0.846,
opt_04636,pool_09,SYS_A,0.667,
opt_02221,pool_05,SYS_A,0.959,
opt_03173,pool_08,SYS_B,0.29,possible_misclassification
opt_03839,pool_07,SYS_B,0.881,
opt_03156,pool_08,SYS_C,0.895,
opt_01000,pool_09,SYS_A,0.732,
opt_04821,pool_05,SYS_C,0.82,
opt_03806,pool_06,SYS_A,0.759,
opt_00386,pool_07,SYS_B,0.926,
opt_02661,pool_08,SYS_C,0.671,
opt_04663,pool_09,SYS_A,0.794,
opt_01597,pool_05,SYS_A,0.969,
opt_04670,pool_06,SYS_A,0.867,
opt_01744,pool_07,SYS_C,0.671,
opt_04665,pool_08,SYS_C,0.674,
opt_02203,pool_09,SYS_A,0.731,
opt_04772,pool_05,SYS_C,0.633,
opt_02031,pool_06,SYS_B,0.741,
opt_02631,pool_07,SYS_B,0.818,
opt_04234,pool_08,SYS_A,0.694,
opt_02487,pool_09,SYS_C,0.994,
opt_04737,pool_05,SYS_B,0.874,
opt_04411,pool_06,SYS_B,0.86,
opt_00087,pool_07,SYS_B,0.809,
opt_04017,pool_08,SYS_C,0.729,
opt_00650,pool_09,SYS_C,0.748,
opt_03649,pool_05,SYS_B,0.986,
opt_01282,pool_06,SYS_C,0.957,
opt_01627,pool_17,SYS_B,0.173,possible_misclassification
opt_03251,pool_08,SYS_C,0.878,
opt_01381,pool_09,SYS_C,0.72,
opt_02495,pool_05,SYS_C,0.817,
opt_04828,pool_06,SYS_A,0.907,
opt_00446,pool_07,SYS_C,0.87,
opt_05034,pool_08,SYS_B,0.922,
opt_03122,pool_09,SYS_B,0.834,
opt_00848,pool_05,SYS_A,0.628,
opt_00656,pool_06,SYS_C,0.711,
opt_03652,pool_07,SYS_C,0.609,
opt_03868,pool_08,SYS_A,0.84,
opt_01298,pool_09,SYS_C,0.644,
opt_02403,pool_05,SYS_A,0.975,
opt_00324,pool_06,SYS_B,0.922,
opt_00507,pool_07,SYS_B,0.829,
opt_04055,pool_08,SYS_B,0.831,
opt_00354,pool_09,SYS_B,0.656,
opt_03606,pool_05,SYS_B,0.623,
opt_01163,pool_06,SYS_B,0.944,
opt_03433,pool_07,SYS_A,0.962,
opt_01886,pool_08,SYS_A,0.736,
opt_03495,pool_09,SYS_B,0.997,
opt_04526,pool_05,SYS_B,0.614,
opt_04464,pool_06,SYS_C,0.765,
opt_00847,pool_07,SYS_B,0.635,
opt_03833,pool_08,SYS_C,0.86,
opt_03584,pool_31,SYS_C,0.385,possible_misclassification
opt_01408,pool_05,SYS_B,0.957,
opt_00816,pool_06,SYS_B,0.788,
opt_00049,pool_07,SYS_B,0.676,
opt_00497,pool_08,SYS_A,0.895,
opt_02472,pool_09,SYS_A,0.878,
opt_01953,pool_05,SYS_B,0.906,
opt_02653,pool_06,SYS_C,0.776,
opt_03637,pool_07,SYS_A,0.818,
opt_04764,pool_08,SYS_B,0.613,
opt_04026,pool_09,SYS_B,0.833,
opt_04918,pool_05,SYS_C,0.974,
opt_03171,pool_06,SYS_C,0.615,
opt_04110,pool_07,SYS_B,0.862,
opt_02040,pool_08,SYS_B,0.636,
opt_02484,pool_09,SYS_A,0.897,
opt_02865,pool_05,SYS_A,0.721,
opt_04080,pool_06,SYS_C,0.982,
opt_04221,pool_07,SYS_C,0.978,
opt_01632,pool_02,SYS_A,0.356,possible_misclassification
opt_02594,pool_09,SYS_B,0.95,
opt_03847,pool_05,SYS_A,0.755,
opt_00604,pool_06,SYS_C,0.745,
opt_01110,pool_07,SYS_B,0.673,
opt_01913,pool_08,SYS_B,0.975,
opt_04623,pool_09,SYS_B,0.726,
opt_00433,pool_05,SYS_C,0.713,
opt_03240,pool_06,SYS_B,0.773,
opt_02894,pool_07,SYS_C,0.925,
opt_00472,pool_08,SYS_B,0.839,
opt_02474,pool_09,SYS_C,0.874,
opt_01648,pool_05,SYS_B,0.824,
opt_04211,pool_06,SYS_A,0.611,
opt_01061,pool_07,SYS_A,0.834,
opt_03628,pool_08,SYS_C,0.998,
opt_00329,pool_09,SYS_C,0.64,
opt_02985,pool_05,SYS_A,0.722,
opt_01272,pool_06,SYS_B,0.612,
opt_04289,pool_07,SYS_A,0.92,
opt_03313,pool_08,SYS_A,0.903,
opt_01212,pool_09,SYS_A,0.923,
opt_02533,pool_05,SYS_B,0.812,
opt_02010,pool_06,SYS_B,0.66,
opt_00338,pool_07,SYS_B,0.634,
opt_03561,pool_08,SYS_C,0.919,
opt_01238,pool_09,SYS_C,0.696,
opt_03530,pool_05,SYS_A,0.958,
opt_01967,pool_06,SYS_A,0.629,
opt_00858,pool_07,SYS_B,0.792,
opt_04077,pool_08,SYS_C,0.848,
opt_02692,pool_09,SYS_C,0.718,
opt_03168,pool_05,SYS_B,0.669,
opt_00771,pool_06,SYS_B,0.846,
opt_03476,pool_07,SYS_C,0.86,
opt_02962,pool_08,SYS_A,0.698,
opt_00183,pool_09,SYS_A,0.92,
opt_03255,pool_05,SYS_C,0.933,
opt_00548,pool_06,SYS_C,0.613,
opt_01021,pool_07,SYS_A,0.853,
opt_00447,pool_08,SYS_C,0.953,
opt_04442,pool_09,SYS_B,0.645,
