Constraint_ID,Flow_Variable_ID,Flow_Coefficient,Facility_Variable_ID,Facility_Coefficient
R0268,C0383,-1.0,C0893,1000.0
R0269,C0384,-1.0,C0895,1000.0
R0270,C0385,-1.0,C0897,1000.0
R0271,C0386,-1.0,C0898,1000.0
R0272,C0387,-1.0,C0899,1000.0
R0273,C0388,-1.0,C0901,1000.0
R0274,C0389,-1.0,C0902,1000.0
R0275,C0390,-1.0,C0904,1000.0
R0276,C0391,-1.0,C0905,1000.0
R0277,C0392,-1.0,C0906,1000.0
R0278,C0393,-1.0,C0907,1000.0
R0279,C0394,-1.0,C0908,1000.0
R0280,C0395,-1.0,C0909,1000.0
R0281,C0396,-1.0,C0910,1000.0
R0282,C0397,-1.0,C0911,1000.0
R0283,C0398,-1.0,C0912,1000.0
R0284,C0399,-1.0,C0913,1000.0
R0285,C0400,-1.0,C0914,1000.0
R0286,C0401,-1.0,C0915,1000.0
R0287,C0402,-1.0,C0916,1000.0
R0288,C0403,-1.0,C0917,1000.0
R0289,C0404,-1.0,C0918,1000.0
R0290,C0405,-1.0,C0919,1000.0
R0291,C0406,-1.0,C0920,1000.0
R0292,C0407,-1.0,C0922,1000.0
R0293,C0408,-1.0,C0923,1000.0
R0294,C0409,-1.0,C0924,1000.0
R0295,C0410,-1.0,C0925,1000.0
R0296,C0411,-1.0,C0926,1000.0
R0297,C0412,-1.0,C0930,1000.0
R0298,C0413,-1.0,C0931,1000.0
R0299,C0414,-1.0,C0932,1000.0
R0300,C0415,-1.0,C0933,1000.0
R0301,C0416,-1.0,C0937,1000.0
R0302,C0417,-1.0,C0938,1000.0
R0303,C0418,-1.0,C0939,1000.0
R0304,C0419,-1.0,C0940,1000.0
R0305,C0420,-1.0,C0942,1000.0
R0306,C0421,-1.0,C0944,1000.0
R0307,C0422,-1.0,C0948,1000.0
R0308,C0423,-1.0,C0949,1000.0
R0309,C0424,-1.0,C0950,1000.0
R0310,C0425,-1.0,C0951,1000.0
R0311,C0426,-1.0,C0952,1000.0
R0312,C0427,-1.0,C0954,1000.0
R0313,C0428,-1.0,C0961,1000.0
R0314,C0429,-1.0,C0962,1000.0
R0315,C0430,-1.0,C0963,1000.0
R0316,C0431,-1.0,C0964,1000.0
R0317,C0432,-1.0,C0971,1000.0
R0318,C0433,-1.0,C0973,1000.0
R0319,C0434,-1.0,C0974,1000.0
R0320,C0435,-1.0,C0975,1000.0
R0321,C0436,-1.0,C0976,1000.0
R0322,C0437,-1.0,C0980,1000.0
R0323,C0438,-1.0,C0985,1000.0
R0324,C0439,-1.0,C0986,1000.0
R0325,C0440,-1.0,C0987,1000.0
R0326,C0441,-1.0,C0988,1000.0
R0327,C0442,-1.0,C0996,1000.0
R0328,C0443,-1.0,C0997,1000.0
R0329,C0444,-1.0,C0998,1000.0
R0330,C0445,-1.0,C0999,1000.0
R0331,C0446,-1.0,C1000,1000.0
R0332,C0447,-1.0,C1002,1000.0
R0356,C0116,-1.0,C0546,1000.0
