Variable_ID,Type,Lower_Bound,Upper_Bound,Obj_Coefficient
C0100,Continuous,0.0,10.0,500.0
C0101,Continuous,0.0,20.0,2000.0
C0102,Continuous,0.0,20.0,2000.0
C0103,Continuous,0.0,20.0,500.0
C0104,Continuous,0.0,10.0,500.0
C0105,Continuous,0.0,30.0,2000.0
C0106,Continuous,0.0,20.0,500.0
C0107,Continuous,0.0,20.0,500.0
C0108,Continuous,0.0,50.0,500.0
C0109,Continuous,0.0,50.0,2000.0
C0110,Continuous,0.0,20.0,500.0
C0111,Continuous,0.0,50.0,2000.0
C0112,Continuous,0.0,50.0,2000.0
C0113,Continuous,0.0,30.0,2000.0
C0114,Continuous,0.0,30.0,2000.0
C0115,Continuous,0.0,30.0,2000.0
C0116,Continuous,0.0,,0.0
C0117,Continuous,0.0,,0.0
C0118,Continuous,0.0,,0.0
C0119,Continuous,0.0,,0.0
C0120,Continuous,0.0,,0.0
C0121,Continuous,0.0,,0.0
C0122,Continuous,0.0,,0.0
C0123,Continuous,0.0,,0.0
C0124,Continuous,0.0,,0.0
C0125,Continuous,0.0,,0.0
C0126,Continuous,0.0,,0.0
C0127,Continuous,0.0,,0.0
C0128,Continuous,0.0,,0.0
C0129,Continuous,0.0,,0.0
C0130,Continuous,0.0,,0.0
C0131,Continuous,0.0,,0.0
C0132,Continuous,0.0,,0.0
C0133,Continuous,0.0,,0.0
C0134,Continuous,0.0,,0.0
C0135,Continuous,0.0,,0.0
C0136,Continuous,0.0,,0.0
C0137,Continuous,0.0,,0.0
C0138,Continuous,0.0,,0.0
C0139,Continuous,0.0,,0.0
C0140,Continuous,0.0,,0.0
C0141,Continuous,0.0,,0.0
C0142,Continuous,0.0,,0.0
C0143,Continuous,0.0,,0.0
C0144,Continuous,0.0,,0.0
C0145,Continuous,0.0,,0.0
C0146,Continuous,0.0,,0.0
C0147,Continuous,0.0,,0.0
C0148,Continuous,0.0,,0.0
C0149,Continuous,0.0,,0.0
C0150,Continuous,0.0,,0.0
C0151,Continuous,0.0,,0.0
C0152,Continuous,0.0,,0.0
C0153,Continuous,0.0,,0.0
C0154,Continuous,0.0,,0.0
C0155,Continuous,0.0,,0.0
C0156,Continuous,0.0,,0.0
C0157,Continuous,0.0,,0.0
C0158,Continuous,0.0,,0.0
C0159,Continuous,0.0,,0.0
C0160,Continuous,0.0,,0.0
C0161,Continuous,0.0,,0.0
C0162,Continuous,0.0,,0.0
C0163,Continuous,0.0,,0.0
C0164,Continuous,0.0,,0.0
C0165,Continuous,0.0,,0.0
C0166,Continuous,0.0,,0.0
C0167,Continuous,0.0,,0.0
C0168,Continuous,0.0,,0.0
C0169,Continuous,0.0,,0.0
C0170,Continuous,0.0,,0.0
C0171,Continuous,0.0,,0.0
C0172,Continuous,0.0,,0.0
C0173,Continuous,0.0,,0.0
C0174,Continuous,0.0,,0.0
C0175,Continuous,0.0,,0.0
C0176,Continuous,0.0,,0.0
C0177,Continuous,0.0,,0.0
C0178,Continuous,0.0,,0.0
C0179,Continuous,0.0,,0.0
C0180,Continuous,0.0,,0.0
C0181,Continuous,0.0,,0.0
C0182,Continuous,0.0,,0.0
C0183,Continuous,0.0,,0.0
C0184,Continuous,0.0,,0.0
C0185,Continuous,0.0,,0.0
C0186,Continuous,0.0,,0.0
C0187,Continuous,0.0,,0.0
C0188,Continuous,0.0,,0.0
C0189,Continuous,0.0,,0.0
C0190,Continuous,0.0,,0.0
C0191,Continuous,0.0,,0.0
C0192,Continuous,0.0,,0.0
C0193,Continuous,0.0,,0.0
C0194,Continuous,0.0,,0.0
C0195,Continuous,0.0,,0.0
C0196,Continuous,0.0,,0.0
C0197,Continuous,0.0,,0.0
C0198,Continuous,0.0,,0.0
C0199,Continuous,0.0,,0.0
C0200,Continuous,0.0,,0.0
C0201,Continuous,0.0,,0.0
C0202,Continuous,0.0,,0.0
C0203,Continuous,0.0,,0.0
C0204,Continuous,0.0,,0.0
C0205,Continuous,0.0,,0.0
C0206,Continuous,0.0,,0.0
C0207,Continuous,0.0,,0.0
C0208,Continuous,0.0,,0.0
C0209,Continuous,0.0,,0.0
C0210,Continuous,0.0,,0.0
C0211,Continuous,0.0,,0.0
C0212,Continuous,0.0,,0.0
C0213,Continuous,0.0,,0.0
C0214,Continuous,0.0,,0.0
C0215,Continuous,0.0,,0.0
C0216,Continuous,0.0,,0.0
C0217,Continuous,0.0,,0.0
C0218,Continuous,0.0,,0.0
C0219,Continuous,0.0,,0.0
C0220,Continuous,0.0,,0.0
C0221,Continuous,0.0,,0.0
C0222,Continuous,0.0,,0.0
C0223,Continuous,0.0,,0.0
C0224,Continuous,0.0,,0.0
C0225,Continuous,0.0,,0.0
C0226,Continuous,0.0,,0.0
C0227,Continuous,0.0,,0.0
C0228,Continuous,0.0,,0.0
C0229,Continuous,0.0,,0.0
C0230,Continuous,0.0,,0.0
C0231,Continuous,0.0,,0.0
C0232,Continuous,0.0,,0.0
C0233,Continuous,0.0,,0.0
C0234,Continuous,0.0,,0.0
C0235,Continuous,0.0,,0.0
C0236,Continuous,0.0,,0.0
C0237,Continuous,0.0,,0.0
C0238,Continuous,0.0,,0.0
C0239,Continuous,0.0,,0.0
C0240,Continuous,0.0,,0.0
C0241,Continuous,0.0,,0.0
C0242,Continuous,0.0,,0.0
C0243,Continuous,0.0,,0.0
C0244,Continuous,0.0,,0.0
C0245,Continuous,0.0,,0.0
C0246,Continuous,0.0,,0.0
C0247,Continuous,0.0,,0.0
C0248,Continuous,0.0,,0.0
C0249,Continuous,0.0,,0.0
C0250,Continuous,0.0,,0.0
C0251,Continuous,0.0,,0.0
C0252,Continuous,0.0,,0.0
C0253,Continuous,0.0,,0.0
C0254,Continuous,0.0,,0.0
C0255,Continuous,0.0,,0.0
C0256,Continuous,0.0,,0.0
C0257,Continuous,0.0,,0.0
C0258,Continuous,0.0,,0.0
C0259,Continuous,0.0,,0.0
C0260,Continuous,0.0,,0.0
C0261,Continuous,0.0,,0.0
C0262,Continuous,0.0,,0.0
C0263,Continuous,0.0,,0.0
C0264,Continuous,0.0,,0.0
C0265,Continuous,0.0,,0.0
C0266,Continuous,0.0,,0.0
C0267,Continuous,0.0,,0.0
C0268,Continuous,0.0,,0.0
C0269,Continuous,0.0,,0.0
C0270,Continuous,0.0,,0.0
C0271,Continuous,0.0,,0.0
C0272,Continuous,0.0,,0.0
C0273,Continuous,0.0,,0.0
C0274,Continuous,0.0,,0.0
C0275,Continuous,0.0,,0.0
C0276,Continuous,0.0,,0.0
C0277,Continuous,0.0,,0.0
C0278,Continuous,0.0,,0.0
C0279,Continuous,0.0,,0.0
C0280,Continuous,0.0,,0.0
C0281,Continuous,0.0,,0.0
C0282,Continuous,0.0,,0.0
C0283,Continuous,0.0,,0.0
C0284,Continuous,0.0,,0.0
C0285,Continuous,0.0,,0.0
C0286,Continuous,0.0,,0.0
C0287,Continuous,0.0,,0.0
C0288,Continuous,0.0,,0.0
C0289,Continuous,0.0,,0.0
C0290,Continuous,0.0,,-161.0
C0291,Continuous,0.0,,-161.0
C0292,Continuous,0.0,,-161.0
C0293,Continuous,0.0,,-161.0
C0294,Continuous,0.0,,-161.0
C0295,Continuous,0.0,,-161.0
C0296,Continuous,0.0,,-161.0
C0297,Continuous,0.0,,-161.0
C0298,Continuous,0.0,,-161.0
C0299,Continuous,0.0,,-161.0
C0300,Continuous,0.0,,-161.0
C0301,Continuous,0.0,,-161.0
C0302,Continuous,0.0,,-161.0
C0303,Continuous,0.0,,-161.0
C0304,Continuous,0.0,,-161.0
C0305,Continuous,0.0,,-161.0
C0306,Continuous,0.0,,-161.0
C0307,Continuous,0.0,,-161.0
C0308,Continuous,0.0,,-161.0
C0309,Continuous,0.0,,-161.0
C0310,Continuous,0.0,,-161.0
C0311,Continuous,0.0,,-161.0
C0312,Continuous,0.0,,-161.0
C0313,Continuous,0.0,,-161.0
C0314,Continuous,0.0,,-161.0
C0315,Continuous,0.0,,-161.0
C0316,Continuous,0.0,,-161.0
C0317,Continuous,0.0,,-161.0
C0318,Continuous,0.0,,-161.0
C0319,Continuous,0.0,,-161.0
C0320,Continuous,0.0,,-161.0
C0321,Continuous,0.0,,-161.0
C0322,Continuous,0.0,,-161.0
C0323,Continuous,0.0,,-161.0
C0324,Continuous,0.0,,-161.0
C0325,Continuous,0.0,,-161.0
C0326,Continuous,0.0,,-161.0
C0327,Continuous,0.0,,-161.0
C0328,Continuous,0.0,,-161.0
C0329,Continuous,0.0,,-161.0
C0330,Continuous,0.0,,-161.0
C0331,Continuous,0.0,,-161.0
C0332,Continuous,0.0,,-161.0
C0333,Continuous,0.0,,-161.0
C0334,Continuous,0.0,,-161.0
C0335,Continuous,0.0,,-161.0
C0336,Continuous,0.0,,-161.0
C0337,Continuous,0.0,,-161.0
C0338,Continuous,0.0,,-161.0
C0339,Continuous,0.0,,-161.0
C0340,Continuous,0.0,,-161.0
C0341,Continuous,0.0,,-161.0
C0342,Continuous,0.0,,-161.0
C0343,Continuous,0.0,,-161.0
C0344,Continuous,0.0,,-161.0
C0345,Continuous,0.0,,-161.0
C0346,Continuous,0.0,,-161.0
C0347,Continuous,0.0,,-161.0
C0348,Continuous,0.0,,-161.0
C0349,Continuous,0.0,,-161.0
C0350,Continuous,0.0,,-161.0
C0351,Continuous,0.0,,-161.0
C0352,Continuous,0.0,,-161.0
C0353,Continuous,0.0,,-161.0
C0354,Continuous,0.0,,-161.0
C0355,Continuous,0.0,,-161.0
C0356,Continuous,0.0,,-161.0
C0357,Continuous,0.0,,-161.0
C0358,Continuous,0.0,,-161.0
C0359,Continuous,0.0,,-161.0
C0360,Continuous,0.0,,-161.0
C0361,Continuous,0.0,,-161.0
C0362,Continuous,0.0,,-161.0
C0363,Continuous,0.0,,-161.0
C0364,Continuous,0.0,,-161.0
C0365,Continuous,0.0,,-161.0
C0366,Continuous,0.0,,-161.0
C0367,Continuous,0.0,,-161.0
C0368,Continuous,0.0,,-161.0
C0369,Continuous,0.0,,-161.0
C0370,Continuous,0.0,,-161.0
C0371,Continuous,0.0,,-161.0
C0372,Continuous,0.0,,-161.0
C0373,Continuous,0.0,,-161.0
C0374,Continuous,0.0,,-161.0
C0375,Continuous,0.0,,-161.0
C0376,Continuous,0.0,,-161.0
C0377,Continuous,0.0,,-161.0
C0378,Continuous,0.0,,-161.0
C0379,Continuous,0.0,,-161.0
C0380,Continuous,0.0,,-161.0
C0381,Continuous,0.0,,-161.0
C0382,Continuous,0.0,,-161.0
C0383,Continuous,0.0,,-161.0
C0384,Continuous,0.0,,-161.0
C0385,Continuous,0.0,,-161.0
C0386,Continuous,0.0,,-161.0
C0387,Continuous,0.0,,-161.0
C0388,Continuous,0.0,,-161.0
C0389,Continuous,0.0,,-161.0
C0390,Continuous,0.0,,-161.0
C0391,Continuous,0.0,,-161.0
C0392,Continuous,0.0,,-161.0
C0393,Continuous,0.0,,-161.0
C0394,Continuous,0.0,,-161.0
C0395,Continuous,0.0,,-161.0
C0396,Continuous,0.0,,-161.0
C0397,Continuous,0.0,,-161.0
C0398,Continuous,0.0,,-161.0
C0399,Continuous,0.0,,-161.0
C0400,Continuous,0.0,,-161.0
C0401,Continuous,0.0,,-161.0
C0402,Continuous,0.0,,-161.0
C0403,Continuous,0.0,,-161.0
C0404,Continuous,0.0,,-161.0
C0405,Continuous,0.0,,-161.0
C0406,Continuous,0.0,,-161.0
C0407,Continuous,0.0,,-161.0
C0408,Continuous,0.0,,-161.0
C0409,Continuous,0.0,,-161.0
C0410,Continuous,0.0,,-161.0
C0411,Continuous,0.0,,-161.0
C0412,Continuous,0.0,,-161.0
C0413,Continuous,0.0,,-161.0
C0414,Continuous,0.0,,-161.0
C0415,Continuous,0.0,,-161.0
C0416,Continuous,0.0,,-161.0
C0417,Continuous,0.0,,-161.0
C0418,Continuous,0.0,,-161.0
C0419,Continuous,0.0,,-161.0
C0420,Continuous,0.0,,-161.0
C0421,Continuous,0.0,,-161.0
C0422,Continuous,0.0,,-161.0
C0423,Continuous,0.0,,-161.0
C0424,Continuous,0.0,,-161.0
C0425,Continuous,0.0,,-161.0
C0426,Continuous,0.0,,-161.0
C0427,Continuous,0.0,,-161.0
C0428,Continuous,0.0,,-161.0
C0429,Continuous,0.0,,-161.0
C0430,Continuous,0.0,,-161.0
C0431,Continuous,0.0,,-161.0
C0432,Continuous,0.0,,-161.0
C0433,Continuous,0.0,,-161.0
C0434,Continuous,0.0,,-161.0
C0435,Continuous,0.0,,-161.0
C0436,Continuous,0.0,,-161.0
C0437,Continuous,0.0,,-161.0
C0438,Continuous,0.0,,-161.0
C0439,Continuous,0.0,,-161.0
C0440,Continuous,0.0,,-161.0
C0441,Continuous,0.0,,-161.0
C0442,Continuous,0.0,,-161.0
C0443,Continuous,0.0,,-161.0
C0444,Continuous,0.0,,-161.0
C0445,Continuous,0.0,,-161.0
C0446,Continuous,0.0,,-161.0
C0447,Continuous,0.0,,-161.0
C0448,Continuous,0.0,1500.0,0.0
C0449,Continuous,0.0,1500.0,0.0
C0450,Continuous,0.0,1500.0,0.0
C0451,Continuous,0.0,1500.0,0.0
C0452,Continuous,0.0,1500.0,0.0
C0453,Continuous,0.0,1500.0,0.0
C0454,Continuous,0.0,1500.0,0.0
C0455,Continuous,0.0,1500.0,0.0
C0456,Continuous,0.0,1500.0,0.0
C0457,Continuous,0.0,1500.0,0.0
C0458,Continuous,0.0,1500.0,0.0
C0459,Continuous,0.0,1500.0,0.0
C0460,Continuous,0.0,1500.0,0.0
C0461,Continuous,0.0,1500.0,0.0
C0462,Continuous,0.0,1500.0,0.0
C0463,Continuous,0.0,1500.0,0.0
C0464,Continuous,0.0,1500.0,0.0
C0465,Continuous,0.0,1500.0,0.0
C0466,Continuous,0.0,1500.0,0.0
C0467,Continuous,0.0,1500.0,0.0
C0468,Continuous,0.0,1500.0,0.0
C0469,Continuous,0.0,1500.0,0.0
C0470,Continuous,0.0,1500.0,0.0
C0471,Continuous,0.0,1500.0,0.0
C0472,Continuous,0.0,1500.0,0.0
C0473,Continuous,0.0,,0.0
C0474,Continuous,0.0,,0.0
C0475,Continuous,0.0,,0.0
C0476,Continuous,0.0,,0.0
C0477,Continuous,0.0,,0.0
C0478,Continuous,0.0,,0.0
C0479,Continuous,0.0,,0.0
C0480,Continuous,0.0,,0.0
C0481,Continuous,0.0,,0.0
C0482,Continuous,0.0,,0.0
C0483,Continuous,0.0,,0.0
C0484,Continuous,0.0,,0.0
C0485,Continuous,0.0,,0.0
C0486,Continuous,0.0,,0.0
C0487,Continuous,0.0,,0.0
C0488,Continuous,0.0,,0.0
C0489,Continuous,0.0,,0.0
C0490,Continuous,0.0,,0.0
C0491,Continuous,0.0,,0.0
C0492,Continuous,0.0,,0.0
C0493,Continuous,0.0,,0.0
C0494,Continuous,0.0,,0.0
C0495,Continuous,0.0,,0.0
C0496,Continuous,248.0,252.0,0.0
C0497,Continuous,0.0,,0.0
C0498,Continuous,0.0,,0.0
C0499,Continuous,0.0,,0.0
C0500,Continuous,0.0,,0.0
C0501,Continuous,0.0,,0.0
C0502,Continuous,0.0,,0.0
C0503,Continuous,0.0,,0.0
C0504,Continuous,0.0,,0.0
C0505,Continuous,0.0,,0.0
C0506,Continuous,0.0,,0.0
C0507,Continuous,0.0,,0.0
C0508,Continuous,0.0,,0.0
C0509,Continuous,0.0,,0.0
C0510,Continuous,0.0,,0.0
C0511,Continuous,0.0,,0.0
C0512,Continuous,0.0,,0.0
C0513,Continuous,0.0,,0.0
C0514,Continuous,0.0,,0.0
C0515,Continuous,0.0,,0.0
C0516,Continuous,0.0,,0.0
C0517,Continuous,0.0,,0.0
C0518,Continuous,0.0,,0.0
C0519,Continuous,0.0,,0.0
C0520,Continuous,0.0,,0.0
C0521,Continuous,0.0,252.0,0.0
C0522,Continuous,0.0,252.0,0.0
C0523,Continuous,0.0,252.0,0.0
C0524,Continuous,0.0,252.0,0.0
C0525,Continuous,0.0,252.0,0.0
C0526,Continuous,0.0,252.0,0.0
C0527,Continuous,0.0,252.0,0.0
C0528,Continuous,0.0,252.0,0.0
C0529,Continuous,0.0,252.0,0.0
C0530,Continuous,0.0,252.0,0.0
C0531,Continuous,0.0,252.0,0.0
C0532,Continuous,0.0,252.0,0.0
C0533,Continuous,0.0,252.0,0.0
C0534,Continuous,0.0,252.0,0.0
C0535,Continuous,0.0,252.0,0.0
C0536,Continuous,0.0,252.0,0.0
C0537,Continuous,0.0,252.0,0.0
C0538,Continuous,0.0,252.0,0.0
C0539,Continuous,0.0,252.0,0.0
C0540,Continuous,0.0,252.0,0.0
C0541,Continuous,0.0,252.0,0.0
C0542,Continuous,0.0,252.0,0.0
C0543,Continuous,0.0,252.0,0.0
C0544,Continuous,0.0,252.0,0.0
C0545,Continuous,0.0,,0.0
C0546,Integer,0.0,1.0,-19734.0
C0547,Integer,0.0,1.0,-22594.0
C0548,Integer,0.0,1.0,-33033.0
C0549,Integer,0.0,1.0,-30316.0
C0550,Integer,0.0,1.0,-42185.0
C0551,Integer,0.0,1.0,-42471.0
C0552,Integer,0.0,1.0,-58058.0
C0553,Integer,0.0,1.0,-59917.0
C0554,Integer,0.0,1.0,-62920.0
C0555,Integer,0.0,1.0,-12155.0
C0556,Integer,0.0,1.0,-21164.0
C0557,Integer,0.0,1.0,-18447.0
C0558,Integer,0.0,1.0,-47905.0
C0559,Integer,0.0,1.0,-48334.0
C0560,Integer,0.0,1.0,-54483.0
C0561,Integer,0.0,1.0,-59345.0
C0562,Integer,0.0,1.0,-62348.0
C0563,Integer,0.0,1.0,-10725.0
C0564,Integer,0.0,1.0,-8008.0
C0565,Integer,0.0,1.0,-36179.0
C0566,Integer,0.0,1.0,-36608.0
C0567,Integer,0.0,1.0,-42757.0
C0568,Integer,0.0,1.0,-47619.0
C0569,Integer,0.0,1.0,-50622.0
C0570,Integer,0.0,1.0,-6292.0
C0571,Integer,0.0,1.0,-19305.0
C0572,Integer,0.0,1.0,-19591.0
C0573,Integer,0.0,1.0,-35178.0
C0574,Integer,0.0,1.0,-37037.0
C0575,Integer,0.0,1.0,-40040.0
C0576,Integer,0.0,1.0,-6292.0
C0577,Integer,0.0,1.0,-21450.0
C0578,Integer,0.0,1.0,-21736.0
C0579,Integer,0.0,1.0,-37323.0
C0580,Integer,0.0,1.0,-39182.0
C0581,Integer,0.0,1.0,-42185.0
C0582,Integer,0.0,1.0,-286.0
C0583,Integer,0.0,1.0,-6578.0
C0584,Integer,0.0,1.0,-11440.0
C0585,Integer,0.0,1.0,-14443.0
C0586,Integer,0.0,1.0,-286.0
C0587,Integer,0.0,1.0,-6292.0
C0588,Integer,0.0,1.0,-11154.0
C0589,Integer,0.0,1.0,-14157.0
C0590,Integer,0.0,1.0,-5005.0
C0591,Integer,0.0,1.0,-6292.0
C0592,Integer,0.0,1.0,-11440.0
C0593,Integer,0.0,1.0,-42614.0
C0594,Integer,0.0,1.0,-59345.0
C0595,Integer,0.0,1.0,-71643.0
C0596,Integer,0.0,1.0,-72358.0
C0597,Integer,0.0,1.0,-71786.0
C0598,Integer,0.0,1.0,-72358.0
C0599,Integer,0.0,1.0,-71643.0
C0600,Integer,0.0,1.0,-71929.0
C0601,Integer,0.0,1.0,-72215.0
C0602,Integer,0.0,1.0,-5005.0
C0603,Integer,0.0,1.0,-3003.0
C0604,Integer,0.0,1.0,-8723.0
C0605,Integer,0.0,1.0,-37609.0
C0606,Integer,0.0,1.0,-54483.0
C0607,Integer,0.0,1.0,-66781.0
C0608,Integer,0.0,1.0,-67496.0
C0609,Integer,0.0,1.0,-66924.0
C0610,Integer,0.0,1.0,-67496.0
C0611,Integer,0.0,1.0,-66781.0
C0612,Integer,0.0,1.0,-67067.0
C0613,Integer,0.0,1.0,-67353.0
C0614,Integer,0.0,1.0,-6292.0
C0615,Integer,0.0,1.0,-3003.0
C0616,Integer,0.0,1.0,-7722.0
C0617,Integer,0.0,1.0,-37180.0
C0618,Integer,0.0,1.0,-53911.0
C0619,Integer,0.0,1.0,-67353.0
C0620,Integer,0.0,1.0,-68068.0
C0621,Integer,0.0,1.0,-67496.0
C0622,Integer,0.0,1.0,-68068.0
C0623,Integer,0.0,1.0,-68068.0
C0624,Integer,0.0,1.0,-68068.0
C0625,Integer,0.0,1.0,-68068.0
C0626,Integer,0.0,1.0,-32890.0
C0627,Integer,0.0,1.0,-49621.0
C0628,Integer,0.0,1.0,-62491.0
C0629,Integer,0.0,1.0,-63206.0
C0630,Integer,0.0,1.0,-62634.0
C0631,Integer,0.0,1.0,-63206.0
C0632,Integer,0.0,1.0,-63206.0
C0633,Integer,0.0,1.0,-63206.0
C0634,Integer,0.0,1.0,-63206.0
C0635,Integer,0.0,1.0,-16874.0
C0636,Integer,0.0,1.0,-29172.0
C0637,Integer,0.0,1.0,-29887.0
C0638,Integer,0.0,1.0,-29315.0
C0639,Integer,0.0,1.0,-29887.0
C0640,Integer,0.0,1.0,-29172.0
C0641,Integer,0.0,1.0,-29458.0
C0642,Integer,0.0,1.0,-29744.0
C0643,Integer,0.0,1.0,-12584.0
C0644,Integer,0.0,1.0,-11869.0
C0645,Integer,0.0,1.0,-11869.0
C0646,Integer,0.0,1.0,-11154.0
C0647,Integer,0.0,1.0,-11440.0
C0648,Integer,0.0,1.0,-13156.0
C0649,Integer,0.0,1.0,-1287.0
C0650,Integer,0.0,1.0,-143.0
C0651,Integer,0.0,1.0,-1287.0
C0652,Integer,0.0,1.0,-1001.0
C0653,Integer,0.0,1.0,-715.0
C0654,Integer,0.0,1.0,-1001.0
C0655,Integer,0.0,1.0,-7579.0
C0656,Integer,0.0,1.0,-28028.0
C0657,Integer,0.0,1.0,-35893.0
C0658,Integer,0.0,1.0,-1287.0
C0659,Integer,0.0,1.0,-1144.0
C0660,Integer,0.0,1.0,-2288.0
C0661,Integer,0.0,1.0,-429.0
C0662,Integer,0.0,1.0,-572.0
C0663,Integer,0.0,1.0,-2145.0
C0664,Integer,0.0,1.0,-7007.0
C0665,Integer,0.0,1.0,-28457.0
C0666,Integer,0.0,1.0,-36608.0
C0667,Integer,0.0,1.0,-92807.0
C0668,Integer,0.0,1.0,-143.0
C0669,Integer,0.0,1.0,-1144.0
C0670,Integer,0.0,1.0,-1144.0
C0671,Integer,0.0,1.0,-858.0
C0672,Integer,0.0,1.0,-572.0
C0673,Integer,0.0,1.0,-1144.0
C0674,Integer,0.0,1.0,-7722.0
C0675,Integer,0.0,1.0,-28171.0
C0676,Integer,0.0,1.0,-36036.0
C0677,Integer,0.0,1.0,-91663.0
C0678,Integer,0.0,1.0,-1287.0
C0679,Integer,0.0,1.0,-2288.0
C0680,Integer,0.0,1.0,-1144.0
C0681,Integer,0.0,1.0,-2002.0
C0682,Integer,0.0,1.0,-1859.0
C0683,Integer,0.0,1.0,-143.0
C0684,Integer,0.0,1.0,-8151.0
C0685,Integer,0.0,1.0,-28457.0
C0686,Integer,0.0,1.0,-36322.0
C0687,Integer,0.0,1.0,-91949.0
C0688,Integer,0.0,1.0,-1001.0
C0689,Integer,0.0,1.0,-429.0
C0690,Integer,0.0,1.0,-858.0
C0691,Integer,0.0,1.0,-2002.0
C0692,Integer,0.0,1.0,-214.5
C0693,Integer,0.0,1.0,-1859.0
C0694,Integer,0.0,1.0,-8437.0
C0695,Integer,0.0,1.0,-28743.0
C0696,Integer,0.0,1.0,-36608.0
C0697,Integer,0.0,1.0,-92521.0
C0698,Integer,0.0,1.0,-715.0
